B16008_001E,B16008_001M,B16008_002E,B16008_002M,B16008_003E,B16008_003M,B16008_004E,B16008_004M,B16008_005E,B16008_005M,B16008_006E,B16008_006M,B16008_007E,B16008_007M,B16008_008E,B16008_008M,B16008_009E,B16008_009M,B16008_010E,B16008_010M,B16008_011E,B16008_011M,B16008_012E,B16008_012M,B16008_013E,B16008_013M,B16008_014E,B16008_014M,B16008_015E,B16008_015M,B16008_016E,B16008_016M,B16008_017E,B16008_017M,B16008_018E,B16008_018M,B16008_019E,B16008_019M,B16008_020E,B16008_020M,B16008_021E,B16008_021M,B16008_022E,B16008_022M,B16008_023E,B16008_023M,B16008_024E,B16008_024M,B16008_025E,B16008_025M,B16008_026E,B16008_026M,B16008_027E,B16008_027M,B16008_028E,B16008_028M,B16008_029E,B16008_029M,B16008_030E,B16008_030M,B16008_031E,B16008_031M,B16008_032E,B16008_032M,B16008_033E,B16008_033M,B16008_034E,B16008_034M,B16008_035E,B16008_035M,B16008_036E,B16008_036M,B16008_037E,B16008_037M,B16008_038E,B16008_038M,B16008_039E,B16008_039M,B16008_040E,B16008_040M,B16008_041E,B16008_041M,B16008_042E,B16008_042M,B16008_043E,B16008_043M,B16008_044E,B16008_044M,B16008_045E,B16008_045M,B16008_046E,B16008_046M,B16008_047E,B16008_047M,B16008_048E,B16008_048M,B16008_049E,B16008_049M,B16008_050E,B16008_050M,B16008_051E,B16008_051M,B16008_052E,B16008_052M,B16008_053E,B16008_053M,B16008_001M,B16008_001EA,B16008_001MA,B16008_002M,B16008_002EA,B16008_002MA,B16008_003M,B16008_003EA,B16008_003MA,B16008_004M,B16008_004EA,B16008_004MA,B16008_005M,B16008_005EA,B16008_005MA,B16008_006M,B16008_006EA,B16008_006MA,B16008_007M,B16008_007EA,B16008_007MA,B16008_008M,B16008_008EA,B16008_008MA,B16008_009M,B16008_009EA,B16008_009MA,B16008_010M,B16008_010EA,B16008_010MA,B16008_011M,B16008_011EA,B16008_011MA,B16008_012M,B16008_012EA,B16008_012MA,B16008_013M,B16008_013EA,B16008_013MA,B16008_014M,B16008_014EA,B16008_014MA,B16008_015M,B16008_015EA,B16008_015MA,B16008_016M,B16008_016EA,B16008_016MA,B16008_017M,B16008_017EA,B16008_017MA,B16008_018M,B16008_018EA,B16008_018MA,B16008_019M,B16008_019EA,B16008_019MA,B16008_020M,B16008_020EA,B16008_020MA,B16008_021M,B16008_021EA,B16008_021MA,B16008_022M,B16008_022EA,B16008_022MA,B16008_023M,B16008_023EA,B16008_023MA,B16008_024M,B16008_024EA,B16008_024MA,B16008_025M,B16008_025EA,B16008_025MA,B16008_026M,B16008_026EA,B16008_026MA,B16008_027M,B16008_027EA,B16008_027MA,B16008_028M,B16008_028EA,B16008_028MA,B16008_029M,B16008_029EA,B16008_029MA,B16008_030M,B16008_030EA,B16008_030MA,B16008_031M,B16008_031EA,B16008_031MA,B16008_032M,B16008_032EA,B16008_032MA,B16008_033M,B16008_033EA,B16008_033MA,B16008_034M,B16008_034EA,B16008_034MA,B16008_035M,B16008_035EA,B16008_035MA,B16008_036M,B16008_036EA,B16008_036MA,B16008_037M,B16008_037EA,B16008_037MA,B16008_038M,B16008_038EA,B16008_038MA,B16008_039M,B16008_039EA,B16008_039MA,B16008_040M,B16008_040EA,B16008_040MA,B16008_041M,B16008_041EA,B16008_041MA,B16008_042M,B16008_042EA,B16008_042MA,B16008_043M,B16008_043EA,B16008_043MA,B16008_044M,B16008_044EA,B16008_044MA,B16008_045M,B16008_045EA,B16008_045MA,B16008_046M,B16008_046EA,B16008_046MA,B16008_047M,B16008_047EA,B16008_047MA,B16008_048M,B16008_048EA,B16008_048MA,B16008_049M,B16008_049EA,B16008_049MA,B16008_050M,B16008_050EA,B16008_050MA,B16008_051M,B16008_051EA,B16008_051MA,B16008_052M,B16008_052EA,B16008_052MA,B16008_053M,B16008_053EA,B16008_053MA,state
19494972,2952,15283452,36108,2827051,10389,2133168,15806,560663,12757,485552,12623,75111,6072,133220,8332,119967,8179,13253,1993,12456401,34303,10920831,29021,1285915,24539,1016257,24164,269658,10563,249655,10510,223701,9416,25954,3408,4211520,35776,2331036,28381,54875,4670,15134,2306,26458,3041,20812,2574,5646,1318,13283,2871,11295,2682,1988,1065,2276161,28094,520170,13880,1159986,15190,534729,12151,625257,13346,596005,19086,369602,15259,226403,11066,1880484,29921,145747,8621,15213,2549,86805,6109,48837,4625,37968,4478,43729,5100,28820,4053,14909,2947,1734737,26671,280147,11028,1028824,21501,216991,9358,811833,20335,425766,16515,189241,9757,236525,12933,2952,null,null,36108,null,null,10389,null,null,15806,null,null,12757,null,null,12623,null,null,6072,null,null,8332,null,null,8179,null,null,1993,null,null,34303,null,null,29021,null,null,24539,null,null,24164,null,null,10563,null,null,10510,null,null,9416,null,null,3408,null,null,35776,null,null,28381,null,null,4670,null,null,2306,null,null,3041,null,null,2574,null,null,1318,null,null,2871,null,null,2682,null,null,1065,null,null,28094,null,null,13880,null,null,15190,null,null,12151,null,null,13346,null,null,19086,null,null,15259,null,null,11066,null,null,29921,null,null,8621,null,null,2549,null,null,6109,null,null,4625,null,null,4478,null,null,5100,null,null,4053,null,null,2947,null,null,26671,null,null,11028,null,null,21501,null,null,9358,null,null,20335,null,null,16515,null,null,9757,null,null,12933,null,null,12
9655493,4445,8626843,21913,1797076,7893,1553445,10426,185582,7635,153980,7133,31602,3532,58049,6303,51002,6430,7047,1877,6829767,19789,6556212,21273,184890,7862,150938,6955,33952,3594,88665,6134,79806,5849,8859,1471,1028650,21437,425872,17537,14358,2215,7251,1773,2210,1172,1429,674,781,733,4897,1427,4229,1421,668,431,411514,17169,113757,7733,81998,5581,42687,3962,39311,4190,215759,11428,135162,9242,80597,5456,602778,16661,44298,4848,5424,1431,19108,2885,11963,2528,7145,1675,19766,3340,12459,2386,7307,2201,558480,15326,67955,5709,294432,11376,57790,5825,236642,9915,196093,11031,96779,7200,99314,7136,4445,null,null,21913,null,null,7893,null,null,10426,null,null,7635,null,null,7133,null,null,3532,null,null,6303,null,null,6430,null,null,1877,null,null,19789,null,null,21273,null,null,7862,null,null,6955,null,null,3594,null,null,6134,null,null,5849,null,null,1471,null,null,21437,null,null,17537,null,null,2215,null,null,1773,null,null,1172,null,null,674,null,null,733,null,null,1427,null,null,1421,null,null,431,null,null,17169,null,null,7733,null,null,5581,null,null,3962,null,null,4190,null,null,11428,null,null,9242,null,null,5456,null,null,16661,null,null,4848,null,null,1431,null,null,2885,null,null,2528,null,null,1675,null,null,3340,null,null,2386,null,null,2201,null,null,15326,null,null,5709,null,null,11376,null,null,5825,null,null,9915,null,null,11031,null,null,7200,null,null,7136,null,null,13
1337835,28,1076902,12696,203423,3003,170498,4674,4193,1528,2703,897,1490,1188,28732,3495,22385,3128,6347,1400,873479,11198,771101,11335,15692,2170,13420,2034,2272,683,86686,4631,67703,4290,18983,2446,260933,12691,148936,7127,3784,1409,1621,814,98,162,98,162,0,185,2065,1142,1184,858,881,560,145152,6861,27248,2434,4128,1140,2984,968,1144,715,113776,6118,50739,4278,63037,4297,111997,9845,9836,2352,1069,617,233,244,96,169,137,178,8534,2237,2995,1017,5539,1919,102161,8309,11483,2076,4467,1467,1608,828,2859,1374,86211,7691,25727,3302,60484,6164,28,null,null,12696,null,null,3003,null,null,4674,null,null,1528,null,null,897,null,null,1188,null,null,3495,null,null,3128,null,null,1400,null,null,11198,null,null,11335,null,null,2170,null,null,2034,null,null,683,null,null,4631,null,null,4290,null,null,2446,null,null,12691,null,null,7127,null,null,1409,null,null,814,null,null,162,null,null,162,null,null,185,null,null,1142,null,null,858,null,null,560,null,null,6861,null,null,2434,null,null,1140,null,null,968,null,null,715,null,null,6118,null,null,4278,null,null,4297,null,null,9845,null,null,2352,null,null,617,null,null,244,null,null,169,null,null,178,null,null,2237,null,null,1017,null,null,1919,null,null,8309,null,null,2076,null,null,1467,null,null,828,null,null,1374,null,null,7691,null,null,3302,null,null,6164,null,null,15
1568997,1710,1471337,6047,315259,2938,279951,3605,30865,3125,21717,2909,9148,2597,4443,1247,3778,1176,665,423,1156078,5446,1101178,5798,42738,3914,36495,3531,6243,1492,12162,1743,10441,1696,1721,609,97660,5927,37899,3994,2715,977,1305,716,666,548,556,504,110,192,744,529,731,522,13,27,35184,3861,9724,1658,15285,2443,8311,1968,6974,1684,10175,2384,4734,1405,5441,1625,59761,4796,4340,1352,238,209,1851,720,849,480,1002,511,2251,1059,1506,862,745,557,55421,4235,6593,1430,35455,3631,7661,1615,27794,3164,13373,2099,7138,1577,6235,1499,1710,null,null,6047,null,null,2938,null,null,3605,null,null,3125,null,null,2909,null,null,2597,null,null,1247,null,null,1176,null,null,423,null,null,5446,null,null,5798,null,null,3914,null,null,3531,null,null,1492,null,null,1743,null,null,1696,null,null,609,null,null,5927,null,null,3994,null,null,977,null,null,716,null,null,548,null,null,504,null,null,192,null,null,529,null,null,522,null,null,27,null,null,3861,null,null,1658,null,null,2443,null,null,1968,null,null,1684,null,null,2384,null,null,1405,null,null,1625,null,null,4796,null,null,1352,null,null,209,null,null,720,null,null,480,null,null,511,null,null,1059,null,null,862,null,null,557,null,null,4235,null,null,1430,null,null,3631,null,null,1615,null,null,3164,null,null,2099,null,null,1577,null,null,1499,null,null,16
12032049,2349,10259318,22449,2077918,6548,1620794,12324,344513,8827,297280,8584,47233,4154,112611,6538,99129,6196,13482,2069,8181400,19334,7446381,19409,540581,13197,466088,12155,74493,4844,194438,7034,171963,6790,22475,2171,1772731,22474,882503,15841,25445,3225,12272,1880,4814,1500,3864,1348,950,464,8359,1721,6927,1595,1432,556,857058,14920,123106,6321,250021,8388,109693,5231,140328,6825,483931,11789,274253,8849,209678,7802,890228,18625,49866,5101,6437,1315,19413,3275,14742,2780,4671,1335,24016,3292,14963,2246,9053,1907,840362,16386,61815,5066,465036,13225,112788,6018,352248,11225,313511,10655,147302,7031,166209,8093,2349,null,null,22449,null,null,6548,null,null,12324,null,null,8827,null,null,8584,null,null,4154,null,null,6538,null,null,6196,null,null,2069,null,null,19334,null,null,19409,null,null,13197,null,null,12155,null,null,4844,null,null,7034,null,null,6790,null,null,2171,null,null,22474,null,null,15841,null,null,3225,null,null,1880,null,null,1500,null,null,1348,null,null,464,null,null,1721,null,null,1595,null,null,556,null,null,14920,null,null,6321,null,null,8388,null,null,5231,null,null,6825,null,null,11789,null,null,8849,null,null,7802,null,null,18625,null,null,5101,null,null,1315,null,null,3275,null,null,2780,null,null,1335,null,null,3292,null,null,2246,null,null,1907,null,null,16386,null,null,5066,null,null,13225,null,null,6018,null,null,11225,null,null,10655,null,null,7031,null,null,8093,null,null,17
6212686,3036,5867849,10265,1130681,4614,1027062,6811,72363,4586,61203,4727,11160,2066,31256,4047,23990,3662,7266,1520,4737168,9994,4580294,10895,95832,5022,77244,4676,18588,2329,61042,4719,50975,4194,10067,1844,344837,10447,139163,6482,9026,2047,5672,1651,741,579,705,555,36,79,2613,1143,1508,751,1105,939,130137,5866,33489,3056,35431,3139,16024,2055,19407,2729,61217,4540,36698,3484,24519,2613,205674,8730,17459,2614,3733,1850,6298,1402,4289,1090,2009,875,7428,1729,4101,1452,3327,1216,188215,7440,19622,2576,91446,5186,25908,3711,65538,4502,77147,5306,36936,3819,40211,4708,3036,null,null,10265,null,null,4614,null,null,6811,null,null,4586,null,null,4727,null,null,2066,null,null,4047,null,null,3662,null,null,1520,null,null,9994,null,null,10895,null,null,5022,null,null,4676,null,null,2329,null,null,4719,null,null,4194,null,null,1844,null,null,10447,null,null,6482,null,null,2047,null,null,1651,null,null,579,null,null,555,null,null,79,null,null,1143,null,null,751,null,null,939,null,null,5866,null,null,3056,null,null,3139,null,null,2055,null,null,2729,null,null,4540,null,null,3484,null,null,2613,null,null,8730,null,null,2614,null,null,1850,null,null,1402,null,null,1090,null,null,875,null,null,1729,null,null,1452,null,null,1216,null,null,7440,null,null,2576,null,null,5186,null,null,3711,null,null,4502,null,null,5306,null,null,3819,null,null,4708,null,null,18
2937206,1804,2778511,5594,515185,3083,474747,3393,25558,2122,21502,2210,4056,1101,14880,2261,11299,1894,3581,1071,2263326,5004,2208032,6035,37074,2892,29029,2628,8045,1392,18220,2263,14041,1894,4179,1144,158695,5672,61902,4547,4296,1372,2031,817,1059,730,851,562,208,280,1206,770,611,433,595,653,57606,4167,14801,1913,13226,1863,5207,1088,8019,1510,29579,2876,15373,2176,14206,2195,96793,5540,9999,2105,859,492,4285,1390,1734,760,2551,1148,4855,1447,2044,815,2811,1381,86794,4752,10582,1777,37004,2847,8246,1326,28758,2609,39208,3352,15896,1945,23312,3201,1804,null,null,5594,null,null,3083,null,null,3393,null,null,2122,null,null,2210,null,null,1101,null,null,2261,null,null,1894,null,null,1071,null,null,5004,null,null,6035,null,null,2892,null,null,2628,null,null,1392,null,null,2263,null,null,1894,null,null,1144,null,null,5672,null,null,4547,null,null,1372,null,null,817,null,null,730,null,null,562,null,null,280,null,null,770,null,null,433,null,null,653,null,null,4167,null,null,1913,null,null,1863,null,null,1088,null,null,1510,null,null,2876,null,null,2176,null,null,2195,null,null,5540,null,null,2105,null,null,492,null,null,1390,null,null,760,null,null,1148,null,null,1447,null,null,815,null,null,1381,null,null,4752,null,null,1777,null,null,2847,null,null,1326,null,null,2609,null,null,3352,null,null,1945,null,null,3201,null,null,19
2709883,1979,2505602,7254,503983,2936,438948,4018,53458,3303,47342,3547,6116,1489,11577,1804,10659,1673,918,499,2001619,6639,1927519,7169,56109,3702,47505,3465,8604,1610,17991,2315,16505,2294,1486,476,204281,7463,81177,5432,4885,1255,2053,737,1499,997,1061,824,438,551,1333,679,1079,611,254,307,76292,5056,14815,1954,24891,2469,11431,1828,13460,1715,36586,4316,20251,3003,16335,2840,123104,6000,8645,1721,643,468,3814,1104,2371,819,1443,769,4188,1285,1739,818,2449,1028,114459,5263,10000,1647,71016,4507,15413,2193,55603,4397,33443,3555,15436,1987,18007,2651,1979,null,null,7254,null,null,2936,null,null,4018,null,null,3303,null,null,3547,null,null,1489,null,null,1804,null,null,1673,null,null,499,null,null,6639,null,null,7169,null,null,3702,null,null,3465,null,null,1610,null,null,2315,null,null,2294,null,null,476,null,null,7463,null,null,5432,null,null,1255,null,null,737,null,null,997,null,null,824,null,null,551,null,null,679,null,null,611,null,null,307,null,null,5056,null,null,1954,null,null,2469,null,null,1828,null,null,1715,null,null,4316,null,null,3003,null,null,2840,null,null,6000,null,null,1721,null,null,468,null,null,1104,null,null,819,null,null,769,null,null,1285,null,null,818,null,null,1028,null,null,5263,null,null,1647,null,null,4507,null,null,2193,null,null,4397,null,null,3555,null,null,1987,null,null,2651,null,null,20
4164025,2784,4009853,7672,722713,4528,686947,5598,22728,2509,18556,2107,4172,1125,13038,2410,10461,2170,2577,952,3287140,6365,3229578,6835,33591,3264,28501,2806,5090,1410,23971,3215,20740,2998,3231,847,154172,7348,60705,4535,5541,1577,3822,1097,184,193,175,192,9,17,1535,958,1288,851,247,229,55164,4058,13018,1836,11126,2221,4992,1390,6134,1570,31020,3339,14888,2125,16132,2429,93467,6500,11254,2619,1600,911,2553,1004,1708,695,845,732,7101,1992,3314,1015,3787,1534,82213,5319,11993,1980,36065,3218,8427,2042,27638,2765,34155,3279,14879,2170,19276,2852,2784,null,null,7672,null,null,4528,null,null,5598,null,null,2509,null,null,2107,null,null,1125,null,null,2410,null,null,2170,null,null,952,null,null,6365,null,null,6835,null,null,3264,null,null,2806,null,null,1410,null,null,3215,null,null,2998,null,null,847,null,null,7348,null,null,4535,null,null,1577,null,null,1097,null,null,193,null,null,192,null,null,17,null,null,958,null,null,851,null,null,229,null,null,4058,null,null,1836,null,null,2221,null,null,1390,null,null,1570,null,null,3339,null,null,2125,null,null,2429,null,null,6500,null,null,2619,null,null,911,null,null,1004,null,null,695,null,null,732,null,null,1992,null,null,1015,null,null,1534,null,null,5319,null,null,1980,null,null,3218,null,null,2042,null,null,2765,null,null,3279,null,null,2170,null,null,2852,null,null,21
4374703,3568,4186607,7988,797325,4454,757209,5475,26705,3391,22305,3201,4400,1581,13411,2361,11676,2231,1735,651,3389282,7063,3235004,7834,50621,3921,39296,3307,11325,2248,103657,4486,86062,4542,17595,2201,188096,7203,79300,4516,1866,839,1085,702,213,158,213,158,0,208,568,409,568,409,0,208,77434,4530,16504,2279,26016,3110,14995,2329,11021,1939,34914,2997,19828,2638,15086,2155,108796,7410,11127,2054,788,546,6126,1616,2577,1194,3549,1413,4213,1404,2048,927,2165,1178,97669,6850,11135,1932,57479,5681,16119,3426,41360,4545,29055,3506,13113,2289,15942,2535,3568,null,null,7988,null,null,4454,null,null,5475,null,null,3391,null,null,3201,null,null,1581,null,null,2361,null,null,2231,null,null,651,null,null,7063,null,null,7834,null,null,3921,null,null,3307,null,null,2248,null,null,4486,null,null,4542,null,null,2201,null,null,7203,null,null,4516,null,null,839,null,null,702,null,null,158,null,null,158,null,null,208,null,null,409,null,null,409,null,null,208,null,null,4530,null,null,2279,null,null,3110,null,null,2329,null,null,1939,null,null,2997,null,null,2638,null,null,2155,null,null,7410,null,null,2054,null,null,546,null,null,1616,null,null,1194,null,null,1413,null,null,1404,null,null,927,null,null,1178,null,null,6850,null,null,1932,null,null,5681,null,null,3426,null,null,4545,null,null,3506,null,null,2289,null,null,2535,null,null,22
