C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,C17006_001M,C17006_001EA,C17006_001MA,C17006_002M,C17006_002EA,C17006_002MA,C17006_003M,C17006_003EA,C17006_003MA,C17006_004M,C17006_004EA,C17006_004MA,C17006_005M,C17006_005EA,C17006_005MA,C17006_006M,C17006_006EA,C17006_006MA,C17006_007M,C17006_007EA,C17006_007MA,state
4061836,7104,842396,23979,273487,16397,568909,20199,3219440,24093,2243125,19738,976315,25209,7104,null,null,23979,null,null,16397,null,null,20199,null,null,24093,null,null,19738,null,null,25209,null,null,12
2462451,5578,556759,19540,160899,11402,395860,17565,1905692,19806,1377178,20319,528514,19463,5578,null,null,19540,null,null,11402,null,null,17565,null,null,19806,null,null,20319,null,null,19463,null,null,13
299474,2154,28909,4285,10912,2881,17997,3254,270565,4615,203302,6219,67263,6346,2154,null,null,4285,null,null,2881,null,null,3254,null,null,4615,null,null,6219,null,null,6346,null,null,15
428104,2503,73761,7856,29197,5022,44564,6062,354343,8378,291605,9313,62738,5165,2503,null,null,7856,null,null,5022,null,null,6062,null,null,8378,null,null,9313,null,null,5165,null,null,16
2873109,4576,501827,17290,141405,10662,360422,16469,2371282,18551,1796254,20757,575028,16691,4576,null,null,17290,null,null,10662,null,null,16469,null,null,18551,null,null,20757,null,null,16691,null,null,17
1536116,4748,293333,13263,92671,7166,200662,12220,1242783,13373,934453,13867,308330,12025,4748,null,null,13263,null,null,7166,null,null,12220,null,null,13373,null,null,13867,null,null,12025,null,null,18
708669,3213,102194,7251,31425,5097,70769,5693,606475,7294,474031,8326,132444,6930,3213,null,null,7251,null,null,5097,null,null,5693,null,null,7294,null,null,8326,null,null,6930,null,null,19
701586,3221,96576,7281,30673,4287,65903,6142,605010,7993,464359,11081,140651,7997,3221,null,null,7281,null,null,4287,null,null,6142,null,null,7993,null,null,11081,null,null,7997,null,null,20
981955,4848,240988,11859,75684,6783,165304,9787,740967,11379,560548,12333,180419,9404,4848,null,null,11859,null,null,6783,null,null,9787,null,null,11379,null,null,12333,null,null,9404,null,null,21
1091942,5418,309676,14060,65915,10305,243761,14537,782266,14895,553831,15160,228435,12779,5418,null,null,14060,null,null,10305,null,null,14537,null,null,14895,null,null,15160,null,null,12779,null,null,22
246744,1878,41067,5095,15037,3190,26030,3882,205677,5309,154180,5655,51497,4685,1878,null,null,5095,null,null,3190,null,null,3882,null,null,5309,null,null,5655,null,null,4685,null,null,23
1320913,3742,163634,8454,42104,6640,121530,8179,1157279,9357,835073,11247,322206,10343,3742,null,null,8454,null,null,6640,null,null,8179,null,null,9357,null,null,11247,null,null,10343,null,null,24
1351096,3312,179022,8650,35147,4701,143875,7849,1172074,8907,884622,11355,287452,11836,3312,null,null,8650,null,null,4701,null,null,7849,null,null,8907,null,null,11355,null,null,11836,null,null,25
2136315,5320,432405,12255,140382,8598,292023,11700,1703910,13025,1274856,17123,429054,13278,5320,null,null,12255,null,null,8598,null,null,11700,null,null,13025,null,null,17123,null,null,13278,null,null,26
1260428,3829,154580,8988,51842,6715,102738,8094,1105848,8799,855344,11464,250504,9444,3829,null,null,8988,null,null,6715,null,null,8094,null,null,8799,null,null,11464,null,null,9444,null,null,27
708731,3149,208699,11301,50642,6816,158057,9503,500032,11638,350841,10402,149191,9470,3149,null,null,11301,null,null,6816,null,null,9503,null,null,11638,null,null,10402,null,null,9470,null,null,28
1351848,5025,251783,12075,77155,7002,174628,10989,1100065,12809,826461,13452,273604,11250,5025,null,null,12075,null,null,7002,null,null,10989,null,null,12809,null,null,13452,null,null,11250,null,null,29
223298,2102,32956,4103,13665,3049,19291,2792,190342,4336,154832,5306,35510,3503,2102,null,null,4103,null,null,3049,null,null,2792,null,null,4336,null,null,5306,null,null,3503,null,null,30
461885,2356,64005,6092,22202,4176,41803,4101,397880,6522,308438,8261,89442,6546,2356,null,null,6092,null,null,4176,null,null,4101,null,null,6522,null,null,8261,null,null,6546,null,null,31
661440,3971,123307,9502,40090,5685,83217,8215,538133,9662,379302,11996,158831,9437,3971,null,null,9502,null,null,5685,null,null,8215,null,null,9662,null,null,11996,null,null,9437,null,null,32
253667,2030,18896,2996,5201,1973,13695,2505,234771,3319,179622,5026,55149,4307,2030,null,null,2996,null,null,1973,null,null,2505,null,null,3319,null,null,5026,null,null,4307,null,null,33
