B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,B16005H_001M,B16005H_001EA,B16005H_001MA,B16005H_002M,B16005H_002EA,B16005H_002MA,B16005H_003M,B16005H_003EA,B16005H_003MA,B16005H_004M,B16005H_004EA,B16005H_004MA,B16005H_005M,B16005H_005EA,B16005H_005MA,B16005H_006M,B16005H_006EA,B16005H_006MA,B16005H_007M,B16005H_007EA,B16005H_007MA,B16005H_008M,B16005H_008EA,B16005H_008MA,B16005H_009M,B16005H_009EA,B16005H_009MA,B16005H_010M,B16005H_010EA,B16005H_010MA,B16005H_011M,B16005H_011EA,B16005H_011MA,state
10810239,5615,10093496,17922,9738572,21531,354924,10974,311876,10083,43048,3915,716743,16862,288349,10350,428394,14988,259056,9759,169338,10899,5615,null,null,17922,null,null,21531,null,null,10974,null,null,10083,null,null,3915,null,null,16862,null,null,10350,null,null,14988,null,null,9759,null,null,10899,null,null,12
5204705,4757,5054285,10517,4958529,13260,95756,6631,83455,6799,12301,2332,150420,9641,55176,4179,95244,8328,57405,5554,37839,5396,4757,null,null,10517,null,null,13260,null,null,6631,null,null,6799,null,null,2332,null,null,9641,null,null,4179,null,null,8328,null,null,5554,null,null,5396,null,null,13
300498,312,284201,2117,270562,2616,13639,2190,11725,2051,1914,738,16297,2182,9211,1444,7086,1472,5464,1325,1622,623,312,null,null,2117,null,null,2616,null,null,2190,null,null,2051,null,null,738,null,null,2182,null,null,1444,null,null,1472,null,null,1325,null,null,623,null,null,15
1301439,477,1278448,3185,1256044,4381,22404,2882,18707,2915,3697,854,22991,3132,10467,1555,12524,2333,6582,1526,5942,1610,477,null,null,3185,null,null,4381,null,null,2882,null,null,2915,null,null,854,null,null,3132,null,null,1555,null,null,2333,null,null,1526,null,null,1610,null,null,16
7493789,2897,7032969,13266,6786432,17745,246537,8588,215569,8727,30968,2411,460820,13617,94107,4819,366713,13340,184023,8319,182690,8376,2897,null,null,13266,null,null,17745,null,null,8588,null,null,8727,null,null,2411,null,null,13617,null,null,4819,null,null,13340,null,null,8319,null,null,8376,null,null,17
4974863,2892,4908125,7205,4807469,9069,100656,6309,79077,5949,21579,2560,66738,6404,28669,3369,38069,5183,19915,2972,18154,4131,2892,null,null,7205,null,null,9069,null,null,6309,null,null,5949,null,null,2560,null,null,6404,null,null,3369,null,null,5183,null,null,2972,null,null,4131,null,null,18
2554678,1760,2526869,3893,2490807,5572,36062,3524,27406,2769,8656,1988,27809,3380,10597,1515,17212,2902,11003,1839,6209,1956,1760,null,null,3893,null,null,5572,null,null,3524,null,null,2769,null,null,1988,null,null,3380,null,null,1515,null,null,2902,null,null,1839,null,null,1956,null,null,19
2088206,1395,2058960,3665,2029943,5195,29017,3157,25621,3054,3396,810,29246,3330,11102,1762,18144,2969,12170,2498,5974,1888,1395,null,null,3665,null,null,5195,null,null,3157,null,null,3054,null,null,810,null,null,3330,null,null,1762,null,null,2969,null,null,2498,null,null,1888,null,null,20
3551833,3179,3516455,4740,3471418,6441,45037,4473,37727,4128,7310,1418,35378,3591,13326,1983,22052,3201,13001,2484,9051,1842,3179,null,null,4740,null,null,6441,null,null,4473,null,null,4128,null,null,1418,null,null,3591,null,null,1983,null,null,3201,null,null,2484,null,null,1842,null,null,21
2600238,1789,2569875,3763,2470481,5733,99394,4494,81528,4470,17866,2266,30363,3488,11195,1573,19168,3484,11216,1978,7952,2642,1789,null,null,3763,null,null,5733,null,null,4494,null,null,4470,null,null,2266,null,null,3488,null,null,1573,null,null,3484,null,null,1978,null,null,2642,null,null,22
