C15003_001E,C15003_001M,C15003_002E,C15003_002M,C15003_003E,C15003_003M,C15003_004E,C15003_004M,C15003_005E,C15003_005M,C15003_006E,C15003_006M,C15003_007E,C15003_007M,C15003_008E,C15003_008M,C15003_009E,C15003_009M,C15003_010E,C15003_010M,C15003_011E,C15003_011M,C15003_012E,C15003_012M,C15003_013E,C15003_013M,C15003_014E,C15003_014M,C15003_015E,C15003_015M,C15003_016E,C15003_016M,C15003_017E,C15003_017M,C15003_018E,C15003_018M,C15003_001M,C15003_001EA,C15003_001MA,C15003_002M,C15003_002EA,C15003_002MA,C15003_003M,C15003_003EA,C15003_003MA,C15003_004M,C15003_004EA,C15003_004MA,C15003_005M,C15003_005EA,C15003_005MA,C15003_006M,C15003_006EA,C15003_006MA,C15003_007M,C15003_007EA,C15003_007MA,C15003_008M,C15003_008EA,C15003_008MA,C15003_009M,C15003_009EA,C15003_009MA,C15003_010M,C15003_010EA,C15003_010MA,C15003_011M,C15003_011EA,C15003_011MA,C15003_012M,C15003_012EA,C15003_012MA,C15003_013M,C15003_013EA,C15003_013MA,C15003_014M,C15003_014EA,C15003_014MA,C15003_015M,C15003_015EA,C15003_015MA,C15003_016M,C15003_016EA,C15003_016MA,C15003_017M,C15003_017EA,C15003_017MA,C15003_018M,C15003_018EA,C15003_018MA,state
14703671,8103,223815,10863,111178,6973,203312,10572,224457,10454,227733,10648,267364,11083,289107,11390,308247,11255,3629364,31191,620369,14484,937204,17250,2023944,26941,1429121,24027,2675907,28563,1061264,17354,307323,10789,163962,7648,8103,null,null,10863,null,null,6973,null,null,10572,null,null,10454,null,null,10648,null,null,11083,null,null,11390,null,null,11255,null,null,31191,null,null,14484,null,null,17250,null,null,26941,null,null,24027,null,null,28563,null,null,17354,null,null,10789,null,null,7648,null,null,12
6785395,7007,95293,6209,41338,4943,81809,6283,116167,6929,124075,5729,168562,6565,175719,8560,119663,7684,1550795,23977,333285,10360,372145,9189,1022060,17184,518208,14034,1270275,16078,560593,10446,145085,7067,90323,4720,7007,null,null,6209,null,null,4943,null,null,6283,null,null,6929,null,null,5729,null,null,6565,null,null,8560,null,null,7684,null,null,23977,null,null,10360,null,null,9189,null,null,17184,null,null,14034,null,null,16078,null,null,10446,null,null,7067,null,null,4720,null,null,13
990937,1287,10986,1864,5756,1405,10487,1618,8854,1711,8999,1532,10842,1964,12203,1896,11536,2279,255380,7353,22363,2627,53877,3667,158800,5719,104261,4400,211850,6366,67803,3870,21989,2370,14951,1932,1287,null,null,1864,null,null,1405,null,null,1618,null,null,1711,null,null,1532,null,null,1964,null,null,1896,null,null,2279,null,null,7353,null,null,2627,null,null,3667,null,null,5719,null,null,4400,null,null,6366,null,null,3870,null,null,2370,null,null,1932,null,null,15
1087265,2780,8929,1552,5117,1389,9435,1752,10953,1777,13134,2187,16159,2242,23213,2656,17189,1918,243314,8048,59552,4834,91151,5262,184334,6917,104375,6190,203363,7001,65673,4443,17642,1958,13732,1752,2780,null,null,1552,null,null,1389,null,null,1752,null,null,1777,null,null,2187,null,null,2242,null,null,2656,null,null,1918,null,null,8048,null,null,4834,null,null,5262,null,null,6917,null,null,6190,null,null,7001,null,null,4443,null,null,1958,null,null,1752,null,null,16
8665219,5171,102997,4592,52423,4195,130425,6154,144065,7220,92615,5334,136674,6479,159515,7113,147713,6133,1942508,21493,307884,8770,559821,9832,1263305,17740,682989,11928,1813840,18696,830129,14153,188580,7028,109736,5086,5171,null,null,4592,null,null,4195,null,null,6154,null,null,7220,null,null,5334,null,null,6479,null,null,7113,null,null,6133,null,null,21493,null,null,8770,null,null,9832,null,null,17740,null,null,11928,null,null,18696,null,null,14153,null,null,7028,null,null,5086,null,null,17
4392576,5286,37363,2790,15069,2288,28838,2647,83472,4718,69180,4692,98154,5349,107404,5611,72019,4411,1250854,14078,231028,7938,291768,8690,608445,12852,374136,10901,716293,12562,301847,8620,64188,4197,42518,2834,5286,null,null,2790,null,null,2288,null,null,2647,null,null,4718,null,null,4692,null,null,5349,null,null,5611,null,null,4411,null,null,14078,null,null,7938,null,null,8690,null,null,12852,null,null,10901,null,null,12562,null,null,8620,null,null,4197,null,null,2834,null,null,18
2087020,3608,13969,2010,6590,1292,13530,2098,32153,2828,19266,2063,25179,2115,34575,2519,26836,3061,569965,9618,79567,3897,150902,5514,287271,6852,234055,6212,398242,8617,135083,5328,35270,3213,24567,2609,3608,null,null,2010,null,null,1292,null,null,2098,null,null,2828,null,null,2063,null,null,2115,null,null,2519,null,null,3061,null,null,9618,null,null,3897,null,null,5514,null,null,6852,null,null,6212,null,null,8617,null,null,5328,null,null,3213,null,null,2609,null,null,19
1891936,3942,17349,2083,8852,1711,16342,1978,25948,2379,19806,2038,26197,2382,36414,3231,27935,2635,419534,10229,76760,4059,147685,4977,290658,7869,157030,5732,390861,8760,170982,5866,37627,2756,21956,2373,3942,null,null,2083,null,null,1711,null,null,1978,null,null,2379,null,null,2038,null,null,2382,null,null,3231,null,null,2635,null,null,10229,null,null,4059,null,null,4977,null,null,7869,null,null,5732,null,null,8760,null,null,5866,null,null,2756,null,null,2373,null,null,20
2995509,4084,31865,2963,13124,1783,23357,3075,102379,5596,59377,4507,77815,4169,76218,4877,44325,3599,769421,11453,198878,7489,196649,6100,443391,10260,256369,7708,419081,9942,202997,6861,51228,3344,29035,2568,4084,null,null,2963,null,null,1783,null,null,3075,null,null,5596,null,null,4507,null,null,4169,null,null,4877,null,null,3599,null,null,11453,null,null,7489,null,null,6100,null,null,10260,null,null,7708,null,null,9942,null,null,6861,null,null,3344,null,null,2568,null,null,21
3115020,6064,40355,3515,14595,2008,30746,2583,75233,4944,62925,5169,100662,5347,106388,6427,55534,3552,891304,16092,167969,7326,168026,6184,486089,14342,187288,7089,473299,9993,169554,6784,56083,3918,28970,2526,6064,null,null,3515,null,null,2008,null,null,2583,null,null,4944,null,null,5169,null,null,5347,null,null,6427,null,null,3552,null,null,16092,null,null,7326,null,null,6184,null,null,14342,null,null,7089,null,null,9993,null,null,6784,null,null,3918,null,null,2526,null,null,22
