B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,B13002F_001M,B13002F_001EA,B13002F_001MA,B13002F_002M,B13002F_002EA,B13002F_002MA,B13002F_003M,B13002F_003EA,B13002F_003MA,B13002F_004M,B13002F_004EA,B13002F_004MA,B13002F_005M,B13002F_005EA,B13002F_005MA,B13002F_006M,B13002F_006EA,B13002F_006MA,B13002F_007M,B13002F_007EA,B13002F_007MA,state
157692,8737,9695,2149,4952,1295,4743,1843,147997,8514,64012,5267,83985,6536,8737,null,null,2149,null,null,1295,null,null,1843,null,null,8514,null,null,5267,null,null,6536,null,null,12
81072,7189,4790,1252,3266,971,1524,749,76282,6952,38243,4183,38039,4110,7189,null,null,1252,null,null,971,null,null,749,null,null,6952,null,null,4183,null,null,4110,null,null,13
3274,987,407,276,390,277,17,28,2867,935,1719,681,1148,528,987,null,null,276,null,null,277,null,null,28,null,null,935,null,null,681,null,null,528,null,null,15
17291,2454,2421,962,1117,695,1304,786,14870,2437,8018,1763,6852,1601,2454,null,null,962,null,null,695,null,null,786,null,null,2437,null,null,1763,null,null,1601,null,null,16
229914,8380,13888,2196,7321,1419,6567,1423,216026,8261,91798,4435,124228,6248,8380,null,null,2196,null,null,1419,null,null,1423,null,null,8261,null,null,4435,null,null,6248,null,null,17
40005,3590,2658,913,1626,612,1032,617,37347,3456,18247,2492,19100,2160,3590,null,null,913,null,null,612,null,null,617,null,null,3456,null,null,2492,null,null,2160,null,null,18
12705,1892,870,405,311,236,559,362,11835,1831,4773,1088,7062,1331,1892,null,null,405,null,null,236,null,null,362,null,null,1831,null,null,1088,null,null,1331,null,null,19
20420,2498,886,501,387,253,499,423,19534,2546,10260,1771,9274,1889,2498,null,null,501,null,null,253,null,null,423,null,null,2546,null,null,1771,null,null,1889,null,null,20
9985,1681,571,415,326,309,245,259,9414,1728,3830,1104,5584,1267,1681,null,null,415,null,null,309,null,null,259,null,null,1728,null,null,1104,null,null,1267,null,null,21
15184,1945,772,542,711,543,61,85,14412,1886,8142,1501,6270,1541,1945,null,null,542,null,null,543,null,null,85,null,null,1886,null,null,1501,null,null,1541,null,null,22
1260,579,200,233,0,172,200,233,1060,487,544,331,516,287,579,null,null,233,null,null,172,null,null,233,null,null,487,null,null,331,null,null,287,null,null,23
62591,4298,3650,1379,1361,584,2289,1216,58941,4168,25224,2259,33717,3370,4298,null,null,1379,null,null,584,null,null,1216,null,null,4168,null,null,2259,null,null,3370,null,null,24
80244,6060,3773,1010,1616,627,2157,763,76471,6036,28398,2709,48073,4633,6060,null,null,1010,null,null,627,null,null,763,null,null,6036,null,null,2709,null,null,4633,null,null,25
31363,3203,1618,628,917,500,701,420,29745,3055,13005,1609,16740,2538,3203,null,null,628,null,null,500,null,null,420,null,null,3055,null,null,1609,null,null,2538,null,null,26
27770,2508,1096,582,748,496,348,317,26674,2559,12754,1649,13920,2025,2508,null,null,582,null,null,496,null,null,317,null,null,2559,null,null,1649,null,null,2025,null,null,27
7199,1431,1025,636,942,617,83,117,6174,1408,3263,982,2911,977,1431,null,null,636,null,null,617,null,null,117,null,null,1408,null,null,982,null,null,977,null,null,28
20408,2455,982,633,627,571,355,254,19426,2409,9649,1581,9777,1746,2455,null,null,633,null,null,571,null,null,254,null,null,2409,null,null,1581,null,null,1746,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
9391,1699,911,376,665,371,246,202,8480,1634,3997,1162,4483,1143,1699,null,null,376,null,null,371,null,null,202,null,null,1634,null,null,1162,null,null,1143,null,null,31
78237,4727,3931,1035,2653,870,1278,567,74306,4600,32775,2758,41531,3672,4727,null,null,1035,null,null,870,null,null,567,null,null,4600,null,null,2758,null,null,3672,null,null,32
2005,808,192,196,158,187,34,55,1813,788,908,477,905,627,808,null,null,196,null,null,187,null,null,55,null,null,788,null,null,477,null,null,627,null,null,33
146977,7386,8957,1519,5772,1306,3185,960,138020,7436,58889,4920,79131,5067,7386,null,null,1519,null,null,1306,null,null,960,null,null,7436,null,null,4920,null,null,5067,null,null,34
51708,3658,1323,606,512,410,811,441,50385,3708,18451,2302,31934,3148,3658,null,null,606,null,null,410,null,null,441,null,null,3708,null,null,2302,null,null,3148,null,null,35
488771,10968,23523,3004,11414,1894,12109,2205,465248,11463,169024,7077,296224,9328,10968,null,null,3004,null,null,1894,null,null,2205,null,null,11463,null,null,7077,null,null,9328,null,null,36
84265,5317,4361,1182,2888,999,1473,732,79904,5366,39682,3388,40222,3934,5317,null,null,1182,null,null,999,null,null,732,null,null,5366,null,null,3388,null,null,3934,null,null,37
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
29083,3374,1864,804,1187,654,677,406,27219,3226,9283,1657,17936,2493,3374,null,null,804,null,null,654,null,null,406,null,null,3226,null,null,1657,null,null,2493,null,null,39
26253,2412,1736,587,834,407,902,431,24517,2342,13214,1399,11303,1601,2412,null,null,587,null,null,407,null,null,431,null,null,2342,null,null,1399,null,null,1601,null,null,40
32479,3557,1240,602,1060,634,180,216,31239,3478,14510,1905,16729,2794,3557,null,null,602,null,null,634,null,null,216,null,null,3478,null,null,1905,null,null,2794,null,null,41
74580,4625,4635,1444,1416,519,3219,1361,69945,4387,23992,2617,45953,4063,4625,null,null,1444,null,null,519,null,null,1361,null,null,4387,null,null,2617,null,null,4063,null,null,42
18205,1831,1105,560,295,277,810,486,17100,1903,7472,1572,9628,1622,1831,null,null,560,null,null,277,null,null,486,null,null,1903,null,null,1572,null,null,1622,null,null,44
