C17025_001E,C17025_001M,C17025_002E,C17025_002M,C17025_003E,C17025_003M,C17025_004E,C17025_004M,C17025_005E,C17025_005M,C17025_006E,C17025_006M,C17025_007E,C17025_007M,C17025_008E,C17025_008M,C17025_009E,C17025_009M,C17025_010E,C17025_010M,C17025_011E,C17025_011M,C17025_001M,C17025_001EA,C17025_001MA,C17025_002M,C17025_002EA,C17025_002MA,C17025_003M,C17025_003EA,C17025_003MA,C17025_004M,C17025_004EA,C17025_004MA,C17025_005M,C17025_005EA,C17025_005MA,C17025_006M,C17025_006EA,C17025_006MA,C17025_007M,C17025_007EA,C17025_007MA,C17025_008M,C17025_008EA,C17025_008MA,C17025_009M,C17025_009EA,C17025_009MA,C17025_010M,C17025_010EA,C17025_010MA,C17025_011M,C17025_011EA,C17025_011MA,state
20191342,6143,2973512,48474,2248115,38493,725397,25046,287132,10699,438265,20428,17217830,49000,13743780,50849,3474050,35733,2032331,27818,1441719,30803,6143,null,null,48474,null,null,38493,null,null,25046,null,null,10699,null,null,20428,null,null,49000,null,null,50849,null,null,35733,null,null,27818,null,null,30803,null,null,12
10040201,4550,1603013,34382,1438580,31076,164433,11632,41598,4481,122835,10386,8437188,35231,7581751,36765,855437,21937,380534,16016,474903,16967,4550,null,null,34382,null,null,31076,null,null,11632,null,null,4481,null,null,10386,null,null,35231,null,null,36765,null,null,21937,null,null,16016,null,null,16967,null,null,13
1389442,1866,129569,10361,98093,8649,31476,4544,11954,1810,19522,3846,1259873,10635,1033527,13995,226346,11255,136055,6756,90291,8846,1866,null,null,10361,null,null,8649,null,null,4544,null,null,1810,null,null,3846,null,null,10635,null,null,13995,null,null,11255,null,null,6756,null,null,8846,null,null,15
1652592,1607,237445,15728,220300,15372,17145,3149,4068,1263,13077,2773,1415147,15868,1336350,15199,78797,5802,33648,3865,45149,4416,1607,null,null,15728,null,null,15372,null,null,3149,null,null,1263,null,null,2773,null,null,15868,null,null,15199,null,null,5802,null,null,3865,null,null,4416,null,null,16
12502057,3937,1621508,35297,1389710,30065,231798,11797,76653,6576,155145,8951,10880549,36190,9351427,38171,1529122,22579,798901,15754,730221,17219,3937,null,null,35297,null,null,30065,null,null,11797,null,null,6576,null,null,8951,null,null,36190,null,null,38171,null,null,22579,null,null,15754,null,null,17219,null,null,17
6432804,3045,906077,22930,834137,21518,71940,6396,12484,2175,59456,6284,5526727,23631,5260366,24534,266361,9127,124679,6524,141682,7383,3045,null,null,22930,null,null,21518,null,null,6396,null,null,2175,null,null,6284,null,null,23631,null,null,24534,null,null,9127,null,null,6524,null,null,7383,null,null,18
3031338,2083,356378,12582,328157,12147,28221,3897,6783,2000,21438,3565,2674960,12482,2547286,12833,127674,6099,54311,4232,73363,5639,2083,null,null,12582,null,null,12147,null,null,3897,null,null,2000,null,null,3565,null,null,12482,null,null,12833,null,null,6099,null,null,4232,null,null,5639,null,null,19
2825864,1863,342544,14393,306773,12815,35771,5031,5787,1494,29984,4583,2483320,14383,2317350,15503,165970,7218,74283,5359,91687,4486,1863,null,null,14393,null,null,12815,null,null,5031,null,null,1494,null,null,4583,null,null,14383,null,null,15503,null,null,7218,null,null,5359,null,null,4486,null,null,20
4298953,3416,794060,24195,758701,22174,35359,5990,7191,1862,28168,5297,3504893,23747,3387191,23256,117702,5717,52725,4148,64977,4970,3416,null,null,24195,null,null,22174,null,null,5990,null,null,1862,null,null,5297,null,null,23747,null,null,23256,null,null,5717,null,null,4148,null,null,4970,null,null,21
4546017,4194,918187,25851,881150,25452,37037,4643,11097,1935,25940,4066,3627830,26966,3479088,27032,148742,7489,68187,4241,80555,6702,4194,null,null,25851,null,null,25452,null,null,4643,null,null,1935,null,null,4066,null,null,26966,null,null,27032,null,null,7489,null,null,4241,null,null,6702,null,null,22
