B14007B_001E,B14007B_001M,B14007B_002E,B14007B_002M,B14007B_003E,B14007B_003M,B14007B_004E,B14007B_004M,B14007B_005E,B14007B_005M,B14007B_006E,B14007B_006M,B14007B_007E,B14007B_007M,B14007B_008E,B14007B_008M,B14007B_009E,B14007B_009M,B14007B_010E,B14007B_010M,B14007B_011E,B14007B_011M,B14007B_012E,B14007B_012M,B14007B_013E,B14007B_013M,B14007B_014E,B14007B_014M,B14007B_015E,B14007B_015M,B14007B_016E,B14007B_016M,B14007B_017E,B14007B_017M,B14007B_018E,B14007B_018M,B14007B_019E,B14007B_019M,B14007B_001M,B14007B_001EA,B14007B_001MA,B14007B_002M,B14007B_002EA,B14007B_002MA,B14007B_003M,B14007B_003EA,B14007B_003MA,B14007B_004M,B14007B_004EA,B14007B_004MA,B14007B_005M,B14007B_005EA,B14007B_005MA,B14007B_006M,B14007B_006EA,B14007B_006MA,B14007B_007M,B14007B_007EA,B14007B_007MA,B14007B_008M,B14007B_008EA,B14007B_008MA,B14007B_009M,B14007B_009EA,B14007B_009MA,B14007B_010M,B14007B_010EA,B14007B_010MA,B14007B_011M,B14007B_011EA,B14007B_011MA,B14007B_012M,B14007B_012EA,B14007B_012MA,B14007B_013M,B14007B_013EA,B14007B_013MA,B14007B_014M,B14007B_014EA,B14007B_014MA,B14007B_015M,B14007B_015EA,B14007B_015MA,B14007B_016M,B14007B_016EA,B14007B_016MA,B14007B_017M,B14007B_017EA,B14007B_017MA,B14007B_018M,B14007B_018EA,B14007B_018MA,B14007B_019M,B14007B_019EA,B14007B_019MA,state
3175357,20368,990216,12754,63405,5601,52530,5246,46707,5106,44893,4332,53646,4418,47291,3949,46043,4187,48911,4399,45771,4151,45940,3839,50595,4336,53938,4311,51213,3456,62091,4707,235419,8735,41823,3955,2185141,16362,20368,null,null,12754,null,null,5601,null,null,5246,null,null,5106,null,null,4332,null,null,4418,null,null,3949,null,null,4187,null,null,4399,null,null,4151,null,null,3839,null,null,4336,null,null,4311,null,null,3456,null,null,4707,null,null,8735,null,null,3955,null,null,16362,null,null,12
3124125,13550,981188,14451,60004,5119,49048,4415,45178,3864,50473,4144,52530,4836,50779,3895,48590,3911,49099,4486,50758,4373,45478,4744,51872,4300,52451,3798,46555,4411,58003,4667,223387,9845,46983,4159,2142937,13965,13550,null,null,14451,null,null,5119,null,null,4415,null,null,3864,null,null,4144,null,null,4836,null,null,3895,null,null,3911,null,null,4486,null,null,4373,null,null,4744,null,null,4300,null,null,3798,null,null,4411,null,null,4667,null,null,9845,null,null,4159,null,null,13965,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1744650,9666,513342,8115,34617,2622,26175,3116,22305,2394,22319,2794,24728,2271,28102,2467,25488,2611,24097,2569,24269,2677,25045,3047,25508,2907,27920,2550,29237,2304,34262,2956,115056,5339,24214,2743,1231308,8840,9666,null,null,8115,null,null,2622,null,null,3116,null,null,2394,null,null,2794,null,null,2271,null,null,2467,null,null,2611,null,null,2569,null,null,2677,null,null,3047,null,null,2907,null,null,2550,null,null,2304,null,null,2956,null,null,5339,null,null,2743,null,null,8840,null,null,17
592566,7329,194430,6858,12384,1904,11250,2562,11494,2013,9185,1717,11628,2216,12943,2142,10155,2021,7930,1456,9696,1926,10233,1781,10216,1563,9233,1779,12226,1915,12922,2006,37989,4018,4946,1358,398136,5881,7329,null,null,6858,null,null,1904,null,null,2562,null,null,2013,null,null,1717,null,null,2216,null,null,2142,null,null,2021,null,null,1456,null,null,1926,null,null,1781,null,null,1563,null,null,1779,null,null,1915,null,null,2006,null,null,4018,null,null,1358,null,null,5881,null,null,18
105722,3059,40781,2912,2368,801,2484,841,1590,632,2248,728,2845,880,1371,698,2186,870,2629,878,1649,637,1669,723,1813,592,1630,579,1745,657,1024,607,11280,1880,2250,950,64941,3451,3059,null,null,2912,null,null,801,null,null,841,null,null,632,null,null,728,null,null,880,null,null,698,null,null,870,null,null,878,null,null,637,null,null,723,null,null,592,null,null,579,null,null,657,null,null,607,null,null,1880,null,null,950,null,null,3451,null,null,19
159278,4490,49105,3848,2655,909,2357,814,2940,913,2028,916,2225,740,2330,749,1499,756,1919,762,3123,1011,2454,729,1958,724,2250,807,1650,785,3116,963,13755,2098,2846,1124,110173,3246,4490,null,null,3848,null,null,909,null,null,814,null,null,913,null,null,916,null,null,740,null,null,749,null,null,756,null,null,762,null,null,1011,null,null,729,null,null,724,null,null,807,null,null,785,null,null,963,null,null,2098,null,null,1124,null,null,3246,null,null,20
352361,5993,109645,4731,5652,1175,4575,1323,6529,1268,6695,1142,5197,1162,5145,1145,5854,1258,6464,1326,5192,1081,4930,1072,6575,1244,6460,1312,5657,1370,4922,1109,26002,2855,3796,1237,242716,4714,5993,null,null,4731,null,null,1175,null,null,1323,null,null,1268,null,null,1142,null,null,1162,null,null,1145,null,null,1258,null,null,1326,null,null,1081,null,null,1072,null,null,1244,null,null,1312,null,null,1370,null,null,1109,null,null,2855,null,null,1237,null,null,4714,null,null,21
1447479,7567,434253,8229,28297,2907,20832,3085,23104,2926,24058,2788,26028,3070,24664,2750,26085,3033,24151,2657,25849,3284,24344,2894,21188,3101,22505,2722,24151,2780,27121,3373,79358,4449,12518,2422,1013226,8101,7567,null,null,8229,null,null,2907,null,null,3085,null,null,2926,null,null,2788,null,null,3070,null,null,2750,null,null,3033,null,null,2657,null,null,3284,null,null,2894,null,null,3101,null,null,2722,null,null,2780,null,null,3373,null,null,4449,null,null,2422,null,null,8101,null,null,22
