B19025I_001E,B19025I_001M,B19025I_001M,B19025I_001EA,B19025I_001MA,state
94907896100,1661575892,1661575892,null,null,12
14716126600,618658841,618658841,null,null,13
2577724600,222146054,222146054,null,null,15
2466229800,186131134,186131134,null,null,16
37319014000,723862912,723862912,null,null,17
6497577500,347075637,347075637,null,null,18
2574389200,206994504,206994504,null,null,19
5148209100,278800644,278800644,null,null,20
2183548200,230570252,230570252,null,null,21
4004174900,391594623,391594623,null,null,22
456512200,210704218,210704218,null,null,23
12286763800,562147272,562147272,null,null,24
14075028200,555112546,555112546,null,null,25
7938347400,356670828,356670828,null,null,26
4443935400,304320362,304320362,null,null,27
1060468700,166880560,166880560,null,null,28
4229567100,372093511,372093511,null,null,29
528790000,151520434,151520434,null,null,30
2911963900,203832256,203832256,null,null,31
12656232600,479244243,479244243,null,null,32
944124400,142285717,142285717,null,null,33
36113756500,815884846,815884846,null,null,34
16583080100,553034346,553034346,null,null,35
69713181200,1409551495,1409551495,null,null,36
12378686100,587677158,587677158,null,null,37
380010400,76231995,76231995,null,null,38
6941452700,412241570,412241570,null,null,39
5214445600,217272281,217272281,null,null,40
7589657700,445387789,445387789,null,null,41
13537656400,603522506,603522506,null,null,42
2116583400,167346184,167346184,null,null,44
3829973400,302440314,302440314,null,null,45
370501500,69526499,69526499,null,null,46
4939338000,306634502,306634502,null,null,47
174467436600,1888898633,1888898633,null,null,48
6298594900,393807529,393807529,null,null,49
191742800,44244325,44244325,null,null,50
16472938100,639501633,639501633,null,null,51
14885299200,510506374,510506374,null,null,53
307427200,61491833,61491833,null,null,54
5767850300,337365106,337365106,null,null,55
919704500,127028914,127028914,null,null,56
36974893000,884818803,884818803,null,null,72
2550218200,247766438,247766438,null,null,01
957503100,208115001,208115001,null,null,02
32450954000,873309101,873309101,null,null,04
2587852000,202500394,202500394,null,null,05
258041359600,2056422182,2056422182,null,null,06
20891617000,606425036,606425036,null,null,08
11107647700,699697520,699697520,null,null,09
1448829500,141021122,141021122,null,null,10
2486682400,312577923,312577923,null,null,11
