B19301D_001E,B19301D_001M,B19301D_001M,B19301D_001EA,B19301D_001MA,state
29905,1153,1153,null,null,12
33459,1859,1859,null,null,13
34325,900,900,null,null,15
22534,3321,3321,null,null,16
38544,1361,1361,null,null,17
28160,3318,3318,null,null,18
27142,3490,3490,null,null,19
28751,3213,3213,null,null,20
29551,3549,3549,null,null,21
28104,3391,3391,null,null,22
25424,4536,4536,null,null,23
42496,1535,1535,null,null,24
38170,1512,1512,null,null,25
35544,1869,1869,null,null,26
28223,1492,1492,null,null,27
22113,4050,4050,null,null,28
33657,4291,4291,null,null,29
18462,4616,4616,null,null,30
20688,2604,2604,null,null,31
28549,1416,1416,null,null,32
32545,5287,5287,null,null,33
45021,1270,1270,null,null,34
30804,5839,5839,null,null,35
34260,945,945,null,null,36
32565,1942,1942,null,null,37
30257,6908,6908,null,null,38
32654,1890,1890,null,null,39
29317,3210,3210,null,null,40
34966,2001,2001,null,null,41
31357,1113,1113,null,null,42
30283,4797,4797,null,null,44
25976,2342,2342,null,null,45
23549,10435,10435,null,null,46
29704,2550,2550,null,null,47
35890,964,964,null,null,48
26224,2247,2247,null,null,49
32598,9006,9006,null,null,50
40852,1391,1391,null,null,51
40441,1347,1347,null,null,53
37897,9087,9087,null,null,54
31150,3059,3059,null,null,55
28980,12443,12443,null,null,56
10868,3535,3535,null,null,72
30959,4115,4115,null,null,01
26535,2619,2619,null,null,02
33497,1872,1872,null,null,04
31336,6422,6422,null,null,05
38529,430,430,null,null,06
32625,2346,2346,null,null,08
41913,2934,2934,null,null,09
39162,5025,5025,null,null,10
61870,9750,9750,null,null,11
