C17001H_001E,C17001H_001M,C17001H_002E,C17001H_002M,C17001H_003E,C17001H_003M,C17001H_004E,C17001H_004M,C17001H_005E,C17001H_005M,C17001H_006E,C17001H_006M,C17001H_007E,C17001H_007M,C17001H_008E,C17001H_008M,C17001H_009E,C17001H_009M,C17001H_010E,C17001H_010M,C17001H_011E,C17001H_011M,C17001H_012E,C17001H_012M,C17001H_013E,C17001H_013M,C17001H_014E,C17001H_014M,C17001H_015E,C17001H_015M,C17001H_016E,C17001H_016M,C17001H_017E,C17001H_017M,C17001H_018E,C17001H_018M,C17001H_019E,C17001H_019M,C17001H_001M,C17001H_001EA,C17001H_001MA,C17001H_002M,C17001H_002EA,C17001H_002MA,C17001H_003M,C17001H_003EA,C17001H_003MA,C17001H_004M,C17001H_004EA,C17001H_004MA,C17001H_005M,C17001H_005EA,C17001H_005MA,C17001H_006M,C17001H_006EA,C17001H_006MA,C17001H_007M,C17001H_007EA,C17001H_007MA,C17001H_008M,C17001H_008EA,C17001H_008MA,C17001H_009M,C17001H_009EA,C17001H_009MA,C17001H_010M,C17001H_010EA,C17001H_010MA,C17001H_011M,C17001H_011EA,C17001H_011MA,C17001H_012M,C17001H_012EA,C17001H_012MA,C17001H_013M,C17001H_013EA,C17001H_013MA,C17001H_014M,C17001H_014EA,C17001H_014MA,C17001H_015M,C17001H_015EA,C17001H_015MA,C17001H_016M,C17001H_016EA,C17001H_016MA,C17001H_017M,C17001H_017EA,C17001H_017MA,C17001H_018M,C17001H_018EA,C17001H_018MA,C17001H_019M,C17001H_019EA,C17001H_019MA,state
11054009,8328,1170130,23751,525882,12999,114506,6993,325397,10730,85979,4776,644248,16408,110979,7378,396180,10785,137089,6105,9883879,25015,4876499,13672,771683,6907,2804859,10710,1299957,5193,5007380,17074,730923,7975,2802789,11177,1473668,6107,8328,null,null,23751,null,null,12999,null,null,6993,null,null,10730,null,null,4776,null,null,16408,null,null,7378,null,null,10785,null,null,6105,null,null,25015,null,null,13672,null,null,6907,null,null,10710,null,null,5193,null,null,17074,null,null,7975,null,null,11177,null,null,6107,null,null,12
5363247,6292,580942,20660,253073,9977,72534,5724,154549,7504,25990,2532,327869,12754,69067,5716,213051,8688,45751,2963,4782305,20850,2373941,10756,484426,6791,1490611,7687,398904,2711,2408364,13032,464062,6881,1469422,8643,474880,3353,6292,null,null,20660,null,null,9977,null,null,5724,null,null,7504,null,null,2532,null,null,12754,null,null,5716,null,null,8688,null,null,2963,null,null,20850,null,null,10756,null,null,6791,null,null,7687,null,null,2711,null,null,13032,null,null,6881,null,null,8643,null,null,3353,null,null,13
301217,1277,25926,3541,14272,2285,1252,527,9488,1745,3532,1249,11654,1873,1100,668,9047,1452,1507,456,275291,3650,146105,2738,20140,1254,96861,1931,29104,1252,129186,2299,18670,1267,80931,1434,29585,582,1277,null,null,3541,null,null,2285,null,null,527,null,null,1745,null,null,1249,null,null,1873,null,null,668,null,null,1452,null,null,456,null,null,3650,null,null,2738,null,null,1254,null,null,1931,null,null,1252,null,null,2299,null,null,1267,null,null,1434,null,null,582,null,null,15
1363623,1462,174123,12054,81786,6030,27141,3524,46070,3986,8575,1534,92337,7613,21555,3351,57019,4836,13763,1977,1189500,12369,596854,6197,139662,3780,354825,4112,102367,1604,592646,8107,135995,3628,346725,4926,109926,1933,1462,null,null,12054,null,null,6030,null,null,3524,null,null,3986,null,null,1534,null,null,7613,null,null,3351,null,null,4836,null,null,1977,null,null,12369,null,null,6197,null,null,3780,null,null,4112,null,null,1604,null,null,8107,null,null,3628,null,null,4926,null,null,1933,null,null,16
7725225,5245,677086,20556,295360,11594,71652,5187,189714,7664,33994,2838,381726,12586,72078,5417,244767,8666,64881,3472,7048139,20078,3498722,11989,691954,5419,2226077,8037,580691,3063,3549417,12930,653718,6070,2187515,8989,708184,3983,5245,null,null,20556,null,null,11594,null,null,5187,null,null,7664,null,null,2838,null,null,12586,null,null,5417,null,null,8666,null,null,3472,null,null,20078,null,null,11989,null,null,5419,null,null,8037,null,null,3063,null,null,12930,null,null,6070,null,null,8989,null,null,3983,null,null,17
5127473,4533,570266,18697,249057,9885,81039,6287,147531,6991,20487,1565,321209,11464,72541,4995,207917,8077,40751,2648,4557207,19654,2272031,10324,486018,6469,1422614,7127,363399,2017,2285176,12559,462775,5853,1385493,8683,436908,3190,4533,null,null,18697,null,null,9885,null,null,6287,null,null,6991,null,null,1565,null,null,11464,null,null,4995,null,null,8077,null,null,2648,null,null,19654,null,null,10324,null,null,6469,null,null,7127,null,null,2017,null,null,12559,null,null,5853,null,null,8683,null,null,3190,null,null,18
2623337,3052,254981,10360,112303,5590,31740,3308,68860,3744,11703,1372,142678,6782,28208,3193,94640,4457,19830,1652,2368356,10865,1183800,6066,256441,3668,726475,3958,200884,1678,1184556,7100,246262,3352,697835,4838,240459,1789,3052,null,null,10360,null,null,5590,null,null,3308,null,null,3744,null,null,1372,null,null,6782,null,null,3193,null,null,4457,null,null,1652,null,null,10865,null,null,6066,null,null,3668,null,null,3958,null,null,1678,null,null,7100,null,null,3352,null,null,4838,null,null,1789,null,null,19
2159595,2301,217022,10559,96293,5718,24532,2990,61839,3955,9922,1273,120729,6424,25416,2989,77819,4299,17494,1506,1942573,10465,967380,6106,215647,3636,591146,4176,160587,1519,975193,6343,204261,3278,581021,4123,189911,1709,2301,null,null,10559,null,null,5718,null,null,2990,null,null,3955,null,null,1273,null,null,6424,null,null,2989,null,null,4299,null,null,1506,null,null,10465,null,null,6106,null,null,3636,null,null,4176,null,null,1519,null,null,6343,null,null,3278,null,null,4123,null,null,1709,null,null,20
3660806,5153,616221,20259,264055,10591,82618,5487,159027,7443,22410,2165,352166,11871,86109,4928,222100,7756,43957,3009,3044585,20339,1524226,10863,315622,5591,955473,7657,253131,2391,1520359,12143,293324,5201,928912,7983,298123,3171,5153,null,null,20259,null,null,10591,null,null,5487,null,null,7443,null,null,2165,null,null,11871,null,null,4928,null,null,7756,null,null,3009,null,null,20339,null,null,10863,null,null,5591,null,null,7657,null,null,2391,null,null,12143,null,null,5201,null,null,7983,null,null,3171,null,null,21
2696046,3985,333554,16599,142843,8440,41366,4528,85904,6078,15573,1647,190711,10591,37269,4505,125725,7483,27717,2195,2362492,17355,1181479,9476,246485,5146,742063,6681,192931,1939,1181013,10581,234788,4658,717519,7478,228706,2210,3985,null,null,16599,null,null,8440,null,null,4528,null,null,6078,null,null,1647,null,null,10591,null,null,4505,null,null,7483,null,null,2195,null,null,17355,null,null,9476,null,null,5146,null,null,6681,null,null,1939,null,null,10581,null,null,4658,null,null,7478,null,null,2210,null,null,22
1212981,1564,140012,8871,62070,5216,16515,2810,39079,3119,6476,1010,77942,5303,16894,2614,46192,3364,14856,1817,1072969,9097,530415,5374,96207,3058,329716,3121,104492,1366,542554,5522,90148,2766,334264,3484,118142,1946,1564,null,null,8871,null,null,5216,null,null,2810,null,null,3119,null,null,1010,null,null,5303,null,null,2614,null,null,3364,null,null,1817,null,null,9097,null,null,5374,null,null,3058,null,null,3121,null,null,1366,null,null,5522,null,null,2766,null,null,3484,null,null,1946,null,null,23
3024858,3619,213456,10468,91776,6533,22557,3334,57141,4840,12078,1315,121680,6894,20688,3274,78271,4882,22721,1664,2811402,11378,1386211,6908,268150,3581,875347,4963,242714,1550,1425191,7219,256751,3441,877760,4877,290680,1954,3619,null,null,10468,null,null,6533,null,null,3334,null,null,4840,null,null,1315,null,null,6894,null,null,3274,null,null,4882,null,null,1664,null,null,11378,null,null,6908,null,null,3581,null,null,4963,null,null,1550,null,null,7219,null,null,3441,null,null,4877,null,null,1954,null,null,24
4771463,7070,319911,10833,139140,6700,29642,3430,92150,4830,17348,1772,180771,7095,24621,2784,116585,5627,39565,2586,4451552,12541,2176131,8183,402042,3889,1397267,5979,376822,2276,2275421,8435,387218,3751,1422070,6197,466133,2460,7070,null,null,10833,null,null,6700,null,null,3430,null,null,4830,null,null,1772,null,null,7095,null,null,2784,null,null,5627,null,null,2586,null,null,12541,null,null,8183,null,null,3889,null,null,5979,null,null,2276,null,null,8435,null,null,3751,null,null,6197,null,null,2460,null,null,25
7333736,4574,849643,18586,386405,11016,107624,5010,245915,8140,32866,2155,463238,11592,102164,5483,298011,7061,63063,3570,6484093,19709,3233315,11663,633580,5740,2025087,8650,574648,2171,3250778,12255,603280,5715,1973581,7094,673917,4001,4574,null,null,18586,null,null,11016,null,null,5010,null,null,8140,null,null,2155,null,null,11592,null,null,5483,null,null,7061,null,null,3570,null,null,19709,null,null,11663,null,null,5740,null,null,8650,null,null,2171,null,null,12255,null,null,5715,null,null,7094,null,null,4001,null,null,26
4355741,3061,306863,10855,134378,6013,30539,3252,87152,3752,16687,1642,172485,6551,30132,2899,109349,4910,33004,2017,4048878,11356,2028083,6628,424978,3457,1277164,4273,325941,2054,2020795,6996,403885,3149,1239596,5413,377314,2341,3061,null,null,10855,null,null,6013,null,null,3252,null,null,3752,null,null,1642,null,null,6551,null,null,2899,null,null,4910,null,null,2017,null,null,11356,null,null,6628,null,null,3457,null,null,4273,null,null,2054,null,null,6996,null,null,3149,null,null,5413,null,null,2341,null,null,27
1655708,2625,214871,11691,93722,6018,29219,3433,55010,4133,9493,1413,121149,7640,23687,3326,79110,5377,18352,1609,1440837,11781,718401,6104,150013,4093,437440,4334,130948,1678,722436,7936,145947,4480,421638,5409,154851,1761,2625,null,null,11691,null,null,6018,null,null,3433,null,null,4133,null,null,1413,null,null,7640,null,null,3326,null,null,5377,null,null,1609,null,null,11781,null,null,6104,null,null,4093,null,null,4334,null,null,1678,null,null,7936,null,null,4480,null,null,5409,null,null,1761,null,null,28
