B16005G_001E,B16005G_001M,B16005G_002E,B16005G_002M,B16005G_003E,B16005G_003M,B16005G_004E,B16005G_004M,B16005G_005E,B16005G_005M,B16005G_006E,B16005G_006M,B16005G_007E,B16005G_007M,B16005G_008E,B16005G_008M,B16005G_009E,B16005G_009M,B16005G_010E,B16005G_010M,B16005G_011E,B16005G_011M,B16005G_001M,B16005G_001EA,B16005G_001MA,B16005G_002M,B16005G_002EA,B16005G_002MA,B16005G_003M,B16005G_003EA,B16005G_003MA,B16005G_004M,B16005G_004EA,B16005G_004MA,B16005G_005M,B16005G_005EA,B16005G_005MA,B16005G_006M,B16005G_006EA,B16005G_006MA,B16005G_007M,B16005G_007EA,B16005G_007MA,B16005G_008M,B16005G_008EA,B16005G_008MA,B16005G_009M,B16005G_009EA,B16005G_009MA,B16005G_010M,B16005G_010EA,B16005G_010MA,B16005G_011M,B16005G_011EA,B16005G_011MA,state
452864,19192,362955,15568,303698,13923,59257,5616,49771,4938,9486,2342,89909,7812,31723,4355,58186,6373,24639,3325,33547,4560,19192,null,null,15568,null,null,13923,null,null,5616,null,null,4938,null,null,2342,null,null,7812,null,null,4355,null,null,6373,null,null,3325,null,null,4560,null,null,12
216046,12508,189281,10618,166491,10635,22790,2753,19531,2500,3259,1082,26765,4753,6128,1778,20637,4328,11748,2699,8889,2330,12508,null,null,10618,null,null,10635,null,null,2753,null,null,2500,null,null,1082,null,null,4753,null,null,1778,null,null,4328,null,null,2699,null,null,2330,null,null,13
301463,12146,295732,11876,264371,11286,31361,3951,28267,3538,3094,1201,5731,962,2074,585,3657,914,2593,753,1064,466,12146,null,null,11876,null,null,11286,null,null,3951,null,null,3538,null,null,1201,null,null,962,null,null,585,null,null,914,null,null,753,null,null,466,null,null,15
35329,2788,32264,2612,29389,2374,2875,970,2664,977,211,222,3065,1208,764,627,2301,1217,1316,969,985,577,2788,null,null,2612,null,null,2374,null,null,970,null,null,977,null,null,222,null,null,1208,null,null,627,null,null,1217,null,null,969,null,null,577,null,null,16
269139,12587,237164,11607,201802,11057,35362,5041,30455,4603,4907,1383,31975,3700,5902,1329,26073,3643,12533,2038,13540,2930,12587,null,null,11607,null,null,11057,null,null,5041,null,null,4603,null,null,1383,null,null,3700,null,null,1329,null,null,3643,null,null,2038,null,null,2930,null,null,17
131907,7576,125558,7631,116867,7299,8691,1804,7477,1717,1214,600,6349,1234,1423,576,4926,1190,2903,972,2023,610,7576,null,null,7631,null,null,7299,null,null,1804,null,null,1717,null,null,600,null,null,1234,null,null,576,null,null,1190,null,null,972,null,null,610,null,null,18
46813,3415,45276,3267,42324,3206,2952,1028,2285,851,667,492,1537,737,284,209,1253,700,700,564,553,331,3415,null,null,3267,null,null,3206,null,null,1028,null,null,851,null,null,492,null,null,737,null,null,209,null,null,700,null,null,564,null,null,331,null,null,19
87486,5335,83915,5155,77780,5094,6135,1546,5667,1507,468,260,3571,1588,807,441,2764,1469,1369,742,1395,890,5335,null,null,5155,null,null,5094,null,null,1546,null,null,1507,null,null,260,null,null,1588,null,null,441,null,null,1469,null,null,742,null,null,890,null,null,20
76088,6126,72377,5940,68119,5738,4258,1255,4015,1267,243,205,3711,1242,823,394,2888,1117,1683,756,1205,625,6126,null,null,5940,null,null,5738,null,null,1255,null,null,1267,null,null,205,null,null,1242,null,null,394,null,null,1117,null,null,756,null,null,625,null,null,21
77508,7377,73915,7092,69728,6887,4187,1104,3762,1047,425,375,3593,1154,435,311,3158,1077,1725,591,1433,871,7377,null,null,7092,null,null,6887,null,null,1104,null,null,1047,null,null,375,null,null,1154,null,null,311,null,null,1077,null,null,591,null,null,871,null,null,22
23732,2470,22311,2263,20902,2124,1409,556,1399,557,10,17,1421,802,601,434,820,578,803,579,17,37,2470,null,null,2263,null,null,2124,null,null,556,null,null,557,null,null,17,null,null,802,null,null,434,null,null,578,null,null,579,null,null,37,null,null,23
169028,9567,148130,8720,131947,7827,16183,2856,14277,2506,1906,669,20898,3550,5461,1608,15437,2921,8860,2031,6577,1591,9567,null,null,8720,null,null,7827,null,null,2856,null,null,2506,null,null,669,null,null,3550,null,null,1608,null,null,2921,null,null,2031,null,null,1591,null,null,24
181887,10852,133259,8216,106149,7515,27110,2999,23421,3133,3689,1054,48628,5604,5286,1725,43342,5536,12137,1897,31205,5087,10852,null,null,8216,null,null,7515,null,null,2999,null,null,3133,null,null,1054,null,null,5604,null,null,1725,null,null,5536,null,null,1897,null,null,5087,null,null,25
264097,10640,246834,10058,224612,9582,22222,3409,19567,3250,2655,1076,17263,2770,3414,866,13849,2669,7363,1766,6486,1472,10640,null,null,10058,null,null,9582,null,null,3409,null,null,3250,null,null,1076,null,null,2770,null,null,866,null,null,2669,null,null,1766,null,null,1472,null,null,26
130721,6890,120914,6332,111786,6068,9128,1964,8340,1862,788,345,9807,1719,2169,754,7638,1742,4451,1204,3187,1044,6890,null,null,6332,null,null,6068,null,null,1964,null,null,1862,null,null,345,null,null,1719,null,null,754,null,null,1742,null,null,1204,null,null,1044,null,null,27
29405,4298,28520,4363,25894,4225,2626,874,2387,820,239,194,885,400,102,122,783,394,374,376,409,295,4298,null,null,4363,null,null,4225,null,null,874,null,null,820,null,null,194,null,null,400,null,null,122,null,null,394,null,null,376,null,null,295,null,null,28
