B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,B05003I_001M,B05003I_001EA,B05003I_001MA,B05003I_002M,B05003I_002EA,B05003I_002MA,B05003I_003M,B05003I_003EA,B05003I_003MA,B05003I_004M,B05003I_004EA,B05003I_004MA,B05003I_005M,B05003I_005EA,B05003I_005MA,B05003I_006M,B05003I_006EA,B05003I_006MA,B05003I_007M,B05003I_007EA,B05003I_007MA,B05003I_008M,B05003I_008EA,B05003I_008MA,B05003I_009M,B05003I_009EA,B05003I_009MA,B05003I_010M,B05003I_010EA,B05003I_010MA,B05003I_011M,B05003I_011EA,B05003I_011MA,B05003I_012M,B05003I_012EA,B05003I_012MA,B05003I_013M,B05003I_013EA,B05003I_013MA,B05003I_014M,B05003I_014EA,B05003I_014MA,B05003I_015M,B05003I_015EA,B05003I_015MA,B05003I_016M,B05003I_016EA,B05003I_016MA,B05003I_017M,B05003I_017EA,B05003I_017MA,B05003I_018M,B05003I_018EA,B05003I_018MA,B05003I_019M,B05003I_019EA,B05003I_019MA,B05003I_020M,B05003I_020EA,B05003I_020MA,B05003I_021M,B05003I_021EA,B05003I_021MA,B05003I_022M,B05003I_022EA,B05003I_022MA,B05003I_023M,B05003I_023EA,B05003I_023MA,state
5126578,555,2527121,3722,644385,3080,582177,5376,62208,4967,14980,2218,47228,4351,1882736,2790,784899,15237,1097837,15167,534321,10439,563516,14062,2599457,3561,618287,3399,552402,6107,65885,5003,14879,2121,51006,4753,1981170,2639,799274,13878,1181896,13448,678264,11397,503632,13257,555,null,null,3722,null,null,3080,null,null,5376,null,null,4967,null,null,2218,null,null,4351,null,null,2790,null,null,15237,null,null,15167,null,null,10439,null,null,14062,null,null,3561,null,null,3399,null,null,6107,null,null,5003,null,null,2121,null,null,4753,null,null,2639,null,null,13878,null,null,13448,null,null,11397,null,null,13257,null,null,12
962334,2954,506577,5286,186962,4203,174507,4630,12455,2262,803,448,11652,2202,319615,3488,107212,5262,212403,5520,43072,4048,169331,6106,455757,5306,169553,4099,158342,4586,11211,2557,2319,1449,8892,1961,286204,3086,112490,6109,173714,5363,44730,3629,128984,6090,2954,null,null,5286,null,null,4203,null,null,4630,null,null,2262,null,null,448,null,null,2202,null,null,3488,null,null,5262,null,null,5520,null,null,4048,null,null,6106,null,null,5306,null,null,4099,null,null,4586,null,null,2557,null,null,1449,null,null,1961,null,null,3086,null,null,6109,null,null,5363,null,null,3629,null,null,6090,null,null,13
148150,-555555555,76194,409,28307,410,28121,405,186,200,0,185,186,200,47887,-555555555,41735,1605,6152,1604,3907,1183,2245,961,71956,410,27007,411,26745,460,262,231,152,184,110,135,44949,-555555555,38270,1276,6679,1276,3832,922,2847,898,-555555555,null,*****,409,null,null,410,null,null,405,null,null,200,null,null,185,null,null,200,null,null,-555555555,null,*****,1605,null,null,1604,null,null,1183,null,null,961,null,null,410,null,null,411,null,null,460,null,null,231,null,null,184,null,null,135,null,null,-555555555,null,*****,1276,null,null,1276,null,null,922,null,null,898,null,null,15
207248,280,106649,1547,42058,1228,40560,1321,1498,685,482,387,1016,531,64591,1279,36367,2535,28224,2397,9266,1817,18958,2227,100599,1570,37091,1153,35840,1148,1251,569,397,348,854,489,63508,1160,38314,2325,25194,2294,7309,1557,17885,2234,280,null,null,1547,null,null,1228,null,null,1321,null,null,685,null,null,387,null,null,531,null,null,1279,null,null,2535,null,null,2397,null,null,1817,null,null,2227,null,null,1570,null,null,1153,null,null,1148,null,null,569,null,null,348,null,null,489,null,null,1160,null,null,2325,null,null,2294,null,null,1557,null,null,2234,null,null,16
2178790,1616,1113937,2645,366586,2444,352128,3531,14458,2556,3017,995,11441,2279,747351,1610,354863,9489,392488,9444,131984,6076,260504,9032,1064853,2543,352768,2304,338780,3003,13988,2211,3659,1419,10329,1955,712085,1448,368040,7192,344045,7347,130285,5546,213760,7063,1616,null,null,2645,null,null,2444,null,null,3531,null,null,2556,null,null,995,null,null,2279,null,null,1610,null,null,9489,null,null,9444,null,null,6076,null,null,9032,null,null,2543,null,null,2304,null,null,3003,null,null,2211,null,null,1419,null,null,1955,null,null,1448,null,null,7192,null,null,7347,null,null,5546,null,null,7063,null,null,17
448079,1492,229397,2762,85028,2026,80452,2225,4576,1333,231,247,4345,1289,144369,1920,74751,3706,69618,3667,19219,2043,50399,3291,218682,2866,84925,2207,80554,2345,4371,1271,1278,700,3093,1114,133757,2137,73075,3281,60682,3114,18385,2086,42297,3183,1492,null,null,2762,null,null,2026,null,null,2225,null,null,1333,null,null,247,null,null,1289,null,null,1920,null,null,3706,null,null,3667,null,null,2043,null,null,3291,null,null,2866,null,null,2207,null,null,2345,null,null,1271,null,null,700,null,null,1114,null,null,2137,null,null,3281,null,null,3114,null,null,2086,null,null,3183,null,null,18
179062,1082,92305,2035,36892,1872,33687,2061,3205,1200,838,567,2367,959,55413,1282,26312,1994,29101,1707,8278,1242,20823,1932,86757,1893,33782,1571,31156,1830,2626,933,392,280,2234,870,52975,1317,28643,1643,24332,1771,6602,1145,17730,1695,1082,null,null,2035,null,null,1872,null,null,2061,null,null,1200,null,null,567,null,null,959,null,null,1282,null,null,1994,null,null,1707,null,null,1242,null,null,1932,null,null,1893,null,null,1571,null,null,1830,null,null,933,null,null,280,null,null,870,null,null,1317,null,null,1643,null,null,1771,null,null,1145,null,null,1695,null,null,19
336909,914,174984,2511,67365,2194,63905,2423,3460,1697,837,626,2623,1239,107619,1329,56052,2809,51567,2875,12953,1609,38614,2900,161925,2475,61597,2167,58928,2353,2669,853,988,757,1681,685,100328,1102,53007,2747,47321,2541,13455,1645,33866,2678,914,null,null,2511,null,null,2194,null,null,2423,null,null,1697,null,null,626,null,null,1239,null,null,1329,null,null,2809,null,null,2875,null,null,1609,null,null,2900,null,null,2475,null,null,2167,null,null,2353,null,null,853,null,null,757,null,null,685,null,null,1102,null,null,2747,null,null,2541,null,null,1645,null,null,2678,null,null,20
151920,2234,79817,2104,29795,1931,27750,2149,2045,964,732,563,1313,744,50022,1866,21313,2023,28709,1964,7195,1829,21514,2004,72103,2031,30992,1927,29487,1916,1505,650,200,179,1305,620,41111,1620,20968,1806,20143,1765,5015,1154,15128,1721,2234,null,null,2104,null,null,1931,null,null,2149,null,null,964,null,null,563,null,null,744,null,null,1866,null,null,2023,null,null,1964,null,null,1829,null,null,2004,null,null,2031,null,null,1927,null,null,1916,null,null,650,null,null,179,null,null,620,null,null,1620,null,null,1806,null,null,1765,null,null,1154,null,null,1721,null,null,21
231168,2152,124573,3095,38564,3005,33862,3115,4702,1405,447,269,4255,1354,86009,2173,40044,3248,45965,3069,14081,1901,31884,3526,106595,2961,33272,2586,30623,2668,2649,868,142,200,2507,847,73323,1703,34320,2976,39003,2755,14418,2295,24585,3030,2152,null,null,3095,null,null,3005,null,null,3115,null,null,1405,null,null,269,null,null,1354,null,null,2173,null,null,3248,null,null,3069,null,null,1901,null,null,3526,null,null,2961,null,null,2586,null,null,2668,null,null,868,null,null,200,null,null,847,null,null,1703,null,null,2976,null,null,2755,null,null,2295,null,null,3030,null,null,22
