B20017B_001E,B20017B_001M,B20017B_002E,B20017B_002M,B20017B_003E,B20017B_003M,B20017B_004E,B20017B_004M,B20017B_005E,B20017B_005M,B20017B_006E,B20017B_006M,B20017B_007E,B20017B_007M,B20017B_001M,B20017B_001EA,B20017B_001MA,B20017B_002M,B20017B_002EA,B20017B_002MA,B20017B_003M,B20017B_003EA,B20017B_003MA,B20017B_004M,B20017B_004EA,B20017B_004MA,B20017B_005M,B20017B_005EA,B20017B_005MA,B20017B_006M,B20017B_006EA,B20017B_006MA,B20017B_007M,B20017B_007EA,B20017B_007MA,state
24573,522,25518,449,31864,458,10688,397,23427,593,31367,376,11404,331,522,null,null,449,null,null,458,null,null,397,null,null,593,null,null,376,null,null,331,null,null,12
26750,330,29901,819,39477,1255,9490,598,25062,582,34828,1208,9981,466,330,null,null,819,null,null,1255,null,null,598,null,null,582,null,null,1208,null,null,466,null,null,13
35564,2804,36392,2309,38905,4225,19201,20141,26591,4382,40897,1938,11424,4118,2804,null,null,2309,null,null,4225,null,null,20141,null,null,4382,null,null,1938,null,null,4118,null,null,15
20338,14215,23693,10984,44113,20952,3132,6421,10232,6835,33831,21764,6311,5114,14215,null,null,10984,null,null,20952,null,null,6421,null,null,6835,null,null,21764,null,null,5114,null,null,16
26934,493,28531,2035,41047,592,9403,660,26100,655,40187,605,10192,373,493,null,null,2035,null,null,592,null,null,660,null,null,655,null,null,605,null,null,373,null,null,17
23614,1169,26287,890,35912,1464,9994,1171,21541,868,31286,1109,9471,920,1169,null,null,890,null,null,1464,null,null,1171,null,null,868,null,null,1109,null,null,920,null,null,18
20844,1525,24897,3964,32087,3046,7163,2615,15839,3366,28379,3481,9782,1113,1525,null,null,3964,null,null,3046,null,null,2615,null,null,3366,null,null,3481,null,null,1113,null,null,19
25511,1067,26865,3113,36830,2044,8849,1646,22786,3588,32713,3299,8805,1972,1067,null,null,3113,null,null,2044,null,null,1646,null,null,3588,null,null,3299,null,null,1972,null,null,20
22038,1008,21993,1570,32182,2006,8021,1171,22085,1501,31953,1049,8670,900,1008,null,null,1570,null,null,2006,null,null,1171,null,null,1501,null,null,1049,null,null,900,null,null,21
21791,408,25488,773,33793,2957,9865,732,19962,652,27058,489,9881,551,408,null,null,773,null,null,2957,null,null,732,null,null,652,null,null,489,null,null,551,null,null,22
