B14007C_001E,B14007C_001M,B14007C_002E,B14007C_002M,B14007C_003E,B14007C_003M,B14007C_004E,B14007C_004M,B14007C_005E,B14007C_005M,B14007C_006E,B14007C_006M,B14007C_007E,B14007C_007M,B14007C_008E,B14007C_008M,B14007C_009E,B14007C_009M,B14007C_010E,B14007C_010M,B14007C_011E,B14007C_011M,B14007C_012E,B14007C_012M,B14007C_013E,B14007C_013M,B14007C_014E,B14007C_014M,B14007C_015E,B14007C_015M,B14007C_016E,B14007C_016M,B14007C_017E,B14007C_017M,B14007C_018E,B14007C_018M,B14007C_019E,B14007C_019M,B14007C_001M,B14007C_001EA,B14007C_001MA,B14007C_002M,B14007C_002EA,B14007C_002MA,B14007C_003M,B14007C_003EA,B14007C_003MA,B14007C_004M,B14007C_004EA,B14007C_004MA,B14007C_005M,B14007C_005EA,B14007C_005MA,B14007C_006M,B14007C_006EA,B14007C_006MA,B14007C_007M,B14007C_007EA,B14007C_007MA,B14007C_008M,B14007C_008EA,B14007C_008MA,B14007C_009M,B14007C_009EA,B14007C_009MA,B14007C_010M,B14007C_010EA,B14007C_010MA,B14007C_011M,B14007C_011EA,B14007C_011MA,B14007C_012M,B14007C_012EA,B14007C_012MA,B14007C_013M,B14007C_013EA,B14007C_013MA,B14007C_014M,B14007C_014EA,B14007C_014MA,B14007C_015M,B14007C_015EA,B14007C_015MA,B14007C_016M,B14007C_016EA,B14007C_016MA,B14007C_017M,B14007C_017EA,B14007C_017MA,B14007C_018M,B14007C_018EA,B14007C_018MA,B14007C_019M,B14007C_019EA,B14007C_019MA,state
51737,5377,10613,1766,630,429,659,459,289,309,263,198,573,361,467,296,273,165,388,277,469,321,487,321,1363,809,974,504,610,457,913,558,1970,819,285,186,41124,4697,5377,null,null,1766,null,null,429,null,null,459,null,null,309,null,null,198,null,null,361,null,null,296,null,null,165,null,null,277,null,null,321,null,null,321,null,null,809,null,null,504,null,null,457,null,null,558,null,null,819,null,null,186,null,null,4697,null,null,12
35972,5372,10965,2570,531,347,181,260,132,108,839,569,885,716,405,326,620,428,637,526,399,342,778,479,822,546,429,337,1127,542,879,575,1594,768,707,415,25007,3754,5372,null,null,2570,null,null,347,null,null,260,null,null,108,null,null,569,null,null,716,null,null,326,null,null,428,null,null,526,null,null,342,null,null,479,null,null,546,null,null,337,null,null,542,null,null,575,null,null,768,null,null,415,null,null,3754,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
25396,2525,7653,1380,579,424,299,235,471,382,395,277,161,126,691,319,368,289,308,296,810,409,389,338,447,272,225,222,329,287,733,368,861,610,587,488,17743,2192,2525,null,null,1380,null,null,424,null,null,235,null,null,382,null,null,277,null,null,126,null,null,319,null,null,289,null,null,296,null,null,409,null,null,338,null,null,272,null,null,222,null,null,287,null,null,368,null,null,610,null,null,488,null,null,2192,null,null,16
29942,3590,8064,1622,362,327,299,203,190,162,260,186,1098,762,599,312,385,328,336,209,151,196,640,365,214,151,371,280,358,236,504,288,2048,618,249,179,21878,2854,3590,null,null,1622,null,null,327,null,null,203,null,null,162,null,null,186,null,null,762,null,null,312,null,null,328,null,null,209,null,null,196,null,null,365,null,null,151,null,null,280,null,null,236,null,null,288,null,null,618,null,null,179,null,null,2854,null,null,17
17154,2458,3391,1236,157,147,100,187,146,193,57,91,357,351,157,147,151,174,0,192,251,329,15,30,195,259,392,363,161,144,347,345,560,311,345,232,13763,1852,2458,null,null,1236,null,null,147,null,null,187,null,null,193,null,null,91,null,null,351,null,null,147,null,null,174,null,null,192,null,null,329,null,null,30,null,null,259,null,null,363,null,null,144,null,null,345,null,null,311,null,null,232,null,null,1852,null,null,18
10246,1651,2507,889,55,52,88,103,240,236,108,89,98,136,151,164,114,113,54,50,210,313,487,359,166,128,32,61,0,159,203,143,385,237,116,127,7739,1227,1651,null,null,889,null,null,52,null,null,103,null,null,236,null,null,89,null,null,136,null,null,164,null,null,113,null,null,50,null,null,313,null,null,359,null,null,128,null,null,61,null,null,159,null,null,143,null,null,237,null,null,127,null,null,1227,null,null,19
20727,2389,5314,923,347,165,240,258,305,205,289,248,291,267,229,162,402,304,73,70,296,208,551,376,81,63,261,205,501,277,446,232,912,370,90,134,15413,2063,2389,null,null,923,null,null,165,null,null,258,null,null,205,null,null,248,null,null,267,null,null,162,null,null,304,null,null,70,null,null,208,null,null,376,null,null,63,null,null,205,null,null,277,null,null,232,null,null,370,null,null,134,null,null,2063,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
25014,2577,6674,1806,120,103,422,253,360,369,279,195,383,250,468,452,462,290,680,468,276,201,1066,724,342,196,356,216,252,245,338,281,797,546,73,89,18340,1639,2577,null,null,1806,null,null,103,null,null,253,null,null,369,null,null,195,null,null,250,null,null,452,null,null,290,null,null,468,null,null,201,null,null,724,null,null,196,null,null,216,null,null,245,null,null,281,null,null,546,null,null,89,null,null,1639,null,null,22
