B10054_001E,B10054_001M,B10054_002E,B10054_002M,B10054_003E,B10054_003M,B10054_004E,B10054_004M,B10054_005E,B10054_005M,B10054_006E,B10054_006M,B10054_007E,B10054_007M,B10054_008E,B10054_008M,B10054_009E,B10054_009M,B10054_010E,B10054_010M,B10054_011E,B10054_011M,B10054_012E,B10054_012M,B10054_013E,B10054_013M,B10054_014E,B10054_014M,B10054_015E,B10054_015M,B10054_016E,B10054_016M,B10054_017E,B10054_017M,B10054_001M,B10054_001EA,B10054_001MA,B10054_002M,B10054_002EA,B10054_002MA,B10054_003M,B10054_003EA,B10054_003MA,B10054_004M,B10054_004EA,B10054_004MA,B10054_005M,B10054_005EA,B10054_005MA,B10054_006M,B10054_006EA,B10054_006MA,B10054_007M,B10054_007EA,B10054_007MA,B10054_008M,B10054_008EA,B10054_008MA,B10054_009M,B10054_009EA,B10054_009MA,B10054_010M,B10054_010EA,B10054_010MA,B10054_011M,B10054_011EA,B10054_011MA,B10054_012M,B10054_012EA,B10054_012MA,B10054_013M,B10054_013EA,B10054_013MA,B10054_014M,B10054_014EA,B10054_014MA,B10054_015M,B10054_015EA,B10054_015MA,B10054_016M,B10054_016EA,B10054_016MA,B10054_017M,B10054_017EA,B10054_017MA,state
500186,17164,283335,11328,109841,6434,64674,5459,45167,3851,173494,10785,216851,10970,63315,5480,14751,2304,8355,1770,6396,1550,48564,5042,153536,9615,24356,3222,10691,2160,13665,2648,129180,8958,17164,null,null,11328,null,null,6434,null,null,5459,null,null,3851,null,null,10785,null,null,10970,null,null,5480,null,null,2304,null,null,1770,null,null,1550,null,null,5042,null,null,9615,null,null,3222,null,null,2160,null,null,2648,null,null,8958,null,null,12
263332,10927,215210,10791,91386,6728,51349,4854,40037,3637,123824,7998,48122,3743,11273,1770,3743,930,1473,729,2270,798,7530,1613,36849,3752,7013,1820,4324,1448,2689,845,29836,3520,10927,null,null,10791,null,null,6728,null,null,4854,null,null,3637,null,null,7998,null,null,3743,null,null,1770,null,null,930,null,null,729,null,null,798,null,null,1613,null,null,3752,null,null,1820,null,null,1448,null,null,845,null,null,3520,null,null,13
55125,3988,31581,2941,7638,1335,3926,1125,3712,931,23943,2644,23544,3414,7823,1472,2228,825,1087,526,1141,591,5595,1348,15721,2934,3373,1313,1597,983,1776,783,12348,2376,3988,null,null,2941,null,null,1335,null,null,1125,null,null,931,null,null,2644,null,null,3414,null,null,1472,null,null,825,null,null,526,null,null,591,null,null,1348,null,null,2934,null,null,1313,null,null,983,null,null,783,null,null,2376,null,null,15
26148,3338,21404,3226,7722,1592,4278,1213,3444,999,13682,2420,4744,1484,778,407,349,285,212,217,137,189,429,272,3966,1374,732,732,682,705,50,70,3234,1404,3338,null,null,3226,null,null,1592,null,null,1213,null,null,999,null,null,2420,null,null,1484,null,null,407,null,null,285,null,null,217,null,null,189,null,null,272,null,null,1374,null,null,732,null,null,705,null,null,70,null,null,1404,null,null,16
262714,11384,155536,8120,62621,4626,37498,3376,25123,2401,92915,5961,107178,6893,27650,3643,5463,1265,3282,897,2181,738,22187,3134,79528,5774,15297,2658,9913,2151,5384,1167,64231,4738,11384,null,null,8120,null,null,4626,null,null,3376,null,null,2401,null,null,5961,null,null,6893,null,null,3643,null,null,1265,null,null,897,null,null,738,null,null,3134,null,null,5774,null,null,2658,null,null,2151,null,null,1167,null,null,4738,null,null,17
126520,6794,108907,6209,53640,3878,34881,3575,18759,2107,55267,4377,17613,2644,5377,1060,1988,663,1510,531,478,340,3389,963,12236,2181,3916,1232,2399,1004,1517,806,8320,1907,6794,null,null,6209,null,null,3878,null,null,3575,null,null,2107,null,null,4377,null,null,2644,null,null,1060,null,null,663,null,null,531,null,null,340,null,null,963,null,null,2181,null,null,1232,null,null,1004,null,null,806,null,null,1907,null,null,18
41852,3615,35728,3042,15520,1925,9444,1580,6076,1114,20208,2588,6124,1439,1192,592,434,318,360,307,74,80,758,495,4932,1430,727,349,516,284,211,157,4205,1286,3615,null,null,3042,null,null,1925,null,null,1580,null,null,1114,null,null,2588,null,null,1439,null,null,592,null,null,318,null,null,307,null,null,80,null,null,495,null,null,1430,null,null,349,null,null,284,null,null,157,null,null,1286,null,null,19
44033,3266,35712,3223,15997,1866,9378,1372,6619,1274,19715,2470,8321,1592,1944,741,214,185,165,177,49,62,1730,748,6377,1454,1555,766,1195,798,360,279,4822,1309,3266,null,null,3223,null,null,1866,null,null,1372,null,null,1274,null,null,2470,null,null,1592,null,null,741,null,null,185,null,null,177,null,null,62,null,null,748,null,null,1454,null,null,766,null,null,798,null,null,279,null,null,1309,null,null,20
100914,5261,97592,5138,54413,4097,32160,3387,22253,2452,43179,3714,3322,1284,1096,491,510,357,238,178,272,323,586,347,2226,1231,458,387,222,271,236,235,1768,1150,5261,null,null,5138,null,null,4097,null,null,3387,null,null,2452,null,null,3714,null,null,1284,null,null,491,null,null,357,null,null,178,null,null,323,null,null,347,null,null,1231,null,null,387,null,null,271,null,null,235,null,null,1150,null,null,21
112557,7257,103710,7020,53023,4565,27930,3131,25093,3400,50687,4051,8847,1976,5092,1316,2731,1001,989,600,1742,756,2361,893,3755,1379,1122,656,548,407,574,516,2633,1087,7257,null,null,7020,null,null,4565,null,null,3131,null,null,3400,null,null,4051,null,null,1976,null,null,1316,null,null,1001,null,null,600,null,null,756,null,null,893,null,null,1379,null,null,656,null,null,407,null,null,516,null,null,1087,null,null,22
