B18101I_001E,B18101I_001M,B18101I_002E,B18101I_002M,B18101I_003E,B18101I_003M,B18101I_004E,B18101I_004M,B18101I_005E,B18101I_005M,B18101I_006E,B18101I_006M,B18101I_007E,B18101I_007M,B18101I_008E,B18101I_008M,B18101I_009E,B18101I_009M,B18101I_010E,B18101I_010M,B18101I_001M,B18101I_001EA,B18101I_001MA,B18101I_002M,B18101I_002EA,B18101I_002MA,B18101I_003M,B18101I_003EA,B18101I_003MA,B18101I_004M,B18101I_004EA,B18101I_004MA,B18101I_005M,B18101I_005EA,B18101I_005MA,B18101I_006M,B18101I_006EA,B18101I_006MA,B18101I_007M,B18101I_007EA,B18101I_007MA,B18101I_008M,B18101I_008EA,B18101I_008MA,B18101I_009M,B18101I_009EA,B18101I_009MA,B18101I_010M,B18101I_010EA,B18101I_010MA,state
5073200,2848,1260080,2435,52139,5022,1207941,5836,3227012,4137,252343,9696,2974669,10577,586108,2403,196957,6775,389151,6690,2848,null,null,2435,null,null,5022,null,null,5836,null,null,4137,null,null,9696,null,null,10577,null,null,2403,null,null,6775,null,null,6690,null,null,12
946178,3086,356377,2532,16745,2867,339632,3048,555534,3798,36477,3336,519057,4917,34267,2578,11669,1947,22598,2219,3086,null,null,2532,null,null,2867,null,null,3048,null,null,3798,null,null,3336,null,null,4917,null,null,2578,null,null,1947,null,null,2219,null,null,13
141006,1335,55296,26,2274,1003,53022,1003,78417,1447,7153,1197,71264,1715,7293,420,3274,524,4019,665,1335,null,null,26,null,null,1003,null,null,1003,null,null,1447,null,null,1197,null,null,1715,null,null,420,null,null,524,null,null,665,null,null,15
204167,822,78964,852,3390,978,75574,1194,115253,1661,8458,1547,106795,2128,9950,1378,2712,952,7238,1437,822,null,null,852,null,null,978,null,null,1194,null,null,1661,null,null,1547,null,null,2128,null,null,1378,null,null,952,null,null,1437,null,null,16
2160636,2271,718693,1438,22226,2292,696467,2719,1322578,2281,79658,4813,1242920,5411,119365,1809,38530,2350,80835,2737,2271,null,null,1438,null,null,2292,null,null,2719,null,null,2281,null,null,4813,null,null,5411,null,null,1809,null,null,2350,null,null,2737,null,null,17
443016,1638,169629,1585,5443,1141,164186,1883,253844,2384,21774,2614,232070,3494,19543,1517,6827,1018,12716,1463,1638,null,null,1585,null,null,1141,null,null,1883,null,null,2384,null,null,2614,null,null,3494,null,null,1517,null,null,1018,null,null,1463,null,null,18
177537,1210,70611,1126,2530,828,68081,1251,101538,1369,7555,1310,93983,1966,5388,802,2420,726,2968,560,1210,null,null,1126,null,null,828,null,null,1251,null,null,1369,null,null,1310,null,null,1966,null,null,802,null,null,726,null,null,560,null,null,19
331860,1256,128823,948,5719,1421,123104,1732,188313,1611,13216,2044,175097,2432,14724,1268,5448,1147,9276,1369,1256,null,null,948,null,null,1421,null,null,1732,null,null,1611,null,null,2044,null,null,2432,null,null,1268,null,null,1147,null,null,1369,null,null,20
148306,2509,60785,2425,3684,1075,57101,2327,83582,2566,9945,1797,73637,2720,3939,745,1070,428,2869,604,2509,null,null,2425,null,null,1075,null,null,2327,null,null,2566,null,null,1797,null,null,2720,null,null,745,null,null,428,null,null,604,null,null,21
224952,2125,71836,1947,3579,1113,68257,2324,137453,2122,11796,2373,125657,2370,15663,1343,5210,1270,10453,1323,2125,null,null,1947,null,null,1113,null,null,2324,null,null,2122,null,null,2373,null,null,2370,null,null,1343,null,null,1270,null,null,1323,null,null,22
20328,842,6013,549,932,550,5081,613,13043,977,1575,523,11468,997,1272,562,841,543,431,273,842,null,null,549,null,null,550,null,null,613,null,null,977,null,null,523,null,null,997,null,null,562,null,null,543,null,null,273,null,null,23
579918,1186,194934,749,6670,1365,188264,1579,357982,1747,19491,2365,338491,2865,27002,1236,8120,1377,18882,1626,1186,null,null,749,null,null,1365,null,null,1579,null,null,1747,null,null,2365,null,null,2865,null,null,1236,null,null,1377,null,null,1626,null,null,24
768600,1433,243853,371,16310,2450,227543,2481,481523,1462,58864,4519,422659,4629,43224,720,22094,1605,21130,1655,1433,null,null,371,null,null,2450,null,null,2481,null,null,1462,null,null,4519,null,null,4629,null,null,720,null,null,1605,null,null,1655,null,null,25
486117,1047,178541,969,10195,1644,168346,1972,281766,1676,32520,2614,249246,3016,25810,1328,9784,1045,16026,1465,1047,null,null,969,null,null,1644,null,null,1972,null,null,1676,null,null,2614,null,null,3016,null,null,1328,null,null,1045,null,null,1465,null,null,26
285726,1004,112064,1304,6192,1261,105872,1633,163530,1609,11172,1735,152358,2227,10132,1202,4264,787,5868,1073,1004,null,null,1304,null,null,1261,null,null,1633,null,null,1609,null,null,1735,null,null,2227,null,null,1202,null,null,787,null,null,1073,null,null,27
81265,2998,32103,2605,2173,1043,29930,2703,46476,2256,4781,1299,41695,2331,2686,879,1295,516,1391,707,2998,null,null,2605,null,null,1043,null,null,2703,null,null,2256,null,null,1299,null,null,2331,null,null,879,null,null,516,null,null,707,null,null,28
239364,1862,90027,1650,4504,1178,85523,1628,136293,2117,12127,1590,124166,2461,13044,1466,5349,1188,7695,1118,1862,null,null,1650,null,null,1178,null,null,1628,null,null,2117,null,null,1590,null,null,2461,null,null,1466,null,null,1188,null,null,1118,null,null,29
36134,1094,13725,820,542,436,13183,895,20599,1064,1882,723,18717,1100,1810,507,757,277,1053,452,1094,null,null,820,null,null,436,null,null,895,null,null,1064,null,null,723,null,null,1100,null,null,507,null,null,277,null,null,452,null,null,30
200437,686,81181,674,2273,643,78908,945,112392,1364,8773,1900,103619,2071,6864,995,2747,729,4117,820,686,null,null,674,null,null,643,null,null,945,null,null,1364,null,null,1900,null,null,2071,null,null,995,null,null,729,null,null,820,null,null,31
829202,850,276481,107,13843,2835,262638,2831,506569,1260,42198,4362,464371,4472,46152,943,17422,2037,28730,1996,850,null,null,107,null,null,2835,null,null,2831,null,null,1260,null,null,4362,null,null,4472,null,null,943,null,null,2037,null,null,1996,null,null,32
45698,950,15175,530,999,443,14176,630,28605,1049,3552,899,25053,1129,1918,701,674,485,1244,524,950,null,null,530,null,null,443,null,null,630,null,null,1049,null,null,899,null,null,1129,null,null,701,null,null,485,null,null,524,null,null,33
1770105,2291,520307,609,18170,2572,502137,2627,1120034,2017,83533,4968,1036501,5122,129764,980,45055,2977,84709,2922,2291,null,null,609,null,null,2572,null,null,2627,null,null,2017,null,null,4968,null,null,5122,null,null,980,null,null,2977,null,null,2922,null,null,34
993888,1120,294380,181,11890,2043,282490,2051,590352,1342,75377,5324,514975,5449,109156,894,51038,2533,58118,2546,1120,null,null,181,null,null,2043,null,null,2051,null,null,1342,null,null,5324,null,null,5449,null,null,894,null,null,2533,null,null,2546,null,null,35
