B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,B16005B_001M,B16005B_001EA,B16005B_001MA,B16005B_002M,B16005B_002EA,B16005B_002MA,B16005B_003M,B16005B_003EA,B16005B_003MA,B16005B_004M,B16005B_004EA,B16005B_004MA,B16005B_005M,B16005B_005EA,B16005B_005MA,B16005B_006M,B16005B_006EA,B16005B_006MA,B16005B_007M,B16005B_007EA,B16005B_007MA,B16005B_008M,B16005B_008EA,B16005B_008MA,B16005B_009M,B16005B_009EA,B16005B_009MA,B16005B_010M,B16005B_010EA,B16005B_010MA,B16005B_011M,B16005B_011EA,B16005B_011MA,state
3084698,19263,2391831,21833,2205880,22575,185951,11490,161576,10472,24375,3600,692867,22423,295781,12028,397086,19756,189893,11270,207193,13383,19263,null,null,21833,null,null,22575,null,null,11490,null,null,10472,null,null,3600,null,null,22423,null,null,12028,null,null,19756,null,null,11270,null,null,13383,null,null,12
3033344,12722,2856280,17487,2789440,19937,66840,7137,57376,7011,9464,1815,177064,14283,77811,7919,99253,11080,66406,7970,32847,4699,12722,null,null,17487,null,null,19937,null,null,7137,null,null,7011,null,null,1815,null,null,14283,null,null,7919,null,null,11080,null,null,7970,null,null,4699,null,null,13
24294,1840,22751,2000,20752,1797,1999,985,1937,982,62,113,1543,679,837,557,706,389,520,340,186,217,1840,null,null,2000,null,null,1797,null,null,985,null,null,982,null,null,113,null,null,679,null,null,557,null,null,389,null,null,340,null,null,217,null,null,15
10542,1603,8864,1710,7784,1831,1080,899,1080,899,0,198,1678,932,438,314,1240,967,807,852,433,457,1603,null,null,1710,null,null,1831,null,null,899,null,null,899,null,null,198,null,null,932,null,null,314,null,null,967,null,null,852,null,null,457,null,null,16
1696215,8620,1626830,10674,1588812,11169,38018,3552,31868,3378,6150,1191,69385,6647,22017,3036,47368,5513,28733,3894,18635,3436,8620,null,null,10674,null,null,11169,null,null,3552,null,null,3378,null,null,1191,null,null,6647,null,null,3036,null,null,5513,null,null,3894,null,null,3436,null,null,17
572783,6781,545095,7002,535841,6557,9254,1856,7638,1855,1616,627,27688,4890,7806,1924,19882,4283,12651,2486,7231,2377,6781,null,null,7002,null,null,6557,null,null,1856,null,null,1855,null,null,627,null,null,4890,null,null,1924,null,null,4283,null,null,2486,null,null,2377,null,null,18
101078,3126,83587,3745,80625,3807,2962,939,2207,848,755,514,17491,3010,4133,1285,13358,2596,4695,1351,8663,2387,3126,null,null,3745,null,null,3807,null,null,939,null,null,848,null,null,514,null,null,3010,null,null,1285,null,null,2596,null,null,1351,null,null,2387,null,null,19
152995,3987,143784,4152,140914,4239,2870,1013,2554,941,316,361,9211,2121,2917,1040,6294,1903,3457,1274,2837,1144,3987,null,null,4152,null,null,4239,null,null,1013,null,null,941,null,null,361,null,null,2121,null,null,1040,null,null,1903,null,null,1274,null,null,1144,null,null,20
342282,5551,324896,6189,317288,6229,7608,2166,6385,1909,1223,816,17386,4048,5780,1790,11606,3202,3339,1175,8267,2508,5551,null,null,6189,null,null,6229,null,null,2166,null,null,1909,null,null,816,null,null,4048,null,null,1790,null,null,3202,null,null,1175,null,null,2508,null,null,21
1405856,6625,1391335,7172,1364303,7566,27032,3585,22818,3408,4214,1503,14521,2626,6502,1751,8019,2202,4299,1500,3720,1257,6625,null,null,7172,null,null,7566,null,null,3585,null,null,3408,null,null,1503,null,null,2626,null,null,1751,null,null,2202,null,null,1500,null,null,1257,null,null,22
17993,1897,9283,1808,6680,1639,2603,918,2502,925,101,147,8710,1409,1646,843,7064,1620,3360,1131,3704,951,1897,null,null,1808,null,null,1639,null,null,918,null,null,925,null,null,147,null,null,1409,null,null,843,null,null,1620,null,null,1131,null,null,951,null,null,23
1685059,8466,1466403,12711,1414710,14313,51693,5391,44920,5169,6773,1417,218656,11368,83180,7614,135476,9011,94327,7293,41149,4946,8466,null,null,12711,null,null,14313,null,null,5391,null,null,5169,null,null,1417,null,null,11368,null,null,7614,null,null,9011,null,null,7293,null,null,4946,null,null,24
473580,7376,294127,8225,238350,8238,55777,4462,46591,3980,9186,1911,179453,7873,46670,5508,132783,6983,66810,4846,65973,6038,7376,null,null,8225,null,null,8238,null,null,4462,null,null,3980,null,null,1911,null,null,7873,null,null,5508,null,null,6983,null,null,4846,null,null,6038,null,null,25
1269315,8083,1241504,8331,1222381,8161,19123,2569,14514,2297,4609,1221,27811,3391,10187,1614,17624,2738,11942,2000,5682,1474,8083,null,null,8331,null,null,8161,null,null,2569,null,null,2297,null,null,1221,null,null,3391,null,null,1614,null,null,2738,null,null,2000,null,null,1474,null,null,26
298852,5234,192638,7273,168360,7458,24278,4376,21772,4291,2506,937,106214,6737,21668,3930,84546,6306,39031,4660,45515,4540,5234,null,null,7273,null,null,7458,null,null,4376,null,null,4291,null,null,937,null,null,6737,null,null,3930,null,null,6306,null,null,4660,null,null,4540,null,null,27
1053019,6071,1049295,6188,1040109,6058,9186,1679,7055,1518,2131,763,3724,1308,1950,1110,1774,794,1266,623,508,332,6071,null,null,6188,null,null,6058,null,null,1679,null,null,1518,null,null,763,null,null,1308,null,null,1110,null,null,794,null,null,623,null,null,332,null,null,28
651241,6590,631558,7000,621447,7233,10111,1966,6637,1471,3474,1208,19683,3601,5910,1437,13773,3038,7478,1756,6295,1834,6590,null,null,7000,null,null,7233,null,null,1966,null,null,1471,null,null,1208,null,null,3601,null,null,1437,null,null,3038,null,null,1756,null,null,1834,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
