C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,C17001I_001M,C17001I_001EA,C17001I_001MA,C17001I_002M,C17001I_002EA,C17001I_002MA,C17001I_003M,C17001I_003EA,C17001I_003MA,C17001I_004M,C17001I_004EA,C17001I_004MA,C17001I_005M,C17001I_005EA,C17001I_005MA,C17001I_006M,C17001I_006EA,C17001I_006MA,C17001I_007M,C17001I_007EA,C17001I_007MA,C17001I_008M,C17001I_008EA,C17001I_008MA,C17001I_009M,C17001I_009EA,C17001I_009MA,C17001I_010M,C17001I_010EA,C17001I_010MA,C17001I_011M,C17001I_011EA,C17001I_011MA,C17001I_012M,C17001I_012EA,C17001I_012MA,C17001I_013M,C17001I_013EA,C17001I_013MA,C17001I_014M,C17001I_014EA,C17001I_014MA,C17001I_015M,C17001I_015EA,C17001I_015MA,C17001I_016M,C17001I_016EA,C17001I_016MA,C17001I_017M,C17001I_017EA,C17001I_017MA,C17001I_018M,C17001I_018EA,C17001I_018MA,C17001I_019M,C17001I_019EA,C17001I_019MA,state
5052146,4393,953778,30942,427798,15780,160927,8774,220391,10722,46480,3510,525980,19358,151961,8560,299290,12397,74729,4542,4098368,31697,2050388,15172,474860,8289,1378016,11006,197512,3874,2047980,20240,457199,9510,1323394,13646,267387,4748,4393,null,null,30942,null,null,15780,null,null,8774,null,null,10722,null,null,3510,null,null,19358,null,null,8560,null,null,12397,null,null,4542,null,null,31697,null,null,15172,null,null,8289,null,null,11006,null,null,3874,null,null,20240,null,null,9510,null,null,13646,null,null,4748,null,null,12
941255,3408,228732,15837,108692,8652,61972,5606,44609,4115,2111,898,120040,8892,59080,5719,58041,4708,2919,980,712523,15733,381640,8832,123406,6190,245135,4646,13099,1786,330883,9731,109253,6321,205492,5380,16138,2079,3408,null,null,15837,null,null,8652,null,null,5606,null,null,4115,null,null,898,null,null,8892,null,null,5719,null,null,4708,null,null,980,null,null,15733,null,null,8832,null,null,6190,null,null,4646,null,null,1786,null,null,9731,null,null,6321,null,null,5380,null,null,2079,null,null,13
144090,1027,15592,2891,7373,1740,2880,1071,4188,1236,305,225,8219,1788,3095,1046,4527,1063,597,349,128498,2918,66165,1858,25332,1147,37864,1464,2969,359,62333,1891,23517,1172,35394,1105,3422,365,1027,null,null,2891,null,null,1740,null,null,1071,null,null,1236,null,null,225,null,null,1788,null,null,1046,null,null,1063,null,null,349,null,null,2918,null,null,1858,null,null,1147,null,null,1464,null,null,359,null,null,1891,null,null,1172,null,null,1105,null,null,365,null,null,15
202224,1149,44689,6791,20642,3463,11125,2226,8860,1857,657,438,24047,3940,10094,2204,12822,2224,1131,653,157535,6584,82450,3680,30337,2367,48098,2271,4015,794,75085,3776,26277,2064,44661,2463,4147,997,1149,null,null,6791,null,null,3463,null,null,2226,null,null,1857,null,null,438,null,null,3940,null,null,2204,null,null,2224,null,null,653,null,null,6584,null,null,3680,null,null,2367,null,null,2271,null,null,794,null,null,3776,null,null,2064,null,null,2463,null,null,997,null,null,16
2141403,3566,368886,18056,163625,9519,84826,5897,72142,4863,6657,1350,205261,10181,85712,6145,107441,5432,12108,1819,1772517,18977,926167,9745,274956,6334,604120,5256,47091,1500,846350,11143,262511,7040,530330,5603,53509,1983,3566,null,null,18056,null,null,9519,null,null,5897,null,null,4863,null,null,1350,null,null,10181,null,null,6145,null,null,5432,null,null,1819,null,null,18977,null,null,9745,null,null,6334,null,null,5256,null,null,1500,null,null,11143,null,null,7040,null,null,5603,null,null,1983,null,null,17
435914,2012,105539,9551,47931,5149,25812,3259,20946,2644,1173,478,57608,5554,25805,3211,30308,3018,1495,552,330375,9584,174560,5604,57933,3743,108421,3079,8206,1093,155815,5893,57328,3561,89818,3474,8669,828,2012,null,null,9551,null,null,5149,null,null,3259,null,null,2644,null,null,478,null,null,5554,null,null,3211,null,null,3018,null,null,552,null,null,9584,null,null,5604,null,null,3743,null,null,3079,null,null,1093,null,null,5893,null,null,3561,null,null,3474,null,null,828,null,null,18
172104,1528,39832,5439,17290,3010,10851,2058,6185,1456,254,283,22542,3128,9602,1822,12413,1558,527,335,132272,5286,71526,2984,24943,2153,44553,1600,2030,538,60746,3419,23215,2090,34954,1898,2577,598,1528,null,null,5439,null,null,3010,null,null,2058,null,null,1456,null,null,283,null,null,3128,null,null,1822,null,null,1558,null,null,335,null,null,5286,null,null,2984,null,null,2153,null,null,1600,null,null,538,null,null,3419,null,null,2090,null,null,1898,null,null,598,null,null,19
329039,1818,59850,7494,27060,4012,13924,2770,12428,1823,708,400,32790,4348,13431,2331,18063,2621,1296,620,269189,7606,142241,4488,52603,3505,82966,2146,6672,955,126948,5126,47639,3191,73261,2985,6048,723,1818,null,null,7494,null,null,4012,null,null,2770,null,null,1823,null,null,400,null,null,4348,null,null,2331,null,null,2621,null,null,620,null,null,7606,null,null,4488,null,null,3505,null,null,2146,null,null,955,null,null,5126,null,null,3191,null,null,2985,null,null,723,null,null,20
145350,2653,44408,4765,21079,2790,11802,1830,9007,1730,270,260,23329,2818,11592,1982,11222,1561,515,256,100942,4611,54555,3120,17265,2068,35867,2106,1423,351,46387,2787,18635,1675,26021,2030,1731,606,2653,null,null,4765,null,null,2790,null,null,1830,null,null,1730,null,null,260,null,null,2818,null,null,1982,null,null,1561,null,null,256,null,null,4611,null,null,3120,null,null,2068,null,null,2106,null,null,351,null,null,2787,null,null,1675,null,null,2030,null,null,606,null,null,21
223503,2439,49651,5665,24045,3326,12083,2223,10987,1693,975,408,25606,3866,7515,1962,16933,2511,1158,578,173852,5884,94596,3938,25065,2741,63285,2323,6246,921,79256,3907,25215,2235,46757,2715,7284,1250,2439,null,null,5665,null,null,3326,null,null,2223,null,null,1693,null,null,408,null,null,3866,null,null,1962,null,null,2511,null,null,578,null,null,5884,null,null,3938,null,null,2741,null,null,2323,null,null,921,null,null,3907,null,null,2235,null,null,2715,null,null,1250,null,null,22
