C08513_001E,C08513_001M,C08513_002E,C08513_002M,C08513_003E,C08513_003M,C08513_004E,C08513_004M,C08513_005E,C08513_005M,C08513_006E,C08513_006M,C08513_007E,C08513_007M,C08513_008E,C08513_008M,C08513_009E,C08513_009M,C08513_010E,C08513_010M,C08513_011E,C08513_011M,C08513_012E,C08513_012M,C08513_013E,C08513_013M,C08513_014E,C08513_014M,C08513_015E,C08513_015M,C08513_016E,C08513_016M,C08513_017E,C08513_017M,C08513_018E,C08513_018M,C08513_019E,C08513_019M,C08513_020E,C08513_020M,C08513_021E,C08513_021M,C08513_022E,C08513_022M,C08513_023E,C08513_023M,C08513_024E,C08513_024M,C08513_025E,C08513_025M,C08513_026E,C08513_026M,C08513_027E,C08513_027M,C08513_028E,C08513_028M,C08513_029E,C08513_029M,C08513_030E,C08513_030M,C08513_001M,C08513_001EA,C08513_001MA,C08513_002M,C08513_002EA,C08513_002MA,C08513_003M,C08513_003EA,C08513_003MA,C08513_004M,C08513_004EA,C08513_004MA,C08513_005M,C08513_005EA,C08513_005MA,C08513_006M,C08513_006EA,C08513_006MA,C08513_007M,C08513_007EA,C08513_007MA,C08513_008M,C08513_008EA,C08513_008MA,C08513_009M,C08513_009EA,C08513_009MA,C08513_010M,C08513_010EA,C08513_010MA,C08513_011M,C08513_011EA,C08513_011MA,C08513_012M,C08513_012EA,C08513_012MA,C08513_013M,C08513_013EA,C08513_013MA,C08513_014M,C08513_014EA,C08513_014MA,C08513_015M,C08513_015EA,C08513_015MA,C08513_016M,C08513_016EA,C08513_016MA,C08513_017M,C08513_017EA,C08513_017MA,C08513_018M,C08513_018EA,C08513_018MA,C08513_019M,C08513_019EA,C08513_019MA,C08513_020M,C08513_020EA,C08513_020MA,C08513_021M,C08513_021EA,C08513_021MA,C08513_022M,C08513_022EA,C08513_022MA,C08513_023M,C08513_023EA,C08513_023MA,C08513_024M,C08513_024EA,C08513_024MA,C08513_025M,C08513_025EA,C08513_025MA,C08513_026M,C08513_026EA,C08513_026MA,C08513_027M,C08513_027EA,C08513_027MA,C08513_028M,C08513_028EA,C08513_028MA,C08513_029M,C08513_029EA,C08513_029MA,C08513_030M,C08513_030EA,C08513_030MA,state
9073202,34729,6219554,36856,2853648,27018,1687063,23873,1166585,22060,7187700,34948,5008116,33875,2179584,25597,1357963,20473,821621,18796,836567,19063,485699,16460,350868,14614,164764,7945,186104,10939,184734,8997,98799,6172,85935,6177,33706,3857,52229,5693,316528,12565,207972,9027,108556,8402,51914,4152,56642,7399,547673,13777,418968,12683,128705,6447,78716,5248,49989,4330,34729,null,null,36856,null,null,27018,null,null,23873,null,null,22060,null,null,34948,null,null,33875,null,null,25597,null,null,20473,null,null,18796,null,null,19063,null,null,16460,null,null,14614,null,null,7945,null,null,10939,null,null,8997,null,null,6172,null,null,6177,null,null,3857,null,null,5693,null,null,12565,null,null,9027,null,null,8402,null,null,4152,null,null,7399,null,null,13777,null,null,12683,null,null,6447,null,null,5248,null,null,4330,null,null,12
4691234,24401,3986452,25399,704782,14638,393462,12669,311320,11070,3728360,26266,3232864,27811,495496,15150,305551,11284,189945,9364,449646,12043,319568,12046,130078,8016,46287,4052,83791,7151,97647,6647,78845,5752,18802,3079,9032,1747,9770,2407,151431,7705,122200,7118,29231,3857,12229,1687,17002,3214,264150,8448,232975,8338,31175,3637,20363,2845,10812,2117,24401,null,null,25399,null,null,14638,null,null,12669,null,null,11070,null,null,26266,null,null,27811,null,null,15150,null,null,11284,null,null,9364,null,null,12043,null,null,12046,null,null,8016,null,null,4052,null,null,7151,null,null,6647,null,null,5752,null,null,3079,null,null,1747,null,null,2407,null,null,7705,null,null,7118,null,null,3857,null,null,1687,null,null,3214,null,null,8448,null,null,8338,null,null,3637,null,null,2845,null,null,2117,null,null,13
709758,7381,516185,8702,193573,8350,111236,5793,82337,6007,474183,9193,362308,8882,111875,6651,72085,4502,39790,4082,96749,5588,65118,4428,31631,3607,17899,2511,13732,2358,47736,4376,23023,2714,24713,3478,8685,1526,16028,2922,56143,3894,39361,3342,16782,2216,7465,1386,9317,1584,34947,3045,26375,2529,8572,1603,5102,1232,3470,1159,7381,null,null,8702,null,null,8350,null,null,5793,null,null,6007,null,null,9193,null,null,8882,null,null,6651,null,null,4502,null,null,4082,null,null,5588,null,null,4428,null,null,3607,null,null,2511,null,null,2358,null,null,4376,null,null,2714,null,null,3478,null,null,1526,null,null,2922,null,null,3894,null,null,3342,null,null,2216,null,null,1386,null,null,1584,null,null,3045,null,null,2529,null,null,1603,null,null,1232,null,null,1159,null,null,15
732321,9633,649353,9175,82968,5387,47415,4254,35553,3940,579622,10217,514698,9616,64924,4771,37463,3548,27461,3410,70066,5375,58573,5110,11493,2382,5262,1259,6231,1991,3911,964,3866,956,45,70,35,69,10,20,34607,3224,30206,2781,4401,1208,2854,1030,1547,633,44115,4072,42010,4063,2105,816,1801,722,304,207,9633,null,null,9175,null,null,5387,null,null,4254,null,null,3940,null,null,10217,null,null,9616,null,null,4771,null,null,3548,null,null,3410,null,null,5375,null,null,5110,null,null,2382,null,null,1259,null,null,1991,null,null,964,null,null,956,null,null,70,null,null,69,null,null,20,null,null,3224,null,null,2781,null,null,1208,null,null,1030,null,null,633,null,null,4072,null,null,4063,null,null,816,null,null,722,null,null,207,null,null,16
6114586,21216,4660185,21879,1454401,17779,892411,14665,561990,13330,4458488,22677,3461883,22320,996605,16638,617770,12858,378835,11804,470475,11055,293323,8871,177152,7453,88524,5389,88628,4699,579460,11493,430025,9428,149435,6925,100336,5424,49099,3873,303986,10041,222169,8131,81817,5296,51276,4212,30541,3249,302177,8806,252785,8472,49392,4207,34505,3827,14887,2327,21216,null,null,21879,null,null,17779,null,null,14665,null,null,13330,null,null,22677,null,null,22320,null,null,16638,null,null,12858,null,null,11804,null,null,11055,null,null,8871,null,null,7453,null,null,5389,null,null,4699,null,null,11493,null,null,9428,null,null,6925,null,null,5424,null,null,3873,null,null,10041,null,null,8131,null,null,5296,null,null,4212,null,null,3249,null,null,8806,null,null,8472,null,null,4207,null,null,3827,null,null,2327,null,null,17
3053791,16439,2792141,18311,261650,8540,157898,7788,103752,5324,2542184,19049,2355561,19743,186623,7648,116271,6322,70352,4753,262822,10490,217351,9829,45471,3516,22274,2266,23197,2743,25311,2871,20471,2328,4840,1348,2752,994,2088,994,105417,5059,88772,4632,16645,2208,10335,1721,6310,1322,118057,5258,109986,5135,8071,1871,6266,1623,1805,752,16439,null,null,18311,null,null,8540,null,null,7788,null,null,5324,null,null,19049,null,null,19743,null,null,7648,null,null,6322,null,null,4753,null,null,10490,null,null,9829,null,null,3516,null,null,2266,null,null,2743,null,null,2871,null,null,2328,null,null,1348,null,null,994,null,null,994,null,null,5059,null,null,4632,null,null,2208,null,null,1721,null,null,1322,null,null,5258,null,null,5135,null,null,1871,null,null,1623,null,null,752,null,null,18
1587150,9719,1464500,10411,122650,5611,65396,4482,57254,4399,1287249,11533,1198471,11795,88778,5083,49951,4043,38827,3561,130598,5778,109954,5246,20644,2652,7439,1484,13205,2141,17137,2561,14395,2155,2742,1125,1451,659,1291,722,77333,3704,70142,3640,7191,1136,4461,921,2730,771,74833,4404,71538,4220,3295,837,2094,670,1201,572,9719,null,null,10411,null,null,5611,null,null,4482,null,null,4399,null,null,11533,null,null,11795,null,null,5083,null,null,4043,null,null,3561,null,null,5778,null,null,5246,null,null,2652,null,null,1484,null,null,2141,null,null,2561,null,null,2155,null,null,1125,null,null,659,null,null,722,null,null,3704,null,null,3640,null,null,1136,null,null,921,null,null,771,null,null,4404,null,null,4220,null,null,837,null,null,670,null,null,572,null,null,19
1440341,11251,1276846,10138,163495,7181,91375,5317,72120,4811,1186886,13203,1062725,11711,124161,6577,73193,5186,50968,4078,126749,6180,100914,5413,25835,3124,10907,2000,14928,2357,7195,1369,5784,1263,1411,739,966,584,445,447,55873,4033,49671,3686,6202,1424,3153,884,3049,919,63638,3365,57752,3180,5886,1618,3156,837,2730,1392,11251,null,null,10138,null,null,7181,null,null,5317,null,null,4811,null,null,13203,null,null,11711,null,null,6577,null,null,5186,null,null,4078,null,null,6180,null,null,5413,null,null,3124,null,null,2000,null,null,2357,null,null,1369,null,null,1263,null,null,739,null,null,584,null,null,447,null,null,4033,null,null,3686,null,null,1424,null,null,884,null,null,919,null,null,3365,null,null,3180,null,null,1618,null,null,837,null,null,1392,null,null,20
1939065,15278,1827298,15657,111767,4796,63283,3610,48484,3782,1600391,13430,1520071,13638,80320,4187,48159,3092,32161,3071,177275,7726,158768,7464,18507,2343,8507,1726,10000,1671,20248,2534,18469,2422,1779,748,476,330,1303,688,69374,3981,62125,3869,7249,1678,4076,1254,3173,1070,71777,4785,67865,4788,3912,963,2065,643,1847,716,15278,null,null,15657,null,null,4796,null,null,3610,null,null,3782,null,null,13430,null,null,13638,null,null,4187,null,null,3092,null,null,3071,null,null,7726,null,null,7464,null,null,2343,null,null,1726,null,null,1671,null,null,2534,null,null,2422,null,null,748,null,null,330,null,null,688,null,null,3981,null,null,3869,null,null,1678,null,null,1254,null,null,1070,null,null,4785,null,null,4788,null,null,963,null,null,643,null,null,716,null,null,21
2020072,15206,1853837,15581,166235,6554,102862,5882,63373,4309,1673184,16308,1554044,16624,119140,6029,79437,4842,39703,3916,187321,8809,156506,7917,30815,3613,14568,2487,16247,2935,25890,2744,23186,2427,2704,995,1633,704,1071,583,71869,6111,62819,5517,9050,1842,4483,1114,4567,1302,61808,4412,57282,4232,4526,1033,2741,785,1785,634,15206,null,null,15581,null,null,6554,null,null,5882,null,null,4309,null,null,16308,null,null,16624,null,null,6029,null,null,4842,null,null,3916,null,null,8809,null,null,7917,null,null,3613,null,null,2487,null,null,2935,null,null,2744,null,null,2427,null,null,995,null,null,704,null,null,583,null,null,6111,null,null,5517,null,null,1842,null,null,1114,null,null,1302,null,null,4412,null,null,4232,null,null,1033,null,null,785,null,null,634,null,null,22
