B992522_001E,B992522_002E,B992522_003E,B992522_004E,B992522_005E,B992522_006E,B992522_007E,B992522_001EA,B992522_002EA,B992522_003EA,B992522_004EA,B992522_005EA,B992522_006EA,B992522_007EA,state
4857125,2773911,926980,1846931,2083214,574206,1509008,null,null,null,null,null,null,null,12
2268606,1475331,456278,1019053,793275,212687,580588,null,null,null,null,null,null,null,13
260626,171834,60393,111441,88792,20808,67984,null,null,null,null,null,null,null,15
418217,269728,84706,185022,148489,37341,111148,null,null,null,null,null,null,null,16
3146858,2013765,596946,1416819,1133093,293318,839775,null,null,null,null,null,null,null,17
1731421,1134794,361131,773663,596627,166526,430101,null,null,null,null,null,null,null,18
881435,534153,164209,369944,347282,101096,246186,null,null,null,null,null,null,null,19
729392,436010,133136,302874,293382,78900,214482,null,null,null,null,null,null,null,20
1148175,674045,232201,441844,474130,139306,334824,null,null,null,null,null,null,null,21
1105710,579291,221000,358291,526419,131030,395389,null,null,null,null,null,null,null,22
382116,236910,71916,164994,145206,40044,105162,null,null,null,null,null,null,null,23
1445953,1063518,317513,746005,382435,98890,283545,null,null,null,null,null,null,null,24
1598930,1112272,378074,734198,486658,139907,346751,null,null,null,null,null,null,null,25
2731283,1656541,513977,1142564,1074742,281296,793446,null,null,null,null,null,null,null,26
1532031,1029789,289051,740738,502242,131346,370896,null,null,null,null,null,null,null,27
734114,367900,140855,227045,366214,108499,257715,null,null,null,null,null,null,null,28
1567597,969908,294803,675105,597689,172328,425361,null,null,null,null,null,null,null,29
282995,160134,49038,111096,122861,32688,90173,null,null,null,null,null,null,null,30
488339,294925,94669,200256,193414,58337,135077,null,null,null,null,null,null,null,31
578762,393999,106594,287405,184763,41518,143245,null,null,null,null,null,null,null,32
365021,242909,72798,170111,122112,33727,88385,null,null,null,null,null,null,null,33
2019927,1364197,425505,938692,655730,172193,483537,null,null,null,null,null,null,null,34
511099,280119,86353,193766,230980,53896,177084,null,null,null,null,null,null,null,35
3841170,2348392,855703,1492689,1492778,417239,1075539,null,null,null,null,null,null,null,36
2493388,1581460,510260,1071200,911928,270870,641058,null,null,null,null,null,null,null,37
199208,106622,34708,71914,92586,27286,65300,null,null,null,null,null,null,null,38
3022809,1909786,610526,1299260,1113023,293970,819053,null,null,null,null,null,null,null,39
953552,532865,169049,363816,420687,115816,304871,null,null,null,null,null,null,null,40
969579,642854,184844,458010,326725,81413,245312,null,null,null,null,null,null,null,41
3382514,2039013,662869,1376144,1343501,370239,973262,null,null,null,null,null,null,null,42
236882,159306,49639,109667,77576,20495,57081,null,null,null,null,null,null,null,44
1288871,749422,247694,501728,539449,158292,381157,null,null,null,null,null,null,null,45
224459,126256,37405,88851,98203,24771,73432,null,null,null,null,null,null,null,46
1664018,989445,327216,662229,674573,206565,468008,null,null,null,null,null,null,null,47
5825471,3366378,917611,2448767,2459093,544781,1914312,null,null,null,null,null,null,null,48
659266,467694,115979,351715,191572,43523,148049,null,null,null,null,null,null,null,49
177772,114372,36430,77942,63400,17138,46262,null,null,null,null,null,null,null,50
2037641,1409498,406982,1002516,628143,173881,454262,null,null,null,null,null,null,null,51
1729320,1193314,339512,853802,536006,140217,395789,null,null,null,null,null,null,null,53
523078,250630,91310,159320,272448,71499,200949,null,null,null,null,null,null,null,54
1551232,993769,296887,696882,557463,142812,414651,null,null,null,null,null,null,null,55
153894,87347,23922,63425,66547,16852,49695,null,null,null,null,null,null,null,56
821672,325055,245279,79776,496617,79704,416913,null,null,null,null,null,null,null,72
1268138,717843,264570,453273,550295,169937,380358,null,null,null,null,null,null,null,01
160215,101016,30582,70434,59199,13985,45214,null,null,null,null,null,null,null,02
1593014,1021023,292473,728550,571991,144475,427516,null,null,null,null,null,null,null,04
737632,401122,129100,272022,336510,99823,236687,null,null,null,null,null,null,null,05
6943428,4933660,1536080,3397580,2009768,520147,1489621,null,null,null,null,null,null,null,06
1365832,978072,257692,720380,387760,96319,291441,null,null,null,null,null,null,null,08
879073,597176,190016,407160,281897,78725,203172,null,null,null,null,null,null,null,09
245005,157296,44482,112814,87709,25318,62391,null,null,null,null,null,null,null,10
110376,83523,25234,58289,26853,7055,19798,null,null,null,null,null,null,null,11
