C06001_001E,C06001_001M,C06001_002E,C06001_002M,C06001_003E,C06001_003M,C06001_004E,C06001_004M,C06001_005E,C06001_005M,C06001_006E,C06001_006M,C06001_007E,C06001_007M,C06001_008E,C06001_008M,C06001_009E,C06001_009M,C06001_010E,C06001_010M,C06001_011E,C06001_011M,C06001_012E,C06001_012M,C06001_013E,C06001_013M,C06001_014E,C06001_014M,C06001_015E,C06001_015M,C06001_016E,C06001_016M,C06001_017E,C06001_017M,C06001_018E,C06001_018M,C06001_019E,C06001_019M,C06001_020E,C06001_020M,C06001_021E,C06001_021M,C06001_022E,C06001_022M,C06001_023E,C06001_023M,C06001_024E,C06001_024M,C06001_025E,C06001_025M,C06001_026E,C06001_026M,C06001_027E,C06001_027M,C06001_028E,C06001_028M,C06001_029E,C06001_029M,C06001_030E,C06001_030M,C06001_031E,C06001_031M,C06001_032E,C06001_032M,C06001_033E,C06001_033M,C06001_034E,C06001_034M,C06001_035E,C06001_035M,C06001_036E,C06001_036M,C06001_037E,C06001_037M,C06001_038E,C06001_038M,C06001_039E,C06001_039M,C06001_040E,C06001_040M,C06001_041E,C06001_041M,C06001_042E,C06001_042M,C06001_043E,C06001_043M,C06001_044E,C06001_044M,C06001_045E,C06001_045M,C06001_001M,C06001_001EA,C06001_001MA,C06001_002M,C06001_002EA,C06001_002MA,C06001_003M,C06001_003EA,C06001_003MA,C06001_004M,C06001_004EA,C06001_004MA,C06001_005M,C06001_005EA,C06001_005MA,C06001_006M,C06001_006EA,C06001_006MA,C06001_007M,C06001_007EA,C06001_007MA,C06001_008M,C06001_008EA,C06001_008MA,C06001_009M,C06001_009EA,C06001_009MA,C06001_010M,C06001_010EA,C06001_010MA,C06001_011M,C06001_011EA,C06001_011MA,C06001_012M,C06001_012EA,C06001_012MA,C06001_013M,C06001_013EA,C06001_013MA,C06001_014M,C06001_014EA,C06001_014MA,C06001_015M,C06001_015EA,C06001_015MA,C06001_016M,C06001_016EA,C06001_016MA,C06001_017M,C06001_017EA,C06001_017MA,C06001_018M,C06001_018EA,C06001_018MA,C06001_019M,C06001_019EA,C06001_019MA,C06001_020M,C06001_020EA,C06001_020MA,C06001_021M,C06001_021EA,C06001_021MA,C06001_022M,C06001_022EA,C06001_022MA,C06001_023M,C06001_023EA,C06001_023MA,C06001_024M,C06001_024EA,C06001_024MA,C06001_025M,C06001_025EA,C06001_025MA,C06001_026M,C06001_026EA,C06001_026MA,C06001_027M,C06001_027EA,C06001_027MA,C06001_028M,C06001_028EA,C06001_028MA,C06001_029M,C06001_029EA,C06001_029MA,C06001_030M,C06001_030EA,C06001_030MA,C06001_031M,C06001_031EA,C06001_031MA,C06001_032M,C06001_032EA,C06001_032MA,C06001_033M,C06001_033EA,C06001_033MA,C06001_034M,C06001_034EA,C06001_034MA,C06001_035M,C06001_035EA,C06001_035MA,C06001_036M,C06001_036EA,C06001_036MA,C06001_037M,C06001_037EA,C06001_037MA,C06001_038M,C06001_038EA,C06001_038MA,C06001_039M,C06001_039EA,C06001_039MA,C06001_040M,C06001_040EA,C06001_040MA,C06001_041M,C06001_041EA,C06001_041MA,C06001_042M,C06001_042EA,C06001_042MA,C06001_043M,C06001_043EA,C06001_043MA,C06001_044M,C06001_044EA,C06001_044MA,C06001_045M,C06001_045EA,C06001_045MA,state
20612439,-555555555,1117467,2952,3027673,4366,1763628,7377,5127996,7423,2755495,5693,2729416,4500,2278240,4205,1812524,3484,7387744,41284,973825,9378,2166041,14507,976815,11938,1756660,22576,595510,13712,495360,11230,260128,7321,163405,6411,8217322,41105,102080,7481,552201,14367,453138,13535,1740971,21195,1237601,13826,1482513,11173,1452077,9851,1196741,7844,770862,20755,16571,2859,108809,7308,72794,5763,238071,12150,117642,6411,95592,5888,71465,3942,49918,3737,4236511,36057,24991,3775,200622,9405,260881,10079,1392294,19928,804742,12207,655951,8958,494570,10187,402460,7518,-555555555,null,*****,2952,null,null,4366,null,null,7377,null,null,7423,null,null,5693,null,null,4500,null,null,4205,null,null,3484,null,null,41284,null,null,9378,null,null,14507,null,null,11938,null,null,22576,null,null,13712,null,null,11230,null,null,7321,null,null,6411,null,null,41105,null,null,7481,null,null,14367,null,null,13535,null,null,21195,null,null,13826,null,null,11173,null,null,9851,null,null,7844,null,null,20755,null,null,2859,null,null,7308,null,null,5763,null,null,12150,null,null,6411,null,null,5888,null,null,3942,null,null,3737,null,null,36057,null,null,3775,null,null,9405,null,null,10079,null,null,19928,null,null,12207,null,null,8958,null,null,10187,null,null,7518,null,null,12
10310371,-555555555,654878,4445,1855732,4692,1014366,6453,2789189,8706,1403862,7198,1233210,3946,848651,4971,510483,4172,5634561,30681,567397,6898,1393263,14114,610393,12231,1255051,13711,580363,12143,550830,8173,409696,7116,267568,5458,3495314,35393,73417,5318,384832,13543,304863,11182,1016237,15498,601293,11656,540753,8804,371561,7311,202358,5934,142184,8763,4402,1525,18981,2812,18351,2841,49967,5004,22511,2982,18528,1849,6579,1422,2865,1011,1038312,21781,9662,2046,58656,5729,80759,6291,467934,11688,199695,7986,123099,6522,60815,4204,37692,3006,-555555555,null,*****,4445,null,null,4692,null,null,6453,null,null,8706,null,null,7198,null,null,3946,null,null,4971,null,null,4172,null,null,30681,null,null,6898,null,null,14114,null,null,12231,null,null,13711,null,null,12143,null,null,8173,null,null,7116,null,null,5458,null,null,35393,null,null,5318,null,null,13543,null,null,11182,null,null,15498,null,null,11656,null,null,8804,null,null,7311,null,null,5934,null,null,8763,null,null,1525,null,null,2812,null,null,2841,null,null,5004,null,null,2982,null,null,1849,null,null,1422,null,null,1011,null,null,21781,null,null,2046,null,null,5729,null,null,6291,null,null,11688,null,null,7986,null,null,6522,null,null,4204,null,null,3006,null,null,13
1428557,-555555555,90722,28,217043,756,129855,1304,385183,1806,177648,1381,184565,654,138903,682,104638,506,761357,14680,73417,2187,155112,4927,71482,3139,179806,6390,77539,3905,83556,3270,60059,2771,60386,2569,359645,8469,13599,1923,40063,3825,37671,2184,114089,4084,45096,2246,53343,1873,39409,1621,16375,1355,45070,4609,2154,793,8248,1869,5240,1323,13017,1926,5867,1099,6063,1149,3445,920,1036,512,262485,12818,1552,648,13620,2877,15462,2572,78271,5929,49146,3519,41603,3020,35990,2809,26841,2160,-555555555,null,*****,28,null,null,756,null,null,1304,null,null,1806,null,null,1381,null,null,654,null,null,682,null,null,506,null,null,14680,null,null,2187,null,null,4927,null,null,3139,null,null,6390,null,null,3905,null,null,3270,null,null,2771,null,null,2569,null,null,8469,null,null,1923,null,null,3825,null,null,2184,null,null,4084,null,null,2246,null,null,1873,null,null,1621,null,null,1355,null,null,4609,null,null,793,null,null,1869,null,null,1323,null,null,1926,null,null,1099,null,null,1149,null,null,920,null,null,512,null,null,12818,null,null,648,null,null,2877,null,null,2572,null,null,5929,null,null,3519,null,null,3020,null,null,2809,null,null,2160,null,null,15
1683140,-555555555,114143,1710,322314,2066,159418,2649,426386,3944,198153,2866,206564,1876,155183,1735,100979,1155,812432,16054,94187,2627,222181,7183,84273,4297,189323,6551,71956,4236,67121,3063,50882,3361,32509,2384,758565,14610,19000,2617,90598,6597,63732,3835,190441,5818,107265,3940,127340,3165,97188,3402,63001,2590,14190,2668,663,454,2480,1389,1454,546,4663,1243,1931,772,2259,996,623,380,117,130,97953,6027,293,255,7055,1804,9959,1900,41959,3920,17001,2640,9844,1590,6490,1117,5352,1220,-555555555,null,*****,1710,null,null,2066,null,null,2649,null,null,3944,null,null,2866,null,null,1876,null,null,1735,null,null,1155,null,null,16054,null,null,2627,null,null,7183,null,null,4297,null,null,6551,null,null,4236,null,null,3063,null,null,3361,null,null,2384,null,null,14610,null,null,2617,null,null,6597,null,null,3835,null,null,5818,null,null,3940,null,null,3165,null,null,3402,null,null,2590,null,null,2668,null,null,454,null,null,1389,null,null,546,null,null,1243,null,null,772,null,null,996,null,null,380,null,null,130,null,null,6027,null,null,255,null,null,1804,null,null,1900,null,null,3920,null,null,2640,null,null,1590,null,null,1117,null,null,1220,null,null,16
12801539,-555555555,769490,2349,2153229,2636,1213601,4110,3420234,5812,1716447,4124,1655708,2637,1073859,2585,798971,2359,8595993,28979,696449,4755,1837572,10677,911529,7987,2046458,14826,1014459,11522,1009156,8450,615266,6685,465104,6221,2282917,23172,58324,3696,222078,9078,179574,6681,625345,11803,335794,9258,365046,7788,284168,6424,212588,4737,139155,6767,3974,859,18268,2121,13731,2081,38789,3397,20391,2333,19478,2595,14973,2157,9551,1487,1783474,22921,10743,1940,75311,5924,108767,5936,709642,12392,345803,8819,262028,5238,159452,5091,111728,4572,-555555555,null,*****,2349,null,null,2636,null,null,4110,null,null,5812,null,null,4124,null,null,2637,null,null,2585,null,null,2359,null,null,28979,null,null,4755,null,null,10677,null,null,7987,null,null,14826,null,null,11522,null,null,8450,null,null,6685,null,null,6221,null,null,23172,null,null,3696,null,null,9078,null,null,6681,null,null,11803,null,null,9258,null,null,7788,null,null,6424,null,null,4737,null,null,6767,null,null,859,null,null,2121,null,null,2081,null,null,3397,null,null,2333,null,null,2595,null,null,2157,null,null,1487,null,null,22921,null,null,1940,null,null,5924,null,null,5936,null,null,12392,null,null,8819,null,null,5238,null,null,5091,null,null,4572,null,null,17
6633053,-555555555,420367,3036,1157166,3955,662944,4421,1670699,6357,864269,4480,864269,2970,579237,2588,414102,1799,4524005,26355,375304,4558,941073,8742,449221,7637,1051674,11454,553121,8482,556267,7107,351135,5434,246210,4012,1715576,23885,39797,3433,183868,7566,165036,7072,454198,10873,249845,8534,267911,6550,202267,5811,152654,4056,44303,4372,934,542,5740,1825,5965,1585,14639,2269,6723,1288,5607,1134,3230,857,1465,633,349169,10684,4332,1243,26485,3286,42722,3143,150188,5732,54580,3443,34484,2467,22605,2288,13773,1679,-555555555,null,*****,3036,null,null,3955,null,null,4421,null,null,6357,null,null,4480,null,null,2970,null,null,2588,null,null,1799,null,null,26355,null,null,4558,null,null,8742,null,null,7637,null,null,11454,null,null,8482,null,null,7107,null,null,5434,null,null,4012,null,null,23885,null,null,3433,null,null,7566,null,null,7072,null,null,10873,null,null,8534,null,null,6550,null,null,5811,null,null,4056,null,null,4372,null,null,542,null,null,1825,null,null,1585,null,null,2269,null,null,1288,null,null,1134,null,null,857,null,null,633,null,null,10684,null,null,1243,null,null,3286,null,null,3143,null,null,5732,null,null,3443,null,null,2467,null,null,2288,null,null,1679,null,null,18
3134693,-555555555,197487,1804,529480,2382,320706,3249,764840,3988,391352,2946,417086,1986,281065,1434,232677,1201,2210066,12873,171009,2522,418126,5291,203775,4468,480516,6236,261925,4281,292472,4087,203246,2983,178997,2888,744264,12842,24251,2274,94703,4679,94495,4738,203584,5655,101765,4477,106585,3837,70374,3000,48507,2989,20174,3230,733,548,2356,805,2413,862,7492,1748,3625,1029,2412,824,705,367,438,368,160189,5763,1494,585,14295,2523,20023,2420,73248,3921,24037,2399,15617,1811,6740,1273,4735,942,-555555555,null,*****,1804,null,null,2382,null,null,3249,null,null,3988,null,null,2946,null,null,1986,null,null,1434,null,null,1201,null,null,12873,null,null,2522,null,null,5291,null,null,4468,null,null,6236,null,null,4281,null,null,4087,null,null,2983,null,null,2888,null,null,12842,null,null,2274,null,null,4679,null,null,4738,null,null,5655,null,null,4477,null,null,3837,null,null,3000,null,null,2989,null,null,3230,null,null,548,null,null,805,null,null,862,null,null,1748,null,null,1029,null,null,824,null,null,367,null,null,368,null,null,5763,null,null,585,null,null,2523,null,null,2420,null,null,3921,null,null,2399,null,null,1811,null,null,1273,null,null,942,null,null,19
2907289,-555555555,197406,1979,517513,2276,300434,3645,730516,4200,350511,3004,373238,2069,247334,1805,190337,1655,1719366,15213,170799,2810,393273,6651,177438,5369,372834,7495,171329,4783,195719,3351,126595,3003,111379,2866,955692,16900,24369,2832,107753,6084,94953,4977,260159,7141,137686,5058,150916,3448,107590,3016,72266,2892,26709,2752,997,420,2957,773,2944,1047,8872,1618,5345,1173,3949,941,1481,558,164,140,205522,7634,1241,575,13530,2165,25099,3076,88651,4629,36151,2582,22654,1961,11668,1514,6528,1264,-555555555,null,*****,1979,null,null,2276,null,null,3645,null,null,4200,null,null,3004,null,null,2069,null,null,1805,null,null,1655,null,null,15213,null,null,2810,null,null,6651,null,null,5369,null,null,7495,null,null,4783,null,null,3351,null,null,3003,null,null,2866,null,null,16900,null,null,2832,null,null,6084,null,null,4977,null,null,7141,null,null,5058,null,null,3448,null,null,3016,null,null,2892,null,null,2752,null,null,420,null,null,773,null,null,1047,null,null,1618,null,null,1173,null,null,941,null,null,558,null,null,140,null,null,7634,null,null,575,null,null,2165,null,null,3076,null,null,4629,null,null,2582,null,null,1961,null,null,1514,null,null,1264,null,null,20
4436974,-555555555,272949,2784,739508,3715,429008,3685,1120981,4393,597239,3108,589764,2466,411310,1868,276215,1536,3057834,15576,231758,3649,589115,6501,280496,6227,704378,8500,368168,6860,388505,4999,288616,4411,206798,3331,1192605,16056,38046,2914,130161,5877,130552,6019,334406,9383,199658,6461,181827,5113,113875,4247,64080,2964,30571,3191,1353,662,3437,921,3112,845,11104,1460,5631,1281,4431,931,1284,473,219,155,155964,7438,1792,556,16795,3029,14848,2480,71093,4302,23782,2378,15001,1814,7535,1083,5118,958,-555555555,null,*****,2784,null,null,3715,null,null,3685,null,null,4393,null,null,3108,null,null,2466,null,null,1868,null,null,1536,null,null,15576,null,null,3649,null,null,6501,null,null,6227,null,null,8500,null,null,6860,null,null,4999,null,null,4411,null,null,3331,null,null,16056,null,null,2914,null,null,5877,null,null,6019,null,null,9383,null,null,6461,null,null,5113,null,null,4247,null,null,2964,null,null,3191,null,null,662,null,null,921,null,null,845,null,null,1460,null,null,1281,null,null,931,null,null,473,null,null,155,null,null,7438,null,null,556,null,null,3029,null,null,2480,null,null,4302,null,null,2378,null,null,1814,null,null,1083,null,null,958,null,null,21
4681666,-555555555,306963,3568,810318,3613,449365,5412,1254474,8405,587387,6028,598980,2649,403859,2923,270320,2316,3661957,16819,283947,4593,703589,7975,354300,7058,924932,9754,439157,7085,449456,5110,301218,5306,205358,3458,801680,16371,20167,3070,90335,6330,77389,5180,234783,9418,112821,5012,121405,4387,88747,4544,56033,2832,28108,3142,1024,592,3401,973,2562,999,10724,1932,3690,992,5440,1297,1062,447,205,128,189921,7371,1825,826,12993,2336,15114,2880,84035,4740,31719,2900,22679,1918,12832,1633,8724,1363,-555555555,null,*****,3568,null,null,3613,null,null,5412,null,null,8405,null,null,6028,null,null,2649,null,null,2923,null,null,2316,null,null,16819,null,null,4593,null,null,7975,null,null,7058,null,null,9754,null,null,7085,null,null,5110,null,null,5306,null,null,3458,null,null,16371,null,null,3070,null,null,6330,null,null,5180,null,null,9418,null,null,5012,null,null,4387,null,null,4544,null,null,2832,null,null,3142,null,null,592,null,null,973,null,null,999,null,null,1932,null,null,992,null,null,1297,null,null,447,null,null,128,null,null,7371,null,null,826,null,null,2336,null,null,2880,null,null,4740,null,null,2900,null,null,1918,null,null,1633,null,null,1363,null,null,22
1331479,-555555555,63941,938,191010,1119,109959,1517,309099,1628,191625,1681,209193,963,151780,908,104872,585,833430,10704,56871,1636,151725,3658,68670,2332,188841,4718,108337,3172,113570,3670,79852,2758,65564,1962,431878,10420,6230,1435,34513,3497,35278,2702,100941,4475,72485,3320,85552,3841,62852,2859,34027,2091,15403,1874,231,254,1073,483,1122,671,4261,883,2805,891,3036,806,1957,809,918,354,50768,3878,609,335,3699,1180,4889,968,15056,2064,7998,1458,7035,1162,7119,1404,4363,876,-555555555,null,*****,938,null,null,1119,null,null,1517,null,null,1628,null,null,1681,null,null,963,null,null,908,null,null,585,null,null,10704,null,null,1636,null,null,3658,null,null,2332,null,null,4718,null,null,3172,null,null,3670,null,null,2758,null,null,1962,null,null,10420,null,null,1435,null,null,3497,null,null,2702,null,null,4475,null,null,3320,null,null,3841,null,null,2859,null,null,2091,null,null,1874,null,null,254,null,null,483,null,null,671,null,null,883,null,null,891,null,null,806,null,null,809,null,null,354,null,null,3878,null,null,335,null,null,1180,null,null,968,null,null,2064,null,null,1458,null,null,1162,null,null,1404,null,null,876,null,null,23
6016447,-555555555,362895,1594,983257,1737,547787,3942,1597786,5316,854684,3193,793590,1717,518401,2038,358047,1637,2865998,22729,294660,4390,700262,9031,307531,7404,640759,11199,314839,7000,300169,5413,180774,5088,127004,3603,2135239,22759,56279,4287,212162,7956,162265,6088,551418,11877,351939,7568,359719,5658,261111,4937,180346,3746,93340,5599,3459,1095,16703,2184,8170,1314,32723,4045,14288,1979,11618,1686,4255,809,2124,641,921870,17626,8497,1949,54130,4931,69821,4833,372886,10591,173618,5008,122084,4026,72261,3213,48573,2444,-555555555,null,*****,1594,null,null,1737,null,null,3942,null,null,5316,null,null,3193,null,null,1717,null,null,2038,null,null,1637,null,null,22729,null,null,4390,null,null,9031,null,null,7404,null,null,11199,null,null,7000,null,null,5413,null,null,5088,null,null,3603,null,null,22759,null,null,4287,null,null,7956,null,null,6088,null,null,11877,null,null,7568,null,null,5658,null,null,4937,null,null,3746,null,null,5599,null,null,1095,null,null,2184,null,null,1314,null,null,4045,null,null,1979,null,null,1686,null,null,809,null,null,641,null,null,17626,null,null,1949,null,null,4931,null,null,4833,null,null,10591,null,null,5008,null,null,4026,null,null,3213,null,null,2444,null,null,24
6811779,-555555555,359774,1483,1019173,1634,705317,2897,1777670,3156,960054,2583,915366,1335,612922,1746,461503,1552,4150373,21705,322296,3667,817532,9328,436398,7709,894452,11712,515876,7332,529670,6537,352307,5096,281842,4914,1342766,17409,24112,2707,118465,6254,150685,6762,384837,10292,208160,6182,207724,5175,155414,5511,93369,4369,194758,9219,3844,1185,23395,3449,23510,3378,63973,4516,30581,2413,25628,2345,14954,1691,8873,1475,1123882,17519,9522,1586,59781,5284,94724,5878,434408,9466,205437,5691,152344,5553,90247,4249,77419,4002,-555555555,null,*****,1483,null,null,1634,null,null,2897,null,null,3156,null,null,2583,null,null,1335,null,null,1746,null,null,1552,null,null,21705,null,null,3667,null,null,9328,null,null,7709,null,null,11712,null,null,7332,null,null,6537,null,null,5096,null,null,4914,null,null,17409,null,null,2707,null,null,6254,null,null,6762,null,null,10292,null,null,6182,null,null,5175,null,null,5511,null,null,4369,null,null,9219,null,null,1185,null,null,3449,null,null,3378,null,null,4516,null,null,2413,null,null,2345,null,null,1691,null,null,1475,null,null,17519,null,null,1586,null,null,5284,null,null,5878,null,null,9466,null,null,5691,null,null,5553,null,null,4249,null,null,4002,null,null,25
9928300,-555555555,571663,2272,1619520,2705,976715,3626,2406570,4315,1349140,3345,1395627,2468,940210,1927,668855,1659,7578763,21965,525525,4376,1409207,8135,776175,6913,1775735,11322,987663,6784,1039847,7097,636451,5968,428160,5019,1608320,18599,37041,3643,149159,6862,129483,5636,361895,9248,239313,5773,261886,6534,240401,5473,189142,4722,78938,5700,3362,1169,14854,2508,12224,1616,23611,2324,9515,1506,8385,1316,3802,980,3185,844,662279,12303,5735,1167,46300,3931,58833,3525,245329,6917,112649,4313,85509,4385,59556,3019,48368,3276,-555555555,null,*****,2272,null,null,2705,null,null,3626,null,null,4315,null,null,3345,null,null,2468,null,null,1927,null,null,1659,null,null,21965,null,null,4376,null,null,8135,null,null,6913,null,null,11322,null,null,6784,null,null,7097,null,null,5968,null,null,5019,null,null,18599,null,null,3643,null,null,6862,null,null,5636,null,null,9248,null,null,5773,null,null,6534,null,null,5473,null,null,4722,null,null,5700,null,null,1169,null,null,2508,null,null,1616,null,null,2324,null,null,1506,null,null,1316,null,null,980,null,null,844,null,null,12303,null,null,1167,null,null,3931,null,null,3525,null,null,6917,null,null,4313,null,null,4385,null,null,3019,null,null,3276,null,null,26
