C25074_001E,C25074_001M,C25074_002E,C25074_002M,C25074_003E,C25074_003M,C25074_004E,C25074_004M,C25074_005E,C25074_005M,C25074_006E,C25074_006M,C25074_007E,C25074_007M,C25074_008E,C25074_008M,C25074_009E,C25074_009M,C25074_010E,C25074_010M,C25074_011E,C25074_011M,C25074_012E,C25074_012M,C25074_013E,C25074_013M,C25074_014E,C25074_014M,C25074_015E,C25074_015M,C25074_016E,C25074_016M,C25074_017E,C25074_017M,C25074_018E,C25074_018M,C25074_019E,C25074_019M,C25074_020E,C25074_020M,C25074_021E,C25074_021M,C25074_022E,C25074_022M,C25074_023E,C25074_023M,C25074_024E,C25074_024M,C25074_025E,C25074_025M,C25074_001M,C25074_001EA,C25074_001MA,C25074_002M,C25074_002EA,C25074_002MA,C25074_003M,C25074_003EA,C25074_003MA,C25074_004M,C25074_004EA,C25074_004MA,C25074_005M,C25074_005EA,C25074_005MA,C25074_006M,C25074_006EA,C25074_006MA,C25074_007M,C25074_007EA,C25074_007MA,C25074_008M,C25074_008EA,C25074_008MA,C25074_009M,C25074_009EA,C25074_009MA,C25074_010M,C25074_010EA,C25074_010MA,C25074_011M,C25074_011EA,C25074_011MA,C25074_012M,C25074_012EA,C25074_012MA,C25074_013M,C25074_013EA,C25074_013MA,C25074_014M,C25074_014EA,C25074_014MA,C25074_015M,C25074_015EA,C25074_015MA,C25074_016M,C25074_016EA,C25074_016MA,C25074_017M,C25074_017EA,C25074_017MA,C25074_018M,C25074_018EA,C25074_018MA,C25074_019M,C25074_019EA,C25074_019MA,C25074_020M,C25074_020EA,C25074_020MA,C25074_021M,C25074_021EA,C25074_021MA,C25074_022M,C25074_022EA,C25074_022MA,C25074_023M,C25074_023EA,C25074_023MA,C25074_024M,C25074_024EA,C25074_024MA,C25074_025M,C25074_025EA,C25074_025MA,state
2716331,20401,309607,9369,14123,1883,197255,7141,98229,5687,388173,10694,30182,3388,332317,10178,25674,2600,592081,12211,80239,5567,487141,11320,24701,2791,456512,10014,185111,6969,256262,8929,15139,2158,481443,11167,348340,10416,117898,6302,15205,2187,488515,15037,447136,14841,25530,2378,15849,2646,20401,null,null,9369,null,null,1883,null,null,7141,null,null,5687,null,null,10694,null,null,3388,null,null,10178,null,null,2600,null,null,12211,null,null,5567,null,null,11320,null,null,2791,null,null,10014,null,null,6969,null,null,8929,null,null,2158,null,null,11167,null,null,10416,null,null,6302,null,null,2187,null,null,15037,null,null,14841,null,null,2378,null,null,2646,null,null,12
1417529,16560,177648,7422,7444,1409,118928,6983,51276,4640,216541,7663,20256,2545,180501,7538,15784,1947,296933,9020,70209,4495,212380,8035,14344,1861,229313,9328,128774,6933,90932,5673,9607,1797,242208,10219,203847,8764,28967,3616,9394,2039,254886,9563,240190,9483,6001,1708,8695,1439,16560,null,null,7422,null,null,1409,null,null,6983,null,null,4640,null,null,7663,null,null,2545,null,null,7538,null,null,1947,null,null,9020,null,null,4495,null,null,8035,null,null,1861,null,null,9328,null,null,6933,null,null,5673,null,null,1797,null,null,10219,null,null,8764,null,null,3616,null,null,2039,null,null,9563,null,null,9483,null,null,1708,null,null,1439,null,null,13
195242,4348,16820,2066,1824,638,10429,1556,4567,1205,16856,2382,2829,922,12615,2052,1412,561,26279,2675,2399,688,22054,2399,1826,745,27805,2551,5509,1008,20817,2572,1479,538,41852,3335,18661,2114,21254,2454,1937,559,65630,3526,48973,3274,13299,1746,3358,915,4348,null,null,2066,null,null,638,null,null,1556,null,null,1205,null,null,2382,null,null,922,null,null,2052,null,null,561,null,null,2675,null,null,688,null,null,2399,null,null,745,null,null,2551,null,null,1008,null,null,2572,null,null,538,null,null,3335,null,null,2114,null,null,2454,null,null,559,null,null,3526,null,null,3274,null,null,1746,null,null,915,null,null,15
192655,5870,27408,2703,1284,613,18139,2259,7985,1652,33174,3237,4429,1158,27391,3109,1354,561,40663,3659,14186,2433,23196,2761,3281,955,35125,3347,23871,2452,8892,2318,2362,916,33011,2906,28848,2802,1842,735,2321,760,23274,2608,21083,2581,84,94,2107,668,5870,null,null,2703,null,null,613,null,null,2259,null,null,1652,null,null,3237,null,null,1158,null,null,3109,null,null,561,null,null,3659,null,null,2433,null,null,2761,null,null,955,null,null,3347,null,null,2452,null,null,2318,null,null,916,null,null,2906,null,null,2802,null,null,735,null,null,760,null,null,2608,null,null,2581,null,null,94,null,null,668,null,null,16
1675188,17617,233372,8074,15676,1559,155153,7453,62543,3751,252398,8259,33363,3001,208657,7725,10378,1568,321125,8625,72219,3886,235979,8172,12927,1902,244443,6477,137392,5324,98004,5374,9047,1376,276894,9701,218840,8186,48333,3618,9721,1329,346956,8812,324303,8057,12253,2110,10400,1560,17617,null,null,8074,null,null,1559,null,null,7453,null,null,3751,null,null,8259,null,null,3001,null,null,7725,null,null,1568,null,null,8625,null,null,3886,null,null,8172,null,null,1902,null,null,6477,null,null,5324,null,null,5374,null,null,1376,null,null,9701,null,null,8186,null,null,3618,null,null,1329,null,null,8812,null,null,8057,null,null,2110,null,null,1560,null,null,17
801849,11165,112118,5562,6054,1249,72694,4594,33370,2988,141717,5159,18057,2001,116346,4746,7314,1190,188847,6525,64126,4309,116636,4821,8085,1440,134256,6699,100659,5565,26898,3294,6699,1124,128899,6028,115296,5693,6451,1382,7152,1401,96012,5198,92127,5185,479,299,3406,857,11165,null,null,5562,null,null,1249,null,null,4594,null,null,2988,null,null,5159,null,null,2001,null,null,4746,null,null,1190,null,null,6525,null,null,4309,null,null,4821,null,null,1440,null,null,6699,null,null,5565,null,null,3294,null,null,1124,null,null,6028,null,null,5693,null,null,1382,null,null,1401,null,null,5198,null,null,5185,null,null,299,null,null,857,null,null,18
366497,6811,48362,3363,2771,697,34986,2900,10605,1537,64576,3625,10142,1496,50236,3080,4198,815,84599,4074,32110,2381,48245,3380,4244,816,60769,4060,46373,3607,10557,1275,3839,724,59818,3746,51695,3371,3795,1063,4328,780,48373,3228,43037,3102,707,321,4629,777,6811,null,null,3363,null,null,697,null,null,2900,null,null,1537,null,null,3625,null,null,1496,null,null,3080,null,null,815,null,null,4074,null,null,2381,null,null,3380,null,null,816,null,null,4060,null,null,3607,null,null,1275,null,null,724,null,null,3746,null,null,3371,null,null,1063,null,null,780,null,null,3228,null,null,3102,null,null,321,null,null,777,null,null,19
381015,7352,45467,3510,2999,867,32046,2870,10422,1786,58987,3897,7667,1256,47887,3618,3433,750,89081,4896,31091,3225,53229,3796,4761,1044,68324,3902,50256,4025,16015,2031,2053,553,63984,3708,55280,3338,5146,1500,3558,876,55172,3199,51783,3116,346,215,3043,896,7352,null,null,3510,null,null,867,null,null,2870,null,null,1786,null,null,3897,null,null,1256,null,null,3618,null,null,750,null,null,4896,null,null,3225,null,null,3796,null,null,1044,null,null,3902,null,null,4025,null,null,2031,null,null,553,null,null,3708,null,null,3338,null,null,1500,null,null,876,null,null,3199,null,null,3116,null,null,215,null,null,896,null,null,20
569531,9504,102110,5159,9425,1758,66770,4285,25915,2565,110103,5836,19453,2166,80266,4979,10384,1747,123359,5157,50164,3553,61969,4208,11226,1602,85758,4891,63540,4340,16270,2128,5948,1446,87481,4840,79280,4903,3312,762,4889,931,60720,4341,55403,4236,161,165,5156,1107,9504,null,null,5159,null,null,1758,null,null,4285,null,null,2565,null,null,5836,null,null,2166,null,null,4979,null,null,1747,null,null,5157,null,null,3553,null,null,4208,null,null,1602,null,null,4891,null,null,4340,null,null,2128,null,null,1446,null,null,4840,null,null,4903,null,null,762,null,null,931,null,null,4341,null,null,4236,null,null,165,null,null,1107,null,null,21
615091,11467,112420,6089,5170,1044,73901,4924,33349,3065,126821,6508,13519,2057,100881,5821,12421,1887,126563,6276,32250,3119,81727,4914,12586,1997,94058,5615,57487,3850,27675,3204,8896,1278,81193,4836,68350,4481,6471,1109,6372,1334,74036,4667,66499,4461,1183,577,6354,1174,11467,null,null,6089,null,null,1044,null,null,4924,null,null,3065,null,null,6508,null,null,2057,null,null,5821,null,null,1887,null,null,6276,null,null,3119,null,null,4914,null,null,1997,null,null,5615,null,null,3850,null,null,3204,null,null,1278,null,null,4836,null,null,4481,null,null,1109,null,null,1334,null,null,4667,null,null,4461,null,null,577,null,null,1174,null,null,22
