B17001G_001E,B17001G_001M,B17001G_002E,B17001G_002M,B17001G_003E,B17001G_003M,B17001G_004E,B17001G_004M,B17001G_005E,B17001G_005M,B17001G_006E,B17001G_006M,B17001G_007E,B17001G_007M,B17001G_008E,B17001G_008M,B17001G_009E,B17001G_009M,B17001G_010E,B17001G_010M,B17001G_011E,B17001G_011M,B17001G_012E,B17001G_012M,B17001G_013E,B17001G_013M,B17001G_014E,B17001G_014M,B17001G_015E,B17001G_015M,B17001G_016E,B17001G_016M,B17001G_017E,B17001G_017M,B17001G_018E,B17001G_018M,B17001G_019E,B17001G_019M,B17001G_020E,B17001G_020M,B17001G_021E,B17001G_021M,B17001G_022E,B17001G_022M,B17001G_023E,B17001G_023M,B17001G_024E,B17001G_024M,B17001G_025E,B17001G_025M,B17001G_026E,B17001G_026M,B17001G_027E,B17001G_027M,B17001G_028E,B17001G_028M,B17001G_029E,B17001G_029M,B17001G_030E,B17001G_030M,B17001G_031E,B17001G_031M,B17001G_032E,B17001G_032M,B17001G_033E,B17001G_033M,B17001G_034E,B17001G_034M,B17001G_035E,B17001G_035M,B17001G_036E,B17001G_036M,B17001G_037E,B17001G_037M,B17001G_038E,B17001G_038M,B17001G_039E,B17001G_039M,B17001G_040E,B17001G_040M,B17001G_041E,B17001G_041M,B17001G_042E,B17001G_042M,B17001G_043E,B17001G_043M,B17001G_044E,B17001G_044M,B17001G_045E,B17001G_045M,B17001G_046E,B17001G_046M,B17001G_047E,B17001G_047M,B17001G_048E,B17001G_048M,B17001G_049E,B17001G_049M,B17001G_050E,B17001G_050M,B17001G_051E,B17001G_051M,B17001G_052E,B17001G_052M,B17001G_053E,B17001G_053M,B17001G_054E,B17001G_054M,B17001G_055E,B17001G_055M,B17001G_056E,B17001G_056M,B17001G_057E,B17001G_057M,B17001G_058E,B17001G_058M,B17001G_059E,B17001G_059M,B17001G_001M,B17001G_001EA,B17001G_001MA,B17001G_002M,B17001G_002EA,B17001G_002MA,B17001G_003M,B17001G_003EA,B17001G_003MA,B17001G_004M,B17001G_004EA,B17001G_004MA,B17001G_005M,B17001G_005EA,B17001G_005MA,B17001G_006M,B17001G_006EA,B17001G_006MA,B17001G_007M,B17001G_007EA,B17001G_007MA,B17001G_008M,B17001G_008EA,B17001G_008MA,B17001G_009M,B17001G_009EA,B17001G_009MA,B17001G_010M,B17001G_010EA,B17001G_010MA,B17001G_011M,B17001G_011EA,B17001G_011MA,B17001G_012M,B17001G_012EA,B17001G_012MA,B17001G_013M,B17001G_013EA,B17001G_013MA,B17001G_014M,B17001G_014EA,B17001G_014MA,B17001G_015M,B17001G_015EA,B17001G_015MA,B17001G_016M,B17001G_016EA,B17001G_016MA,B17001G_017M,B17001G_017EA,B17001G_017MA,B17001G_018M,B17001G_018EA,B17001G_018MA,B17001G_019M,B17001G_019EA,B17001G_019MA,B17001G_020M,B17001G_020EA,B17001G_020MA,B17001G_021M,B17001G_021EA,B17001G_021MA,B17001G_022M,B17001G_022EA,B17001G_022MA,B17001G_023M,B17001G_023EA,B17001G_023MA,B17001G_024M,B17001G_024EA,B17001G_024MA,B17001G_025M,B17001G_025EA,B17001G_025MA,B17001G_026M,B17001G_026EA,B17001G_026MA,B17001G_027M,B17001G_027EA,B17001G_027MA,B17001G_028M,B17001G_028EA,B17001G_028MA,B17001G_029M,B17001G_029EA,B17001G_029MA,B17001G_030M,B17001G_030EA,B17001G_030MA,B17001G_031M,B17001G_031EA,B17001G_031MA,B17001G_032M,B17001G_032EA,B17001G_032MA,B17001G_033M,B17001G_033EA,B17001G_033MA,B17001G_034M,B17001G_034EA,B17001G_034MA,B17001G_035M,B17001G_035EA,B17001G_035MA,B17001G_036M,B17001G_036EA,B17001G_036MA,B17001G_037M,B17001G_037EA,B17001G_037MA,B17001G_038M,B17001G_038EA,B17001G_038MA,B17001G_039M,B17001G_039EA,B17001G_039MA,B17001G_040M,B17001G_040EA,B17001G_040MA,B17001G_041M,B17001G_041EA,B17001G_041MA,B17001G_042M,B17001G_042EA,B17001G_042MA,B17001G_043M,B17001G_043EA,B17001G_043MA,B17001G_044M,B17001G_044EA,B17001G_044MA,B17001G_045M,B17001G_045EA,B17001G_045MA,B17001G_046M,B17001G_046EA,B17001G_046MA,B17001G_047M,B17001G_047EA,B17001G_047MA,B17001G_048M,B17001G_048EA,B17001G_048MA,B17001G_049M,B17001G_049EA,B17001G_049MA,B17001G_050M,B17001G_050EA,B17001G_050MA,B17001G_051M,B17001G_051EA,B17001G_051MA,B17001G_052M,B17001G_052EA,B17001G_052MA,B17001G_053M,B17001G_053EA,B17001G_053MA,B17001G_054M,B17001G_054EA,B17001G_054MA,B17001G_055M,B17001G_055EA,B17001G_055MA,B17001G_056M,B17001G_056EA,B17001G_056MA,B17001G_057M,B17001G_057EA,B17001G_057MA,B17001G_058M,B17001G_058EA,B17001G_058MA,B17001G_059M,B17001G_059EA,B17001G_059MA,state
520530,21860,95281,10329,48263,6067,9870,2239,2834,1260,10739,2866,3539,1280,1285,651,1137,648,5623,1562,3468,1124,3430,1179,1864,846,2566,860,1586,767,322,257,47018,5741,8804,2186,1317,861,5853,1406,2805,1232,1176,658,1823,778,5968,1662,5533,1346,4658,1167,3651,856,2528,750,2066,1231,836,470,425249,18621,220782,10885,30826,4167,6186,1442,32935,3977,14568,2249,4816,1418,8554,1510,25017,3229,28360,4008,25536,2901,16322,1931,15661,1976,7605,1404,4396,848,204467,11005,29025,3671,5664,1423,27621,3302,13899,2402,4236,1072,7605,1420,22599,3431,24621,2947,20514,2801,18414,2255,15172,1914,8736,1829,6361,1334,21860,null,null,10329,null,null,6067,null,null,2239,null,null,1260,null,null,2866,null,null,1280,null,null,651,null,null,648,null,null,1562,null,null,1124,null,null,1179,null,null,846,null,null,860,null,null,767,null,null,257,null,null,5741,null,null,2186,null,null,861,null,null,1406,null,null,1232,null,null,658,null,null,778,null,null,1662,null,null,1346,null,null,1167,null,null,856,null,null,750,null,null,1231,null,null,470,null,null,18621,null,null,10885,null,null,4167,null,null,1442,null,null,3977,null,null,2249,null,null,1418,null,null,1510,null,null,3229,null,null,4008,null,null,2901,null,null,1931,null,null,1976,null,null,1404,null,null,848,null,null,11005,null,null,3671,null,null,1423,null,null,3302,null,null,2402,null,null,1072,null,null,1420,null,null,3431,null,null,2947,null,null,2801,null,null,2255,null,null,1914,null,null,1829,null,null,1334,null,null,12
250560,14077,48997,6000,21229,3205,5955,1466,1008,440,3709,880,1570,743,330,370,737,460,2106,883,1180,564,2010,780,1177,632,1142,642,100,108,205,183,27768,4011,5415,1468,684,458,6030,1699,1694,823,375,386,688,482,3707,1231,2371,864,2459,986,969,559,1666,701,1141,594,569,496,201563,12567,101288,7286,16458,2786,2735,918,17674,2588,8912,1847,3095,1124,4316,1343,10867,2076,12223,2262,8537,1492,7544,1538,4586,1201,2217,684,2124,866,100275,7491,14330,2181,2107,825,17730,3103,7737,1697,2589,1023,3220,989,10275,2061,13013,1867,9144,1965,9473,1557,5273,1355,3864,1281,1520,639,14077,null,null,6000,null,null,3205,null,null,1466,null,null,440,null,null,880,null,null,743,null,null,370,null,null,460,null,null,883,null,null,564,null,null,780,null,null,632,null,null,642,null,null,108,null,null,183,null,null,4011,null,null,1468,null,null,458,null,null,1699,null,null,823,null,null,386,null,null,482,null,null,1231,null,null,864,null,null,986,null,null,559,null,null,701,null,null,594,null,null,496,null,null,12567,null,null,7286,null,null,2786,null,null,918,null,null,2588,null,null,1847,null,null,1124,null,null,1343,null,null,2076,null,null,2262,null,null,1492,null,null,1538,null,null,1201,null,null,684,null,null,866,null,null,7491,null,null,2181,null,null,825,null,null,3103,null,null,1697,null,null,1023,null,null,989,null,null,2061,null,null,1867,null,null,1965,null,null,1557,null,null,1355,null,null,1281,null,null,639,null,null,13
335402,13108,28982,4566,12634,2650,1058,482,756,573,1854,713,606,458,49,56,732,479,953,646,1364,609,1834,772,1295,672,1289,687,631,449,213,155,16348,2915,2880,1147,201,175,1255,464,431,315,550,410,505,394,2003,790,2905,821,1284,541,1366,709,1708,467,763,472,497,360,306420,13341,158455,8637,19544,2068,2799,710,20823,2553,8155,1331,2021,559,5828,1021,16143,1936,27048,2595,18236,2022,15838,2122,11399,1322,6993,1112,3628,751,147965,6229,16130,1805,3688,876,17839,2005,8538,1322,2760,762,4666,846,14966,1784,23912,2206,15558,1745,16652,2344,11402,1104,7945,1049,3909,889,13108,null,null,4566,null,null,2650,null,null,482,null,null,573,null,null,713,null,null,458,null,null,56,null,null,479,null,null,646,null,null,609,null,null,772,null,null,672,null,null,687,null,null,449,null,null,155,null,null,2915,null,null,1147,null,null,175,null,null,464,null,null,315,null,null,410,null,null,394,null,null,790,null,null,821,null,null,541,null,null,709,null,null,467,null,null,472,null,null,360,null,null,13341,null,null,8637,null,null,2068,null,null,710,null,null,2553,null,null,1331,null,null,559,null,null,1021,null,null,1936,null,null,2595,null,null,2022,null,null,2122,null,null,1322,null,null,1112,null,null,751,null,null,6229,null,null,1805,null,null,876,null,null,2005,null,null,1322,null,null,762,null,null,846,null,null,1784,null,null,2206,null,null,1745,null,null,2344,null,null,1104,null,null,1049,null,null,889,null,null,15
40706,2970,8225,1847,3723,1083,1018,569,164,240,342,202,49,88,69,100,0,198,724,425,479,474,185,199,169,144,510,441,14,27,0,198,4502,1325,633,538,150,158,708,443,287,411,71,135,310,340,704,515,495,318,287,276,258,280,295,262,238,214,66,118,32481,3131,15896,2281,2077,1024,309,252,2738,909,1120,566,90,100,743,422,2136,740,2473,905,1073,570,947,481,812,447,1156,673,222,188,16585,2049,2956,1271,240,262,1497,824,1145,567,259,296,999,559,1362,672,2229,901,1443,665,1567,674,1540,749,756,407,592,369,2970,null,null,1847,null,null,1083,null,null,569,null,null,240,null,null,202,null,null,88,null,null,100,null,null,198,null,null,425,null,null,474,null,null,199,null,null,144,null,null,441,null,null,27,null,null,198,null,null,1325,null,null,538,null,null,158,null,null,443,null,null,411,null,null,135,null,null,340,null,null,515,null,null,318,null,null,276,null,null,280,null,null,262,null,null,214,null,null,118,null,null,3131,null,null,2281,null,null,1024,null,null,252,null,null,909,null,null,566,null,null,100,null,null,422,null,null,740,null,null,905,null,null,570,null,null,481,null,null,447,null,null,673,null,null,188,null,null,2049,null,null,1271,null,null,262,null,null,824,null,null,567,null,null,296,null,null,559,null,null,672,null,null,901,null,null,665,null,null,674,null,null,749,null,null,407,null,null,369,null,null,16
314481,13981,52175,5571,22593,3048,4983,1403,1219,744,4421,1063,1639,805,196,224,518,284,3131,979,2348,751,1187,631,1093,455,1395,635,242,190,221,181,29582,3315,5348,1279,921,537,5085,1256,1877,652,487,281,1343,450,2932,844,5161,1480,1934,674,1604,563,1672,775,951,566,267,306,262306,13089,132308,7868,22244,2849,3304,913,21144,2649,9805,1555,2793,778,6113,1057,15185,2143,17663,2556,13098,1859,8772,1409,6393,1081,3787,860,2007,616,129998,7152,19207,2122,5299,1657,19094,2354,9208,1466,3700,814,5554,1170,12892,1901,18016,2417,13672,1490,9555,1512,6456,1224,5147,1153,2198,573,13981,null,null,5571,null,null,3048,null,null,1403,null,null,744,null,null,1063,null,null,805,null,null,224,null,null,284,null,null,979,null,null,751,null,null,631,null,null,455,null,null,635,null,null,190,null,null,181,null,null,3315,null,null,1279,null,null,537,null,null,1256,null,null,652,null,null,281,null,null,450,null,null,844,null,null,1480,null,null,674,null,null,563,null,null,775,null,null,566,null,null,306,null,null,13089,null,null,7868,null,null,2849,null,null,913,null,null,2649,null,null,1555,null,null,778,null,null,1057,null,null,2143,null,null,2556,null,null,1859,null,null,1409,null,null,1081,null,null,860,null,null,616,null,null,7152,null,null,2122,null,null,1657,null,null,2354,null,null,1466,null,null,814,null,null,1170,null,null,1901,null,null,2417,null,null,1490,null,null,1512,null,null,1224,null,null,1153,null,null,573,null,null,17
151261,8618,31778,4425,13931,2345,2142,707,564,337,3680,1035,1525,633,481,354,802,401,1918,817,990,558,634,364,576,443,594,410,16,27,9,15,17847,2785,3064,1159,401,245,3493,1124,1174,594,105,127,670,351,3153,1259,1926,689,1607,859,987,567,557,317,600,361,110,149,119483,7373,56849,4157,10900,2010,2505,749,10153,1621,5092,1226,1195,580,3125,859,5951,1409,6471,1550,4733,1242,2147,651,2400,852,1505,560,672,393,62634,5238,9344,1849,943,639,12506,2047,4638,1456,1363,505,3478,949,8064,1734,7892,1465,4377,1055,4031,1189,2585,811,2004,593,1409,569,8618,null,null,4425,null,null,2345,null,null,707,null,null,337,null,null,1035,null,null,633,null,null,354,null,null,401,null,null,817,null,null,558,null,null,364,null,null,443,null,null,410,null,null,27,null,null,15,null,null,2785,null,null,1159,null,null,245,null,null,1124,null,null,594,null,null,127,null,null,351,null,null,1259,null,null,689,null,null,859,null,null,567,null,null,317,null,null,361,null,null,149,null,null,7373,null,null,4157,null,null,2010,null,null,749,null,null,1621,null,null,1226,null,null,580,null,null,859,null,null,1409,null,null,1550,null,null,1242,null,null,651,null,null,852,null,null,560,null,null,393,null,null,5238,null,null,1849,null,null,639,null,null,2047,null,null,1456,null,null,505,null,null,949,null,null,1734,null,null,1465,null,null,1055,null,null,1189,null,null,811,null,null,593,null,null,569,null,null,18
54620,3941,13227,2239,4914,1026,1624,605,182,232,855,385,240,222,128,136,252,196,536,376,249,257,156,139,213,164,467,299,0,159,12,21,8313,1909,1704,691,328,232,1049,544,582,340,69,93,86,116,2111,1412,816,482,108,94,821,606,300,225,205,287,134,204,41393,3669,20053,2429,3394,800,858,484,4238,990,1536,654,707,336,1055,650,1334,494,2493,753,1288,645,992,498,792,336,694,456,672,403,21340,2485,3303,886,474,342,4067,915,1790,658,377,315,1865,769,2111,753,2415,725,1912,600,1479,653,1059,442,289,196,199,178,3941,null,null,2239,null,null,1026,null,null,605,null,null,232,null,null,385,null,null,222,null,null,136,null,null,196,null,null,376,null,null,257,null,null,139,null,null,164,null,null,299,null,null,159,null,null,21,null,null,1909,null,null,691,null,null,232,null,null,544,null,null,340,null,null,93,null,null,116,null,null,1412,null,null,482,null,null,94,null,null,606,null,null,225,null,null,287,null,null,204,null,null,3669,null,null,2429,null,null,800,null,null,484,null,null,990,null,null,654,null,null,336,null,null,650,null,null,494,null,null,753,null,null,645,null,null,498,null,null,336,null,null,456,null,null,403,null,null,2485,null,null,886,null,null,342,null,null,915,null,null,658,null,null,315,null,null,769,null,null,753,null,null,725,null,null,600,null,null,653,null,null,442,null,null,196,null,null,178,null,null,19
99129,5501,16070,3284,8183,2189,1600,654,193,234,1243,569,535,290,323,299,261,254,2867,1497,305,226,214,217,208,194,386,280,48,74,0,174,7887,1774,1094,502,96,105,1371,657,563,466,66,94,328,251,1694,929,999,566,323,274,633,316,145,132,275,298,300,275,83059,5418,40153,3374,7119,1470,892,543,8123,1827,3650,904,433,239,2793,798,5063,1140,3207,934,3256,687,2444,689,1487,505,822,412,864,397,42906,3739,5990,1436,2273,1080,7530,1186,3123,830,1808,800,1798,660,5026,1498,5463,1208,3814,937,2650,756,1736,673,1033,377,662,325,5501,null,null,3284,null,null,2189,null,null,654,null,null,234,null,null,569,null,null,290,null,null,299,null,null,254,null,null,1497,null,null,226,null,null,217,null,null,194,null,null,280,null,null,74,null,null,174,null,null,1774,null,null,502,null,null,105,null,null,657,null,null,466,null,null,94,null,null,251,null,null,929,null,null,566,null,null,274,null,null,316,null,null,132,null,null,298,null,null,275,null,null,5418,null,null,3374,null,null,1470,null,null,543,null,null,1827,null,null,904,null,null,239,null,null,798,null,null,1140,null,null,934,null,null,687,null,null,689,null,null,505,null,null,412,null,null,397,null,null,3739,null,null,1436,null,null,1080,null,null,1186,null,null,830,null,null,800,null,null,660,null,null,1498,null,null,1208,null,null,937,null,null,756,null,null,673,null,null,377,null,null,325,null,null,20
87346,6758,22073,3408,9834,1944,2169,757,329,284,1831,767,626,389,387,208,1081,713,1485,636,644,325,440,317,470,321,285,170,51,100,36,47,12239,2422,2460,995,446,303,2298,795,784,340,364,390,779,449,1804,860,1178,563,406,305,744,563,506,293,183,164,287,202,65273,5682,32756,3629,5655,1384,1029,419,6775,1775,2871,821,909,446,979,447,4927,1348,3011,1011,1927,813,1480,565,1838,615,973,388,382,359,32517,3440,5085,1263,730,450,6239,1315,2640,954,839,335,1740,528,3693,1158,3039,905,2556,867,2262,861,2010,718,1104,442,580,379,6758,null,null,3408,null,null,1944,null,null,757,null,null,284,null,null,767,null,null,389,null,null,208,null,null,713,null,null,636,null,null,325,null,null,317,null,null,321,null,null,170,null,null,100,null,null,47,null,null,2422,null,null,995,null,null,303,null,null,795,null,null,340,null,null,390,null,null,449,null,null,860,null,null,563,null,null,305,null,null,563,null,null,293,null,null,164,null,null,202,null,null,5682,null,null,3629,null,null,1384,null,null,419,null,null,1775,null,null,821,null,null,446,null,null,447,null,null,1348,null,null,1011,null,null,813,null,null,565,null,null,615,null,null,388,null,null,359,null,null,3440,null,null,1263,null,null,450,null,null,1315,null,null,954,null,null,335,null,null,528,null,null,1158,null,null,905,null,null,867,null,null,861,null,null,718,null,null,442,null,null,379,null,null,21
89071,8625,22385,4105,10661,2241,3278,1495,167,225,2817,1058,778,435,139,119,639,508,954,624,1031,646,103,139,237,201,351,216,167,150,0,208,11724,2704,1973,977,267,334,1229,693,637,432,457,380,417,313,1535,684,2242,1036,1182,643,776,804,673,416,304,198,32,56,66686,7235,32348,3617,4008,1271,1001,597,5823,1484,1531,628,648,412,2057,895,3907,1256,3925,1178,2086,746,2457,899,2239,698,1297,532,1369,611,34338,4787,5401,1461,1330,725,5547,1552,1891,913,603,362,1151,476,4635,1507,4073,1091,2806,919,2783,1129,2092,622,1370,682,656,343,8625,null,null,4105,null,null,2241,null,null,1495,null,null,225,null,null,1058,null,null,435,null,null,119,null,null,508,null,null,624,null,null,646,null,null,139,null,null,201,null,null,216,null,null,150,null,null,208,null,null,2704,null,null,977,null,null,334,null,null,693,null,null,432,null,null,380,null,null,313,null,null,684,null,null,1036,null,null,643,null,null,804,null,null,416,null,null,198,null,null,56,null,null,7235,null,null,3617,null,null,1271,null,null,597,null,null,1484,null,null,628,null,null,412,null,null,895,null,null,1256,null,null,1178,null,null,746,null,null,899,null,null,698,null,null,532,null,null,611,null,null,4787,null,null,1461,null,null,725,null,null,1552,null,null,913,null,null,362,null,null,476,null,null,1507,null,null,1091,null,null,919,null,null,1129,null,null,622,null,null,682,null,null,343,null,null,22
