B01002D_001E,B01002D_001M,B01002D_002E,B01002D_002M,B01002D_003E,B01002D_003M,B01002D_001M,B01002D_001EA,B01002D_001MA,B01002D_002M,B01002D_002EA,B01002D_002MA,B01002D_003M,B01002D_003EA,B01002D_003MA,state
38.9,0.5,37.0,0.8,40.1,0.9,0.5,null,null,0.8,null,null,0.9,null,null,12
35.4,0.3,34.3,0.4,36.5,0.5,0.3,null,null,0.4,null,null,0.5,null,null,13
48.5,0.8,46.5,0.7,50.1,0.5,0.8,null,null,0.7,null,null,0.5,null,null,15
33.6,2.9,34.3,5.1,33.3,5.0,2.9,null,null,5.1,null,null,5.0,null,null,16
36.3,0.3,34.8,0.3,37.3,0.5,0.3,null,null,0.3,null,null,0.5,null,null,17
30.1,0.7,28.9,1.0,31.3,1.0,0.7,null,null,1.0,null,null,1.0,null,null,18
29.0,0.9,29.1,1.0,28.8,2.6,0.9,null,null,1.0,null,null,2.6,null,null,19
33.3,1.1,31.2,1.8,34.7,1.1,1.1,null,null,1.8,null,null,1.1,null,null,20
31.9,1.4,29.7,2.3,33.9,2.7,1.4,null,null,2.3,null,null,2.7,null,null,21
34.9,1.0,33.8,1.7,35.5,1.5,1.0,null,null,1.7,null,null,1.5,null,null,22
33.5,4.3,31.6,2.6,36.8,5.8,4.3,null,null,2.6,null,null,5.8,null,null,23
38.5,0.5,37.0,0.6,40.1,0.5,0.5,null,null,0.6,null,null,0.5,null,null,24
33.1,0.4,32.4,0.4,33.8,0.4,0.4,null,null,0.4,null,null,0.4,null,null,25
33.9,0.6,32.5,0.6,35.0,0.7,0.6,null,null,0.6,null,null,0.7,null,null,26
29.5,0.4,28.3,0.6,30.3,0.6,0.4,null,null,0.6,null,null,0.6,null,null,27
34.2,4.7,33.0,4.5,35.7,6.7,4.7,null,null,4.5,null,null,6.7,null,null,28
33.5,1.1,31.5,1.9,34.9,0.9,1.1,null,null,1.9,null,null,0.9,null,null,29
32.1,5.8,28.0,7.5,36.4,10.5,5.8,null,null,7.5,null,null,10.5,null,null,30
29.5,1.1,29.1,2.3,30.1,2.3,1.1,null,null,2.3,null,null,2.3,null,null,31
42.2,0.7,39.7,0.7,43.9,0.7,0.7,null,null,0.7,null,null,0.7,null,null,32
35.1,1.7,35.9,4.9,34.8,1.7,1.7,null,null,4.9,null,null,1.7,null,null,33
36.8,0.2,36.0,0.3,37.4,0.3,0.2,null,null,0.3,null,null,0.3,null,null,34
36.0,2.0,32.8,2.7,37.8,2.8,2.0,null,null,2.7,null,null,2.8,null,null,35
36.8,0.2,35.9,0.2,37.4,0.3,0.2,null,null,0.2,null,null,0.3,null,null,36
33.8,0.6,32.9,0.7,34.5,0.6,0.6,null,null,0.7,null,null,0.6,null,null,37
26.0,2.6,23.7,2.3,31.7,6.3,2.6,null,null,2.3,null,null,6.3,null,null,38
33.3,0.6,32.3,0.7,34.5,0.7,0.6,null,null,0.7,null,null,0.7,null,null,39
33.2,0.8,30.9,1.1,34.6,1.0,0.8,null,null,1.1,null,null,1.0,null,null,40
36.3,0.8,34.8,1.0,38.4,1.4,0.8,null,null,1.0,null,null,1.4,null,null,41
33.5,0.4,32.6,0.4,34.2,0.6,0.4,null,null,0.4,null,null,0.6,null,null,42
31.3,1.3,31.3,1.4,31.5,4.4,1.3,null,null,1.4,null,null,4.4,null,null,44
35.8,1.3,32.9,2.3,37.7,2.6,1.3,null,null,2.3,null,null,2.6,null,null,45
27.1,1.9,26.4,4.6,27.5,3.8,1.9,null,null,4.6,null,null,3.8,null,null,46
34.2,0.7,33.5,1.3,35.1,1.1,0.7,null,null,1.3,null,null,1.1,null,null,47
35.2,0.3,34.4,0.3,35.9,0.4,0.3,null,null,0.3,null,null,0.4,null,null,48
34.0,0.9,31.0,2.6,35.7,1.6,0.9,null,null,2.6,null,null,1.6,null,null,49
36.3,7.3,28.3,10.6,37.0,5.3,7.3,null,null,10.6,null,null,5.3,null,null,50
36.9,0.4,35.4,0.5,38.2,0.4,0.4,null,null,0.5,null,null,0.4,null,null,51
36.7,0.4,34.7,0.5,38.5,0.7,0.4,null,null,0.5,null,null,0.7,null,null,53
33.2,1.3,35.4,2.6,32.6,1.4,1.3,null,null,2.6,null,null,1.4,null,null,54
28.6,0.8,27.8,0.9,29.3,0.9,0.8,null,null,0.9,null,null,0.9,null,null,55
26.7,4.8,27.4,5.8,26.3,9.5,4.8,null,null,5.8,null,null,9.5,null,null,56
49.3,8.7,53.4,16.0,47.9,11.7,8.7,null,null,16.0,null,null,11.7,null,null,72
33.8,1.5,32.1,2.6,36.0,1.8,1.5,null,null,2.6,null,null,1.8,null,null,01
35.7,2.3,32.3,2.7,38.3,3.5,2.3,null,null,2.7,null,null,3.5,null,null,02
37.0,0.7,34.5,0.8,39.1,0.6,0.7,null,null,0.8,null,null,0.6,null,null,04
33.9,3.4,31.5,3.1,37.3,2.9,3.4,null,null,3.1,null,null,2.9,null,null,05
39.5,0.2,37.6,0.2,40.9,0.2,0.2,null,null,0.2,null,null,0.2,null,null,06
34.6,0.5,33.8,0.7,35.4,0.7,0.5,null,null,0.7,null,null,0.7,null,null,08
33.9,0.7,32.8,1.0,34.8,0.6,0.7,null,null,1.0,null,null,0.6,null,null,09
34.8,0.7,34.1,1.5,35.8,2.3,0.7,null,null,1.5,null,null,2.3,null,null,10
33.3,0.7,33.7,1.5,33.2,0.7,0.7,null,null,1.5,null,null,0.7,null,null,11
