B99171_001E,B99171_002E,B99171_003E,B99171_004E,B99171_005E,B99171_006E,B99171_007E,B99171_008E,B99171_009E,B99171_010E,B99171_011E,B99171_012E,B99171_013E,B99171_014E,B99171_015E,B99171_001EA,B99171_002EA,B99171_003EA,B99171_004EA,B99171_005EA,B99171_006EA,B99171_007EA,B99171_008EA,B99171_009EA,B99171_010EA,B99171_011EA,B99171_012EA,B99171_013EA,B99171_014EA,B99171_015EA,state
4129874,717385,109474,3807,3461,2835,6033,231225,1977508,142002,34913,18560,29371,49752,803548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
1753987,314986,38237,2401,890,522,2399,108511,868957,54088,12437,8590,10436,17883,313650,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
245149,39257,8126,528,231,134,424,12546,115813,7719,2187,1664,1920,3758,50842,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
297010,59719,7588,682,634,54,220,20793,141572,8946,2066,1755,1683,2874,48424,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
2399679,394923,49863,2083,2166,1184,3818,122749,1257474,84938,22508,11375,16615,26728,403255,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
1259718,233278,30279,1410,988,825,3165,68630,635876,48287,10273,6806,9718,14130,196053,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
640282,104956,13954,855,270,1045,1509,37305,329413,24785,6204,2985,5904,8125,102972,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
556799,98954,13437,698,650,660,971,31176,285749,17376,5177,3829,4003,6455,87664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
841953,191931,22527,352,731,651,1060,50696,399015,29588,6051,3849,5849,8943,120710,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
885318,206641,24382,567,482,801,954,59450,388798,24235,5176,3625,5329,9693,155185,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
301530,55376,6688,482,203,133,521,13286,163827,12153,3252,2145,2498,4318,36648,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1102778,149904,26645,938,1078,286,1224,52514,571394,39042,11103,5431,6819,13289,223111,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
1410496,199029,34515,1414,900,804,1615,62804,722297,53485,16522,8229,11327,19921,277634,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2006304,373061,55375,2699,1614,1591,3258,120072,998116,72779,19811,11090,15850,27002,303986,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
1141776,161747,21266,977,1299,1199,1775,50916,637582,45036,13817,7069,10353,13805,174935,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
482764,108184,14148,127,168,354,1647,32539,215941,17009,3699,1570,4038,5994,77346,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
1192271,205224,27372,722,793,482,2488,72331,616115,41611,9646,6895,9707,15675,183210,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
231768,45541,3736,69,129,270,882,14095,114127,7462,2493,993,1882,3264,36825,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
372566,60650,7935,770,446,270,168,19184,194072,13586,3091,2243,2983,5560,61608,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
600974,94918,15426,459,846,63,295,30250,309885,17859,3277,2621,3854,6095,115126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
270373,35637,5982,515,277,87,325,8894,157369,10822,3436,1831,1551,2869,40778,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
1430569,205157,35785,792,1165,915,2155,69062,728777,56159,16747,8728,12534,21319,271274,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
400088,81494,10016,455,353,475,328,21629,205063,11689,2769,1902,2864,5201,55850,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
4005809,653914,114452,4410,2588,2201,6316,234385,1919751,144955,38837,19883,29919,49059,785139,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
1914085,357108,47476,1563,1045,787,3321,108958,977434,63295,14682,8193,14628,20494,295101,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
181411,27617,2336,335,18,42,150,9241,100571,6860,1260,839,2112,2537,27493,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
2350738,428100,52464,2445,1870,2317,4208,127312,1230528,84532,21842,13530,17451,29140,334999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
720534,144110,17869,940,471,307,1641,45098,344020,21030,5733,3035,5260,8138,122882,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
932685,168856,21647,1824,582,840,1885,48886,489853,31491,6545,4911,7163,11857,136345,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
2521458,405467,59317,3256,2084,2309,3740,141271,1285293,96614,29787,15356,21416,33804,421744,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
227919,39555,4388,308,170,282,539,8754,118355,9111,2467,1047,2111,3126,37706,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
916222,165308,23404,1283,423,355,1489,57747,438986,29107,7641,4346,6008,11111,169014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
177184,33155,1456,621,134,275,278,8188,96968,6145,1628,262,1520,3336,23218,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
1238695,227942,30568,1717,876,578,1448,76880,588447,43461,9170,5799,7077,13034,231698,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
4326922,783829,85459,3036,2504,2260,6163,225226,2236624,118080,28535,16822,23967,43152,751265,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
408033,78379,10071,297,147,604,901,24369,210202,11412,2844,1565,1679,3706,61857,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
149353,26291,2821,322,330,51,142,5808,80478,4400,1935,1080,2237,2499,20959,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
1559279,231251,38267,1188,1449,1294,1323,81394,826063,52999,17914,8731,10569,19006,267831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
1549526,248694,36344,2262,1381,1229,3447,70479,855875,52279,13707,7019,10311,20555,225944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
361907,87098,10464,272,162,165,848,23600,166596,11368,2315,1669,2922,5178,49250,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
1231483,188110,23023,1813,1179,572,1971,71824,665044,46855,13993,7448,10437,13655,185559,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
116999,20643,2785,131,195,83,108,8943,58070,3069,1266,1363,930,999,18414,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
517160,234154,15452,40,969,581,1728,41424,164094,7418,1262,1185,2370,3630,42853,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
843739,172845,25881,1157,909,500,1075,58543,376092,27688,6750,4572,7457,9889,150381,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
158281,17921,1066,275,246,435,1496,5448,95644,2110,1904,1712,997,8199,20828,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1328715,222387,36145,554,528,862,1232,83676,654673,43649,9139,5616,7393,13339,249522,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
540827,113756,16006,654,599,355,1132,33632,257222,16625,5286,2255,3869,6772,82664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
6929471,1228397,190013,3777,3184,3604,8297,400862,3385492,207621,55809,33739,44290,78401,1285985,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1176095,179231,20944,1419,521,354,1995,59732,640989,40145,9521,4185,7067,12405,197587,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
682091,87433,14101,737,485,423,1313,32588,374065,27055,8540,4294,4379,9397,117281,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
172466,29865,3396,333,0,24,206,6771,88801,6390,1326,905,1441,1691,31317,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
248361,35698,6192,92,278,191,312,13710,132248,8896,1882,1039,1406,2341,44076,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
