B19301I_001E,B19301I_001M,B19301I_001M,B19301I_001EA,B19301I_001MA,state
20673,304,304,null,null,12
16303,565,565,null,null,13
20748,1180,1180,null,null,15
13929,712,712,null,null,16
18400,283,283,null,null,17
16629,1159,1159,null,null,18
15899,1090,1090,null,null,19
16351,786,786,null,null,20
16508,1315,1315,null,null,21
19989,1537,1537,null,null,22
19806,3347,3347,null,null,23
22708,795,795,null,null,24
19248,587,587,null,null,25
17686,693,693,null,null,26
17194,851,851,null,null,27
14105,1585,1585,null,null,28
18839,1257,1257,null,null,29
15052,1895,1895,null,null,30
15153,827,827,null,null,31
16787,524,524,null,null,32
24512,3124,3124,null,null,33
21818,437,437,null,null,34
18456,607,607,null,null,35
20333,296,296,null,null,36
14645,586,586,null,null,37
16884,2600,2600,null,null,38
17793,766,766,null,null,39
14152,480,480,null,null,40
16481,825,825,null,null,41
16393,575,575,null,null,42
16833,1603,1603,null,null,44
15928,1060,1060,null,null,45
14404,1900,1900,null,null,46
14885,742,742,null,null,47
17479,156,156,null,null,48
16402,838,838,null,null,49
17858,4752,4752,null,null,50
23861,861,861,null,null,51
17919,449,449,null,null,53
15638,2465,2465,null,null,54
16404,746,746,null,null,55
19235,1611,1611,null,null,56
11854,245,245,null,null,72
14120,1047,1047,null,null,01
21203,2920,2920,null,null,02
16406,333,333,null,null,04
12540,759,759,null,null,05
18393,162,162,null,null,06
19073,437,437,null,null,08
20564,1067,1067,null,null,09
18042,1502,1502,null,null,10
35165,3441,3441,null,null,11
