B13002G_001E,B13002G_001M,B13002G_002E,B13002G_002M,B13002G_003E,B13002G_003M,B13002G_004E,B13002G_004M,B13002G_005E,B13002G_005M,B13002G_006E,B13002G_006M,B13002G_007E,B13002G_007M,B13002G_001M,B13002G_001EA,B13002G_001MA,B13002G_002M,B13002G_002EA,B13002G_002MA,B13002G_003M,B13002G_003EA,B13002G_003MA,B13002G_004M,B13002G_004EA,B13002G_004MA,B13002G_005M,B13002G_005EA,B13002G_005MA,B13002G_006M,B13002G_006EA,B13002G_006MA,B13002G_007M,B13002G_007EA,B13002G_007MA,state
115814,7346,4560,1331,2576,889,1984,1208,111254,7390,38185,3887,73069,5978,7346,null,null,1331,null,null,889,null,null,1208,null,null,7390,null,null,3887,null,null,5978,null,null,12
57682,4498,3091,1154,2414,1072,677,449,54591,4402,17583,2779,37008,3644,4498,null,null,1154,null,null,1072,null,null,449,null,null,4402,null,null,2779,null,null,3644,null,null,13
82262,4145,4967,1187,2835,820,2132,833,77295,4218,28612,2719,48683,3196,4145,null,null,1187,null,null,820,null,null,833,null,null,4218,null,null,2719,null,null,3196,null,null,15
9802,1385,446,308,151,180,295,248,9356,1367,3657,1010,5699,1151,1385,null,null,308,null,null,180,null,null,248,null,null,1367,null,null,1010,null,null,1151,null,null,16
75579,4708,3754,1030,1584,592,2170,881,71825,4681,21273,2114,50552,3700,4708,null,null,1030,null,null,592,null,null,881,null,null,4681,null,null,2114,null,null,3700,null,null,17
36960,4109,2780,1033,813,402,1967,924,34180,3817,8200,1355,25980,3282,4109,null,null,1033,null,null,402,null,null,924,null,null,3817,null,null,1355,null,null,3282,null,null,18
13611,2122,968,483,633,426,335,267,12643,2080,3134,759,9509,1969,2122,null,null,483,null,null,426,null,null,267,null,null,2080,null,null,759,null,null,1969,null,null,19
24472,2477,1930,835,1031,612,899,597,22542,2471,8244,1445,14298,2244,2477,null,null,835,null,null,612,null,null,597,null,null,2471,null,null,1445,null,null,2244,null,null,20
19816,2543,566,347,190,186,376,300,19250,2534,4476,1104,14774,2285,2543,null,null,347,null,null,186,null,null,300,null,null,2534,null,null,1104,null,null,2285,null,null,21
21399,3506,1304,665,631,467,673,407,20095,3305,5231,1334,14864,2718,3506,null,null,665,null,null,467,null,null,407,null,null,3305,null,null,1334,null,null,2718,null,null,22
5889,1180,133,161,74,135,59,68,5756,1178,1859,622,3897,847,1180,null,null,161,null,null,135,null,null,68,null,null,1178,null,null,622,null,null,847,null,null,23
48339,4193,2390,905,1126,492,1264,825,45949,3895,12844,1717,33105,3393,4193,null,null,905,null,null,492,null,null,825,null,null,3895,null,null,1717,null,null,3393,null,null,24
