B20004_001E,B20004_001M,B20004_002E,B20004_002M,B20004_003E,B20004_003M,B20004_004E,B20004_004M,B20004_005E,B20004_005M,B20004_006E,B20004_006M,B20004_007E,B20004_007M,B20004_008E,B20004_008M,B20004_009E,B20004_009M,B20004_010E,B20004_010M,B20004_011E,B20004_011M,B20004_012E,B20004_012M,B20004_013E,B20004_013M,B20004_014E,B20004_014M,B20004_015E,B20004_015M,B20004_016E,B20004_016M,B20004_017E,B20004_017M,B20004_018E,B20004_018M,B20004_001M,B20004_001EA,B20004_001MA,B20004_002M,B20004_002EA,B20004_002MA,B20004_003M,B20004_003EA,B20004_003MA,B20004_004M,B20004_004EA,B20004_004MA,B20004_005M,B20004_005EA,B20004_005MA,B20004_006M,B20004_006EA,B20004_006MA,B20004_007M,B20004_007EA,B20004_007MA,B20004_008M,B20004_008EA,B20004_008MA,B20004_009M,B20004_009EA,B20004_009MA,B20004_010M,B20004_010EA,B20004_010MA,B20004_011M,B20004_011EA,B20004_011MA,B20004_012M,B20004_012EA,B20004_012MA,B20004_013M,B20004_013EA,B20004_013MA,B20004_014M,B20004_014EA,B20004_014MA,B20004_015M,B20004_015EA,B20004_015MA,B20004_016M,B20004_016EA,B20004_016MA,B20004_017M,B20004_017EA,B20004_017MA,B20004_018M,B20004_018EA,B20004_018MA,state
32100,129,20825,262,26129,208,31670,183,45031,678,59576,2054,36558,240,23238,703,30382,264,36275,397,52227,420,76636,1647,29473,406,16726,475,21795,216,28610,623,40336,307,50382,451,129,null,null,262,null,null,208,null,null,183,null,null,678,null,null,2054,null,null,240,null,null,703,null,null,264,null,null,397,null,null,420,null,null,1647,null,null,406,null,null,475,null,null,216,null,null,623,null,null,307,null,null,451,null,null,12
36223,243,21274,405,27706,741,32448,485,50962,429,62819,1266,41697,309,24725,882,31977,365,41242,432,62471,1685,81186,1398,30865,260,15310,490,22480,581,27091,411,41582,589,55238,1038,243,null,null,405,null,null,741,null,null,485,null,null,429,null,null,1266,null,null,309,null,null,882,null,null,365,null,null,432,null,null,1685,null,null,1398,null,null,260,null,null,490,null,null,581,null,null,411,null,null,589,null,null,1038,null,null,13
40281,438,23401,1344,31361,524,38200,1485,49440,1436,64283,3270,45179,1520,24956,3287,34894,1763,44960,3029,55647,5802,75042,5243,35189,927,18702,2686,26737,996,31737,638,44168,2557,58211,4336,438,null,null,1344,null,null,524,null,null,1485,null,null,1436,null,null,3270,null,null,1520,null,null,3287,null,null,1763,null,null,3029,null,null,5802,null,null,5243,null,null,927,null,null,2686,null,null,996,null,null,638,null,null,2557,null,null,4336,null,null,15
32340,618,23004,1649,27114,829,31468,621,41343,1136,60084,4645,40474,721,29384,2460,32263,1662,40219,1370,51991,1914,72111,7417,25843,617,16649,1214,19915,1578,25264,1147,32755,2218,47939,4233,618,null,null,1649,null,null,829,null,null,621,null,null,1136,null,null,4645,null,null,721,null,null,2460,null,null,1662,null,null,1370,null,null,1914,null,null,7417,null,null,617,null,null,1214,null,null,1578,null,null,1147,null,null,2218,null,null,4233,null,null,16
40743,147,22282,347,30526,235,36054,266,55161,703,70924,632,48254,763,26335,668,36405,445,45158,759,67681,1603,90313,1561,32879,653,17707,770,23596,665,29704,652,45967,619,60362,730,147,null,null,347,null,null,235,null,null,266,null,null,703,null,null,632,null,null,763,null,null,668,null,null,445,null,null,759,null,null,1603,null,null,1561,null,null,653,null,null,770,null,null,665,null,null,652,null,null,619,null,null,730,null,null,17
36168,236,22415,715,30846,294,33681,1028,48790,1471,60620,721,42437,426,26784,808,37131,479,42189,431,60889,850,71978,1898,29816,491,17068,587,22972,691,27255,453,40076,810,52327,1392,236,null,null,715,null,null,294,null,null,1028,null,null,1471,null,null,721,null,null,426,null,null,808,null,null,479,null,null,431,null,null,850,null,null,1898,null,null,491,null,null,587,null,null,691,null,null,453,null,null,810,null,null,1392,null,null,18
37747,763,26151,1206,31515,393,35749,537,48207,1168,64417,2396,43984,1356,31375,832,38052,1560,42177,560,57273,1448,76366,2958,31283,370,18486,1814,23484,895,29661,1085,41233,737,58527,2398,763,null,null,1206,null,null,393,null,null,537,null,null,1168,null,null,2396,null,null,1356,null,null,832,null,null,1560,null,null,560,null,null,1448,null,null,2958,null,null,370,null,null,1814,null,null,895,null,null,1085,null,null,737,null,null,2398,null,null,19
36897,372,23425,862,28685,1043,32765,1178,46772,871,57533,2059,43107,1362,28583,2591,35137,1746,41131,582,60168,3180,73325,3003,30728,360,17706,1451,21748,815,27247,794,39835,958,50389,1039,372,null,null,862,null,null,1043,null,null,1178,null,null,871,null,null,2059,null,null,1362,null,null,2591,null,null,1746,null,null,582,null,null,3180,null,null,3003,null,null,360,null,null,1451,null,null,815,null,null,794,null,null,958,null,null,1039,null,null,20
35057,439,20974,824,28372,784,32301,421,47610,1270,56285,1319,41014,343,24865,1833,33807,1482,41369,565,56362,2005,70036,3319,29276,878,16040,1103,21418,537,26484,587,40790,818,50911,804,439,null,null,824,null,null,784,null,null,421,null,null,1270,null,null,1319,null,null,343,null,null,1833,null,null,1482,null,null,565,null,null,2005,null,null,3319,null,null,878,null,null,1103,null,null,537,null,null,587,null,null,818,null,null,804,null,null,21
35035,677,20766,694,27996,1131,32309,575,46163,937,57210,2078,42421,998,26885,1729,37903,1878,45225,1724,57045,3995,79208,5914,27314,432,13241,1002,20744,534,26523,559,40210,957,50398,1020,677,null,null,694,null,null,1131,null,null,575,null,null,937,null,null,2078,null,null,998,null,null,1729,null,null,1878,null,null,1724,null,null,3995,null,null,5914,null,null,432,null,null,1002,null,null,534,null,null,559,null,null,957,null,null,1020,null,null,22
35585,646,19634,1670,27934,1254,33302,2114,43559,2752,56855,2417,41129,607,21359,2312,32149,1592,41576,1230,55685,4053,70193,6426,30574,533,15511,2162,22727,1187,28681,1825,37579,1866,51023,1444,646,null,null,1670,null,null,1254,null,null,2114,null,null,2752,null,null,2417,null,null,607,null,null,2312,null,null,1592,null,null,1230,null,null,4053,null,null,6426,null,null,533,null,null,2162,null,null,1187,null,null,1825,null,null,1866,null,null,1444,null,null,23
48147,651,26170,692,32982,1151,41813,363,61049,503,82479,1273,54302,1206,30473,783,38836,1594,51072,588,72559,2086,100562,845,41551,326,20177,853,29055,1068,36822,615,52129,560,70887,849,651,null,null,692,null,null,1151,null,null,363,null,null,503,null,null,1273,null,null,1206,null,null,783,null,null,1594,null,null,588,null,null,2086,null,null,845,null,null,326,null,null,853,null,null,1068,null,null,615,null,null,560,null,null,849,null,null,24
48220,797,25717,882,35003,827,40706,368,60503,503,76972,876,55452,735,30583,1047,41487,453,49775,1237,71788,822,97814,3337,40741,322,20302,845,26953,627,34659,978,50855,570,65944,1041,797,null,null,882,null,null,827,null,null,368,null,null,503,null,null,876,null,null,735,null,null,1047,null,null,453,null,null,1237,null,null,822,null,null,3337,null,null,322,null,null,845,null,null,627,null,null,978,null,null,570,null,null,1041,null,null,25
36209,172,20512,508,27202,270,32435,294,50821,435,68906,1585,43594,830,24222,994,32342,318,41433,405,63642,2187,84934,2293,30048,226,14961,883,21444,344,26960,336,40755,440,59175,1765,172,null,null,508,null,null,270,null,null,294,null,null,435,null,null,1585,null,null,830,null,null,994,null,null,318,null,null,405,null,null,2187,null,null,2293,null,null,226,null,null,883,null,null,344,null,null,336,null,null,440,null,null,1765,null,null,26
41757,205,23823,1334,31535,318,38355,852,54749,1355,70728,746,49683,921,27798,1327,37352,706,46338,633,66359,1188,82558,2425,36080,318,17574,1325,25262,426,31844,335,45935,718,62193,1072,205,null,null,1334,null,null,318,null,null,852,null,null,1355,null,null,746,null,null,921,null,null,1327,null,null,706,null,null,633,null,null,1188,null,null,2425,null,null,318,null,null,1325,null,null,426,null,null,335,null,null,718,null,null,1072,null,null,27
