B19013I_001E,B19013I_001M,B19013I_001M,B19013I_001EA,B19013I_001MA,state
44042,1013,1013,null,null,12
46389,1649,1649,null,null,13
62018,5456,5456,null,null,15
40802,2721,2721,null,null,16
51706,821,821,null,null,17
41532,1419,1419,null,null,18
44277,4042,4042,null,null,19
44297,2228,2228,null,null,20
39043,3989,3989,null,null,21
39276,4088,4088,null,null,22
42314,8060,8060,null,null,23
68332,3470,3470,null,null,24
39742,1726,1726,null,null,25
44339,2507,2507,null,null,26
45946,2086,2086,null,null,27
40552,3018,3018,null,null,28
43264,3633,3633,null,null,29
33790,13317,13317,null,null,30
46531,3343,3343,null,null,31
45836,1641,1641,null,null,32
52087,7374,7374,null,null,33
52599,1328,1328,null,null,34
38924,1607,1607,null,null,35
42973,1068,1068,null,null,36
39388,2113,2113,null,null,37
37239,11807,11807,null,null,38
41621,2016,2016,null,null,39
40273,1615,1615,null,null,40
46180,2125,2125,null,null,41
38271,2248,2248,null,null,42
36877,3156,3156,null,null,44
40749,2083,2083,null,null,45
46481,8677,8677,null,null,46
41013,1957,1957,null,null,47
44579,652,652,null,null,48
47167,2993,2993,null,null,49
46871,11806,11806,null,null,50
60534,1793,1793,null,null,51
50517,1463,1463,null,null,53
38362,10282,10282,null,null,54
42323,2791,2791,null,null,55
46271,5331,5331,null,null,56
19977,345,345,null,null,72
40236,4999,4999,null,null,01
64200,11210,11210,null,null,02
43657,1198,1198,null,null,04
37186,3819,3819,null,null,05
52403,423,423,null,null,06
49201,1815,1815,null,null,08
46808,1436,1436,null,null,09
47478,7837,7837,null,null,10
64930,4855,4855,null,null,11
