B17020B_001E,B17020B_001M,B17020B_002E,B17020B_002M,B17020B_003E,B17020B_003M,B17020B_004E,B17020B_004M,B17020B_005E,B17020B_005M,B17020B_006E,B17020B_006M,B17020B_007E,B17020B_007M,B17020B_008E,B17020B_008M,B17020B_009E,B17020B_009M,B17020B_010E,B17020B_010M,B17020B_011E,B17020B_011M,B17020B_012E,B17020B_012M,B17020B_013E,B17020B_013M,B17020B_014E,B17020B_014M,B17020B_015E,B17020B_015M,B17020B_016E,B17020B_016M,B17020B_017E,B17020B_017M,B17020B_001M,B17020B_001EA,B17020B_001MA,B17020B_002M,B17020B_002EA,B17020B_002MA,B17020B_003M,B17020B_003EA,B17020B_003MA,B17020B_004M,B17020B_004EA,B17020B_004MA,B17020B_005M,B17020B_005EA,B17020B_005MA,B17020B_006M,B17020B_006EA,B17020B_006MA,B17020B_007M,B17020B_007EA,B17020B_007MA,B17020B_008M,B17020B_008EA,B17020B_008MA,B17020B_009M,B17020B_009EA,B17020B_009MA,B17020B_010M,B17020B_010EA,B17020B_010MA,B17020B_011M,B17020B_011EA,B17020B_011MA,B17020B_012M,B17020B_012EA,B17020B_012MA,B17020B_013M,B17020B_013EA,B17020B_013MA,B17020B_014M,B17020B_014EA,B17020B_014MA,B17020B_015M,B17020B_015EA,B17020B_015MA,B17020B_016M,B17020B_016EA,B17020B_016MA,B17020B_017M,B17020B_017EA,B17020B_017MA,state
3195175,22363,727850,26056,98679,6966,93429,8127,83523,7084,351796,15102,73237,4507,18752,2331,8434,1739,2467325,29519,171404,7731,190316,9413,202723,9009,1494913,19746,303208,6733,78157,3685,26604,2401,22363,null,null,26056,null,null,6966,null,null,8127,null,null,7084,null,null,15102,null,null,4507,null,null,2331,null,null,1739,null,null,29519,null,null,7731,null,null,9413,null,null,9009,null,null,19746,null,null,6733,null,null,3685,null,null,2401,null,null,12
3141677,15292,707745,21851,94719,5966,103353,7312,73628,5776,352487,11405,66566,4379,12848,1715,4144,992,2433932,25810,166613,7544,190053,9158,214817,8402,1480790,13767,300340,7728,63977,3257,17342,2003,15292,null,null,21851,null,null,5966,null,null,7312,null,null,5776,null,null,11405,null,null,4379,null,null,1715,null,null,992,null,null,25810,null,null,7544,null,null,9158,null,null,8402,null,null,13767,null,null,7728,null,null,3257,null,null,2003,null,null,13
22915,2164,1997,965,25,47,83,120,118,182,1412,724,359,323,0,185,0,185,20918,2245,1648,572,1321,650,1117,471,15417,1623,1232,517,146,144,37,61,2164,null,null,965,null,null,47,null,null,120,null,null,182,null,null,724,null,null,323,null,null,185,null,null,185,null,null,2245,null,null,572,null,null,650,null,null,471,null,null,1623,null,null,517,null,null,144,null,null,61,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1732448,9526,458785,17575,57926,4462,58490,4698,48706,4481,237357,9763,41624,3032,10636,1434,4046,955,1273663,17745,75044,4843,90559,5272,107234,5080,751004,11017,182801,4700,49743,2372,17278,1705,9526,null,null,17575,null,null,4462,null,null,4698,null,null,4481,null,null,9763,null,null,3032,null,null,1434,null,null,955,null,null,17745,null,null,4843,null,null,5272,null,null,5080,null,null,11017,null,null,4700,null,null,2372,null,null,1705,null,null,17
591254,7531,169046,13112,23442,3451,27963,3724,21499,3357,81917,5820,11561,1666,2097,643,567,286,422208,12703,26952,3282,35240,4575,37848,3721,246883,6550,55692,2673,14135,1334,5458,962,7531,null,null,13112,null,null,3451,null,null,3724,null,null,3357,null,null,5820,null,null,1666,null,null,643,null,null,286,null,null,12703,null,null,3282,null,null,4575,null,null,3721,null,null,6550,null,null,2673,null,null,1334,null,null,962,null,null,18
105338,3391,37621,4685,6668,1198,6093,1226,4171,1270,18733,2493,1738,661,218,154,0,159,67717,5065,6230,1341,6491,1417,5601,1189,42089,3512,5364,903,1432,496,510,280,3391,null,null,4685,null,null,1198,null,null,1226,null,null,1270,null,null,2493,null,null,661,null,null,154,null,null,159,null,null,5065,null,null,1341,null,null,1417,null,null,1189,null,null,3512,null,null,903,null,null,496,null,null,280,null,null,19
156077,4805,38249,5085,5621,1401,4781,1743,3276,1002,20670,3109,3057,776,344,217,500,298,117828,6720,9471,2120,8925,2063,10269,1574,68391,3986,16419,1802,2788,585,1565,651,4805,null,null,5085,null,null,1401,null,null,1743,null,null,1002,null,null,3109,null,null,776,null,null,217,null,null,298,null,null,6720,null,null,2120,null,null,2063,null,null,1574,null,null,3986,null,null,1802,null,null,585,null,null,651,null,null,20
345021,6564,104234,8402,12929,2084,15816,2503,13821,2281,52235,4611,6171,981,2042,683,1220,532,240787,8638,14907,2410,18690,2528,18204,2416,146721,5701,33076,1852,7453,1189,1736,577,6564,null,null,8402,null,null,2084,null,null,2503,null,null,2281,null,null,4611,null,null,981,null,null,683,null,null,532,null,null,8638,null,null,2410,null,null,2528,null,null,2416,null,null,5701,null,null,1852,null,null,1189,null,null,577,null,null,21
1449776,7594,496144,16903,65860,5830,73971,5591,58374,5224,239914,9339,43229,3241,11301,1414,3495,935,953632,17146,60787,5713,65442,5166,81178,4973,567768,11229,137663,4101,30794,2123,10000,1245,7594,null,null,16903,null,null,5830,null,null,5591,null,null,5224,null,null,9339,null,null,3241,null,null,1414,null,null,935,null,null,17146,null,null,5713,null,null,5166,null,null,4973,null,null,11229,null,null,4101,null,null,2123,null,null,1245,null,null,22
18541,1973,8101,2430,1535,602,1948,773,1496,750,3111,1122,11,21,0,172,0,172,10440,1993,1034,477,576,352,1216,796,7352,1373,258,253,4,8,0,172,1973,null,null,2430,null,null,602,null,null,773,null,null,750,null,null,1122,null,null,21,null,null,172,null,null,172,null,null,1993,null,null,477,null,null,352,null,null,796,null,null,1373,null,null,253,null,null,8,null,null,172,null,null,23
1742215,9164,236441,12526,27824,3742,28767,3018,22964,3179,116286,7231,32601,3342,6567,1151,1432,430,1505774,15107,99942,4596,116220,4875,122175,4899,905611,8391,196888,4305,50127,2057,14811,1774,9164,null,null,12526,null,null,3742,null,null,3018,null,null,3179,null,null,7231,null,null,3342,null,null,1151,null,null,430,null,null,15107,null,null,4596,null,null,4875,null,null,4899,null,null,8391,null,null,4305,null,null,2057,null,null,1774,null,null,24
484080,8101,99843,10134,13773,2821,11407,2323,11196,2214,50773,5520,8833,1342,3136,956,725,431,384237,11478,26576,3122,30447,2896,31884,2613,238364,7226,43307,2529,10653,1157,3006,912,8101,null,null,10134,null,null,2821,null,null,2323,null,null,2214,null,null,5520,null,null,1342,null,null,956,null,null,431,null,null,11478,null,null,3122,null,null,2896,null,null,2613,null,null,7226,null,null,2529,null,null,1157,null,null,912,null,null,25
1311063,9325,377577,14390,52103,3514,48221,4070,41385,3772,194827,8319,32559,2228,5449,1058,3033,777,933486,14346,56442,3763,64963,4684,75366,4465,545444,8563,140282,3446,34918,2141,16071,1589,9325,null,null,14390,null,null,3514,null,null,4070,null,null,3772,null,null,8319,null,null,2228,null,null,1058,null,null,777,null,null,14346,null,null,3763,null,null,4684,null,null,4465,null,null,8563,null,null,3446,null,null,2141,null,null,1589,null,null,26
