B22005A_001E,B22005A_001M,B22005A_002E,B22005A_002M,B22005A_003E,B22005A_003M,B22005A_001M,B22005A_001EA,B22005A_001MA,B22005A_002M,B22005A_002EA,B22005A_002MA,B22005A_003M,B22005A_003EA,B22005A_003MA,state
6063776,20702,702211,12787,5361565,20475,20702,null,null,12787,null,null,20475,null,null,12
2277774,11805,206822,8392,2070952,13352,11805,null,null,8392,null,null,13352,null,null,13
151402,3116,11571,1842,139831,3467,3116,null,null,1842,null,null,3467,null,null,15
563299,4430,56288,3914,507011,5825,4430,null,null,3914,null,null,5825,null,null,16
3619597,13053,334475,9202,3285122,13786,13053,null,null,9202,null,null,13786,null,null,17
2179446,11130,191432,6578,1988014,14593,11130,null,null,6578,null,null,14593,null,null,18
1158356,6930,112876,4593,1045480,6912,6930,null,null,4593,null,null,6912,null,null,19
969924,6845,65176,3869,904748,7212,6845,null,null,3869,null,null,7212,null,null,20
1524820,9147,210257,7364,1314563,10990,9147,null,null,7364,null,null,10990,null,null,21
1123033,7550,109459,4972,1013574,8324,7550,null,null,4972,null,null,8324,null,null,22
510056,5873,68021,3513,442035,5955,5873,null,null,3513,null,null,5955,null,null,23
1318819,7793,92621,4961,1226198,8546,7793,null,null,4961,null,null,8546,null,null,24
2131900,9364,202904,6977,1928996,10477,9364,null,null,6977,null,null,10477,null,null,25
3140156,11366,335314,6640,2804842,11054,11366,null,null,6640,null,null,11054,null,null,26
1898036,7143,111046,4324,1786990,7621,7143,null,null,4324,null,null,7621,null,null,27
669640,6525,59633,3904,610007,6916,6525,null,null,3904,null,null,6916,null,null,28
2003555,9647,188158,7515,1815397,11511,9647,null,null,7515,null,null,11511,null,null,29
384605,4196,36904,2973,347701,4603,4196,null,null,2973,null,null,4603,null,null,30
678025,4876,50338,3694,627687,5636,4876,null,null,3694,null,null,5636,null,null,31
760688,7892,80944,4979,679744,8799,7892,null,null,4979,null,null,8799,null,null,32
494822,5417,34644,3011,460178,5645,5417,null,null,3011,null,null,5645,null,null,33
2297551,10325,157018,6433,2140533,11127,10325,null,null,6433,null,null,11127,null,null,34
593418,6735,88463,4678,504955,6992,6735,null,null,4678,null,null,6992,null,null,35
4956279,18921,498862,12031,4457417,22187,18921,null,null,12031,null,null,22187,null,null,36
2809542,11929,260005,7380,2549537,13737,11929,null,null,7380,null,null,13737,null,null,37
283770,3572,14530,1584,269240,3449,3572,null,null,1584,null,null,3449,null,null,38
3858462,12411,418409,8403,3440053,14061,12411,null,null,8403,null,null,14061,null,null,39
1125088,6379,122593,4330,1002495,7522,6379,null,null,4330,null,null,7522,null,null,40
1389874,8073,219065,7364,1170809,9580,8073,null,null,7364,null,null,9580,null,null,41
4159826,13998,435614,9038,3724212,16330,13998,null,null,9038,null,null,16330,null,null,42
346708,4029,44483,3357,302225,4498,4029,null,null,3357,null,null,4498,null,null,44
1318703,8952,110237,4983,1208466,10156,8952,null,null,4983,null,null,10156,null,null,45
300663,3187,19237,1813,281426,3370,3187,null,null,1813,null,null,3370,null,null,46
2043788,10769,247273,6772,1796515,12267,10769,null,null,6772,null,null,12267,null,null,47
7233853,20166,779861,14934,6453992,24331,20166,null,null,14934,null,null,24331,null,null,48
842075,5483,54896,3515,787179,6123,5483,null,null,3515,null,null,6123,null,null,49
244601,2941,29333,2429,215268,3389,2941,null,null,2429,null,null,3389,null,null,50
2234168,11942,134983,6273,2099185,12663,11942,null,null,6273,null,null,12663,null,null,51
2239654,8996,247882,7389,1991772,10057,8996,null,null,7389,null,null,10057,null,null,53
681842,5677,119130,5062,562712,6013,5677,null,null,5062,null,null,6013,null,null,54
2070534,6865,191671,5934,1878863,8767,6865,null,null,5934,null,null,8767,null,null,55
210590,4107,11003,1577,199587,4196,4107,null,null,1577,null,null,4196,null,null,56
807577,10204,298799,7905,508778,9864,10204,null,null,7905,null,null,9864,null,null,72
1296744,9457,123109,6161,1173635,10799,9457,null,null,6161,null,null,10799,null,null,01
182223,3018,12641,2031,169582,3493,3018,null,null,2031,null,null,3493,null,null,02
2043877,10588,208578,5964,1835299,11701,10588,null,null,5964,null,null,11701,null,null,04
904072,6385,87072,4505,817000,6312,6385,null,null,4505,null,null,6312,null,null,05
8446438,24941,693346,12931,7753092,26482,24941,null,null,12931,null,null,26482,null,null,06
1839125,8478,126836,5472,1712289,9032,8478,null,null,5472,null,null,9032,null,null,08
1088211,6867,106834,6404,981377,8479,6867,null,null,6404,null,null,8479,null,null,09
256511,3418,20485,1774,236026,4135,3418,null,null,1774,null,null,4135,null,null,10
125684,2559,1392,688,124292,2514,2559,null,null,688,null,null,2514,null,null,11
