B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,B19101H_001M,B19101H_001EA,B19101H_001MA,B19101H_002M,B19101H_002EA,B19101H_002MA,B19101H_003M,B19101H_003EA,B19101H_003MA,B19101H_004M,B19101H_004EA,B19101H_004MA,B19101H_005M,B19101H_005EA,B19101H_005MA,B19101H_006M,B19101H_006EA,B19101H_006MA,B19101H_007M,B19101H_007EA,B19101H_007MA,B19101H_008M,B19101H_008EA,B19101H_008MA,B19101H_009M,B19101H_009EA,B19101H_009MA,B19101H_010M,B19101H_010EA,B19101H_010MA,B19101H_011M,B19101H_011EA,B19101H_011MA,B19101H_012M,B19101H_012EA,B19101H_012MA,B19101H_013M,B19101H_013EA,B19101H_013MA,B19101H_014M,B19101H_014EA,B19101H_014MA,B19101H_015M,B19101H_015EA,B19101H_015MA,B19101H_016M,B19101H_016EA,B19101H_016MA,B19101H_017M,B19101H_017EA,B19101H_017MA,state
2907363,16058,86776,4849,57794,3905,72479,5003,100558,5284,114275,5318,122999,5673,130425,6106,142894,5943,118289,5177,254144,7385,336831,9278,433200,10363,306614,8366,193228,6847,199612,7429,237245,7884,16058,null,null,4849,null,null,3905,null,null,5003,null,null,5284,null,null,5318,null,null,5673,null,null,6106,null,null,5943,null,null,5177,null,null,7385,null,null,9278,null,null,10363,null,null,8366,null,null,6847,null,null,7429,null,null,7884,null,null,12
1443294,12922,46526,3583,26207,2720,35440,3259,48395,3624,50421,3259,59023,3857,54188,3871,62658,4215,52125,3637,114889,5942,158752,7004,217365,7269,162655,6568,102000,4808,117174,5933,135476,5690,12922,null,null,3583,null,null,2720,null,null,3259,null,null,3624,null,null,3259,null,null,3857,null,null,3871,null,null,4215,null,null,3637,null,null,5942,null,null,7004,null,null,7269,null,null,6568,null,null,4808,null,null,5933,null,null,5690,null,null,13
83940,3043,1286,457,1424,586,997,438,1621,667,2605,805,3571,889,2815,725,2629,821,1828,552,5218,1098,8533,1501,11453,1332,10798,1544,7833,1260,9517,1343,11812,1599,3043,null,null,457,null,null,586,null,null,438,null,null,667,null,null,805,null,null,889,null,null,725,null,null,821,null,null,552,null,null,1098,null,null,1501,null,null,1332,null,null,1544,null,null,1260,null,null,1343,null,null,1599,null,null,15
355897,6153,12073,1802,8906,1549,9845,1819,13040,1976,12336,1689,18314,2904,15763,1957,15277,1629,19230,2194,31963,2725,48797,3475,55185,3578,37893,3259,20926,2000,20543,2208,15806,2077,6153,null,null,1802,null,null,1549,null,null,1819,null,null,1976,null,null,1689,null,null,2904,null,null,1957,null,null,1629,null,null,2194,null,null,2725,null,null,3475,null,null,3578,null,null,3259,null,null,2000,null,null,2208,null,null,2077,null,null,16
2068322,13403,51378,4280,32067,2832,43260,3205,54414,3142,55194,3225,65270,3711,71576,3482,70403,3174,68079,3329,145059,5176,208670,6491,319453,8209,266412,6747,174441,6016,211694,6090,230952,6222,13403,null,null,4280,null,null,2832,null,null,3205,null,null,3142,null,null,3225,null,null,3711,null,null,3482,null,null,3174,null,null,3329,null,null,5176,null,null,6491,null,null,8209,null,null,6747,null,null,6016,null,null,6090,null,null,6222,null,null,17
1381293,9888,40252,3462,30021,2501,32608,2811,46572,2912,50749,3319,60235,3278,62138,4070,62035,4279,58324,3665,124716,4452,181907,6749,232490,6494,155379,5765,88656,4680,84479,4076,70732,3537,9888,null,null,3462,null,null,2501,null,null,2811,null,null,2912,null,null,3319,null,null,3278,null,null,4070,null,null,4279,null,null,3665,null,null,4452,null,null,6749,null,null,6494,null,null,5765,null,null,4680,null,null,4076,null,null,3537,null,null,18
715508,7707,18417,1457,11934,1553,16765,2064,18637,1884,24113,2163,24641,2396,27091,1906,29863,2428,31502,2164,63315,3288,87510,3370,129796,3965,90501,4341,53878,3180,46949,2766,40596,2722,7707,null,null,1457,null,null,1553,null,null,2064,null,null,1884,null,null,2163,null,null,2396,null,null,1906,null,null,2428,null,null,2164,null,null,3288,null,null,3370,null,null,3965,null,null,4341,null,null,3180,null,null,2766,null,null,2722,null,null,19
581628,7606,13681,1688,11582,1643,13591,1614,17178,1556,19560,1875,23420,2013,22189,1827,25339,2268,22875,2071,46948,2682,72802,3422,96137,4158,74277,4092,41772,2559,40136,2698,40141,2277,7606,null,null,1688,null,null,1643,null,null,1614,null,null,1556,null,null,1875,null,null,2013,null,null,1827,null,null,2268,null,null,2071,null,null,2682,null,null,3422,null,null,4158,null,null,4092,null,null,2559,null,null,2698,null,null,2277,null,null,20
988207,10367,54654,3694,37126,3463,40556,3417,42852,3390,47349,3601,47161,3285,44857,3538,44675,3506,41386,2984,80305,4522,112854,4483,144934,6062,96938,5242,55280,3282,49495,2912,47785,3254,10367,null,null,3694,null,null,3463,null,null,3417,null,null,3390,null,null,3601,null,null,3285,null,null,3538,null,null,3506,null,null,2984,null,null,4522,null,null,4483,null,null,6062,null,null,5242,null,null,3282,null,null,2912,null,null,3254,null,null,21
697094,7809,27819,3229,17434,2225,22688,3090,23875,2117,23233,2190,27709,2413,27979,2795,33104,3425,30165,2834,54485,4017,74615,3645,101228,4951,79534,4028,51304,3539,53411,4230,48511,3137,7809,null,null,3229,null,null,2225,null,null,3090,null,null,2117,null,null,2190,null,null,2413,null,null,2795,null,null,3425,null,null,2834,null,null,4017,null,null,3645,null,null,4951,null,null,4028,null,null,3539,null,null,4230,null,null,3137,null,null,22
