B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,B14007A_001M,B14007A_001EA,B14007A_001MA,B14007A_002M,B14007A_002EA,B14007A_002MA,B14007A_003M,B14007A_003EA,B14007A_003MA,B14007A_004M,B14007A_004EA,B14007A_004MA,B14007A_005M,B14007A_005EA,B14007A_005MA,B14007A_006M,B14007A_006EA,B14007A_006MA,B14007A_007M,B14007A_007EA,B14007A_007MA,B14007A_008M,B14007A_008EA,B14007A_008MA,B14007A_009M,B14007A_009EA,B14007A_009MA,B14007A_010M,B14007A_010EA,B14007A_010MA,B14007A_011M,B14007A_011EA,B14007A_011MA,B14007A_012M,B14007A_012EA,B14007A_012MA,B14007A_013M,B14007A_013EA,B14007A_013MA,B14007A_014M,B14007A_014EA,B14007A_014MA,B14007A_015M,B14007A_015EA,B14007A_015MA,B14007A_016M,B14007A_016EA,B14007A_016MA,B14007A_017M,B14007A_017EA,B14007A_017MA,B14007A_018M,B14007A_018EA,B14007A_018MA,B14007A_019M,B14007A_019EA,B14007A_019MA,state
15132118,28081,3182813,23592,183837,7775,148142,7358,136999,6547,146252,5414,164120,7116,160492,7178,164306,7325,163832,7045,155903,6934,152267,6068,160806,7189,169332,6230,166890,6526,174560,7181,768345,16299,166730,8382,11949305,24306,28081,null,null,23592,null,null,7775,null,null,7358,null,null,6547,null,null,5414,null,null,7116,null,null,7178,null,null,7325,null,null,7045,null,null,6934,null,null,6068,null,null,7189,null,null,6230,null,null,6526,null,null,7181,null,null,16299,null,null,8382,null,null,24306,null,null,12
5858640,18156,1422917,14188,85344,4935,70273,3901,69473,4279,72002,4535,74782,4646,75667,4261,76386,4119,78164,5123,77478,4542,79022,5389,75822,4696,78980,4073,72718,4024,85146,4769,291648,8199,60012,4877,4435723,15090,18156,null,null,14188,null,null,4935,null,null,3901,null,null,4279,null,null,4535,null,null,4646,null,null,4261,null,null,4119,null,null,5123,null,null,4542,null,null,5389,null,null,4696,null,null,4073,null,null,4024,null,null,4769,null,null,8199,null,null,4877,null,null,15090,null,null,13
346704,5040,63984,4195,4541,984,3515,894,2471,685,2599,742,3803,920,2066,590,3012,951,2360,702,4096,861,2029,747,1755,651,2232,643,2076,568,2299,875,19189,2123,5941,1109,282720,3662,5040,null,null,4195,null,null,984,null,null,894,null,null,685,null,null,742,null,null,920,null,null,590,null,null,951,null,null,702,null,null,861,null,null,747,null,null,651,null,null,643,null,null,568,null,null,875,null,null,2123,null,null,1109,null,null,3662,null,null,15
1454715,7147,394979,6880,19897,2412,19654,2098,20231,2268,25088,2571,22497,2033,18936,2156,20793,2126,22530,2117,19161,2162,21835,2564,22387,2113,21126,1849,21587,2071,21191,1988,82721,5170,15345,2178,1059736,8006,7147,null,null,6880,null,null,2412,null,null,2098,null,null,2268,null,null,2571,null,null,2033,null,null,2156,null,null,2126,null,null,2117,null,null,2162,null,null,2564,null,null,2113,null,null,1849,null,null,2071,null,null,1988,null,null,5170,null,null,2178,null,null,8006,null,null,16
8831350,23385,2155414,13660,147365,5480,101467,4506,99198,4306,101324,5011,111569,5193,108954,4711,107715,4893,110237,5102,109767,5405,109584,4254,116141,4430,109093,4357,116309,4908,114302,4753,461295,8767,131094,5488,6675936,19995,23385,null,null,13660,null,null,5480,null,null,4506,null,null,4306,null,null,5011,null,null,5193,null,null,4711,null,null,4893,null,null,5102,null,null,5405,null,null,4254,null,null,4430,null,null,4357,null,null,4908,null,null,4753,null,null,8767,null,null,5488,null,null,19995,null,null,17
5347009,10553,1305804,11275,78139,4228,68155,4313,66748,4073,66082,4124,68517,4134,72270,4273,66253,3584,68552,4082,66211,3940,67570,3392,71254,4118,70538,4071,71566,4332,72008,3815,280468,7487,51473,3584,4041205,11271,10553,null,null,11275,null,null,4228,null,null,4313,null,null,4073,null,null,4124,null,null,4134,null,null,4273,null,null,3584,null,null,4082,null,null,3940,null,null,3392,null,null,4118,null,null,4071,null,null,4332,null,null,3815,null,null,7487,null,null,3584,null,null,11271,null,null,18
2735697,6168,688991,5847,48018,2973,35848,2727,31853,2297,32585,2247,36758,2285,36046,2633,36424,2741,33052,2313,35997,2493,34199,2295,32432,2536,36217,2292,36678,2202,34598,2479,156198,4359,32088,3069,2046706,6039,6168,null,null,5847,null,null,2973,null,null,2727,null,null,2297,null,null,2247,null,null,2285,null,null,2633,null,null,2741,null,null,2313,null,null,2493,null,null,2295,null,null,2536,null,null,2292,null,null,2202,null,null,2479,null,null,4359,null,null,3069,null,null,6039,null,null,19
2366167,7322,619587,7531,39879,2987,31210,2504,30922,2387,31456,2383,32831,2305,30993,2522,34494,2763,29862,2295,33265,2731,30837,2280,29364,2683,32358,2599,30651,2117,36122,2594,132056,5310,33287,3018,1746580,9209,7322,null,null,7531,null,null,2987,null,null,2504,null,null,2387,null,null,2383,null,null,2305,null,null,2522,null,null,2763,null,null,2295,null,null,2731,null,null,2280,null,null,2683,null,null,2599,null,null,2117,null,null,2594,null,null,5310,null,null,3018,null,null,9209,null,null,20
3732695,7446,892543,9867,49990,3455,43305,2785,45015,3203,47684,3476,49100,2939,47015,2830,51178,3195,44936,2838,45963,3276,46433,3208,45399,3457,52054,3120,46746,2827,49797,3898,188093,7008,39835,3156,2840152,10142,7446,null,null,9867,null,null,3455,null,null,2785,null,null,3203,null,null,3476,null,null,2939,null,null,2830,null,null,3195,null,null,2838,null,null,3276,null,null,3208,null,null,3457,null,null,3120,null,null,2827,null,null,3898,null,null,7008,null,null,3156,null,null,10142,null,null,21
2796619,7115,648937,7992,43066,4157,32396,2806,31006,3160,33942,3010,35373,2926,37195,3461,33133,3374,32950,2739,31284,2588,35947,3058,37864,3067,36016,3047,32944,3183,32795,3273,135850,5574,27176,2574,2147682,9278,7115,null,null,7992,null,null,4157,null,null,2806,null,null,3160,null,null,3010,null,null,2926,null,null,3461,null,null,3374,null,null,2739,null,null,2588,null,null,3058,null,null,3067,null,null,3047,null,null,3183,null,null,3273,null,null,5574,null,null,2574,null,null,9278,null,null,22
