C17001F_001E,C17001F_001M,C17001F_002E,C17001F_002M,C17001F_003E,C17001F_003M,C17001F_004E,C17001F_004M,C17001F_005E,C17001F_005M,C17001F_006E,C17001F_006M,C17001F_007E,C17001F_007M,C17001F_008E,C17001F_008M,C17001F_009E,C17001F_009M,C17001F_010E,C17001F_010M,C17001F_011E,C17001F_011M,C17001F_012E,C17001F_012M,C17001F_013E,C17001F_013M,C17001F_014E,C17001F_014M,C17001F_015E,C17001F_015M,C17001F_016E,C17001F_016M,C17001F_017E,C17001F_017M,C17001F_018E,C17001F_018M,C17001F_019E,C17001F_019M,C17001F_001M,C17001F_001EA,C17001F_001MA,C17001F_002M,C17001F_002EA,C17001F_002MA,C17001F_003M,C17001F_003EA,C17001F_003MA,C17001F_004M,C17001F_004EA,C17001F_004MA,C17001F_005M,C17001F_005EA,C17001F_005MA,C17001F_006M,C17001F_006EA,C17001F_006MA,C17001F_007M,C17001F_007EA,C17001F_007MA,C17001F_008M,C17001F_008EA,C17001F_008MA,C17001F_009M,C17001F_009EA,C17001F_009MA,C17001F_010M,C17001F_010EA,C17001F_010MA,C17001F_011M,C17001F_011EA,C17001F_011MA,C17001F_012M,C17001F_012EA,C17001F_012MA,C17001F_013M,C17001F_013EA,C17001F_013MA,C17001F_014M,C17001F_014EA,C17001F_014MA,C17001F_015M,C17001F_015EA,C17001F_015MA,C17001F_016M,C17001F_016EA,C17001F_016MA,C17001F_017M,C17001F_017EA,C17001F_017MA,C17001F_018M,C17001F_018EA,C17001F_018MA,C17001F_019M,C17001F_019EA,C17001F_019MA,state
562684,25701,114499,12590,52242,6791,21241,4073,28108,4328,2893,1042,62257,7073,21389,4059,35530,3941,5338,1270,448185,23318,230208,12394,48982,5504,166710,9170,14516,2029,217977,13916,50154,5519,149545,9685,18278,2794,25701,null,null,12590,null,null,6791,null,null,4073,null,null,4328,null,null,1042,null,null,7073,null,null,4059,null,null,3941,null,null,1270,null,null,23318,null,null,12394,null,null,5504,null,null,9170,null,null,2029,null,null,13916,null,null,5519,null,null,9685,null,null,2794,null,null,12
293601,22168,85679,12750,42541,7119,25474,4944,17003,3133,64,84,43138,6450,22428,3974,20189,3358,521,368,207922,17552,112849,9751,30921,4429,79181,6507,2747,1044,95073,9299,28550,4201,63693,6012,2830,1140,22168,null,null,12750,null,null,7119,null,null,4944,null,null,3133,null,null,84,null,null,6450,null,null,3974,null,null,3358,null,null,368,null,null,17552,null,null,9751,null,null,4429,null,null,6507,null,null,1044,null,null,9299,null,null,4201,null,null,6012,null,null,1140,null,null,13
11121,2488,1015,475,409,256,0,185,368,242,41,58,606,372,141,179,465,276,0,185,10106,2427,6114,1505,1383,676,4459,1220,272,233,3992,1259,1183,746,2530,699,279,198,2488,null,null,475,null,null,256,null,null,185,null,null,242,null,null,58,null,null,372,null,null,179,null,null,276,null,null,185,null,null,2427,null,null,1505,null,null,676,null,null,1220,null,null,233,null,null,1259,null,null,746,null,null,699,null,null,198,null,null,15
65948,7277,13515,4761,6389,2435,3000,1719,3171,1093,218,211,7126,2601,2585,1620,4432,1314,109,144,52433,7102,27913,3854,9926,2134,17043,2336,944,537,24520,3849,9378,2217,14523,2211,619,355,7277,null,null,4761,null,null,2435,null,null,1719,null,null,1093,null,null,211,null,null,2601,null,null,1620,null,null,1314,null,null,144,null,null,7102,null,null,3854,null,null,2134,null,null,2336,null,null,537,null,null,3849,null,null,2217,null,null,2211,null,null,355,null,null,16
815298,24283,156645,16100,68225,7996,36569,5213,28744,3583,2912,1001,88420,9381,36531,5597,46505,4680,5384,1513,658653,21776,347984,11827,93104,5361,239294,8433,15586,1830,310669,12950,91947,6303,202548,8447,16174,1952,24283,null,null,16100,null,null,7996,null,null,5213,null,null,3583,null,null,1001,null,null,9381,null,null,5597,null,null,4680,null,null,1513,null,null,21776,null,null,11827,null,null,5361,null,null,8433,null,null,1830,null,null,12950,null,null,6303,null,null,8447,null,null,1952,null,null,17
154906,11029,39515,6858,18443,3520,10374,2234,7830,1988,239,231,21072,3811,9120,2224,11612,2015,340,237,115391,10743,64067,5930,18515,2883,42162,4220,3390,701,51324,5907,18179,2903,29613,3350,3532,930,11029,null,null,6858,null,null,3520,null,null,2234,null,null,1988,null,null,231,null,null,3811,null,null,2224,null,null,2015,null,null,237,null,null,10743,null,null,5930,null,null,2883,null,null,4220,null,null,701,null,null,5907,null,null,2903,null,null,3350,null,null,930,null,null,18
41063,4520,10637,3034,4278,1576,2371,1048,1907,838,0,159,6359,1734,2748,1046,3333,886,278,328,30426,4246,17120,2491,4289,1141,12416,1821,415,225,13306,2264,4038,1127,9011,1463,257,190,4520,null,null,3034,null,null,1576,null,null,1048,null,null,838,null,null,159,null,null,1734,null,null,1046,null,null,886,null,null,328,null,null,4246,null,null,2491,null,null,1141,null,null,1821,null,null,225,null,null,2264,null,null,1127,null,null,1463,null,null,190,null,null,19
73590,7766,15779,4030,7404,2146,3950,1431,3284,1000,170,228,8375,2323,2796,1316,5522,1422,57,104,57811,7188,30215,4691,8484,2555,20494,2828,1237,481,27596,3497,9786,2250,16145,2229,1665,558,7766,null,null,4030,null,null,2146,null,null,1431,null,null,1000,null,null,228,null,null,2323,null,null,1316,null,null,1422,null,null,104,null,null,7188,null,null,4691,null,null,2555,null,null,2828,null,null,481,null,null,3497,null,null,2250,null,null,2229,null,null,558,null,null,20
35538,5126,14067,3167,7443,2031,4261,1492,3046,1036,136,208,6624,1557,2528,986,4096,1000,0,190,21471,4329,12617,3005,3311,1539,8719,1820,587,502,8854,1934,2522,913,6075,1725,257,264,5126,null,null,3167,null,null,2031,null,null,1492,null,null,1036,null,null,208,null,null,1557,null,null,986,null,null,1000,null,null,190,null,null,4329,null,null,3005,null,null,1539,null,null,1820,null,null,502,null,null,1934,null,null,913,null,null,1725,null,null,264,null,null,21
65369,6418,18048,3745,8583,2250,4147,1466,4436,1363,0,208,9465,2236,2988,1337,6368,1586,109,147,47321,5455,28376,3558,7342,2215,19977,2400,1057,479,18945,2763,6600,1302,11623,1885,722,437,6418,null,null,3745,null,null,2250,null,null,1466,null,null,1363,null,null,208,null,null,2236,null,null,1337,null,null,1586,null,null,147,null,null,5455,null,null,3558,null,null,2215,null,null,2400,null,null,479,null,null,2763,null,null,1302,null,null,1885,null,null,437,null,null,22
