B19113D_001E,B19113D_001M,B19113D_001M,B19113D_001EA,B19113D_001MA,state
76184,3176,3176,null,null,12
83725,3927,3927,null,null,13
92777,3293,3293,null,null,15
64479,28739,28739,null,null,16
100008,3218,3218,null,null,17
73396,8366,8366,null,null,18
62711,9417,9417,null,null,19
81392,2447,2447,null,null,20
66952,10925,10925,null,null,21
68882,11973,11973,null,null,22
100663,43801,43801,null,null,23
110016,8199,8199,null,null,24
102094,5921,5921,null,null,25
93123,4617,4617,null,null,26
78676,5657,5657,null,null,27
56032,6594,6594,null,null,28
83932,12870,12870,null,null,29
null,null,null,null,null,30
60816,11499,11499,null,null,31
72331,2817,2817,null,null,32
82460,19565,19565,null,null,33
120665,2384,2384,null,null,34
66587,8059,8059,null,null,35
75520,1662,1662,null,null,36
88860,4355,4355,null,null,37
87932,50554,50554,null,null,38
89678,3331,3331,null,null,39
71094,7481,7481,null,null,40
92830,12170,12170,null,null,41
84711,4227,4227,null,null,42
90413,4749,4749,null,null,44
69969,4534,4534,null,null,45
66308,12056,12056,null,null,46
76535,6273,6273,null,null,47
97074,3836,3836,null,null,48
77742,10886,10886,null,null,49
73400,48978,48978,null,null,50
109045,4765,4765,null,null,51
101328,2965,2965,null,null,53
79361,22361,22361,null,null,54
82093,9630,9630,null,null,55
87955,16485,16485,null,null,56
48274,18660,18660,null,null,72
83343,20944,20944,null,null,01
88401,7322,7322,null,null,02
82856,4702,4702,null,null,04
77052,5784,5784,null,null,05
97790,1718,1718,null,null,06
79349,3068,3068,null,null,08
100984,10367,10367,null,null,09
94750,18007,18007,null,null,10
151927,59168,59168,null,null,11
