B05003B_001E,B05003B_001M,B05003B_002E,B05003B_002M,B05003B_003E,B05003B_003M,B05003B_004E,B05003B_004M,B05003B_005E,B05003B_005M,B05003B_006E,B05003B_006M,B05003B_007E,B05003B_007M,B05003B_008E,B05003B_008M,B05003B_009E,B05003B_009M,B05003B_010E,B05003B_010M,B05003B_011E,B05003B_011M,B05003B_012E,B05003B_012M,B05003B_013E,B05003B_013M,B05003B_014E,B05003B_014M,B05003B_015E,B05003B_015M,B05003B_016E,B05003B_016M,B05003B_017E,B05003B_017M,B05003B_018E,B05003B_018M,B05003B_019E,B05003B_019M,B05003B_020E,B05003B_020M,B05003B_021E,B05003B_021M,B05003B_022E,B05003B_022M,B05003B_023E,B05003B_023M,B05003B_001M,B05003B_001EA,B05003B_001MA,B05003B_002M,B05003B_002EA,B05003B_002MA,B05003B_003M,B05003B_003EA,B05003B_003MA,B05003B_004M,B05003B_004EA,B05003B_004MA,B05003B_005M,B05003B_005EA,B05003B_005MA,B05003B_006M,B05003B_006EA,B05003B_006MA,B05003B_007M,B05003B_007EA,B05003B_007MA,B05003B_008M,B05003B_008EA,B05003B_008MA,B05003B_009M,B05003B_009EA,B05003B_009MA,B05003B_010M,B05003B_010EA,B05003B_010MA,B05003B_011M,B05003B_011EA,B05003B_011MA,B05003B_012M,B05003B_012EA,B05003B_012MA,B05003B_013M,B05003B_013EA,B05003B_013MA,B05003B_014M,B05003B_014EA,B05003B_014MA,B05003B_015M,B05003B_015EA,B05003B_015MA,B05003B_016M,B05003B_016EA,B05003B_016MA,B05003B_017M,B05003B_017EA,B05003B_017MA,B05003B_018M,B05003B_018EA,B05003B_018MA,B05003B_019M,B05003B_019EA,B05003B_019MA,B05003B_020M,B05003B_020EA,B05003B_020MA,B05003B_021M,B05003B_021EA,B05003B_021MA,B05003B_022M,B05003B_022EA,B05003B_022MA,B05003B_023M,B05003B_023EA,B05003B_023MA,state
3310428,22138,1587049,12683,434548,6781,414103,6966,20445,3387,7592,1818,12853,2684,1152501,8479,854050,11538,298451,11993,176594,8201,121857,9016,1723379,13455,420186,7900,398016,8104,22170,3039,6734,1699,15436,2719,1303193,8367,948941,11264,354252,11523,222548,9997,131704,7379,22138,null,null,12683,null,null,6781,null,null,6966,null,null,3387,null,null,1818,null,null,2684,null,null,8479,null,null,11538,null,null,11993,null,null,8201,null,null,9016,null,null,13455,null,null,7900,null,null,8104,null,null,3039,null,null,1699,null,null,2719,null,null,8367,null,null,11264,null,null,11523,null,null,9997,null,null,7379,null,null,12
3254495,14771,1517738,8066,430983,6108,425500,6526,5483,1783,2388,1141,3095,1357,1086755,4548,1008749,7579,78006,7094,47232,5206,30774,4072,1736757,10574,428061,6438,421855,6740,6206,1705,2376,1055,3830,1232,1308696,6548,1220003,9275,88693,8004,52939,5270,35754,4959,14771,null,null,8066,null,null,6108,null,null,6526,null,null,1783,null,null,1141,null,null,1357,null,null,4548,null,null,7579,null,null,7094,null,null,5206,null,null,4072,null,null,10574,null,null,6438,null,null,6740,null,null,1705,null,null,1055,null,null,1232,null,null,6548,null,null,9275,null,null,8004,null,null,5270,null,null,4959,null,null,13
25898,2036,16943,1483,2591,897,2557,899,34,75,34,75,0,185,14352,1030,13570,1106,782,483,701,479,81,113,8955,1254,1748,548,1748,548,0,185,0,185,0,185,7207,1087,6480,1065,727,425,247,189,480,363,2036,null,null,1483,null,null,897,null,null,899,null,null,75,null,null,75,null,null,185,null,null,1030,null,null,1106,null,null,483,null,null,479,null,null,113,null,null,1254,null,null,548,null,null,548,null,null,185,null,null,185,null,null,185,null,null,1087,null,null,1065,null,null,425,null,null,189,null,null,363,null,null,15
11437,2001,6969,1362,2055,796,1980,797,75,125,0,198,75,125,4914,1032,3868,1061,1046,522,535,379,511,360,4468,1450,2294,1067,2198,1057,96,124,7,14,89,124,2174,713,1713,747,461,490,310,461,151,193,2001,null,null,1362,null,null,796,null,null,797,null,null,125,null,null,198,null,null,125,null,null,1032,null,null,1061,null,null,522,null,null,379,null,null,360,null,null,1450,null,null,1067,null,null,1057,null,null,124,null,null,14,null,null,124,null,null,713,null,null,747,null,null,490,null,null,461,null,null,193,null,null,16
1813477,9631,854415,6587,226255,4006,223165,4237,3090,958,1166,678,1924,761,628160,4258,594051,5181,34109,3601,19034,2596,15075,2610,959062,5821,220465,3638,217891,3744,2574,925,1270,741,1304,615,738597,3843,708445,4919,30152,3535,17175,2482,12977,2635,9631,null,null,6587,null,null,4006,null,null,4237,null,null,958,null,null,678,null,null,761,null,null,4258,null,null,5181,null,null,3601,null,null,2596,null,null,2610,null,null,5821,null,null,3638,null,null,3744,null,null,925,null,null,741,null,null,615,null,null,3843,null,null,4919,null,null,3535,null,null,2482,null,null,2635,null,null,17
617745,7312,298466,4411,92432,3687,90913,3677,1519,954,460,371,1059,907,206034,3050,192804,3719,13230,2396,5755,1637,7475,2040,319279,5513,84779,3774,82857,3933,1922,1168,901,745,1021,713,234500,3298,222964,3509,11536,2006,5479,1507,6057,1500,7312,null,null,4411,null,null,3687,null,null,3677,null,null,954,null,null,371,null,null,907,null,null,3050,null,null,3719,null,null,2396,null,null,1637,null,null,2040,null,null,5513,null,null,3774,null,null,3933,null,null,1168,null,null,745,null,null,713,null,null,3298,null,null,3509,null,null,2006,null,null,1507,null,null,1500,null,null,18
111867,3477,60028,2454,19122,1492,17791,1712,1331,560,188,198,1143,496,40906,1686,32154,2039,8752,1884,2824,900,5928,1501,51839,2418,16516,1422,14295,1551,2221,1174,524,483,1697,1097,35323,1866,29882,1956,5441,1130,2390,688,3051,1026,3477,null,null,2454,null,null,1492,null,null,1712,null,null,560,null,null,198,null,null,496,null,null,1686,null,null,2039,null,null,1884,null,null,900,null,null,1501,null,null,2418,null,null,1422,null,null,1551,null,null,1174,null,null,483,null,null,1097,null,null,1866,null,null,1956,null,null,1130,null,null,688,null,null,1026,null,null,19
166551,4607,86644,3132,21947,2146,21665,2123,282,265,212,236,70,116,64697,2273,60040,2303,4657,1188,2395,928,2262,1005,79907,3175,21331,2119,20540,2116,791,489,241,286,550,423,58576,2069,55095,2073,3481,1012,1936,813,1545,646,4607,null,null,3132,null,null,2146,null,null,2123,null,null,265,null,null,236,null,null,116,null,null,2273,null,null,2303,null,null,1188,null,null,928,null,null,1005,null,null,3175,null,null,2119,null,null,2116,null,null,489,null,null,286,null,null,423,null,null,2069,null,null,2073,null,null,1012,null,null,813,null,null,646,null,null,20
366157,6162,180582,4023,49302,2202,46906,2171,2396,903,787,475,1609,799,131280,3213,123764,3702,7516,1970,2772,1018,4744,1410,185575,4383,47057,2390,44915,2529,2142,1409,468,446,1674,1321,138518,3137,132848,3276,5670,1707,2005,768,3665,1422,6162,null,null,4023,null,null,2202,null,null,2171,null,null,903,null,null,475,null,null,799,null,null,3213,null,null,3702,null,null,1970,null,null,1018,null,null,1410,null,null,4383,null,null,2390,null,null,2529,null,null,1409,null,null,446,null,null,1321,null,null,3137,null,null,3276,null,null,1707,null,null,768,null,null,1422,null,null,21
1514755,7221,721926,4533,209914,3588,209446,3685,468,477,89,137,379,421,512012,3323,504165,3877,7847,1869,3298,1065,4549,1591,792829,5764,202760,4469,202409,4477,351,268,75,136,276,225,590069,3078,583930,3294,6139,1606,2745,976,3394,1129,7221,null,null,4533,null,null,3588,null,null,3685,null,null,477,null,null,137,null,null,421,null,null,3323,null,null,3877,null,null,1869,null,null,1065,null,null,1591,null,null,5764,null,null,4469,null,null,4477,null,null,268,null,null,136,null,null,225,null,null,3078,null,null,3294,null,null,1606,null,null,976,null,null,1129,null,null,22
19963,1930,10822,1462,3548,816,2953,869,595,375,150,121,445,368,7274,1157,3142,899,4132,804,2452,942,1680,738,9141,1209,4472,933,2933,888,1539,804,55,100,1484,808,4669,781,1616,674,3053,645,1468,580,1585,481,1930,null,null,1462,null,null,816,null,null,869,null,null,375,null,null,121,null,null,368,null,null,1157,null,null,899,null,null,804,null,null,942,null,null,738,null,null,1209,null,null,933,null,null,888,null,null,804,null,null,100,null,null,808,null,null,781,null,null,674,null,null,645,null,null,580,null,null,481,null,null,23
1793593,9302,840240,4650,216394,3044,208132,3433,8262,1815,2418,706,5844,1811,623846,3406,524399,6466,99447,5993,60594,4324,38853,4033,953353,6385,207933,3405,200875,3785,7058,1572,3242,1019,3816,1063,745420,4514,639266,7021,106154,6489,60190,4384,45964,4243,9302,null,null,4650,null,null,3044,null,null,3433,null,null,1815,null,null,706,null,null,1811,null,null,3406,null,null,6466,null,null,5993,null,null,4324,null,null,4033,null,null,6385,null,null,3405,null,null,3785,null,null,1572,null,null,1019,null,null,1063,null,null,4514,null,null,7021,null,null,6489,null,null,4384,null,null,4243,null,null,24
506677,8067,247288,5786,66213,3144,59610,3301,6603,1603,2612,1143,3991,1165,181075,4033,105277,4745,75798,4151,41741,3619,34057,3961,259389,5549,62073,3147,53216,3424,8857,2086,3514,1503,5343,1653,197316,3843,107213,4920,90103,5134,53967,3666,36136,3707,8067,null,null,5786,null,null,3144,null,null,3301,null,null,1603,null,null,1143,null,null,1165,null,null,4033,null,null,4745,null,null,4151,null,null,3619,null,null,3961,null,null,5549,null,null,3147,null,null,3424,null,null,2086,null,null,1503,null,null,1653,null,null,3843,null,null,4920,null,null,5134,null,null,3666,null,null,3707,null,null,25
1363336,9361,645034,4971,176371,3464,175088,3283,1283,650,481,382,802,461,468663,3576,455335,4173,13328,2109,7243,1504,6085,1463,718302,5925,170346,3885,168897,3768,1449,615,450,294,999,513,547956,3543,535976,3601,11980,1889,7144,1459,4836,1207,9361,null,null,4971,null,null,3464,null,null,3283,null,null,650,null,null,382,null,null,461,null,null,3576,null,null,4173,null,null,2109,null,null,1504,null,null,1463,null,null,5925,null,null,3885,null,null,3768,null,null,615,null,null,294,null,null,513,null,null,3543,null,null,3601,null,null,1889,null,null,1459,null,null,1207,null,null,26
331308,5844,167669,3881,56765,2953,49500,3208,7265,1633,2440,879,4825,1379,110904,2393,64725,3882,46179,3635,29135,3192,17044,2626,163639,3664,57435,2485,49321,2979,8114,1828,1879,656,6235,1768,106204,2252,59192,3592,47012,3397,29481,2774,17531,2633,5844,null,null,3881,null,null,2953,null,null,3208,null,null,1633,null,null,879,null,null,1379,null,null,2393,null,null,3882,null,null,3635,null,null,3192,null,null,2626,null,null,3664,null,null,2485,null,null,2979,null,null,1828,null,null,656,null,null,1768,null,null,2252,null,null,3592,null,null,3397,null,null,2774,null,null,2633,null,null,27
1134958,6466,529098,5120,155093,3954,154975,3947,118,201,108,201,10,17,374005,2765,373003,2786,1002,559,533,371,469,410,605860,5225,156614,3787,156432,3780,182,212,182,212,0,213,449246,2963,446778,2990,2468,944,1598,822,870,508,6466,null,null,5120,null,null,3954,null,null,3947,null,null,201,null,null,201,null,null,17,null,null,2765,null,null,2786,null,null,559,null,null,371,null,null,410,null,null,5225,null,null,3787,null,null,3780,null,null,212,null,null,212,null,null,213,null,null,2963,null,null,2990,null,null,944,null,null,822,null,null,508,null,null,28
702946,7236,336447,4768,94229,3174,92394,3184,1835,1061,759,483,1076,943,242218,3287,233368,3750,8850,1746,4510,1258,4340,1081,366499,5061,89431,3324,88091,3234,1340,626,754,463,586,550,277068,2853,268949,3132,8119,1809,4529,1230,3590,1057,7236,null,null,4768,null,null,3174,null,null,3184,null,null,1061,null,null,483,null,null,943,null,null,3287,null,null,3750,null,null,1746,null,null,1258,null,null,1081,null,null,5061,null,null,3324,null,null,3234,null,null,626,null,null,463,null,null,550,null,null,2853,null,null,3132,null,null,1809,null,null,1230,null,null,1057,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
89879,3076,46013,1895,14464,1231,13414,1339,1050,554,259,225,791,510,31549,1480,26301,1616,5248,1098,1988,717,3260,853,43866,1860,13345,1123,12801,1086,544,362,237,216,307,284,30521,1158,26166,1416,4355,1095,2017,609,2338,908,3076,null,null,1895,null,null,1231,null,null,1339,null,null,554,null,null,225,null,null,510,null,null,1480,null,null,1616,null,null,1098,null,null,717,null,null,853,null,null,1860,null,null,1123,null,null,1086,null,null,362,null,null,216,null,null,284,null,null,1158,null,null,1416,null,null,1095,null,null,609,null,null,908,null,null,31
260993,5352,131385,3075,35759,2112,34527,2242,1232,888,287,290,945,842,95626,2068,86679,2444,8947,1709,4705,1436,4242,1299,129608,3317,32688,1924,31375,2026,1313,786,644,556,669,518,96920,2176,85480,2982,11440,2351,5867,1463,5573,1668,5352,null,null,3075,null,null,2112,null,null,2242,null,null,888,null,null,290,null,null,842,null,null,2068,null,null,2444,null,null,1709,null,null,1436,null,null,1299,null,null,3317,null,null,1924,null,null,2026,null,null,786,null,null,556,null,null,518,null,null,2176,null,null,2982,null,null,2351,null,null,1463,null,null,1668,null,null,32
16671,1681,9260,1207,2014,623,1198,532,816,483,172,199,644,474,7246,1111,5475,1126,1771,456,823,488,948,386,7411,1173,2065,700,1452,670,613,291,205,238,408,289,5346,769,2527,802,2819,659,1305,552,1514,609,1681,null,null,1207,null,null,623,null,null,532,null,null,483,null,null,199,null,null,474,null,null,1111,null,null,1126,null,null,456,null,null,488,null,null,386,null,null,1173,null,null,700,null,null,670,null,null,291,null,null,238,null,null,289,null,null,769,null,null,802,null,null,659,null,null,552,null,null,609,null,null,33
1194585,11078,563318,5829,140912,3197,135840,3278,5072,1352,1885,1053,3187,859,422406,4291,331723,6153,90683,5062,56757,3981,33926,3539,631267,6827,137472,3202,132977,3503,4495,1185,1371,493,3124,1103,493795,5096,385227,7330,108568,6242,67212,4645,41356,4478,11078,null,null,5829,null,null,3197,null,null,3278,null,null,1352,null,null,1053,null,null,859,null,null,4291,null,null,6153,null,null,5062,null,null,3981,null,null,3539,null,null,6827,null,null,3202,null,null,3503,null,null,1185,null,null,493,null,null,1103,null,null,5096,null,null,7330,null,null,6242,null,null,4645,null,null,4478,null,null,34
41043,2715,23512,1805,5595,1240,5267,1243,328,326,231,287,97,160,17917,1515,15849,1545,2068,1002,949,581,1119,777,17531,1913,4036,1168,3988,1169,48,93,48,93,0,195,13495,1320,12605,1387,890,474,241,188,649,420,2715,null,null,1805,null,null,1240,null,null,1243,null,null,326,null,null,287,null,null,160,null,null,1515,null,null,1545,null,null,1002,null,null,581,null,null,777,null,null,1913,null,null,1168,null,null,1169,null,null,93,null,null,93,null,null,195,null,null,1320,null,null,1387,null,null,474,null,null,188,null,null,420,null,null,35
