C05009_001E,C05009_001M,C05009_002E,C05009_002M,C05009_003E,C05009_003M,C05009_004E,C05009_004M,C05009_005E,C05009_005M,C05009_006E,C05009_006M,C05009_007E,C05009_007M,C05009_008E,C05009_008M,C05009_009E,C05009_009M,C05009_010E,C05009_010M,C05009_011E,C05009_011M,C05009_012E,C05009_012M,C05009_013E,C05009_013M,C05009_014E,C05009_014M,C05009_015E,C05009_015M,C05009_001M,C05009_001EA,C05009_001MA,C05009_002M,C05009_002EA,C05009_002MA,C05009_003M,C05009_003EA,C05009_003MA,C05009_004M,C05009_004EA,C05009_004MA,C05009_005M,C05009_005EA,C05009_005MA,C05009_006M,C05009_006EA,C05009_006MA,C05009_007M,C05009_007EA,C05009_007MA,C05009_008M,C05009_008EA,C05009_008MA,C05009_009M,C05009_009EA,C05009_009MA,C05009_010M,C05009_010EA,C05009_010MA,C05009_011M,C05009_011EA,C05009_011MA,C05009_012M,C05009_012EA,C05009_012MA,C05009_013M,C05009_013EA,C05009_013MA,C05009_014M,C05009_014EA,C05009_014MA,C05009_015M,C05009_015EA,C05009_015MA,state
3916874,10716,1287696,10980,1255554,12498,32142,3926,863158,12603,424538,12328,393674,12531,30864,3747,2629178,12905,2453720,15714,175458,8963,1726437,19638,902741,15397,734678,15290,168063,8927,10716,null,null,10980,null,null,12498,null,null,3926,null,null,12603,null,null,12328,null,null,12531,null,null,3747,null,null,12905,null,null,15714,null,null,8963,null,null,19638,null,null,15397,null,null,15290,null,null,8927,null,null,12
2370784,8688,745784,8143,734344,8213,11440,2441,589146,9039,156638,7189,145708,6945,10930,2363,1625000,10481,1572545,11245,52455,5324,1289774,13205,335226,12006,286448,12322,48778,5227,8688,null,null,8143,null,null,8213,null,null,2441,null,null,9039,null,null,7189,null,null,6945,null,null,2363,null,null,10481,null,null,11245,null,null,5324,null,null,13205,null,null,12006,null,null,12322,null,null,5227,null,null,13
286037,3464,103327,2623,101351,2695,1976,807,74973,3546,28354,3124,26857,2968,1497,596,182710,3438,172204,4205,10506,2725,125851,4928,56859,4317,47172,3987,9687,2744,3464,null,null,2623,null,null,2695,null,null,807,null,null,3546,null,null,3124,null,null,2968,null,null,596,null,null,3438,null,null,4205,null,null,2725,null,null,4928,null,null,4317,null,null,3987,null,null,2744,null,null,15
421469,2724,133275,3252,132915,3401,360,376,115048,3981,18227,2627,17867,2552,360,376,288194,3667,282447,3975,5747,1648,248215,4695,39979,3827,35428,3870,4551,1507,2724,null,null,3252,null,null,3401,null,null,376,null,null,3981,null,null,2627,null,null,2552,null,null,376,null,null,3667,null,null,3975,null,null,1648,null,null,4695,null,null,3827,null,null,3870,null,null,1507,null,null,16
2805993,7004,894705,6534,880940,6680,13765,2421,662852,7917,231853,8556,218933,8236,12920,2368,1911288,8466,1845594,10418,65694,5444,1401577,14458,509711,12476,452545,12162,57166,5280,7004,null,null,6534,null,null,6680,null,null,2421,null,null,7917,null,null,8556,null,null,8236,null,null,2368,null,null,8466,null,null,10418,null,null,5444,null,null,14458,null,null,12476,null,null,12162,null,null,5280,null,null,17
1489601,6338,481661,5904,476009,5902,5652,1460,423257,6610,58404,4095,53804,3927,4600,1393,1007940,7734,985460,8209,22480,3332,890937,9515,117003,7013,99725,6688,17278,2888,6338,null,null,5904,null,null,5902,null,null,1460,null,null,6610,null,null,4095,null,null,3927,null,null,1393,null,null,7734,null,null,8209,null,null,3332,null,null,9515,null,null,7013,null,null,6688,null,null,2888,null,null,18
695841,3386,229769,3608,227612,3522,2157,834,203008,3707,26761,2298,24759,2330,2002,818,466072,4353,453494,4641,12578,2304,415868,4828,50204,3177,39421,3251,10783,2205,3386,null,null,3608,null,null,3522,null,null,834,null,null,3707,null,null,2298,null,null,2330,null,null,818,null,null,4353,null,null,4641,null,null,2304,null,null,4828,null,null,3177,null,null,3251,null,null,2205,null,null,19
685239,4100,227350,3967,225479,3917,1871,823,192184,4095,35166,3241,33295,2986,1871,823,457889,4349,446811,4676,11078,1732,383656,5540,74233,4473,64834,4562,9399,1629,4100,null,null,3967,null,null,3917,null,null,823,null,null,4095,null,null,3241,null,null,2986,null,null,823,null,null,4349,null,null,4676,null,null,1732,null,null,5540,null,null,4473,null,null,4562,null,null,1629,null,null,20
927917,6765,299112,4803,296712,4706,2400,654,273657,4907,25455,3022,23714,2850,1741,695,628805,7243,613645,7482,15160,3046,577925,7899,50880,4802,39048,4241,11832,2748,6765,null,null,4803,null,null,4706,null,null,654,null,null,4907,null,null,3022,null,null,2850,null,null,695,null,null,7243,null,null,7482,null,null,3046,null,null,7899,null,null,4802,null,null,4241,null,null,2748,null,null,21
1038911,7324,351708,5832,349529,5926,2179,869,320805,5801,30903,3686,28724,3671,2179,869,687203,8243,676208,8503,10995,2073,639968,7783,47235,4023,37328,4322,9907,1908,7324,null,null,5832,null,null,5926,null,null,869,null,null,5801,null,null,3686,null,null,3671,null,null,869,null,null,8243,null,null,8503,null,null,2073,null,null,7783,null,null,4023,null,null,4322,null,null,1908,null,null,22
