B07411_001E,B07411_001M,B07411_002E,B07411_002M,B07411_003E,B07411_003M,B07411_004E,B07411_004M,B07411_005E,B07411_005M,B07411_001M,B07411_001EA,B07411_001MA,B07411_002M,B07411_002EA,B07411_002MA,B07411_003M,B07411_003EA,B07411_003MA,B07411_004M,B07411_004EA,B07411_004MA,B07411_005M,B07411_005EA,B07411_005MA,state
25850,150,26171,157,23914,645,22292,684,23763,1298,150,null,null,157,null,null,645,null,null,684,null,null,1298,null,null,12
27041,209,27724,408,24164,1148,22069,667,25874,1703,209,null,null,408,null,null,1148,null,null,667,null,null,1703,null,null,13
32046,361,32448,628,30379,1765,27208,12981,26122,2210,361,null,null,628,null,null,1765,null,null,12981,null,null,2210,null,null,15
25119,425,26244,496,20775,1264,18247,2413,18765,2224,425,null,null,496,null,null,1264,null,null,2413,null,null,2224,null,null,16
30661,153,31198,155,27140,520,22578,1703,22890,1811,153,null,null,155,null,null,520,null,null,1703,null,null,1811,null,null,17
27370,164,28850,301,21796,431,19784,1534,22845,3117,164,null,null,301,null,null,431,null,null,1534,null,null,3117,null,null,18
30299,240,31392,249,23142,1299,16506,1190,24951,1804,240,null,null,249,null,null,1299,null,null,1190,null,null,1804,null,null,19
29086,526,30305,307,24210,1092,17969,2667,27269,3036,526,null,null,307,null,null,1092,null,null,2667,null,null,3036,null,null,20
25022,292,25755,273,20673,596,17558,1675,25642,1965,292,null,null,273,null,null,596,null,null,1675,null,null,1965,null,null,21
24425,399,25077,340,20550,1045,19490,1288,22446,2540,399,null,null,340,null,null,1045,null,null,1288,null,null,2540,null,null,22
26733,418,27359,546,22019,1449,20673,2445,23596,4340,418,null,null,546,null,null,1449,null,null,2445,null,null,4340,null,null,23
37070,307,38143,576,31723,1038,30464,1791,31350,1259,307,null,null,576,null,null,1038,null,null,1791,null,null,1259,null,null,24
35192,277,35782,302,30527,815,35304,3405,26176,2423,277,null,null,302,null,null,815,null,null,3405,null,null,2423,null,null,25
26953,151,28237,277,21460,423,19181,994,23553,1862,151,null,null,277,null,null,423,null,null,994,null,null,1862,null,null,26
32499,328,34659,469,27085,815,25408,1136,22077,1457,328,null,null,469,null,null,815,null,null,1136,null,null,1457,null,null,27
22201,258,22975,544,19145,1478,16354,1546,19820,1873,258,null,null,544,null,null,1478,null,null,1546,null,null,1873,null,null,28
27137,232,28572,402,21395,486,19887,1033,23615,2698,232,null,null,402,null,null,486,null,null,1033,null,null,2698,null,null,29
26050,549,27384,699,21297,1283,17519,3591,20051,2510,549,null,null,699,null,null,1283,null,null,3591,null,null,2510,null,null,30
30485,237,31482,249,24698,1528,18354,1837,25069,2387,237,null,null,249,null,null,1528,null,null,1837,null,null,2387,null,null,31
28547,590,29615,637,25266,1024,20598,2708,26151,2620,590,null,null,637,null,null,1024,null,null,2708,null,null,2620,null,null,32
32837,890,34918,760,27205,2025,26982,2371,26777,2601,890,null,null,760,null,null,2025,null,null,2371,null,null,2601,null,null,33
35213,273,35768,288,29635,1723,35540,2255,26955,2516,273,null,null,288,null,null,1723,null,null,2255,null,null,2516,null,null,34
24244,480,24956,443,19771,1524,15946,2508,24262,2869,480,null,null,443,null,null,1524,null,null,2508,null,null,2869,null,null,35
31147,133,31382,137,28358,1309,27060,1161,28562,2580,133,null,null,137,null,null,1309,null,null,1161,null,null,2580,null,null,36
26513,175,27095,183,22848,1070,19545,1396,25473,1206,175,null,null,183,null,null,1070,null,null,1396,null,null,1206,null,null,37
32540,950,35484,772,26097,2002,24269,3089,24211,2747,950,null,null,772,null,null,2002,null,null,3089,null,null,2747,null,null,38
