B19121_001E,B19121_001M,B19121_002E,B19121_002M,B19121_003E,B19121_003M,B19121_004E,B19121_004M,B19121_005E,B19121_005M,B19121_001M,B19121_001EA,B19121_001MA,B19121_002M,B19121_002EA,B19121_002MA,B19121_003M,B19121_003EA,B19121_003MA,B19121_004M,B19121_004EA,B19121_004MA,B19121_005M,B19121_005EA,B19121_005MA,state
61289,377,39354,682,45703,686,81037,616,98021,1612,377,null,null,682,null,null,686,null,null,616,null,null,1612,null,null,12
65018,618,31988,910,45142,1117,85966,960,101184,2338,618,null,null,910,null,null,1117,null,null,960,null,null,2338,null,null,13
86768,1511,41758,5103,63137,3426,97469,2621,135775,6982,1511,null,null,5103,null,null,3426,null,null,2621,null,null,6982,null,null,15
63182,1468,39112,2925,49096,2754,75788,2574,95845,5505,1468,null,null,2925,null,null,2754,null,null,2574,null,null,5505,null,null,16
76950,630,36646,1066,51317,590,98502,1058,115199,1544,630,null,null,1066,null,null,590,null,null,1058,null,null,1544,null,null,17
66032,571,37255,916,46802,875,83461,979,106930,2114,571,null,null,916,null,null,875,null,null,979,null,null,2114,null,null,18
72351,954,39505,1518,49158,1176,87728,1549,105137,2255,954,null,null,1518,null,null,1176,null,null,1549,null,null,2255,null,null,19
70792,1067,39690,1605,49630,1416,85437,1765,108247,3801,1067,null,null,1605,null,null,1416,null,null,1765,null,null,3801,null,null,20
59023,1044,28535,1273,42808,1035,82424,1436,104742,3313,1044,null,null,1273,null,null,1035,null,null,1436,null,null,3313,null,null,21
57490,998,24538,1099,42341,881,85604,1645,106966,2425,998,null,null,1099,null,null,881,null,null,1645,null,null,2425,null,null,22
68277,1932,36589,1821,49805,2516,86207,2226,108228,3806,1932,null,null,1821,null,null,2516,null,null,2226,null,null,3806,null,null,23
95336,976,46302,2275,64352,1605,118538,2239,136219,3019,976,null,null,2275,null,null,1605,null,null,2239,null,null,3019,null,null,24
95207,1017,36689,1246,61353,1156,118082,1942,138481,2599,1017,null,null,1246,null,null,1156,null,null,1942,null,null,2599,null,null,25
67330,528,40203,668,48626,816,88169,1020,110326,1760,528,null,null,668,null,null,816,null,null,1020,null,null,1760,null,null,26
83344,991,45420,1291,53474,1556,100281,783,119590,1991,991,null,null,1291,null,null,1556,null,null,783,null,null,1991,null,null,27
52672,1093,26441,1196,39231,1495,76577,2092,96755,4311,1093,null,null,1196,null,null,1495,null,null,2092,null,null,4311,null,null,28
65058,683,36730,980,45518,842,83101,1189,106764,2143,683,null,null,980,null,null,842,null,null,1189,null,null,2143,null,null,29
66288,1333,43092,2289,48210,2055,82130,2608,100873,5313,1333,null,null,2289,null,null,2055,null,null,2608,null,null,5313,null,null,30
73488,1252,40095,2117,45837,988,89595,1902,102221,2318,1252,null,null,2117,null,null,988,null,null,1902,null,null,2318,null,null,31
65384,1229,39123,2056,48144,1892,81433,1291,99125,3384,1229,null,null,2056,null,null,1892,null,null,1291,null,null,3384,null,null,32
86696,1850,47935,2764,63185,2262,101371,1776,126240,5760,1850,null,null,2764,null,null,2262,null,null,1776,null,null,5760,null,null,33
94546,1124,39990,1462,64901,1588,118181,1683,138726,1759,1124,null,null,1462,null,null,1588,null,null,1683,null,null,1759,null,null,34
56802,1445,34888,2027,42010,1089,78382,2977,93937,3920,1445,null,null,2027,null,null,1089,null,null,2977,null,null,3920,null,null,35
77379,578,32842,786,52024,494,102181,686,123586,1811,578,null,null,786,null,null,494,null,null,686,null,null,1811,null,null,36
62289,524,33961,1091,45469,690,83054,1062,98896,1687,524,null,null,1091,null,null,690,null,null,1062,null,null,1687,null,null,37
79530,2144,38865,2856,50622,3361,93001,3329,115596,9278,2144,null,null,2856,null,null,3361,null,null,3329,null,null,9278,null,null,38
66722,434,36531,711,47582,878,87074,765,108209,1801,434,null,null,711,null,null,878,null,null,765,null,null,1801,null,null,39
61633,649,32412,893,45206,936,81939,1040,103611,3137,649,null,null,893,null,null,936,null,null,1040,null,null,3137,null,null,40
70929,984,43658,1764,52385,1723,89081,2164,103941,3623,984,null,null,1764,null,null,1723,null,null,2164,null,null,3623,null,null,41
72313,457,37197,594,51960,451,93545,909,115889,1406,457,null,null,594,null,null,451,null,null,909,null,null,1406,null,null,42
77940,2404,36630,2346,50602,2973,101978,2499,122283,4469,2404,null,null,2346,null,null,2973,null,null,2499,null,null,4469,null,null,44
61535,772,36487,1168,44786,1316,82040,1297,99093,2829,772,null,null,1168,null,null,1316,null,null,1297,null,null,2829,null,null,45
70853,1560,36838,4607,44992,2038,83891,2181,105564,6989,1560,null,null,4607,null,null,2038,null,null,2181,null,null,6989,null,null,46
60659,709,30836,1009,44886,1299,80588,1049,103174,2542,709,null,null,1009,null,null,1299,null,null,1049,null,null,2542,null,null,47
67025,467,32033,665,46253,523,89513,944,101823,1302,467,null,null,665,null,null,523,null,null,944,null,null,1302,null,null,48
74181,1212,45042,2201,57771,2352,81266,1306,110927,2572,1212,null,null,2201,null,null,2352,null,null,1306,null,null,2572,null,null,49
74805,2276,37945,4363,52414,2966,88906,2606,118425,6638,2276,null,null,4363,null,null,2966,null,null,2606,null,null,6638,null,null,50
83306,818,42654,1257,58759,1462,104996,1418,127771,2140,818,null,null,1257,null,null,1462,null,null,1418,null,null,2140,null,null,51
81234,792,46910,1471,62054,1054,100900,1108,121883,2802,792,null,null,1471,null,null,1054,null,null,1108,null,null,2802,null,null,53
56703,1030,32484,1606,44849,1817,80324,2337,102076,6242,1030,null,null,1606,null,null,1817,null,null,2337,null,null,6242,null,null,54
72891,693,39903,865,48521,1138,89521,893,109870,1564,693,null,null,865,null,null,1138,null,null,893,null,null,1564,null,null,55
