C27013_001E,C27013_001M,C27013_002E,C27013_002M,C27013_003E,C27013_003M,C27013_004E,C27013_004M,C27013_005E,C27013_005M,C27013_006E,C27013_006M,C27013_007E,C27013_007M,C27013_008E,C27013_008M,C27013_009E,C27013_009M,C27013_010E,C27013_010M,C27013_011E,C27013_011M,C27013_012E,C27013_012M,C27013_013E,C27013_013M,C27013_014E,C27013_014M,C27013_015E,C27013_015M,C27013_016E,C27013_016M,C27013_017E,C27013_017M,C27013_018E,C27013_018M,C27013_019E,C27013_019M,C27013_020E,C27013_020M,C27013_021E,C27013_021M,C27013_022E,C27013_022M,C27013_001M,C27013_001EA,C27013_001MA,C27013_002M,C27013_002EA,C27013_002MA,C27013_003M,C27013_003EA,C27013_003MA,C27013_004M,C27013_004EA,C27013_004MA,C27013_005M,C27013_005EA,C27013_005MA,C27013_006M,C27013_006EA,C27013_006MA,C27013_007M,C27013_007EA,C27013_007MA,C27013_008M,C27013_008EA,C27013_008MA,C27013_009M,C27013_009EA,C27013_009MA,C27013_010M,C27013_010EA,C27013_010MA,C27013_011M,C27013_011EA,C27013_011MA,C27013_012M,C27013_012EA,C27013_012MA,C27013_013M,C27013_013EA,C27013_013MA,C27013_014M,C27013_014EA,C27013_014MA,C27013_015M,C27013_015EA,C27013_015MA,C27013_016M,C27013_016EA,C27013_016MA,C27013_017M,C27013_017EA,C27013_017MA,C27013_018M,C27013_018EA,C27013_018MA,C27013_019M,C27013_019EA,C27013_019MA,C27013_020M,C27013_020EA,C27013_020MA,C27013_021M,C27013_021EA,C27013_021MA,C27013_022M,C27013_022EA,C27013_022MA,state
16158134,5598,6522587,36964,6232323,36196,5106632,40489,1125691,24429,290264,9110,184310,7251,105954,5213,3410513,33690,2997480,34138,1913584,24367,1083896,25260,413033,8466,210650,6799,202383,5780,6225034,32656,2907585,29291,1375721,22611,1531864,26653,3317449,12402,1689311,16215,1628138,17849,5598,null,null,36964,null,null,36196,null,null,40489,null,null,24429,null,null,9110,null,null,7251,null,null,5213,null,null,33690,null,null,34138,null,null,24367,null,null,25260,null,null,8466,null,null,6799,null,null,5780,null,null,32656,null,null,29291,null,null,22611,null,null,26653,null,null,12402,null,null,16215,null,null,17849,null,null,12
7614462,5045,3425190,25696,3307150,24965,2823204,25259,483946,16181,118040,5633,87450,4972,30590,3131,1679018,24532,1527537,23543,1013813,17812,513724,15044,151481,4852,91402,3883,60079,3593,2510254,21101,1449472,20741,699994,15361,749478,17044,1060782,8115,610527,10646,450255,11137,5045,null,null,25696,null,null,24965,null,null,25259,null,null,16181,null,null,5633,null,null,4972,null,null,3131,null,null,24532,null,null,23543,null,null,17812,null,null,15044,null,null,4852,null,null,3883,null,null,3593,null,null,21101,null,null,20741,null,null,15361,null,null,17044,null,null,8115,null,null,10646,null,null,11137,null,null,13
1071169,2692,489415,7484,461035,7182,431902,7556,29133,3317,28380,2710,25710,2495,2670,801,242895,7380,210288,6635,155231,5876,55057,4142,32607,2465,24586,2404,8021,1223,338859,7326,161112,6956,92882,5039,68230,5052,177747,3151,116885,3465,60862,2953,2692,null,null,7484,null,null,7182,null,null,7556,null,null,3317,null,null,2710,null,null,2495,null,null,801,null,null,7380,null,null,6635,null,null,5876,null,null,4142,null,null,2465,null,null,2404,null,null,1223,null,null,7326,null,null,6956,null,null,5039,null,null,5052,null,null,3151,null,null,3465,null,null,2953,null,null,15
1227237,1476,516947,9158,497956,8749,430837,8906,67119,4767,18991,2064,14490,1732,4501,1095,319219,8318,285443,7825,203542,7495,81901,5118,33776,2012,21557,1765,12219,1470,391071,7846,191404,7002,108311,5614,83093,4604,199667,2918,121398,4960,78269,4699,1476,null,null,9158,null,null,8749,null,null,8906,null,null,4767,null,null,2064,null,null,1732,null,null,1095,null,null,8318,null,null,7825,null,null,7495,null,null,5118,null,null,2012,null,null,1765,null,null,1470,null,null,7846,null,null,7002,null,null,5614,null,null,4604,null,null,2918,null,null,4960,null,null,4699,null,null,16
9700525,2700,4380480,25042,4224431,24153,3701234,23346,523197,12118,156049,5018,120963,4246,35086,2737,2321998,21745,2092262,20073,1448206,17830,644056,13974,229736,6543,152647,4647,77089,3894,2998047,19042,1575922,18179,800085,12831,775837,15000,1422125,7535,853846,10656,568279,10366,2700,null,null,25042,null,null,24153,null,null,23346,null,null,12118,null,null,5018,null,null,4246,null,null,2737,null,null,21745,null,null,20073,null,null,17830,null,null,13974,null,null,6543,null,null,4647,null,null,3894,null,null,19042,null,null,18179,null,null,12831,null,null,15000,null,null,7535,null,null,10656,null,null,10366,null,null,17
4960989,3562,2209845,16598,2133924,16904,1894723,16150,239201,8442,75921,4006,57849,3440,18072,1871,1209953,14979,1078219,15467,743817,13807,334402,12044,131734,5195,82417,4379,49317,3263,1541191,12116,791568,12143,390351,9618,401217,9854,749623,6128,477775,7724,271848,7425,3562,null,null,16598,null,null,16904,null,null,16150,null,null,8442,null,null,4006,null,null,3440,null,null,1871,null,null,14979,null,null,15467,null,null,13807,null,null,12044,null,null,5195,null,null,4379,null,null,3263,null,null,12116,null,null,12143,null,null,9618,null,null,9854,null,null,6128,null,null,7724,null,null,7425,null,null,18
2366440,1861,1132183,11037,1088742,10786,986146,11849,102596,5557,43441,2431,33860,2429,9581,1249,602813,10022,517835,9557,386716,8414,131119,5939,84978,3305,57411,2915,27567,2056,631444,8508,268628,7123,140620,4356,128008,6187,362816,4086,236356,4948,126460,4353,1861,null,null,11037,null,null,10786,null,null,11849,null,null,5557,null,null,2431,null,null,2429,null,null,1249,null,null,10022,null,null,9557,null,null,8414,null,null,5939,null,null,3305,null,null,2915,null,null,2056,null,null,8508,null,null,7123,null,null,4356,null,null,6187,null,null,4086,null,null,4948,null,null,4353,null,null,19
2137760,2885,1011521,10551,968600,9810,872578,9954,96022,4858,42921,2708,33819,2515,9102,1132,524701,8907,458746,8450,338918,7771,119828,5625,65955,3338,44443,3090,21512,1569,601538,8249,291047,6937,161653,5024,129394,6226,310491,4100,204032,4608,106459,4131,2885,null,null,10551,null,null,9810,null,null,9954,null,null,4858,null,null,2708,null,null,2515,null,null,1132,null,null,8907,null,null,8450,null,null,7771,null,null,5625,null,null,3338,null,null,3090,null,null,1569,null,null,8249,null,null,6937,null,null,5024,null,null,6226,null,null,4100,null,null,4608,null,null,4131,null,null,20
3344394,3524,1381101,16950,1331457,16512,1154804,16472,176653,8755,49644,2628,38668,2251,10976,1234,746311,14296,670105,13304,427350,10025,242755,8895,76206,3936,51031,3191,25175,2671,1216982,14481,677465,13750,269970,8465,407495,10668,539517,4912,328477,6506,211040,6754,3524,null,null,16950,null,null,16512,null,null,16472,null,null,8755,null,null,2628,null,null,2251,null,null,1234,null,null,14296,null,null,13304,null,null,10025,null,null,8895,null,null,3936,null,null,3191,null,null,2671,null,null,14481,null,null,13750,null,null,8465,null,null,10668,null,null,4912,null,null,6506,null,null,6754,null,null,21
3461725,2923,1433780,13725,1370471,13154,1156688,13466,213783,9178,63309,3416,47684,3299,15625,1991,767394,13140,690901,12809,430054,10763,260847,10471,76493,4344,46341,3350,30152,2793,1260551,13330,746327,12823,307587,9421,438740,12350,514224,4887,275292,5586,238932,5711,2923,null,null,13725,null,null,13154,null,null,13466,null,null,9178,null,null,3416,null,null,3299,null,null,1991,null,null,13140,null,null,12809,null,null,10763,null,null,10471,null,null,4344,null,null,3350,null,null,2793,null,null,13330,null,null,12823,null,null,9421,null,null,12350,null,null,4887,null,null,5586,null,null,5711,null,null,22
