C16007_001E,C16007_001M,C16007_002E,C16007_002M,C16007_003E,C16007_003M,C16007_004E,C16007_004M,C16007_005E,C16007_005M,C16007_006E,C16007_006M,C16007_007E,C16007_007M,C16007_008E,C16007_008M,C16007_009E,C16007_009M,C16007_010E,C16007_010M,C16007_011E,C16007_011M,C16007_012E,C16007_012M,C16007_013E,C16007_013M,C16007_001M,C16007_001EA,C16007_001MA,C16007_002M,C16007_002EA,C16007_002MA,C16007_003M,C16007_003EA,C16007_003MA,C16007_004M,C16007_004EA,C16007_004MA,C16007_005M,C16007_005EA,C16007_005MA,C16007_006M,C16007_006EA,C16007_006MA,C16007_007M,C16007_007EA,C16007_007MA,C16007_008M,C16007_008EA,C16007_008MA,C16007_009M,C16007_009EA,C16007_009MA,C16007_010M,C16007_010EA,C16007_010MA,C16007_011M,C16007_011EA,C16007_011MA,C16007_012M,C16007_012EA,C16007_012MA,C16007_013M,C16007_013EA,C16007_013MA,state
19494972,2952,3027673,4366,2163515,15651,673926,11793,190232,9766,12376535,5617,8482813,31057,2906972,20069,986750,24349,4090764,4013,3238335,11112,567753,5662,284676,9769,2952,null,null,4366,null,null,15651,null,null,11793,null,null,9766,null,null,5617,null,null,31057,null,null,20069,null,null,24349,null,null,4013,null,null,11112,null,null,5662,null,null,9769,null,null,12
9655493,4445,1855732,4692,1566120,10333,206900,6990,82712,7447,6440627,4798,5469141,15994,529766,8428,441720,15205,1359134,4105,1268783,4798,31554,2569,58797,4094,4445,null,null,4692,null,null,10333,null,null,6990,null,null,7447,null,null,4798,null,null,15994,null,null,8428,null,null,15205,null,null,4105,null,null,4798,null,null,2569,null,null,4094,null,null,13
1337835,28,217043,756,173188,4603,4524,1540,39331,4582,877251,884,638501,9478,21687,2916,217063,9515,243541,614,171331,3818,2600,795,69610,3839,28,null,null,756,null,null,4603,null,null,1540,null,null,4582,null,null,884,null,null,9478,null,null,2916,null,null,9515,null,null,614,null,null,3818,null,null,795,null,null,3839,null,null,15
1568997,1710,322314,2066,281494,3545,33382,2971,7438,1850,990521,1970,875283,4887,85538,4034,29700,3096,256162,1730,242212,2149,7940,1345,6010,1342,1710,null,null,2066,null,null,3545,null,null,2971,null,null,1850,null,null,1970,null,null,4887,null,null,4034,null,null,3096,null,null,1730,null,null,2149,null,null,1345,null,null,1342,null,null,16
12032049,2349,2153229,2636,1639503,12007,368740,9072,144986,7730,8005990,3403,6053850,18387,1145369,10991,806771,14263,1872830,3297,1577452,5471,110269,2795,185109,5548,2349,null,null,2636,null,null,12007,null,null,9072,null,null,7730,null,null,3403,null,null,18387,null,null,10991,null,null,14263,null,null,3297,null,null,5471,null,null,2795,null,null,5548,null,null,17
6212686,3036,1157166,3955,1036467,7240,79402,5120,41297,4319,4062181,3450,3683369,10188,206102,6864,172710,7306,993339,2635,950036,2883,16607,1342,26696,2347,3036,null,null,3955,null,null,7240,null,null,5120,null,null,4319,null,null,3450,null,null,10188,null,null,6864,null,null,7306,null,null,2635,null,null,2883,null,null,1342,null,null,2347,null,null,18
2937206,1804,529480,2382,477637,3536,30902,2205,20941,2668,1893984,2438,1733353,5725,82808,3306,77823,4082,513742,1794,500062,2051,4496,790,9184,1566,1804,null,null,2382,null,null,3536,null,null,2205,null,null,2668,null,null,2438,null,null,5725,null,null,3306,null,null,4082,null,null,1794,null,null,2051,null,null,790,null,null,1566,null,null,19
2709883,1979,517513,2276,441644,3903,58771,3357,17098,2379,1754699,3285,1535262,7525,141721,4710,77716,5253,437671,2077,417072,2294,10295,1332,10304,1204,1979,null,null,2276,null,null,3903,null,null,3357,null,null,2379,null,null,3285,null,null,7525,null,null,4710,null,null,5253,null,null,2077,null,null,2294,null,null,1332,null,null,1204,null,null,20
4164025,2784,739508,3715,692369,5637,25465,2633,21674,3308,2736992,3378,2580332,6045,76013,3939,80647,5239,687525,2148,674257,2322,4769,1058,8499,1190,2784,null,null,3715,null,null,5637,null,null,2633,null,null,3308,null,null,3378,null,null,6045,null,null,3939,null,null,5239,null,null,2148,null,null,2322,null,null,1058,null,null,1190,null,null,21
4374703,3568,810318,3613,759082,5477,33044,3260,18192,2364,2890206,3354,2651793,7652,122691,5234,115722,5965,674179,2520,610850,3251,11425,1439,51904,2897,3568,null,null,3613,null,null,5477,null,null,3260,null,null,2364,null,null,3354,null,null,7652,null,null,5234,null,null,5965,null,null,2520,null,null,3251,null,null,1439,null,null,2897,null,null,22
