B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,B09002_001M,B09002_001EA,B09002_001MA,B09002_002M,B09002_002EA,B09002_002MA,B09002_003M,B09002_003EA,B09002_003MA,B09002_004M,B09002_004EA,B09002_004MA,B09002_005M,B09002_005EA,B09002_005MA,B09002_006M,B09002_006EA,B09002_006MA,B09002_007M,B09002_007EA,B09002_007MA,B09002_008M,B09002_008EA,B09002_008MA,B09002_009M,B09002_009EA,B09002_009MA,B09002_010M,B09002_010EA,B09002_010MA,B09002_011M,B09002_011EA,B09002_011MA,B09002_012M,B09002_012EA,B09002_012MA,B09002_013M,B09002_013EA,B09002_013MA,B09002_014M,B09002_014EA,B09002_014MA,B09002_015M,B09002_015EA,B09002_015MA,B09002_016M,B09002_016EA,B09002_016MA,B09002_017M,B09002_017EA,B09002_017MA,B09002_018M,B09002_018EA,B09002_018MA,B09002_019M,B09002_019EA,B09002_019MA,B09002_020M,B09002_020EA,B09002_020MA,state
3581542,15503,2306771,23751,371843,10007,245352,6862,120780,6752,776057,16037,792739,16949,1274771,20865,283242,14263,48859,4711,31261,3791,12804,2202,92735,7099,97583,7173,991529,21898,139759,6861,103498,6254,56727,5199,333694,12058,357851,12630,15503,null,null,23751,null,null,10007,null,null,6862,null,null,6752,null,null,16037,null,null,16949,null,null,20865,null,null,14263,null,null,4711,null,null,3791,null,null,2202,null,null,7099,null,null,7173,null,null,21898,null,null,6861,null,null,6254,null,null,5199,null,null,12058,null,null,12630,null,null,12
2160497,14233,1414144,20478,211124,8177,144897,6385,71768,4921,485147,11721,501208,11973,746353,19617,146393,10825,28348,4549,15886,2884,5456,1311,50990,5256,45713,4867,599960,20199,81122,5619,62666,6033,26784,3518,215089,9483,214299,10312,14233,null,null,20478,null,null,8177,null,null,6385,null,null,4921,null,null,11721,null,null,11973,null,null,19617,null,null,10825,null,null,4549,null,null,2884,null,null,1311,null,null,5256,null,null,4867,null,null,20199,null,null,5619,null,null,6033,null,null,3518,null,null,9483,null,null,10312,null,null,13
231598,5647,177229,6719,30029,2380,21767,1913,9814,1544,58269,3742,57350,3176,54369,4450,17504,2703,3311,1184,1700,860,1706,726,6338,1584,4449,1214,36865,3599,4162,918,4410,1055,1840,665,13812,1966,12641,1870,5647,null,null,6719,null,null,2380,null,null,1913,null,null,1544,null,null,3742,null,null,3176,null,null,4450,null,null,2703,null,null,1184,null,null,860,null,null,726,null,null,1584,null,null,1214,null,null,3599,null,null,918,null,null,1055,null,null,665,null,null,1966,null,null,1870,null,null,15
398658,4264,306180,8163,45041,3001,34662,2768,15299,2312,109797,5066,101381,4641,92478,7502,27554,4617,4124,1119,2777,970,2235,975,7898,1852,10520,2593,64924,6742,9598,1763,5844,1340,2514,973,23260,3149,23708,3150,4264,null,null,8163,null,null,3001,null,null,2768,null,null,2312,null,null,5066,null,null,4641,null,null,7502,null,null,4617,null,null,1119,null,null,970,null,null,975,null,null,1852,null,null,2593,null,null,6742,null,null,1763,null,null,1340,null,null,973,null,null,3149,null,null,3150,null,null,16
2604898,11095,1816002,20087,281825,7388,193278,6673,100897,4638,611521,10213,628481,11324,788896,19067,179158,11321,31438,3358,20291,2755,9034,1460,58768,5409,59627,5253,609738,18026,80120,5579,58300,4289,26884,3017,213931,9118,230503,9021,11095,null,null,20087,null,null,7388,null,null,6673,null,null,4638,null,null,10213,null,null,11324,null,null,19067,null,null,11321,null,null,3358,null,null,2755,null,null,1460,null,null,5409,null,null,5253,null,null,18026,null,null,5579,null,null,4289,null,null,3017,null,null,9118,null,null,9021,null,null,17
1393050,10424,959846,15080,147035,5357,109129,4446,51380,4042,327016,7499,325286,7572,433204,14550,106277,6564,18766,2557,10781,1501,5679,1539,34844,3654,36207,3574,326927,13120,45603,3501,33317,3153,16771,2878,116168,6792,115068,5786,10424,null,null,15080,null,null,5357,null,null,4446,null,null,4042,null,null,7499,null,null,7572,null,null,14550,null,null,6564,null,null,2557,null,null,1501,null,null,1539,null,null,3654,null,null,3574,null,null,13120,null,null,3501,null,null,3153,null,null,2878,null,null,6792,null,null,5786,null,null,18
668235,4581,482355,8092,76688,3269,53321,2649,26347,2305,165425,4559,160574,5626,185880,7802,48206,4330,8278,1537,6171,1542,2548,645,15819,1908,15390,2080,137674,7032,23193,2571,13482,1791,7709,1366,48170,3891,45120,4342,4581,null,null,8092,null,null,3269,null,null,2649,null,null,2305,null,null,4559,null,null,5626,null,null,7802,null,null,4330,null,null,1537,null,null,1542,null,null,645,null,null,1908,null,null,2080,null,null,7032,null,null,2571,null,null,1791,null,null,1366,null,null,3891,null,null,4342,null,null,19
656518,5339,470584,10057,80334,3581,50956,2665,24482,2231,157814,6188,156998,5369,185934,10538,51330,5373,8381,1939,5599,1319,2315,852,18504,3288,16531,2257,134604,8867,17501,2204,15693,2203,7686,1617,48503,4450,45221,4028,5339,null,null,10057,null,null,3581,null,null,2665,null,null,2231,null,null,6188,null,null,5369,null,null,10538,null,null,5373,null,null,1939,null,null,1319,null,null,852,null,null,3288,null,null,2257,null,null,8867,null,null,2204,null,null,2203,null,null,1617,null,null,4450,null,null,4028,null,null,20
867427,7897,583241,12073,91535,4388,66152,3770,28235,2258,201320,6888,195999,5301,284186,11008,64124,6125,10652,2114,5317,1026,2382,723,22304,3280,23469,3105,220062,9274,34947,3095,23461,2597,10017,1825,78196,4089,73441,4647,7897,null,null,12073,null,null,4388,null,null,3770,null,null,2258,null,null,6888,null,null,5301,null,null,11008,null,null,6125,null,null,2114,null,null,1026,null,null,723,null,null,3280,null,null,3105,null,null,9274,null,null,3095,null,null,2597,null,null,1825,null,null,4089,null,null,4647,null,null,21
945220,10715,559987,17817,90098,5098,59407,4417,31999,3645,186698,8683,191785,7973,385233,14179,70092,7054,15487,3102,6544,1731,2597,962,21160,3107,24304,3857,315141,14131,49751,4464,33481,4134,16261,2561,111327,6833,104321,5994,10715,null,null,17817,null,null,5098,null,null,4417,null,null,3645,null,null,8683,null,null,7973,null,null,14179,null,null,7054,null,null,3102,null,null,1731,null,null,962,null,null,3107,null,null,3857,null,null,14131,null,null,4464,null,null,4134,null,null,2561,null,null,6833,null,null,5994,null,null,22
