C05003_001E,C05003_001M,C05003_002E,C05003_002M,C05003_003E,C05003_003M,C05003_004E,C05003_004M,C05003_005E,C05003_005M,C05003_006E,C05003_006M,C05003_007E,C05003_007M,C05003_008E,C05003_008M,C05003_009E,C05003_009M,C05003_010E,C05003_010M,C05003_011E,C05003_011M,C05003_012E,C05003_012M,C05003_013E,C05003_013M,C05003_014E,C05003_014M,C05003_015E,C05003_015M,C05003_001M,C05003_001EA,C05003_001MA,C05003_002M,C05003_002EA,C05003_002MA,C05003_003M,C05003_003EA,C05003_003MA,C05003_004M,C05003_004EA,C05003_004MA,C05003_005M,C05003_005EA,C05003_005MA,C05003_006M,C05003_006EA,C05003_006MA,C05003_007M,C05003_007EA,C05003_007MA,C05003_008M,C05003_008EA,C05003_008MA,C05003_009M,C05003_009EA,C05003_009MA,C05003_010M,C05003_010EA,C05003_010MA,C05003_011M,C05003_011EA,C05003_011MA,C05003_012M,C05003_012EA,C05003_012MA,C05003_013M,C05003_013EA,C05003_013MA,C05003_014M,C05003_014EA,C05003_014MA,C05003_015M,C05003_015EA,C05003_015MA,state
20612439,-555555555,10070860,6755,2118912,5842,2010085,9397,108827,7718,7951948,4890,6073660,22334,1878288,21743,10541579,6755,2026228,6267,1909442,9039,116786,6576,8515351,3918,6382741,20696,2132610,21149,-555555555,null,*****,6755,null,null,5842,null,null,9397,null,null,7718,null,null,4890,null,null,22334,null,null,21743,null,null,6755,null,null,6267,null,null,9039,null,null,6576,null,null,3918,null,null,20696,null,null,21149,null,null,12
10310371,-555555555,5018150,8005,1282178,6434,1247693,8231,34485,4325,3735972,4640,3250181,10569,485791,10369,5292221,8005,1228432,6209,1194599,7522,33833,3928,4063789,4564,3579586,12878,484203,12403,-555555555,null,*****,8005,null,null,6434,null,null,8231,null,null,4325,null,null,4640,null,null,10569,null,null,10369,null,null,8005,null,null,6209,null,null,7522,null,null,3928,null,null,4564,null,null,12878,null,null,12403,null,null,13
1428557,-555555555,718057,1805,158524,1681,150713,2246,7811,1716,559533,874,458653,5939,100880,6181,710500,1805,149241,1596,141880,2410,7361,1863,561259,803,414826,6680,146433,6506,-555555555,null,*****,1805,null,null,1681,null,null,2246,null,null,1716,null,null,874,null,null,5939,null,null,6181,null,null,1805,null,null,1596,null,null,2410,null,null,1863,null,null,803,null,null,6680,null,null,6506,null,null,15
1683140,-555555555,841203,2599,224361,2246,221404,2437,2957,925,616842,1998,572430,3223,44412,2890,841937,2599,212096,2275,207705,2499,4391,1348,629841,1903,583648,3624,46193,3485,-555555555,null,*****,2599,null,null,2246,null,null,2437,null,null,925,null,null,1998,null,null,3223,null,null,2890,null,null,2599,null,null,2275,null,null,2499,null,null,1348,null,null,1903,null,null,3624,null,null,3485,null,null,16
12801539,-555555555,6289724,4413,1492728,3583,1450176,5627,42552,4321,4796996,3185,3946753,12237,850243,11992,6511815,4413,1429991,3469,1386489,5240,43502,3917,5081824,3291,4234647,12033,847177,12015,-555555555,null,*****,4413,null,null,3583,null,null,5627,null,null,4321,null,null,3185,null,null,12237,null,null,11992,null,null,4413,null,null,3469,null,null,5240,null,null,3917,null,null,3291,null,null,12033,null,null,12015,null,null,17
6633053,-555555555,3267337,5176,809323,4382,794132,4846,15191,2423,2458014,3433,2295264,6977,162750,5773,3365716,5176,768210,4655,752584,4766,15626,2646,2597506,3113,2441904,5752,155602,5156,-555555555,null,*****,5176,null,null,4382,null,null,4846,null,null,2423,null,null,3433,null,null,6977,null,null,5773,null,null,5176,null,null,4655,null,null,4766,null,null,2646,null,null,3113,null,null,5752,null,null,5156,null,null,18
3134693,-555555555,1556668,2984,373649,2451,365807,2614,7842,1599,1183019,2608,1108440,3752,74579,3513,1578025,2984,353318,2430,345371,2928,7947,1822,1224707,2254,1154886,3337,69821,2955,-555555555,null,*****,2984,null,null,2451,null,null,2614,null,null,1599,null,null,2608,null,null,3752,null,null,3513,null,null,2984,null,null,2430,null,null,2928,null,null,1822,null,null,2254,null,null,3337,null,null,2955,null,null,19
2907289,-555555555,1448853,4227,367670,3702,360324,3995,7346,1696,1081183,2675,986864,3846,94319,3913,1458436,4227,347249,3878,339824,4186,7425,1708,1111187,2497,1014755,4816,96432,3858,-555555555,null,*****,4227,null,null,3702,null,null,3995,null,null,1696,null,null,2675,null,null,3846,null,null,3913,null,null,4227,null,null,3878,null,null,4186,null,null,1708,null,null,2497,null,null,4816,null,null,3858,null,null,20
4436974,-555555555,2179814,4640,518132,3255,508234,3602,9898,1960,1661682,3800,1590379,4994,71303,3811,2257160,4640,494325,3433,485636,3806,8689,1947,1762835,2954,1696761,3869,66074,3769,-555555555,null,*****,4640,null,null,3255,null,null,3602,null,null,1960,null,null,3800,null,null,4994,null,null,3811,null,null,4640,null,null,3433,null,null,3806,null,null,1947,null,null,2954,null,null,3869,null,null,3769,null,null,21
4681666,-555555555,2291880,4966,572737,5531,564071,5754,8666,1793,1719143,2905,1629013,5308,90130,4736,2389786,4966,544544,4991,538392,4862,6152,1427,1845242,2603,1760269,4628,84973,4486,-555555555,null,*****,4966,null,null,5531,null,null,5754,null,null,1793,null,null,2905,null,null,5308,null,null,4736,null,null,4966,null,null,4991,null,null,4862,null,null,1427,null,null,2603,null,null,4628,null,null,4486,null,null,22
