C17016_001E,C17016_001M,C17016_002E,C17016_002M,C17016_003E,C17016_003M,C17016_004E,C17016_004M,C17016_005E,C17016_005M,C17016_006E,C17016_006M,C17016_007E,C17016_007M,C17016_008E,C17016_008M,C17016_009E,C17016_009M,C17016_001M,C17016_001EA,C17016_001MA,C17016_002M,C17016_002EA,C17016_002MA,C17016_003M,C17016_003EA,C17016_003MA,C17016_004M,C17016_004EA,C17016_004MA,C17016_005M,C17016_005EA,C17016_005MA,C17016_006M,C17016_006EA,C17016_006MA,C17016_007M,C17016_007EA,C17016_007MA,C17016_008M,C17016_008EA,C17016_008MA,C17016_009M,C17016_009EA,C17016_009MA,state
4864461,24241,509616,11766,95064,5586,147276,6467,267276,9018,4354845,24292,2226675,18175,721432,11612,1406738,16328,24241,null,null,11766,null,null,5586,null,null,6467,null,null,9018,null,null,24292,null,null,18175,null,null,11612,null,null,16328,null,null,12
2479003,18252,296261,9486,65641,4747,92983,5627,137637,6628,2182742,17899,1305698,18459,335242,8904,541802,11290,18252,null,null,9486,null,null,4747,null,null,5627,null,null,6628,null,null,17899,null,null,18459,null,null,8904,null,null,11290,null,null,13
315505,5105,18826,2161,2601,782,4797,1042,11428,1786,296679,5251,162776,4617,52838,3458,81065,3638,5105,null,null,2161,null,null,782,null,null,1042,null,null,1786,null,null,5251,null,null,4617,null,null,3458,null,null,3638,null,null,15
411617,7286,41274,3641,7596,1815,18128,2459,15550,2232,370343,7745,194760,6962,72572,4590,103011,4051,7286,null,null,3641,null,null,1815,null,null,2459,null,null,2232,null,null,7745,null,null,6962,null,null,4590,null,null,4051,null,null,16
3100613,17145,293044,9264,54110,3604,102094,5469,136840,5817,2807569,16895,1623014,15200,513754,9685,670801,11030,17145,null,null,9264,null,null,3604,null,null,5469,null,null,5817,null,null,16895,null,null,15200,null,null,9685,null,null,11030,null,null,17
1645758,11176,157720,5867,30467,3089,57961,3822,69292,4222,1488038,11737,845338,11608,274532,6385,368168,6993,11176,null,null,5867,null,null,3089,null,null,3822,null,null,4222,null,null,11737,null,null,11608,null,null,6385,null,null,6993,null,null,18
795043,8419,60129,3265,12219,1879,23821,2519,24089,2275,734914,8832,435526,7940,141423,5728,157965,4202,8419,null,null,3265,null,null,1879,null,null,2519,null,null,2275,null,null,8832,null,null,7940,null,null,5728,null,null,4202,null,null,19
716005,8245,56464,3559,12649,1692,21941,2105,21874,1975,659541,7653,394308,7560,119742,4815,145491,4132,8245,null,null,3559,null,null,1692,null,null,2105,null,null,1975,null,null,7653,null,null,7560,null,null,4815,null,null,4132,null,null,20
1121404,10897,156782,6330,23468,2976,45063,3265,88251,4764,964622,12227,529875,11331,155174,6619,279573,6473,10897,null,null,6330,null,null,2976,null,null,3265,null,null,4764,null,null,12227,null,null,11331,null,null,6619,null,null,6473,null,null,21
1097712,12285,168708,7561,33335,3204,49865,4529,85508,5030,929004,11536,509284,9178,156693,5660,263027,7079,12285,null,null,7561,null,null,3204,null,null,4529,null,null,5030,null,null,11536,null,null,9178,null,null,5660,null,null,7079,null,null,22
329554,6035,25210,2646,3038,900,9753,1822,12419,1851,304344,6105,154350,4634,69274,3529,80720,3567,6035,null,null,2646,null,null,900,null,null,1822,null,null,1851,null,null,6105,null,null,4634,null,null,3529,null,null,3567,null,null,23
1458953,11514,92359,4595,14349,1978,33158,3044,44852,3351,1366594,11214,851369,10579,226713,6880,288512,6954,11514,null,null,4595,null,null,1978,null,null,3044,null,null,3351,null,null,11214,null,null,10579,null,null,6880,null,null,6954,null,null,24
1633661,12099,119222,5232,13887,1999,43269,3505,62066,4170,1514439,12232,856694,12494,327903,7164,329842,7074,12099,null,null,5232,null,null,1999,null,null,3505,null,null,4170,null,null,12232,null,null,12494,null,null,7164,null,null,7074,null,null,25
2476595,14487,251751,5912,37273,3437,96540,4341,117938,4616,2224844,14012,1170600,11697,420685,9076,633559,8136,14487,null,null,5912,null,null,3437,null,null,4341,null,null,4616,null,null,14012,null,null,11697,null,null,9076,null,null,8136,null,null,26
1367104,9317,80100,3223,13845,1556,31349,2370,34906,2761,1287004,9285,752068,8306,268095,6559,266841,5053,9317,null,null,3223,null,null,1556,null,null,2370,null,null,2761,null,null,9285,null,null,8306,null,null,6559,null,null,5053,null,null,27
730719,10889,120336,6510,25891,3158,32434,3105,62011,4307,610383,10106,341471,7993,86211,4611,182701,4714,10889,null,null,6510,null,null,3158,null,null,3105,null,null,4307,null,null,10106,null,null,7993,null,null,4611,null,null,4714,null,null,28
1527349,11298,149358,5465,28744,2730,52923,3903,67691,3974,1377991,12119,781668,11232,234833,6684,361490,8113,11298,null,null,5465,null,null,2730,null,null,3903,null,null,3974,null,null,12119,null,null,11232,null,null,6684,null,null,8113,null,null,29
257449,5388,20634,2259,3143,800,8327,1365,9164,1305,236815,4995,120089,4169,53594,2682,63132,2624,5388,null,null,2259,null,null,800,null,null,1365,null,null,1305,null,null,4995,null,null,4169,null,null,2682,null,null,2624,null,null,30
476436,5393,35279,3116,9785,1678,12357,1741,13137,1404,441157,5177,278064,5443,79892,3735,83201,3319,5393,null,null,3116,null,null,1678,null,null,1741,null,null,1404,null,null,5177,null,null,5443,null,null,3735,null,null,3319,null,null,31
670968,8716,68432,4469,12660,1766,23066,2339,32706,3011,602536,8939,339802,7213,103511,5111,159223,4711,8716,null,null,4469,null,null,1766,null,null,2339,null,null,3011,null,null,8939,null,null,7213,null,null,5111,null,null,4711,null,null,32
342912,5731,13796,1974,1306,644,6504,1557,5986,1232,329116,5686,186582,4351,67647,3705,74887,3623,5731,null,null,1974,null,null,644,null,null,1557,null,null,1232,null,null,5686,null,null,4351,null,null,3705,null,null,3623,null,null,33
2197150,15175,166157,6870,33258,3849,53767,4142,79132,4204,2030993,14878,1190564,13516,371046,8996,469383,8196,15175,null,null,6870,null,null,3849,null,null,4142,null,null,4204,null,null,14878,null,null,13516,null,null,8996,null,null,8196,null,null,34
481127,7528,73619,4140,13699,1882,27016,3125,32904,3163,407508,7211,208574,5952,71545,4109,127389,3865,7528,null,null,4140,null,null,1882,null,null,3125,null,null,3163,null,null,7211,null,null,5952,null,null,4109,null,null,3865,null,null,35
4541583,22755,495440,10667,87315,4945,156850,6944,251275,8795,4046143,21981,2261692,19760,748292,12350,1036159,12733,22755,null,null,10667,null,null,4945,null,null,6944,null,null,8795,null,null,21981,null,null,19760,null,null,12350,null,null,12733,null,null,36
2542663,18509,285717,8541,52568,4411,94808,5197,138341,5838,2256946,18495,1264672,15738,385988,8386,606286,10102,18509,null,null,8541,null,null,4411,null,null,5197,null,null,5838,null,null,18495,null,null,15738,null,null,8386,null,null,10102,null,null,37
184904,4823,11802,1859,1741,683,5244,1580,4817,1036,173102,4879,103645,3902,36526,2902,32931,1806,4823,null,null,1859,null,null,683,null,null,1580,null,null,1036,null,null,4879,null,null,3902,null,null,2902,null,null,1806,null,null,38
2929661,16417,306876,9956,44673,3199,122145,6312,140058,6074,2622785,15165,1465689,12615,468721,10364,688375,10939,16417,null,null,9956,null,null,3199,null,null,6312,null,null,6074,null,null,15165,null,null,12615,null,null,10364,null,null,10939,null,null,39
961731,8307,110695,3985,23551,1861,36053,2413,51091,2639,851036,8243,485193,6582,130893,4172,234950,5577,8307,null,null,3985,null,null,1861,null,null,2413,null,null,2639,null,null,8243,null,null,6582,null,null,4172,null,null,5577,null,null,40
995749,11239,84674,5250,16385,2394,32249,3483,36040,2927,911075,10222,457510,6982,198918,5553,254647,6468,11239,null,null,5250,null,null,2394,null,null,3483,null,null,2927,null,null,10222,null,null,6982,null,null,5553,null,null,6468,null,null,41
3150563,15900,271489,7393,38947,3075,93341,4523,139201,5066,2879074,16305,1572785,15048,533565,10253,772724,10455,15900,null,null,7393,null,null,3075,null,null,4523,null,null,5066,null,null,16305,null,null,15048,null,null,10253,null,null,10455,null,null,42
247448,5295,22777,2508,2441,698,8022,1607,12314,1776,224671,5361,125090,5098,45164,3093,54417,3065,5295,null,null,2508,null,null,698,null,null,1607,null,null,1776,null,null,5361,null,null,5098,null,null,3093,null,null,3065,null,null,44
1224695,13377,132464,5943,24935,2981,44903,3595,62626,4183,1092231,13056,591807,11436,174247,7018,326177,7535,13377,null,null,5943,null,null,2981,null,null,3595,null,null,4183,null,null,13056,null,null,11436,null,null,7018,null,null,7535,null,null,45
209986,3966,17311,1573,2882,768,5820,1181,8609,1117,192675,3965,118726,3894,35109,2630,38840,2377,3966,null,null,1573,null,null,768,null,null,1181,null,null,1117,null,null,3965,null,null,3894,null,null,2630,null,null,2377,null,null,46
1670605,13670,193414,7149,32083,2873,60603,4106,100728,5367,1477191,13470,814555,12261,239240,8389,423396,7758,13670,null,null,7149,null,null,2873,null,null,4106,null,null,5367,null,null,13470,null,null,12261,null,null,8389,null,null,7758,null,null,47
