B19202F_001E,B19202F_001M,B19202F_001M,B19202F_001EA,B19202F_001MA,state
30639,1746,1746,null,null,12
37182,10345,10345,null,null,13
null,null,null,null,null,15
27354,19979,19979,null,null,16
30665,3161,3161,null,null,17
30512,5305,5305,null,null,18
29024,8826,8826,null,null,19
31587,5022,5022,null,null,20
32461,17930,17930,null,null,21
35997,7481,7481,null,null,22
21385,13706,13706,null,null,23
54831,11559,11559,null,null,24
23707,7483,7483,null,null,25
30992,2814,2814,null,null,26
36114,5123,5123,null,null,27
18683,13937,13937,null,null,28
47443,7672,7672,null,null,29
28856,4804,4804,null,null,30
25799,3001,3001,null,null,31
26791,2072,2072,null,null,32
91064,88831,88831,null,null,33
26080,2800,2800,null,null,34
21742,3252,3252,null,null,35
21249,2427,2427,null,null,36
31141,1392,1392,null,null,37
-666666666,-222222222,-222222222,-,**,38
26954,5004,5004,null,null,39
26089,6157,6157,null,null,40
27416,9863,9863,null,null,41
22490,6699,6699,null,null,42
14264,8339,8339,null,null,44
27380,5820,5820,null,null,45
31503,2643,2643,null,null,46
38889,9797,9797,null,null,47
31133,1415,1415,null,null,48
32490,7230,7230,null,null,49
80237,39151,39151,null,null,50
38718,6312,6312,null,null,51
37765,6555,6555,null,null,53
null,null,null,null,null,54
33886,6350,6350,null,null,55
23007,1917,1917,null,null,56
10005,738,738,null,null,72
27482,16211,16211,null,null,01
39674,28179,28179,null,null,02
28548,2806,2806,null,null,04
30394,9618,9618,null,null,05
31337,1160,1160,null,null,06
31548,3233,3233,null,null,08
27084,6123,6123,null,null,09
30196,23513,23513,null,null,10
50950,19353,19353,null,null,11
