C21001B_001E,C21001B_001M,C21001B_002E,C21001B_002M,C21001B_003E,C21001B_003M,C21001B_004E,C21001B_004M,C21001B_005E,C21001B_005M,C21001B_006E,C21001B_006M,C21001B_007E,C21001B_007M,C21001B_008E,C21001B_008M,C21001B_009E,C21001B_009M,C21001B_010E,C21001B_010M,C21001B_011E,C21001B_011M,C21001B_012E,C21001B_012M,C21001B_013E,C21001B_013M,C21001B_014E,C21001B_014M,C21001B_015E,C21001B_015M,C21001B_001M,C21001B_001EA,C21001B_001MA,C21001B_002M,C21001B_002EA,C21001B_002MA,C21001B_003M,C21001B_003EA,C21001B_003MA,C21001B_004M,C21001B_004EA,C21001B_004MA,C21001B_005M,C21001B_005EA,C21001B_005MA,C21001B_006M,C21001B_006EA,C21001B_006MA,C21001B_007M,C21001B_007EA,C21001B_007MA,C21001B_008M,C21001B_008EA,C21001B_008MA,C21001B_009M,C21001B_009EA,C21001B_009MA,C21001B_010M,C21001B_010EA,C21001B_010MA,C21001B_011M,C21001B_011EA,C21001B_011MA,C21001B_012M,C21001B_012EA,C21001B_012MA,C21001B_013M,C21001B_013EA,C21001B_013MA,C21001B_014M,C21001B_014EA,C21001B_014MA,C21001B_015M,C21001B_015EA,C21001B_015MA,state
2449824,14350,1147655,8651,997934,8618,85226,5618,912708,10495,149721,2575,38886,2627,110835,3344,1302169,8384,1094960,7716,22734,3123,1072226,8209,207209,2449,1743,670,205466,2432,14350,null,null,8651,null,null,8618,null,null,5618,null,null,10495,null,null,2575,null,null,2627,null,null,3344,null,null,8384,null,null,7716,null,null,3123,null,null,8209,null,null,2449,null,null,670,null,null,2432,null,null,12
2384408,8211,1077588,4625,955480,4771,121084,5958,834396,7225,122108,1910,44328,2699,77780,3064,1306820,6444,1116477,5879,38982,4205,1077495,7608,190343,2123,3173,1093,187170,2347,8211,null,null,4625,null,null,4771,null,null,5958,null,null,7225,null,null,1910,null,null,2699,null,null,3064,null,null,6444,null,null,5879,null,null,4205,null,null,7608,null,null,2123,null,null,1093,null,null,2347,null,null,13
16493,1593,10272,1171,9522,1170,4467,1168,5055,1354,750,277,554,296,196,186,6221,1094,6082,1096,844,510,5238,1045,139,143,0,185,139,143,1593,null,null,1171,null,null,1170,null,null,1168,null,null,1354,null,null,277,null,null,296,null,null,186,null,null,1094,null,null,1096,null,null,510,null,null,1045,null,null,143,null,null,185,null,null,143,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1364363,6244,626414,4141,542030,4017,35665,3220,506365,5093,84384,955,30012,1946,54372,1926,737949,3966,605653,3850,7203,1278,598450,3902,132296,1159,483,248,131813,1187,6244,null,null,4141,null,null,4017,null,null,3220,null,null,5093,null,null,955,null,null,1946,null,null,1926,null,null,3966,null,null,3850,null,null,1278,null,null,3902,null,null,1159,null,null,248,null,null,1187,null,null,17
439983,4548,205696,3070,180396,3059,15882,2197,164514,3830,25300,1144,11405,1144,13895,1279,234287,3309,198069,3101,3502,1136,194567,3271,36218,1059,270,159,35948,1073,4548,null,null,3070,null,null,3059,null,null,2197,null,null,3830,null,null,1144,null,null,1144,null,null,1279,null,null,3309,null,null,3101,null,null,1136,null,null,3271,null,null,1059,null,null,159,null,null,1073,null,null,18
76124,2673,40801,1654,38115,1661,1212,543,36903,1690,2686,447,528,220,2158,455,35323,1866,32119,1891,222,169,31897,1895,3204,547,39,67,3165,559,2673,null,null,1654,null,null,1661,null,null,543,null,null,1690,null,null,447,null,null,220,null,null,455,null,null,1866,null,null,1891,null,null,169,null,null,1895,null,null,547,null,null,67,null,null,559,null,null,19
121343,3043,62984,2243,55111,2134,7624,1594,47487,2111,7873,771,2861,677,5012,742,58359,2083,48944,1969,1406,784,47538,2111,9415,733,67,79,9348,748,3043,null,null,2243,null,null,2134,null,null,1594,null,null,2111,null,null,771,null,null,677,null,null,742,null,null,2083,null,null,1969,null,null,784,null,null,2111,null,null,733,null,null,79,null,null,748,null,null,20
267679,4118,129437,3177,113880,3183,12490,1662,101390,3641,15557,1099,6535,912,9022,1225,138242,3160,117371,3132,3081,877,114290,3336,20871,1097,211,240,20660,1094,4118,null,null,3177,null,null,3183,null,null,1662,null,null,3641,null,null,1099,null,null,912,null,null,1225,null,null,3160,null,null,3132,null,null,877,null,null,3336,null,null,1097,null,null,240,null,null,1094,null,null,21
1098561,4430,509274,3445,442816,3236,34836,3049,407980,3984,66458,1626,20051,1639,46407,2115,589287,3141,491884,3078,7626,1631,484258,3510,97403,1305,586,324,96817,1308,4430,null,null,3445,null,null,3236,null,null,3049,null,null,3984,null,null,1626,null,null,1639,null,null,2115,null,null,3141,null,null,3078,null,null,1631,null,null,3510,null,null,1305,null,null,324,null,null,1308,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
1366045,6509,621444,3766,537524,3922,57477,4470,480047,5712,83920,1181,32978,2262,50942,2357,744601,4516,618325,4028,16663,2517,601662,4790,126276,1513,1779,501,124497,1611,6509,null,null,3766,null,null,3922,null,null,4470,null,null,5712,null,null,1181,null,null,2262,null,null,2357,null,null,4516,null,null,4028,null,null,2517,null,null,4790,null,null,1513,null,null,501,null,null,1611,null,null,24
377411,5634,180296,3988,160377,3978,6645,1402,153732,4137,19919,755,4189,836,15730,1163,197115,3816,168135,3504,695,348,167440,3416,28980,1020,223,174,28757,1012,5634,null,null,3988,null,null,3978,null,null,1402,null,null,4137,null,null,755,null,null,836,null,null,1163,null,null,3816,null,null,3504,null,null,348,null,null,3416,null,null,1020,null,null,174,null,null,1012,null,null,25
1016183,5672,468227,3588,402470,3539,26184,2423,376286,3698,65757,875,24929,1623,40828,1687,547956,3543,450231,3358,3521,919,446710,3477,97725,930,1193,433,96532,979,5672,null,null,3588,null,null,3539,null,null,2423,null,null,3698,null,null,875,null,null,1623,null,null,1687,null,null,3543,null,null,3358,null,null,919,null,null,3477,null,null,930,null,null,433,null,null,979,null,null,26
