C15002H_001E,C15002H_001M,C15002H_002E,C15002H_002M,C15002H_003E,C15002H_003M,C15002H_004E,C15002H_004M,C15002H_005E,C15002H_005M,C15002H_006E,C15002H_006M,C15002H_007E,C15002H_007M,C15002H_008E,C15002H_008M,C15002H_009E,C15002H_009M,C15002H_010E,C15002H_010M,C15002H_011E,C15002H_011M,C15002H_001M,C15002H_001EA,C15002H_001MA,C15002H_002M,C15002H_002EA,C15002H_002MA,C15002H_003M,C15002H_003EA,C15002H_003MA,C15002H_004M,C15002H_004EA,C15002H_004MA,C15002H_005M,C15002H_005EA,C15002H_005MA,C15002H_006M,C15002H_006EA,C15002H_006MA,C15002H_007M,C15002H_007EA,C15002H_007MA,C15002H_008M,C15002H_008EA,C15002H_008MA,C15002H_009M,C15002H_009EA,C15002H_009MA,C15002H_010M,C15002H_010EA,C15002H_010MA,C15002H_011M,C15002H_011EA,C15002H_011MA,state
8727205,4483,4215979,2842,346702,11071,1179767,13017,1269921,16203,1419589,16607,4511226,2901,319336,10361,1327201,17522,1472627,15937,1392062,17207,4483,null,null,2842,null,null,11071,null,null,13017,null,null,16203,null,null,16607,null,null,2901,null,null,10361,null,null,17522,null,null,15937,null,null,17207,null,null,12
3895137,2895,1881258,2078,203547,8231,530144,10280,510552,10201,637015,10938,2013879,1936,193400,6944,555029,12670,581835,10236,683615,10509,2895,null,null,2078,null,null,8231,null,null,10280,null,null,10201,null,null,10938,null,null,1936,null,null,6944,null,null,12670,null,null,10236,null,null,10509,null,null,13
244160,403,131168,334,4656,1426,23707,2201,45573,2968,57232,2779,112992,194,2985,1011,20395,2046,37510,2511,52102,2581,403,null,null,334,null,null,1426,null,null,2201,null,null,2968,null,null,2779,null,null,194,null,null,1011,null,null,2046,null,null,2511,null,null,2581,null,null,15
938873,1108,461157,736,33580,2818,131668,5493,156663,5757,139246,5257,477716,834,30132,2859,128023,5053,182601,5157,136960,5439,1108,null,null,736,null,null,2818,null,null,5493,null,null,5757,null,null,5257,null,null,834,null,null,2859,null,null,5053,null,null,5157,null,null,5439,null,null,16
5724521,2143,2767782,1537,182819,6446,730202,11570,809310,10883,1045451,9596,2956739,1130,172643,5955,763612,11160,901435,10646,1119049,9549,2143,null,null,1537,null,null,6446,null,null,11570,null,null,10883,null,null,9596,null,null,1130,null,null,5955,null,null,11160,null,null,10646,null,null,9549,null,null,17
3656504,2673,1766037,1713,184466,5800,625012,9080,493182,8772,463377,8556,1890467,1484,175936,6490,636218,8654,563166,8212,515147,8774,2673,null,null,1713,null,null,5800,null,null,9080,null,null,8772,null,null,8556,null,null,1484,null,null,6490,null,null,8654,null,null,8212,null,null,8774,null,null,18
1873486,1330,910592,780,64543,3362,308539,6233,285342,5847,252168,6390,962894,906,53159,2961,287967,5695,334310,6364,287458,6160,1330,null,null,780,null,null,3362,null,null,6233,null,null,5847,null,null,6390,null,null,906,null,null,2961,null,null,5695,null,null,6364,null,null,6160,null,null,19
1532396,1280,741969,995,49059,3289,203029,6434,230193,5031,259688,5768,790427,708,45316,2812,196492,5038,268785,5420,279834,5328,1280,null,null,995,null,null,3289,null,null,6434,null,null,5031,null,null,5768,null,null,708,null,null,2812,null,null,5038,null,null,5420,null,null,5328,null,null,20
2626648,2589,1262649,1641,185189,6520,439262,8183,346857,7473,291341,6756,1363999,1354,176633,5862,421226,8485,430594,7272,335546,6501,2589,null,null,1641,null,null,6520,null,null,8183,null,null,7473,null,null,6756,null,null,1354,null,null,5862,null,null,8485,null,null,7272,null,null,6501,null,null,21
1950539,2509,945469,1922,124896,5577,314338,8764,251075,7365,255160,6902,1005070,1295,104672,5951,341430,8124,277909,7693,281059,8031,2509,null,null,1922,null,null,5577,null,null,8764,null,null,7365,null,null,6902,null,null,1295,null,null,5951,null,null,8124,null,null,7693,null,null,8031,null,null,22
919544,410,442003,280,38942,3431,158014,4807,122350,4926,122697,4862,477541,263,28722,2776,148582,5152,144465,3959,155772,4665,410,null,null,280,null,null,3431,null,null,4807,null,null,4926,null,null,4862,null,null,263,null,null,2776,null,null,5152,null,null,3959,null,null,4665,null,null,23
2262748,1218,1089365,916,75897,3960,266944,5544,262483,7560,484041,6650,1173383,629,71617,4302,292408,8424,293050,7570,516308,7761,1218,null,null,916,null,null,3960,null,null,5544,null,null,7560,null,null,6650,null,null,629,null,null,4302,null,null,8424,null,null,7570,null,null,7761,null,null,24
3608559,4436,1717331,2213,116871,5311,440718,8592,382613,8487,777129,9020,1891228,2838,103351,4523,431964,9185,471774,9119,884139,8586,4436,null,null,2213,null,null,5311,null,null,8592,null,null,8487,null,null,9020,null,null,2838,null,null,4523,null,null,9185,null,null,9119,null,null,8586,null,null,25
5329047,1467,2592071,826,216496,6720,774109,10181,834327,10429,767139,10098,2736976,1174,196669,5547,812587,9021,926090,11237,801630,10226,1467,null,null,826,null,null,6720,null,null,10181,null,null,10429,null,null,10098,null,null,1174,null,null,5547,null,null,9021,null,null,11237,null,null,10226,null,null,26
3166229,1823,1551221,1284,77182,3825,419660,7119,509391,7158,544988,7372,1615008,984,60090,2638,392717,6696,555658,6358,606543,6620,1823,null,null,1284,null,null,3825,null,null,7119,null,null,7158,null,null,7372,null,null,984,null,null,2638,null,null,6696,null,null,6358,null,null,6620,null,null,27
1191441,2508,572355,1726,80367,4146,172961,6762,179613,6885,139414,5165,619086,1604,66223,3868,184900,6044,203311,7390,164652,5712,2508,null,null,1726,null,null,4146,null,null,6762,null,null,6885,null,null,5165,null,null,1604,null,null,3868,null,null,6044,null,null,7390,null,null,5712,null,null,28
3410565,2317,1647668,1684,156798,5523,540532,7865,475869,9338,474469,8395,1762897,1220,160041,5648,522296,7980,549236,9298,531324,8664,2317,null,null,1684,null,null,5523,null,null,7865,null,null,9338,null,null,8395,null,null,1220,null,null,5648,null,null,7980,null,null,9298,null,null,8664,null,null,29
639560,1215,318575,892,22551,2492,94388,4146,101456,3590,100180,3534,320985,742,18546,1740,90564,3931,107880,3524,103995,3794,1215,null,null,892,null,null,2492,null,null,4146,null,null,3590,null,null,3534,null,null,742,null,null,1740,null,null,3931,null,null,3524,null,null,3794,null,null,30
1048188,1111,511220,661,29228,2376,146987,4392,173428,4962,161577,4353,536968,811,23937,1840,135138,3812,187039,4407,190854,4285,1111,null,null,661,null,null,2376,null,null,4392,null,null,4962,null,null,4353,null,null,811,null,null,1840,null,null,3812,null,null,4407,null,null,4285,null,null,31
1129799,1230,573088,750,39488,3277,165168,6150,209829,5926,158603,5258,556711,954,35126,3479,159242,5510,207972,5203,154371,5781,1230,null,null,750,null,null,3277,null,null,6150,null,null,5926,null,null,5258,null,null,954,null,null,3479,null,null,5510,null,null,5203,null,null,5781,null,null,32
876857,829,427304,779,34065,2908,120596,4451,120251,4116,152392,4560,449553,211,23299,2286,117868,4384,140716,4649,167670,4384,829,null,null,779,null,null,2908,null,null,4451,null,null,4116,null,null,4560,null,null,211,null,null,2286,null,null,4384,null,null,4649,null,null,4384,null,null,33
3649289,2737,1746043,1582,113186,5141,466806,10758,404307,9357,761744,10086,1903246,1525,114664,5259,537242,8809,442886,9574,808454,9206,2737,null,null,1582,null,null,5141,null,null,10758,null,null,9357,null,null,10086,null,null,1525,null,null,5259,null,null,8809,null,null,9574,null,null,9206,null,null,34
616225,2235,301272,1509,16700,1944,66631,3651,97957,4370,119984,3774,314953,1695,15532,2072,62134,2974,109305,4467,127982,4045,2235,null,null,1509,null,null,1944,null,null,3651,null,null,4370,null,null,3774,null,null,1695,null,null,2072,null,null,2974,null,null,4467,null,null,4045,null,null,35
8003987,4104,3854295,2497,284398,7249,999593,10472,972282,12501,1598022,12059,4149692,2326,272012,7537,1061727,11880,1047257,13517,1768696,15521,4104,null,null,2497,null,null,7249,null,null,10472,null,null,12501,null,null,12059,null,null,2326,null,null,7537,null,null,11880,null,null,13517,null,null,15521,null,null,36
4675664,3425,2236018,2234,230236,7902,577068,10114,671182,10052,757532,9931,2439646,2091,192637,6753,596274,10308,812175,11240,838560,10062,3425,null,null,2234,null,null,7902,null,null,10114,null,null,10052,null,null,9931,null,null,2091,null,null,6753,null,null,10308,null,null,11240,null,null,10062,null,null,37
436670,999,221415,593,16500,1936,63059,3124,79424,3415,62432,3319,215255,669,11243,1081,53826,2422,77193,2868,72993,2716,999,null,null,593,null,null,1936,null,null,3124,null,null,3415,null,null,3319,null,null,669,null,null,1081,null,null,2422,null,null,2868,null,null,2716,null,null,38
6537930,2035,3151327,1532,291534,7809,1095513,14544,867680,13231,896600,9763,3386603,1057,282698,7474,1130995,12877,1000257,11668,972653,13335,2035,null,null,1532,null,null,7809,null,null,14544,null,null,13231,null,null,9763,null,null,1057,null,null,7474,null,null,12877,null,null,11668,null,null,13335,null,null,39
1857205,1511,897158,943,85454,2937,287278,6427,280722,6215,243704,6344,960047,958,84209,3667,292969,5131,315302,5627,267567,5596,1511,null,null,943,null,null,2937,null,null,6427,null,null,6215,null,null,6344,null,null,958,null,null,3667,null,null,5131,null,null,5627,null,null,5596,null,null,40
2318767,1877,1125879,1100,76359,4814,271723,7439,390520,7800,387277,7334,1192888,997,70038,4575,265957,6923,444682,9617,412211,7447,1877,null,null,1100,null,null,4814,null,null,7439,null,null,7800,null,null,7334,null,null,997,null,null,4575,null,null,6923,null,null,9617,null,null,7447,null,null,41
