B20017E_001E,B20017E_001M,B20017E_002E,B20017E_002M,B20017E_003E,B20017E_003M,B20017E_004E,B20017E_004M,B20017E_005E,B20017E_005M,B20017E_006E,B20017E_006M,B20017E_007E,B20017E_007M,B20017E_001M,B20017E_001EA,B20017E_001MA,B20017E_002M,B20017E_002EA,B20017E_002MA,B20017E_003M,B20017E_003EA,B20017E_003MA,B20017E_004M,B20017E_004EA,B20017E_004MA,B20017E_005M,B20017E_005EA,B20017E_005MA,B20017E_006M,B20017E_006EA,B20017E_006MA,B20017E_007M,B20017E_007EA,B20017E_007MA,state
24219,7441,26575,11301,41907,24488,11560,4742,19751,10730,35162,10975,12165,2872,7441,null,null,11301,null,null,24488,null,null,4742,null,null,10730,null,null,10975,null,null,2872,null,null,12
25181,14343,19605,17473,26224,19812,-666666666,-222222222,27705,20666,28786,20838,14053,21612,14343,null,null,17473,null,null,19812,null,null,-222222222,-,**,20666,null,null,20838,null,null,21612,null,null,13
28338,2321,31811,1797,40475,3405,10489,2103,23898,3083,31701,1286,10081,1422,2321,null,null,1797,null,null,3405,null,null,2103,null,null,3083,null,null,1286,null,null,1422,null,null,15
22083,17202,32018,20332,34808,20385,-666666666,-222222222,12500,17514,23882,21375,4672,9174,17202,null,null,20332,null,null,20385,null,null,-222222222,-,**,17514,null,null,21375,null,null,9174,null,null,16
35271,8149,32176,13434,41747,32657,17335,9453,35917,9562,41039,2478,10768,13958,8149,null,null,13434,null,null,32657,null,null,9453,null,null,9562,null,null,2478,null,null,13958,null,null,17
38381,10664,51499,4809,51850,12708,50160,45139,18880,24692,35781,13973,10864,4674,10664,null,null,4809,null,null,12708,null,null,45139,null,null,24692,null,null,13973,null,null,4674,null,null,18
12993,13664,10203,4854,41472,8668,5427,2142,20450,29684,51324,122056,16870,33320,13664,null,null,4854,null,null,8668,null,null,2142,null,null,29684,null,null,122056,null,null,33320,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
40688,21947,42042,25171,42354,28492,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,21947,null,null,25171,null,null,28492,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
31657,10071,31767,32577,45773,20889,17099,10276,31627,9872,32291,52484,15022,28493,10071,null,null,32577,null,null,20889,null,null,10276,null,null,9872,null,null,52484,null,null,28493,null,null,24
31779,22355,21672,29035,51630,35640,8598,482,50968,19315,52090,5776,16063,11982,22355,null,null,29035,null,null,35640,null,null,482,null,null,19315,null,null,5776,null,null,11982,null,null,25
27059,12503,28657,14845,41346,44267,28009,38403,25221,15348,41618,28170,11432,5324,12503,null,null,14845,null,null,44267,null,null,38403,null,null,15348,null,null,28170,null,null,5324,null,null,26
35705,13132,32445,13328,41703,13742,9716,14921,40340,27837,41440,33474,4081,16561,13132,null,null,13328,null,null,13742,null,null,14921,null,null,27837,null,null,33474,null,null,16561,null,null,27
-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,28
21212,2708,17951,6067,28526,31468,10807,4107,22139,5053,23133,17424,9865,24231,2708,null,null,6067,null,null,31468,null,null,4107,null,null,5053,null,null,17424,null,null,24231,null,null,29
30748,5494,17039,2037,17039,2037,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,-666666666,-222222222,5494,null,null,2037,null,null,2037,null,null,-222222222,-,**,-222222222,-,**,-222222222,-,**,-222222222,-,**,30
