B20017G_001E,B20017G_001M,B20017G_002E,B20017G_002M,B20017G_003E,B20017G_003M,B20017G_004E,B20017G_004M,B20017G_005E,B20017G_005M,B20017G_006E,B20017G_006M,B20017G_007E,B20017G_007M,B20017G_001M,B20017G_001EA,B20017G_001MA,B20017G_002M,B20017G_002EA,B20017G_002MA,B20017G_003M,B20017G_003EA,B20017G_003MA,B20017G_004M,B20017G_004EA,B20017G_004MA,B20017G_005M,B20017G_005EA,B20017G_005MA,B20017G_006M,B20017G_006EA,B20017G_006MA,B20017G_007M,B20017G_007EA,B20017G_007MA,state
23173,1535,27152,2166,38286,4050,11059,953,20340,1517,32924,3847,10556,743,1535,null,null,2166,null,null,4050,null,null,953,null,null,1517,null,null,3847,null,null,743,null,null,12
25313,2172,28395,4947,47277,6667,8767,1851,20857,3166,41672,2045,6502,749,2172,null,null,4947,null,null,6667,null,null,1851,null,null,3166,null,null,2045,null,null,749,null,null,13
33681,2454,38101,3097,49665,3315,11575,1099,29245,1952,40969,1137,11420,1067,2454,null,null,3097,null,null,3315,null,null,1099,null,null,1952,null,null,1137,null,null,1067,null,null,15
19552,3191,18286,2630,36414,5467,7211,5416,21463,6293,41018,10378,8987,7087,3191,null,null,2630,null,null,5467,null,null,5416,null,null,6293,null,null,10378,null,null,7087,null,null,16
26259,1452,29597,3644,46596,3840,8959,1226,22809,2225,40507,1640,9294,1563,1452,null,null,3644,null,null,3840,null,null,1226,null,null,2225,null,null,1640,null,null,1563,null,null,17
18771,3872,22226,5044,40232,4301,6586,1098,15997,2667,31232,1249,7040,1053,3872,null,null,5044,null,null,4301,null,null,1098,null,null,2667,null,null,1249,null,null,1053,null,null,18
18223,4464,21831,5885,48349,7691,7759,4308,16142,3993,30495,3931,10493,1555,4464,null,null,5885,null,null,7691,null,null,4308,null,null,3993,null,null,3931,null,null,1555,null,null,19
19462,2373,20357,2835,45434,6653,5157,1576,18644,3001,35190,3961,8621,1749,2373,null,null,2835,null,null,6653,null,null,1576,null,null,3001,null,null,3961,null,null,1749,null,null,20
19919,2079,20436,3090,37746,4932,4601,1486,19265,2659,29440,3437,4955,1489,2079,null,null,3090,null,null,4932,null,null,1486,null,null,2659,null,null,3437,null,null,1489,null,null,21
21814,3996,31957,5609,45437,6774,7113,3051,16692,3245,31933,2718,10458,1970,3996,null,null,5609,null,null,6774,null,null,3051,null,null,3245,null,null,2718,null,null,1970,null,null,22
