B01002A_001E,B01002A_001M,B01002A_002E,B01002A_002M,B01002A_003E,B01002A_003M,B01002A_001M,B01002A_001EA,B01002A_001MA,B01002A_002M,B01002A_002EA,B01002A_002MA,B01002A_003M,B01002A_003EA,B01002A_003MA,state
45.5,0.2,44.0,0.2,46.9,0.2,0.2,null,null,0.2,null,null,0.2,null,null,12
40.3,0.2,38.9,0.3,41.6,0.2,0.2,null,null,0.3,null,null,0.2,null,null,13
41.2,0.6,40.6,0.5,42.1,0.9,0.6,null,null,0.5,null,null,0.9,null,null,15
37.2,0.2,36.4,0.2,38.3,0.4,0.2,null,null,0.2,null,null,0.4,null,null,16
40.6,0.1,39.3,0.2,41.9,0.1,0.1,null,null,0.2,null,null,0.1,null,null,17
39.7,0.2,38.5,0.2,41.0,0.2,0.2,null,null,0.2,null,null,0.2,null,null,18
39.9,0.2,38.4,0.2,41.4,0.2,0.2,null,null,0.2,null,null,0.2,null,null,19
38.4,0.2,36.9,0.3,39.8,0.3,0.2,null,null,0.3,null,null,0.3,null,null,20
40.3,0.2,39.0,0.2,41.6,0.2,0.2,null,null,0.2,null,null,0.2,null,null,21
39.9,0.2,38.5,0.3,41.3,0.3,0.2,null,null,0.3,null,null,0.3,null,null,22
45.6,0.1,44.4,0.2,46.8,0.2,0.1,null,null,0.2,null,null,0.2,null,null,23
42.4,0.2,40.8,0.2,43.8,0.2,0.2,null,null,0.2,null,null,0.2,null,null,24
42.8,0.1,41.1,0.2,44.3,0.1,0.1,null,null,0.2,null,null,0.1,null,null,25
42.3,0.1,40.8,0.2,43.7,0.2,0.1,null,null,0.2,null,null,0.2,null,null,26
41.2,0.1,39.9,0.2,42.5,0.2,0.1,null,null,0.2,null,null,0.2,null,null,27
41.3,0.3,40.1,0.4,42.8,0.4,0.3,null,null,0.4,null,null,0.4,null,null,28
40.5,0.2,39.1,0.2,42.0,0.2,0.2,null,null,0.2,null,null,0.2,null,null,29
42.1,0.3,40.9,0.3,43.4,0.3,0.3,null,null,0.3,null,null,0.3,null,null,30
38.2,0.3,37.2,0.3,39.3,0.3,0.3,null,null,0.3,null,null,0.3,null,null,31
41.3,0.3,40.9,0.4,41.7,0.4,0.3,null,null,0.4,null,null,0.4,null,null,32
43.9,0.2,42.4,0.3,45.3,0.1,0.2,null,null,0.3,null,null,0.1,null,null,33
43.0,0.2,41.2,0.2,44.7,0.2,0.2,null,null,0.2,null,null,0.2,null,null,34
40.1,0.4,38.6,0.4,41.8,0.5,0.4,null,null,0.4,null,null,0.5,null,null,35
41.9,0.1,40.4,0.2,43.5,0.1,0.1,null,null,0.2,null,null,0.1,null,null,36
41.9,0.2,40.5,0.2,43.2,0.2,0.2,null,null,0.2,null,null,0.2,null,null,37
36.9,0.2,36.1,0.2,38.2,0.4,0.2,null,null,0.2,null,null,0.4,null,null,38
41.7,0.2,40.2,0.1,43.2,0.1,0.2,null,null,0.1,null,null,0.1,null,null,39
40.1,0.2,38.6,0.2,41.4,0.2,0.2,null,null,0.2,null,null,0.2,null,null,40
41.3,0.2,40.4,0.2,42.5,0.3,0.2,null,null,0.2,null,null,0.3,null,null,41
43.7,0.1,41.9,0.2,45.2,0.1,0.1,null,null,0.2,null,null,0.1,null,null,42
44.0,0.4,41.8,0.6,45.8,0.3,0.4,null,null,0.6,null,null,0.3,null,null,44
42.2,0.2,40.7,0.2,43.8,0.2,0.2,null,null,0.2,null,null,0.2,null,null,45
40.2,0.3,38.6,0.5,41.6,0.5,0.3,null,null,0.5,null,null,0.5,null,null,46
40.9,0.2,39.4,0.3,42.4,0.2,0.2,null,null,0.3,null,null,0.2,null,null,47
35.6,0.1,34.6,0.1,36.6,0.1,0.1,null,null,0.1,null,null,0.1,null,null,48
31.7,0.2,31.0,0.2,32.5,0.2,0.2,null,null,0.2,null,null,0.2,null,null,49
44.0,0.2,42.7,0.4,45.2,0.2,0.2,null,null,0.4,null,null,0.2,null,null,50
40.9,0.1,39.7,0.2,42.1,0.3,0.1,null,null,0.2,null,null,0.3,null,null,51
40.8,0.2,39.7,0.2,42.0,0.2,0.2,null,null,0.2,null,null,0.2,null,null,53
43.2,0.2,42.1,0.3,44.3,0.2,0.2,null,null,0.3,null,null,0.2,null,null,54
42.2,0.2,40.9,0.2,43.5,0.2,0.2,null,null,0.2,null,null,0.2,null,null,55
38.4,0.4,37.7,0.7,39.0,0.6,0.4,null,null,0.7,null,null,0.6,null,null,56
41.6,0.4,39.3,0.5,43.5,0.4,0.4,null,null,0.5,null,null,0.4,null,null,72
42.0,0.2,40.7,0.2,43.4,0.3,0.2,null,null,0.2,null,null,0.3,null,null,01
37.3,0.4,36.8,0.4,37.9,0.5,0.4,null,null,0.4,null,null,0.5,null,null,02
41.1,0.2,39.8,0.3,42.6,0.3,0.2,null,null,0.3,null,null,0.3,null,null,04
41.0,0.3,39.3,0.4,42.5,0.3,0.3,null,null,0.4,null,null,0.3,null,null,05
38.9,0.1,37.8,0.1,40.2,0.2,0.1,null,null,0.1,null,null,0.2,null,null,06
38.1,0.2,37.0,0.2,39.4,0.2,0.2,null,null,0.2,null,null,0.2,null,null,08
44.6,0.2,43.0,0.3,45.9,0.2,0.2,null,null,0.3,null,null,0.2,null,null,09
44.5,0.3,42.8,0.4,45.8,0.4,0.3,null,null,0.4,null,null,0.4,null,null,10
33.2,0.3,34.0,0.3,32.3,0.4,0.3,null,null,0.3,null,null,0.4,null,null,11
