C17003_001E,C17003_001M,C17003_002E,C17003_002M,C17003_003E,C17003_003M,C17003_004E,C17003_004M,C17003_005E,C17003_005M,C17003_006E,C17003_006M,C17003_007E,C17003_007M,C17003_008E,C17003_008M,C17003_009E,C17003_009M,C17003_010E,C17003_010M,C17003_011E,C17003_011M,C17003_001M,C17003_001EA,C17003_001MA,C17003_002M,C17003_002EA,C17003_002MA,C17003_003M,C17003_003EA,C17003_003MA,C17003_004M,C17003_004EA,C17003_004MA,C17003_005M,C17003_005EA,C17003_005MA,C17003_006M,C17003_006EA,C17003_006MA,C17003_007M,C17003_007EA,C17003_007MA,C17003_008M,C17003_008EA,C17003_008MA,C17003_009M,C17003_009EA,C17003_009MA,C17003_010M,C17003_010EA,C17003_010MA,C17003_011M,C17003_011EA,C17003_011MA,state
14477089,8598,1775468,29291,453496,12486,626930,19171,450453,11923,244589,11523,12701621,29442,1329641,25125,3534262,30313,3892762,30239,3944956,33754,8598,null,null,29291,null,null,12486,null,null,19171,null,null,11923,null,null,11523,null,null,29442,null,null,25125,null,null,30313,null,null,30239,null,null,33754,null,null,12
6663663,7027,835673,19013,244165,9915,286946,9916,206321,8207,98241,6948,5827990,20135,641107,15622,1547663,22374,1680339,22974,1958881,20662,7027,null,null,19013,null,null,9915,null,null,9916,null,null,8207,null,null,6948,null,null,20135,null,null,15622,null,null,22374,null,null,22974,null,null,20662,null,null,13
977018,1631,85419,6530,14406,2248,30804,2852,25138,3000,15071,2243,891599,6692,63790,5169,240064,7740,288020,8179,299725,7657,1631,null,null,6530,null,null,2248,null,null,2852,null,null,3000,null,null,2243,null,null,6692,null,null,5169,null,null,7740,null,null,8179,null,null,7657,null,null,15
1073227,2846,119855,7847,20479,2753,43880,4780,41569,3839,13927,2219,953372,8038,80791,5429,252472,8369,334622,8744,285487,8159,2846,null,null,7847,null,null,2753,null,null,4780,null,null,3839,null,null,2219,null,null,8038,null,null,5429,null,null,8369,null,null,8744,null,null,8159,null,null,16
8513564,5237,885412,17169,214636,8336,289063,9718,248703,9118,133010,6485,7628152,17739,709119,14415,1904614,23208,2221481,17292,2792938,19916,5237,null,null,17169,null,null,8336,null,null,9718,null,null,9118,null,null,6485,null,null,17739,null,null,14415,null,null,23208,null,null,17292,null,null,19916,null,null,17
4307624,5368,461606,11259,123770,6657,173549,6441,121608,6702,42679,3970,3846018,13101,365779,10221,1272164,13481,1131885,15199,1076190,14659,5368,null,null,11259,null,null,6657,null,null,6441,null,null,6702,null,null,3970,null,null,13101,null,null,10221,null,null,13481,null,null,15199,null,null,14659,null,null,18
2050274,3632,180849,6401,40153,3144,63107,3912,56416,4255,21173,2326,1869425,6507,125758,4291,566276,8581,608157,9037,569234,10696,3632,null,null,6401,null,null,3144,null,null,3912,null,null,4255,null,null,2326,null,null,6507,null,null,4291,null,null,8581,null,null,9037,null,null,10696,null,null,19
1854500,3969,174116,7044,39958,3686,61255,3831,52446,3614,20457,2623,1680384,7836,131556,5438,418851,10198,533938,9937,596039,10476,3969,null,null,7044,null,null,3686,null,null,3831,null,null,3614,null,null,2623,null,null,7836,null,null,5438,null,null,10198,null,null,9937,null,null,10476,null,null,20
2931008,4047,440382,13661,137075,7497,158320,8163,113978,6146,31009,3166,2490626,14188,272570,8097,785296,11941,765279,10123,667481,11897,4047,null,null,13661,null,null,7497,null,null,8163,null,null,6146,null,null,3166,null,null,14188,null,null,8097,null,null,11941,null,null,10123,null,null,11897,null,null,21
3036874,6133,484928,14167,154747,8974,184183,7900,107601,6483,38397,3601,2551946,14253,303160,9773,844213,16822,721161,15574,683412,13602,6133,null,null,14167,null,null,8974,null,null,7900,null,null,6483,null,null,3601,null,null,14253,null,null,9773,null,null,16822,null,null,15574,null,null,13602,null,null,22
955085,1618,101471,5683,18255,2077,46680,4040,24589,2979,11947,2015,853614,5836,52675,3660,267526,7613,255675,6747,277738,7418,1618,null,null,5683,null,null,2077,null,null,4040,null,null,2979,null,null,2015,null,null,5836,null,null,3660,null,null,7613,null,null,6747,null,null,7418,null,null,23
4059397,4362,320836,9243,77721,4726,118477,6055,73951,4202,50687,3691,3738561,9677,315214,9679,902603,15132,957930,14800,1562814,15359,4362,null,null,9243,null,null,4726,null,null,6055,null,null,4202,null,null,3691,null,null,9677,null,null,9679,null,null,15132,null,null,14800,null,null,15359,null,null,24
4658842,3481,407915,11651,103754,6893,131151,6671,91941,4611,81069,4681,4250927,11906,332824,10580,995465,15660,995637,14514,1927001,14252,3481,null,null,11651,null,null,6893,null,null,6671,null,null,4611,null,null,4681,null,null,11906,null,null,10580,null,null,15660,null,null,14514,null,null,14252,null,null,25
6662186,4444,777132,13108,180134,7307,285741,7936,229504,7298,81753,4509,5885054,13276,444332,8613,1651537,16113,1971366,20248,1817819,17783,4444,null,null,13108,null,null,7307,null,null,7936,null,null,7298,null,null,4509,null,null,13276,null,null,8613,null,null,16113,null,null,20248,null,null,17783,null,null,26
3675083,4211,283169,7634,60774,4605,94442,5042,89296,4306,38657,2209,3391914,8967,192653,6263,821182,12337,1126280,11997,1251799,12898,4211,null,null,7634,null,null,4605,null,null,5042,null,null,4306,null,null,2209,null,null,8967,null,null,6263,null,null,12337,null,null,11997,null,null,12898,null,null,27
1909498,5340,316010,9146,94240,5091,114939,6073,83226,5409,23605,2651,1593488,11021,198048,8128,470769,11572,524325,11826,400346,11309,5340,null,null,9146,null,null,5091,null,null,6073,null,null,5409,null,null,2651,null,null,11021,null,null,8128,null,null,11572,null,null,11826,null,null,11309,null,null,28
4035069,6067,438869,12197,112575,5818,158470,7051,123079,6512,44745,3621,3596200,14109,295943,9728,1069886,13354,1111171,15778,1119200,14262,6067,null,null,12197,null,null,5818,null,null,7051,null,null,6512,null,null,3621,null,null,14109,null,null,9728,null,null,13354,null,null,15778,null,null,14262,null,null,29
702222,2830,76888,4557,12303,1783,27056,2287,25385,2358,12144,2002,625334,5059,37003,2921,174594,6818,206074,5139,207663,5993,2830,null,null,4557,null,null,1783,null,null,2287,null,null,2358,null,null,2002,null,null,5059,null,null,2921,null,null,6818,null,null,5139,null,null,5993,null,null,30
1222276,2857,106471,5144,25872,3494,34804,2625,32679,2911,13116,1776,1115805,5061,81423,4060,284433,7254,373883,6665,376066,7464,2857,null,null,5144,null,null,3494,null,null,2625,null,null,2911,null,null,1776,null,null,5061,null,null,4060,null,null,7254,null,null,6665,null,null,7464,null,null,31
1987084,2323,226070,9410,54655,4446,74633,6127,70930,4740,25852,3239,1761014,9571,220613,8320,501525,12376,594268,10731,444608,11303,2323,null,null,9410,null,null,4446,null,null,6127,null,null,4740,null,null,3239,null,null,9571,null,null,8320,null,null,12376,null,null,10731,null,null,11303,null,null,32
