B19013F_001E,B19013F_001M,B19013F_001M,B19013F_001EA,B19013F_001MA,state
41865,1679,1679,null,null,12
41354,3348,3348,null,null,13
49929,18458,18458,null,null,15
46482,8167,8167,null,null,16
47588,2300,2300,null,null,17
39990,2747,2747,null,null,18
40413,7604,7604,null,null,19
44585,4364,4364,null,null,20
37094,5479,5479,null,null,21
37200,2093,2093,null,null,22
null,null,null,null,null,23
62659,5218,5218,null,null,24
41832,2665,2665,null,null,25
39790,3964,3964,null,null,26
48716,6108,6108,null,null,27
39160,11874,11874,null,null,28
38411,8320,8320,null,null,29
29308,6896,6896,null,null,30
40893,6016,6016,null,null,31
40667,2195,2195,null,null,32
85396,10895,10895,null,null,33
46230,1681,1681,null,null,34
35148,2191,2191,null,null,35
38417,1210,1210,null,null,36
37002,2394,2394,null,null,37
58675,39669,39669,null,null,38
34021,3904,3904,null,null,39
39664,2736,2736,null,null,40
50739,4292,4292,null,null,41
34255,2254,2254,null,null,42
35279,8326,8326,null,null,44
38582,4054,4054,null,null,45
48216,9374,9374,null,null,46
40564,3738,3738,null,null,47
42451,1103,1103,null,null,48
45975,3420,3420,null,null,49
68561,29195,29195,null,null,50
52113,4291,4291,null,null,51
50701,2309,2309,null,null,53
30750,27675,27675,null,null,54
41046,7743,7743,null,null,55
24373,21564,21564,null,null,56
16866,772,772,null,null,72
39464,9214,9214,null,null,01
76260,24177,24177,null,null,02
41354,1127,1127,null,null,04
36670,6059,6059,null,null,05
50026,675,675,null,null,06
48463,3752,3752,null,null,08
42463,4017,4017,null,null,09
35409,32475,32475,null,null,10
49897,8951,8951,null,null,11
