C03002_001E,C03002_001M,C03002_002E,C03002_002M,C03002_003E,C03002_003M,C03002_004E,C03002_004M,C03002_005E,C03002_005M,C03002_006E,C03002_006M,C03002_007E,C03002_007M,C03002_008E,C03002_008M,C03002_009E,C03002_009M,C03002_010E,C03002_010M,C03002_011E,C03002_011M,C03002_012E,C03002_012M,C03002_001M,C03002_001EA,C03002_001MA,C03002_002M,C03002_002EA,C03002_002MA,C03002_003M,C03002_003EA,C03002_003MA,C03002_004M,C03002_004EA,C03002_004MA,C03002_005M,C03002_005EA,C03002_005MA,C03002_006M,C03002_006EA,C03002_006MA,C03002_007M,C03002_007EA,C03002_007MA,C03002_008M,C03002_008EA,C03002_008MA,C03002_009M,C03002_009EA,C03002_009MA,C03002_010M,C03002_010EA,C03002_010MA,C03002_011M,C03002_011EA,C03002_011MA,C03002_012M,C03002_012EA,C03002_012MA,state
20612439,-555555555,15485861,555,11271384,6014,3162469,17985,38654,3286,550606,7178,10290,2163,70928,8151,381530,17713,25681,3898,355849,16898,5126578,555,-555555555,null,*****,555,null,null,6014,null,null,17985,null,null,3286,null,null,7178,null,null,2163,null,null,8151,null,null,17713,null,null,3898,null,null,16898,null,null,555,null,null,12
10310371,-555555555,9348037,2954,5484889,4687,3205543,13558,17417,2321,396429,6351,5134,1842,32116,8128,206509,12265,11456,2845,195053,12097,962334,2954,-555555555,null,*****,2954,null,null,4687,null,null,13558,null,null,2321,null,null,6351,null,null,1842,null,null,8128,null,null,12265,null,null,2845,null,null,12097,null,null,2954,null,null,13
1428557,-555555555,1280407,-555555555,315242,457,24389,1916,1718,652,527847,10315,131672,4975,1852,746,277687,13351,2426,1046,275261,13207,148150,-555555555,-555555555,null,*****,-555555555,null,*****,457,null,null,1916,null,null,652,null,null,10315,null,null,4975,null,null,746,null,null,13351,null,null,1046,null,null,13207,null,null,-555555555,null,*****,15
1683140,-555555555,1475892,280,1385885,501,10184,1668,21522,1737,22993,2086,1910,1093,702,378,32696,2368,1554,1504,31142,2411,207248,280,-555555555,null,*****,280,null,null,501,null,null,1668,null,null,1737,null,null,2086,null,null,1093,null,null,378,null,null,2368,null,null,1504,null,null,2411,null,null,280,null,null,16
12801539,-555555555,10622749,1616,7886677,3458,1790654,8660,15415,2212,679106,5814,3126,1193,18718,3487,229053,10906,11116,2193,217937,11100,2178790,1616,-555555555,null,*****,1616,null,null,3458,null,null,8660,null,null,2212,null,null,5814,null,null,1193,null,null,3487,null,null,10906,null,null,2193,null,null,11100,null,null,1616,null,null,17
6633053,-555555555,6184974,1492,5273458,3121,608667,6140,13870,1819,140694,4479,2786,1451,10478,2432,135021,7646,3555,1179,131466,7637,448079,1492,-555555555,null,*****,1492,null,null,3121,null,null,6140,null,null,1819,null,null,4479,null,null,1451,null,null,2432,null,null,7646,null,null,1179,null,null,7637,null,null,1492,null,null,18
3134693,-555555555,2955631,1082,2708501,1895,108502,3057,8662,1427,74554,2577,3700,1693,2784,1525,48928,3734,684,619,48244,3717,179062,1082,-555555555,null,*****,1082,null,null,1895,null,null,3057,null,null,1427,null,null,2577,null,null,1693,null,null,1525,null,null,3734,null,null,619,null,null,3717,null,null,1082,null,null,19
2907289,-555555555,2570380,914,2216482,1432,161027,4367,18397,2029,79100,3461,2922,1343,3221,1663,89231,5418,728,545,88503,5350,336909,914,-555555555,null,*****,914,null,null,1432,null,null,4367,null,null,2029,null,null,3461,null,null,1343,null,null,1663,null,null,5418,null,null,545,null,null,5350,null,null,914,null,null,20
4436974,-555555555,4285054,2234,3765752,3843,360428,6154,10692,2239,60837,2804,1934,880,7172,3467,78239,6214,1332,477,76907,6157,151920,2234,-555555555,null,*****,2234,null,null,3843,null,null,6154,null,null,2239,null,null,2804,null,null,880,null,null,3467,null,null,6214,null,null,477,null,null,6157,null,null,2234,null,null,21
4681666,-555555555,4450498,2152,2754601,1816,1502898,6806,24319,2579,77518,2500,562,350,7665,2443,82935,7954,2328,1102,80607,7703,231168,2152,-555555555,null,*****,2152,null,null,1816,null,null,6806,null,null,2579,null,null,2500,null,null,350,null,null,2443,null,null,7954,null,null,1102,null,null,7703,null,null,2152,null,null,22
