B98011_001E,B98011_001EA,state
98.3,null,12
97.8,null,13
96.7,null,15
98.4,null,16
99.1,null,17
99.0,null,18
98.0,null,19
97.8,null,20
98.3,null,21
96.8,null,22
98.1,null,23
99.6,null,24
99.6,null,25
98.6,null,26
97.9,null,27
96.1,null,28
97.8,null,29
97.6,null,30
97.1,null,31
99.4,null,32
99.1,null,33
99.4,null,34
98.5,null,35
98.4,null,36
97.5,null,37
93.4,null,38
99.3,null,39
96.5,null,40
98.8,null,41
99.4,null,42
100.5,null,44
97.2,null,45
95.6,null,46
98.1,null,47
97.6,null,48
98.5,null,49
98.5,null,50
99.2,null,51
98.8,null,53
98.5,null,54
99.2,null,55
97.7,null,56
null,null,72
96.9,null,01
96.2,null,02
97.7,null,04
96.6,null,05
98.1,null,06
98.1,null,08
100.1,null,09
98.3,null,10
99.7,null,11
