B19064_001E,B19064_001M,B19064_001M,B19064_001EA,B19064_001MA,state
41605543800,1413169244,1413169244,null,null,12
11071915200,775376214,775376214,null,null,13
2904078500,301208187,301208187,null,null,15
2234417300,311644818,311644818,null,null,16
19200633200,854193358,854193358,null,null,17
7026834900,541207685,541207685,null,null,18
5555914200,500420556,500420556,null,null,19
4072356600,396975266,396975266,null,null,20
5153170800,593431214,593431214,null,null,21
4756762000,510093689,510093689,null,null,22
2342052900,331054615,331054615,null,null,23
8864344600,575572408,575572408,null,null,24
14059265700,713806810,713806810,null,null,25
12354021900,651345122,651345122,null,null,26
9016666600,543551873,543551873,null,null,27
2538577700,401755090,401755090,null,null,28
8171399700,740400424,740400424,null,null,29
2052885200,470956690,470956690,null,null,30
2851185800,260330920,260330920,null,null,31
3819435700,434772585,434772585,null,null,32
2110632400,348435015,348435015,null,null,33
14520243100,785313295,785313295,null,null,34
2163224000,233605371,233605371,null,null,35
32946648500,1325602677,1325602677,null,null,36
13658144400,1067393162,1067393162,null,null,37
1725811800,285084878,285084878,null,null,38
15251332800,799406709,799406709,null,null,39
3901755300,293212208,293212208,null,null,40
7037070500,474943150,474943150,null,null,41
17808149000,1020650658,1020650658,null,null,42
1962027300,322038185,322038185,null,null,44
7059211900,559312511,559312511,null,null,45
1424982500,295786650,295786650,null,null,46
8041423900,582320807,582320807,null,null,47
32463191800,1032212761,1032212761,null,null,48
3759129000,384547387,384547387,null,null,49
1383511700,163411325,163411325,null,null,50
13162107400,684491976,684491976,null,null,51
13378096900,854883340,854883340,null,null,53
2010480300,364573539,364573539,null,null,54
8648391900,537269737,537269737,null,null,55
815702300,184114498,184114498,null,null,56
1031936100,242797926,242797926,null,null,72
4932440100,512993765,512993765,null,null,01
1084535800,149926819,149926819,null,null,02
11601346100,787039478,787039478,null,null,04
2943235200,364400420,364400420,null,null,05
75863248900,1891124447,1891124447,null,null,06
10624765200,779805626,779805626,null,null,08
8169949500,616909764,616909764,null,null,09
1150970900,181166337,181166337,null,null,10
2017133500,385653615,385653615,null,null,11
