B02009_001E,B02009_001M,B02009_001M,B02009_001EA,B02009_001MA,state
3583291,18389,18389,null,null,12
3401427,11090,11090,null,null,13
49512,2948,2948,null,null,15
18885,2264,2264,null,null,16
1950134,6918,6918,null,null,17
704428,5705,5705,null,null,18
142363,3458,3458,null,null,19
211231,2699,2699,null,null,20
420332,4462,4462,null,null,21
1563466,5071,5071,null,null,22
26592,1537,1537,null,null,23
1903321,6333,6333,null,null,24
627509,9575,9575,null,null,25
1514424,5371,5371,null,null,26
399885,3658,3658,null,null,27
1153632,5941,5941,null,null,28
777140,4124,4124,null,null,29
9759,1468,1468,null,null,30
111022,2377,2377,null,null,31
306810,5086,5086,null,null,32
26478,1621,1621,null,null,33
1315079,10657,10657,null,null,34
55675,3336,3336,null,null,35
3389796,18576,18576,null,null,36
2337481,8652,8652,null,null,37
22571,1942,1942,null,null,38
1644622,7252,7252,null,null,39
356787,3286,3286,null,null,40
116114,3535,3535,null,null,41
1599908,10105,10105,null,null,42
86467,3531,3531,null,null,44
1402857,6286,6286,null,null,45
20501,1179,1179,null,null,46
1187342,5476,5476,null,null,47
3642426,14607,14607,null,null,48
51667,1753,1753,null,null,49
11314,718,718,null,null,50
1762171,8645,8645,null,null,51
394194,6012,6012,null,null,53
86436,2347,2347,null,null,54
428940,3884,3884,null,null,55
10544,1992,1992,null,null,56
527165,15153,15153,null,null,72
1338854,4920,4920,null,null,01
37479,2335,2335,null,null,02
384932,5751,5751,null,null,04
496098,3306,3306,null,null,05
2758577,14398,14398,null,null,06
296883,5730,5730,null,null,08
441437,6539,6539,null,null,09
225488,2965,2965,null,null,10
329599,2279,2279,null,null,11
