B11004_001E,B11004_001M,B11004_002E,B11004_002M,B11004_003E,B11004_003M,B11004_004E,B11004_004M,B11004_005E,B11004_005M,B11004_006E,B11004_006M,B11004_007E,B11004_007M,B11004_008E,B11004_008M,B11004_009E,B11004_009M,B11004_010E,B11004_010M,B11004_011E,B11004_011M,B11004_012E,B11004_012M,B11004_013E,B11004_013M,B11004_014E,B11004_014M,B11004_015E,B11004_015M,B11004_016E,B11004_016M,B11004_017E,B11004_017M,B11004_018E,B11004_018M,B11004_019E,B11004_019M,B11004_020E,B11004_020M,B11004_001M,B11004_001EA,B11004_001MA,B11004_002M,B11004_002EA,B11004_002MA,B11004_003M,B11004_003EA,B11004_003MA,B11004_004M,B11004_004EA,B11004_004MA,B11004_005M,B11004_005EA,B11004_005MA,B11004_006M,B11004_006EA,B11004_006MA,B11004_007M,B11004_007EA,B11004_007MA,B11004_008M,B11004_008EA,B11004_008MA,B11004_009M,B11004_009EA,B11004_009MA,B11004_010M,B11004_010EA,B11004_010MA,B11004_011M,B11004_011EA,B11004_011MA,B11004_012M,B11004_012EA,B11004_012MA,B11004_013M,B11004_013EA,B11004_013MA,B11004_014M,B11004_014EA,B11004_014MA,B11004_015M,B11004_015EA,B11004_015MA,B11004_016M,B11004_016EA,B11004_016MA,B11004_017M,B11004_017EA,B11004_017MA,B11004_018M,B11004_018EA,B11004_018MA,B11004_019M,B11004_019EA,B11004_019MA,B11004_020M,B11004_020EA,B11004_020MA,state
4864461,24241,3513794,23103,1232102,16302,271085,9316,250761,7994,710256,14796,2281692,17996,1350667,17914,364873,10498,183354,7379,45651,4027,27269,3269,110434,5797,181519,6695,985794,14624,595488,12538,116682,6038,120285,6440,358521,10029,390306,10913,24241,null,null,23103,null,null,16302,null,null,9316,null,null,7994,null,null,14796,null,null,17996,null,null,17914,null,null,10498,null,null,7379,null,null,4027,null,null,3269,null,null,5797,null,null,6695,null,null,14624,null,null,12538,null,null,6038,null,null,6440,null,null,10029,null,null,10913,null,null,12
2479003,18252,1748096,19025,772994,11906,162675,7220,167771,7042,442548,11249,975102,13778,730907,14227,174962,7771,97750,5779,25091,3094,17265,2746,55394,4007,77212,5136,555945,12912,368229,11489,70620,5017,78133,5612,219476,8828,187716,7658,18252,null,null,19025,null,null,11906,null,null,7220,null,null,7042,null,null,11249,null,null,13778,null,null,14227,null,null,7771,null,null,5779,null,null,3094,null,null,2746,null,null,4007,null,null,5136,null,null,12912,null,null,11489,null,null,5017,null,null,5612,null,null,8828,null,null,7658,null,null,13
315505,5105,236236,4782,100919,4317,25010,2404,23061,2256,52848,2792,135317,4833,79269,4274,26017,2626,13679,1886,3942,1029,2908,986,6829,1440,12338,1825,53252,3332,29061,2488,4730,1012,7122,1433,17209,1936,24191,2223,5105,null,null,4782,null,null,4317,null,null,2404,null,null,2256,null,null,2792,null,null,4833,null,null,4274,null,null,2626,null,null,1886,null,null,1029,null,null,986,null,null,1440,null,null,1825,null,null,3332,null,null,2488,null,null,1012,null,null,1433,null,null,1936,null,null,2223,null,null,15
411617,7286,328906,7528,134509,5506,27385,3245,37445,3176,69679,3872,194397,6538,82711,4947,27394,3183,17665,2780,4720,1256,3622,1063,9323,2283,9729,1770,55317,3568,37508,3156,6416,1168,7930,1532,23162,2611,17809,1782,7286,null,null,7528,null,null,5506,null,null,3245,null,null,3176,null,null,3872,null,null,6538,null,null,4947,null,null,3183,null,null,2780,null,null,1256,null,null,1063,null,null,2283,null,null,1770,null,null,3568,null,null,3156,null,null,1168,null,null,1532,null,null,2611,null,null,1782,null,null,16
3100613,17145,2266786,16563,968141,11900,211796,6384,201062,6794,555283,9861,1298645,12762,833827,13495,224158,7773,121743,6064,32453,3522,19111,2326,70179,4639,102415,5094,609669,10547,378609,9165,70056,4710,70394,4045,238159,8464,231060,7128,17145,null,null,16563,null,null,11900,null,null,6384,null,null,6794,null,null,9861,null,null,12762,null,null,13495,null,null,7773,null,null,6064,null,null,3522,null,null,2326,null,null,4639,null,null,5094,null,null,10547,null,null,9165,null,null,4710,null,null,4045,null,null,8464,null,null,7128,null,null,17
1645758,11176,1225255,11039,496808,8704,113601,4616,112177,5219,271030,6573,728447,8403,420503,9228,121367,4763,71314,4031,19074,2436,11823,1861,40417,3177,50053,3379,299136,8539,200970,6614,43578,3233,40932,3750,116460,5471,98166,4821,11176,null,null,11039,null,null,8704,null,null,4616,null,null,5219,null,null,6573,null,null,8403,null,null,9228,null,null,4763,null,null,4031,null,null,2436,null,null,1861,null,null,3177,null,null,3379,null,null,8539,null,null,6614,null,null,3233,null,null,3750,null,null,5471,null,null,4821,null,null,18
795043,8419,630993,8001,254372,5817,57790,3673,59918,3740,136664,4855,376621,7010,164050,5286,50267,2921,32692,2571,9919,1601,5586,1047,17187,1853,17575,1942,113783,4707,83079,4111,20131,2155,15730,1842,47218,3627,30704,2367,8419,null,null,8001,null,null,5817,null,null,3673,null,null,3740,null,null,4855,null,null,7010,null,null,5286,null,null,2921,null,null,2571,null,null,1601,null,null,1047,null,null,1853,null,null,1942,null,null,4707,null,null,4111,null,null,2155,null,null,1842,null,null,3627,null,null,2367,null,null,19
716005,8245,555970,8062,230884,5558,55443,2956,52837,3457,122604,4353,325086,6238,160035,6192,49460,3304,31117,2987,8050,1428,4464,1259,18603,2349,18343,2004,110575,5066,75604,4341,18776,1892,14434,1677,42394,3487,34971,2600,8245,null,null,8062,null,null,5558,null,null,2956,null,null,3457,null,null,4353,null,null,6238,null,null,6192,null,null,3304,null,null,2987,null,null,1428,null,null,1259,null,null,2349,null,null,2004,null,null,5066,null,null,4341,null,null,1892,null,null,1677,null,null,3487,null,null,2600,null,null,20
1121404,10897,812069,11116,324830,7205,72914,4102,67757,3899,184159,5758,487239,8031,309335,7535,83429,4423,48530,3689,10001,1543,6185,1197,32344,3080,34899,3315,225906,6754,148491,5578,31495,3228,27748,2861,89248,4401,77415,4284,10897,null,null,11116,null,null,7205,null,null,4102,null,null,3899,null,null,5758,null,null,8031,null,null,7535,null,null,4423,null,null,3689,null,null,1543,null,null,1197,null,null,3080,null,null,3315,null,null,6754,null,null,5578,null,null,3228,null,null,2861,null,null,4401,null,null,4284,null,null,21
1097712,12285,735458,10367,300695,7646,68772,4957,65754,4427,166169,6689,434763,7992,362254,10170,86597,5221,49661,4500,15202,2557,5595,1514,28864,2793,36936,2882,275657,8695,181910,8145,36998,4028,42741,4014,102171,5737,93747,5202,12285,null,null,10367,null,null,7646,null,null,4957,null,null,4427,null,null,6689,null,null,7992,null,null,10170,null,null,5221,null,null,4500,null,null,2557,null,null,1514,null,null,2793,null,null,2882,null,null,8695,null,null,8145,null,null,4028,null,null,4014,null,null,5737,null,null,5202,null,null,22
