C27001A_001E,C27001A_001M,C27001A_002E,C27001A_002M,C27001A_003E,C27001A_003M,C27001A_004E,C27001A_004M,C27001A_005E,C27001A_005M,C27001A_006E,C27001A_006M,C27001A_007E,C27001A_007M,C27001A_008E,C27001A_008M,C27001A_009E,C27001A_009M,C27001A_010E,C27001A_010M,C27001A_001M,C27001A_001EA,C27001A_001MA,C27001A_002M,C27001A_002EA,C27001A_002MA,C27001A_003M,C27001A_003EA,C27001A_003MA,C27001A_004M,C27001A_004EA,C27001A_004MA,C27001A_005M,C27001A_005EA,C27001A_005MA,C27001A_006M,C27001A_006EA,C27001A_006MA,C27001A_007M,C27001A_007EA,C27001A_007MA,C27001A_008M,C27001A_008EA,C27001A_008MA,C27001A_009M,C27001A_009EA,C27001A_009MA,C27001A_010M,C27001A_010EA,C27001A_010MA,state
15366996,29113,2779294,12275,2610616,17143,168678,11466,9066950,20119,7466324,37378,1600626,30823,3520752,5461,3488429,6647,32323,4546,29113,null,null,12275,null,null,17143,null,null,11466,null,null,20119,null,null,37378,null,null,30823,null,null,5461,null,null,6647,null,null,4546,null,null,12
5958267,17945,1310420,9643,1222025,11020,88395,7533,3675770,11381,3068661,17933,607109,19573,972077,2962,965866,3026,6211,1622,17945,null,null,9643,null,null,11020,null,null,7533,null,null,11381,null,null,17933,null,null,19573,null,null,2962,null,null,3026,null,null,1622,null,null,13
330392,5595,56029,2941,54398,2949,1631,799,208354,3586,196555,3896,11799,2163,66009,586,65783,604,226,195,5595,null,null,2941,null,null,2949,null,null,799,null,null,3586,null,null,3896,null,null,2163,null,null,586,null,null,604,null,null,195,null,null,15
1492229,7567,373787,3609,356912,4560,16875,2931,876692,4714,753533,7215,123159,6702,241750,1354,240505,1501,1245,750,7567,null,null,3609,null,null,4560,null,null,2931,null,null,4714,null,null,7215,null,null,6702,null,null,1354,null,null,1501,null,null,750,null,null,16
9012093,24723,1904781,11851,1861709,12365,43072,4369,5644980,15508,5229072,16998,415908,12189,1462332,3699,1455171,3885,7161,1405,24723,null,null,11851,null,null,12365,null,null,4369,null,null,15508,null,null,16998,null,null,12189,null,null,3699,null,null,3885,null,null,1405,null,null,17
5463217,10498,1218817,5401,1140395,8886,78422,6438,3371246,7351,3036198,12765,335048,11645,873154,2206,868376,2547,4778,1429,10498,null,null,5401,null,null,8886,null,null,6438,null,null,7351,null,null,12765,null,null,11645,null,null,2206,null,null,2547,null,null,1429,null,null,18
2796050,5170,622536,2992,607695,3891,14841,2807,1696230,3263,1607038,5723,89192,5336,477284,1075,476559,1188,725,410,5170,null,null,2992,null,null,3891,null,null,2807,null,null,3263,null,null,5723,null,null,5336,null,null,1075,null,null,1188,null,null,410,null,null,19
2416319,7523,568780,3868,544795,4259,23985,2813,1458798,4822,1297875,6899,160923,6568,388741,1522,387526,1547,1215,565,7523,null,null,3868,null,null,4259,null,null,2813,null,null,4822,null,null,6899,null,null,6568,null,null,1522,null,null,1547,null,null,565,null,null,20
3803005,6760,833141,3429,807073,4907,26068,3535,2349178,4718,2193958,8055,155220,8102,620686,1271,619555,1354,1131,553,6760,null,null,3429,null,null,4907,null,null,3535,null,null,4718,null,null,8055,null,null,8102,null,null,1271,null,null,1354,null,null,553,null,null,21
2855487,6080,614206,3337,595924,4967,18282,3549,1763620,4316,1527724,11248,235896,10875,477661,1892,476538,1975,1123,480,6080,null,null,3337,null,null,4967,null,null,3549,null,null,4316,null,null,11248,null,null,10875,null,null,1892,null,null,1975,null,null,480,null,null,22
1244291,1866,229226,858,218563,2430,10663,2362,769946,1578,682871,5993,87075,5741,245119,801,244941,795,178,135,1866,null,null,858,null,null,2430,null,null,2362,null,null,1578,null,null,5993,null,null,5741,null,null,801,null,null,795,null,null,135,null,null,23
3343098,13348,673430,5664,652776,6566,20654,4423,2086295,9030,1946486,9870,139809,8935,583373,2468,581215,2685,2158,809,13348,null,null,5664,null,null,6566,null,null,4423,null,null,9030,null,null,9870,null,null,8935,null,null,2468,null,null,2685,null,null,809,null,null,24
5292381,15934,982172,7631,972924,7995,9248,2571,3384915,10276,3283630,10888,101285,7215,925294,2173,923724,2208,1570,529,15934,null,null,7631,null,null,7995,null,null,2571,null,null,10276,null,null,10888,null,null,7215,null,null,2173,null,null,2208,null,null,529,null,null,25
7727734,10483,1583223,5712,1537192,7183,46031,4176,4781800,6453,4449751,11274,332049,10943,1362711,2029,1360437,1961,2274,701,10483,null,null,5712,null,null,7183,null,null,4176,null,null,6453,null,null,11274,null,null,10943,null,null,2029,null,null,1961,null,null,701,null,null,26
4552519,6744,955773,3961,929809,5060,25964,3311,2837613,4158,2717181,6789,120432,5629,759133,1310,758266,1366,867,383,6744,null,null,3961,null,null,5060,null,null,3311,null,null,4158,null,null,6789,null,null,5629,null,null,1310,null,null,1366,null,null,383,null,null,27
1716181,4891,372185,2576,354177,3963,18008,3223,1028796,3477,870316,9147,158480,8735,315200,1261,314213,1389,987,446,4891,null,null,2576,null,null,3963,null,null,3223,null,null,3477,null,null,9147,null,null,8735,null,null,1261,null,null,1389,null,null,446,null,null,28
4926235,7085,1064646,3670,1016661,5839,47985,4336,3019489,4613,2660971,11166,358518,11369,842100,1848,839961,1937,2139,603,7085,null,null,3670,null,null,5839,null,null,4336,null,null,4613,null,null,11166,null,null,11369,null,null,1848,null,null,1937,null,null,603,null,null,29
915185,1927,187139,1263,180975,1844,6164,1412,556135,1637,500050,4640,56085,4390,171911,623,171690,638,221,175,1927,null,null,1263,null,null,1844,null,null,1412,null,null,1637,null,null,4640,null,null,4390,null,null,623,null,null,638,null,null,175,null,null,30
1651835,6009,391197,3242,375019,4274,16178,2303,1000105,3624,893095,7173,107010,6201,260533,1386,259962,1360,571,412,6009,null,null,3242,null,null,4274,null,null,2303,null,null,3624,null,null,7173,null,null,6201,null,null,1386,null,null,1360,null,null,412,null,null,31
1947153,14712,404863,7374,377437,8256,27426,3693,1195385,9387,1023433,11735,171952,8703,346905,2072,342687,2149,4218,1028,14712,null,null,7374,null,null,8256,null,null,3693,null,null,9387,null,null,11735,null,null,8703,null,null,2072,null,null,2149,null,null,1028,null,null,32
1232156,2949,234302,1284,228455,1823,5847,1474,785499,2256,719894,5600,65605,4989,212355,861,212301,868,54,69,2949,null,null,1284,null,null,1823,null,null,1474,null,null,2256,null,null,5600,null,null,4989,null,null,861,null,null,868,null,null,69,null,null,33
6028899,22249,1241596,9623,1200885,10454,40711,5083,3725692,15458,3382048,15299,343644,13603,1061611,3428,1054349,3438,7262,1630,22249,null,null,9623,null,null,10454,null,null,5083,null,null,15458,null,null,15299,null,null,13603,null,null,3428,null,null,3438,null,null,1630,null,null,34
1514823,11775,340723,5443,325182,5615,15541,3126,893251,7979,796341,9316,96910,7012,280849,2911,279264,2886,1585,747,11775,null,null,5443,null,null,5615,null,null,3126,null,null,7979,null,null,9316,null,null,7012,null,null,2911,null,null,2886,null,null,747,null,null,35
12395999,29690,2393008,13455,2334667,14222,58341,5538,7791061,20291,7304608,21761,486453,13885,2211930,6049,2204260,6278,7670,1750,29690,null,null,13455,null,null,14222,null,null,5538,null,null,20291,null,null,21761,null,null,13885,null,null,6049,null,null,6278,null,null,1750,null,null,36
6868933,14014,1416591,7826,1354463,8752,62128,6189,4227273,8887,3661328,15844,565945,15291,1225069,2778,1221929,3054,3140,990,14014,null,null,7826,null,null,8752,null,null,6189,null,null,8887,null,null,15844,null,null,15291,null,null,2778,null,null,3054,null,null,990,null,null,37
646710,3347,140226,1515,131799,2049,8427,1779,406051,2392,380539,3420,25512,2683,100433,662,100178,665,255,195,3347,null,null,1515,null,null,2049,null,null,1779,null,null,2392,null,null,3420,null,null,2683,null,null,662,null,null,665,null,null,195,null,null,38
9356168,11751,1968355,6145,1893289,9272,75066,6839,5769096,7038,5357865,12859,411231,12193,1618717,2702,1613209,2891,5508,1184,11751,null,null,6145,null,null,9272,null,null,6839,null,null,7038,null,null,12859,null,null,12193,null,null,2702,null,null,2891,null,null,1184,null,null,39
2792067,7840,612367,4843,581050,5610,31317,3439,1694744,4343,1417016,7943,277728,8291,484956,1405,482784,1541,2172,758,7840,null,null,4843,null,null,5610,null,null,3439,null,null,4343,null,null,7943,null,null,8291,null,null,1405,null,null,1541,null,null,758,null,null,40
3426423,13275,677553,6741,656259,7362,21294,3204,2115623,8140,1940156,11423,175467,8728,633247,1684,630163,2120,3084,1205,13275,null,null,6741,null,null,7362,null,null,3204,null,null,8140,null,null,11423,null,null,8728,null,null,1684,null,null,2120,null,null,1205,null,null,41
10208459,15362,1971343,7953,1874515,10724,96828,8196,6309258,9306,5895164,17203,414094,15719,1927858,3267,1921672,3340,6186,1213,15362,null,null,7953,null,null,10724,null,null,8196,null,null,9306,null,null,17203,null,null,15719,null,null,3267,null,null,3340,null,null,1213,null,null,42
