B19067_001E,B19067_001M,B19067_001M,B19067_001EA,B19067_001MA,state
394602700,24705851,24705851,null,null,12
179245700,19421804,19421804,null,null,13
68250300,11093345,11093345,null,null,15
49616900,10067455,10067455,null,null,16
344129400,25606507,25606507,null,null,17
127711000,14382496,14382496,null,null,18
65291100,11864933,11864933,null,null,19
44027100,7419475,7419475,null,null,20
96125600,12438413,12438413,null,null,21
89930500,13614559,13614559,null,null,22
39079000,8036662,8036662,null,null,23
151758400,16669097,16669097,null,null,24
248626700,21928781,21928781,null,null,25
261598000,22068139,22068139,null,null,26
233039400,20665831,20665831,null,null,27
53690600,11748845,11748845,null,null,28
98207800,10536992,10536992,null,null,29
27197600,6002140,6002140,null,null,30
33583300,7862877,7862877,null,null,31
79285500,10436037,10436037,null,null,32
29066500,6198508,6198508,null,null,33
208193200,16340980,16340980,null,null,34
60482700,10561024,10561024,null,null,35
864651200,47140598,47140598,null,null,36
175706500,16990956,16990956,null,null,37
13751900,4867828,4867828,null,null,38
405561500,26423634,26423634,null,null,39
73414300,8475744,8475744,null,null,40
157986600,15787084,15787084,null,null,41
361731200,21420292,21420292,null,null,42
48062600,10117451,10117451,null,null,44
63018700,9180719,9180719,null,null,45
16383900,3821742,3821742,null,null,46
148297100,18335249,18335249,null,null,47
361547300,27403295,27403295,null,null,48
50871300,14170847,14170847,null,null,49
19571600,4006842,4006842,null,null,50
147271800,19911214,19911214,null,null,51
237346900,19542887,19542887,null,null,53
48928600,9639341,9639341,null,null,54
118691700,11995362,11995362,null,null,55
12903400,5325209,5325209,null,null,56
252276200,13472443,13472443,null,null,72
76638700,11095612,11095612,null,null,01
53628900,9652889,9652889,null,null,02
107226300,13068884,13068884,null,null,04
45481100,7392817,7392817,null,null,05
1928284000,74922119,74922119,null,null,06
136656100,14185228,14185228,null,null,08
191770000,20439565,20439565,null,null,09
18192000,5702774,5702774,null,null,10
37707800,10360618,10360618,null,null,11
