B15002F_001E,B15002F_001M,B15002F_002E,B15002F_002M,B15002F_003E,B15002F_003M,B15002F_004E,B15002F_004M,B15002F_005E,B15002F_005M,B15002F_006E,B15002F_006M,B15002F_007E,B15002F_007M,B15002F_008E,B15002F_008M,B15002F_009E,B15002F_009M,B15002F_010E,B15002F_010M,B15002F_011E,B15002F_011M,B15002F_012E,B15002F_012M,B15002F_013E,B15002F_013M,B15002F_014E,B15002F_014M,B15002F_015E,B15002F_015M,B15002F_016E,B15002F_016M,B15002F_017E,B15002F_017M,B15002F_018E,B15002F_018M,B15002F_019E,B15002F_019M,B15002F_001M,B15002F_001EA,B15002F_001MA,B15002F_002M,B15002F_002EA,B15002F_002MA,B15002F_003M,B15002F_003EA,B15002F_003MA,B15002F_004M,B15002F_004EA,B15002F_004MA,B15002F_005M,B15002F_005EA,B15002F_005MA,B15002F_006M,B15002F_006EA,B15002F_006MA,B15002F_007M,B15002F_007EA,B15002F_007MA,B15002F_008M,B15002F_008EA,B15002F_008MA,B15002F_009M,B15002F_009EA,B15002F_009MA,B15002F_010M,B15002F_010EA,B15002F_010MA,B15002F_011M,B15002F_011EA,B15002F_011MA,B15002F_012M,B15002F_012EA,B15002F_012MA,B15002F_013M,B15002F_013EA,B15002F_013MA,B15002F_014M,B15002F_014EA,B15002F_014MA,B15002F_015M,B15002F_015EA,B15002F_015MA,B15002F_016M,B15002F_016EA,B15002F_016MA,B15002F_017M,B15002F_017EA,B15002F_017MA,B15002F_018M,B15002F_018EA,B15002F_018MA,B15002F_019M,B15002F_019EA,B15002F_019MA,state
359709,16062,179956,9126,27190,3354,21293,3291,42499,4377,9051,2060,32086,4039,17277,3090,21228,3093,9332,1946,179753,9842,24913,3578,17488,2814,41805,4232,7455,1703,33931,3391,18262,2806,24584,3587,11315,1791,16062,null,null,9126,null,null,3354,null,null,3291,null,null,4377,null,null,2060,null,null,4039,null,null,3090,null,null,3093,null,null,1946,null,null,9842,null,null,3578,null,null,2814,null,null,4232,null,null,1703,null,null,3391,null,null,2806,null,null,3587,null,null,1791,null,null,12
158463,11154,86267,6460,27563,3355,14941,2744,19316,3246,3143,1316,10714,2369,3366,1428,4180,1059,3044,1319,72196,5920,19017,2919,10995,1939,17488,2311,2860,1247,9431,2016,2434,766,6024,1472,3947,1450,11154,null,null,6460,null,null,3355,null,null,2744,null,null,3246,null,null,1316,null,null,2369,null,null,1428,null,null,1059,null,null,1319,null,null,5920,null,null,2919,null,null,1939,null,null,2311,null,null,1247,null,null,2016,null,null,766,null,null,1472,null,null,1450,null,null,13
7866,1567,4715,1160,302,297,486,368,1533,827,159,142,1362,496,370,320,275,195,228,198,3151,800,31,54,458,375,1004,465,84,136,735,281,224,186,490,340,125,135,1567,null,null,1160,null,null,297,null,null,368,null,null,827,null,null,142,null,null,496,null,null,320,null,null,195,null,null,198,null,null,800,null,null,54,null,null,375,null,null,465,null,null,136,null,null,281,null,null,186,null,null,340,null,null,135,null,null,15
30597,3437,16354,2230,2992,881,3833,1139,3516,1040,1423,633,2714,823,940,680,661,462,275,238,14243,1809,3910,1188,3446,1295,2223,880,1193,711,2533,957,495,407,246,230,197,252,3437,null,null,2230,null,null,881,null,null,1139,null,null,1040,null,null,633,null,null,823,null,null,680,null,null,462,null,null,238,null,null,1809,null,null,1188,null,null,1295,null,null,880,null,null,711,null,null,957,null,null,407,null,null,230,null,null,252,null,null,16
460711,12802,238513,6740,65589,4123,33963,3390,67824,4751,10399,1440,32951,2852,8989,1575,12966,2082,5832,1486,222198,7548,59724,4221,28530,2623,54593,4037,10770,1691,32427,3029,9869,1432,18760,1980,7525,1509,12802,null,null,6740,null,null,4123,null,null,3390,null,null,4751,null,null,1440,null,null,2852,null,null,1575,null,null,2082,null,null,1486,null,null,7548,null,null,4221,null,null,2623,null,null,4037,null,null,1691,null,null,3029,null,null,1432,null,null,1980,null,null,1509,null,null,17
83545,6051,45763,3557,10418,2113,7463,1498,11851,2179,3145,965,6188,1517,1994,838,3615,1348,1089,657,37782,3310,8231,1456,6887,1404,7085,1214,1504,743,7853,1615,2400,675,2523,994,1299,786,6051,null,null,3557,null,null,2113,null,null,1498,null,null,2179,null,null,965,null,null,1517,null,null,838,null,null,1348,null,null,657,null,null,3310,null,null,1456,null,null,1404,null,null,1214,null,null,743,null,null,1615,null,null,675,null,null,994,null,null,786,null,null,18
22742,2440,12579,1624,3378,854,3134,834,2158,722,387,327,1578,633,531,399,1227,657,186,169,10163,1440,2619,721,1709,682,1657,579,805,428,1585,726,571,336,804,593,413,338,2440,null,null,1624,null,null,854,null,null,834,null,null,722,null,null,327,null,null,633,null,null,399,null,null,657,null,null,169,null,null,1440,null,null,721,null,null,682,null,null,579,null,null,428,null,null,726,null,null,336,null,null,593,null,null,338,null,null,19
40054,4074,20566,2355,4572,1134,3883,932,6732,1900,1012,464,1789,670,650,356,1019,509,909,459,19488,2253,4658,1302,2719,813,5307,1356,1149,635,2534,913,610,457,1734,728,777,560,4074,null,null,2355,null,null,1134,null,null,932,null,null,1900,null,null,464,null,null,670,null,null,356,null,null,509,null,null,459,null,null,2253,null,null,1302,null,null,813,null,null,1356,null,null,635,null,null,913,null,null,457,null,null,728,null,null,560,null,null,20
21094,3369,12190,2256,4516,1535,1657,612,2042,811,403,270,1824,880,479,324,837,442,432,322,8904,1877,1783,699,1619,768,2249,936,353,374,798,501,468,477,1113,659,521,479,3369,null,null,2256,null,null,1535,null,null,612,null,null,811,null,null,270,null,null,880,null,null,324,null,null,442,null,null,322,null,null,1877,null,null,699,null,null,768,null,null,936,null,null,374,null,null,501,null,null,477,null,null,659,null,null,479,null,null,21
40816,4138,24233,2718,4589,1436,5016,1450,8057,1773,795,789,3350,1083,652,423,1278,676,496,385,16583,2133,2785,1354,3077,874,4458,1396,1124,657,2419,891,1061,491,1196,562,463,362,4138,null,null,2718,null,null,1436,null,null,1450,null,null,1773,null,null,789,null,null,1083,null,null,423,null,null,676,null,null,385,null,null,2133,null,null,1354,null,null,874,null,null,1396,null,null,657,null,null,891,null,null,491,null,null,562,null,null,362,null,null,22
