B19113F_001E,B19113F_001M,B19113F_001M,B19113F_001EA,B19113F_001MA,state
44180,2777,2777,null,null,12
40145,4330,4330,null,null,13
49769,17132,17132,null,null,15
48188,7222,7222,null,null,16
48514,2223,2223,null,null,17
40773,2929,2929,null,null,18
38250,9083,9083,null,null,19
47724,3551,3551,null,null,20
28694,14134,14134,null,null,21
37728,2632,2632,null,null,22
null,null,null,null,null,23
56156,2465,2465,null,null,24
44881,2972,2972,null,null,25
40811,4159,4159,null,null,26
43746,5036,5036,null,null,27
41185,5966,5966,null,null,28
35321,6533,6533,null,null,29
null,null,null,null,null,30
46016,9365,9365,null,null,31
43604,3486,3486,null,null,32
83119,6989,6989,null,null,33
46439,1602,1602,null,null,34
39504,3281,3281,null,null,35
40725,1009,1009,null,null,36
37646,2460,2460,null,null,37
57174,32911,32911,null,null,38
35328,4733,4733,null,null,39
40778,2238,2238,null,null,40
50467,2954,2954,null,null,41
34218,2391,2391,null,null,42
38596,8062,8062,null,null,44
41987,5359,5359,null,null,45
49496,8814,8814,null,null,46
37463,6791,6791,null,null,47
45037,1422,1422,null,null,48
46182,4934,4934,null,null,49
67689,55357,55357,null,null,50
50816,3429,3429,null,null,51
50068,3539,3539,null,null,53
46364,37704,37704,null,null,54
45723,8653,8653,null,null,55
43940,17101,17101,null,null,56
20492,1354,1354,null,null,72
39702,8309,8309,null,null,01
63790,15112,15112,null,null,02
41754,1319,1319,null,null,04
36883,5678,5678,null,null,05
49981,705,705,null,null,06
53641,3778,3778,null,null,08
45911,4849,4849,null,null,09
null,null,null,null,null,10
46526,10104,10104,null,null,11
