B12002B_001E,B12002B_001M,B12002B_002E,B12002B_002M,B12002B_003E,B12002B_003M,B12002B_004E,B12002B_004M,B12002B_005E,B12002B_005M,B12002B_006E,B12002B_006M,B12002B_007E,B12002B_007M,B12002B_008E,B12002B_008M,B12002B_009E,B12002B_009M,B12002B_010E,B12002B_010M,B12002B_011E,B12002B_011M,B12002B_012E,B12002B_012M,B12002B_013E,B12002B_013M,B12002B_001M,B12002B_001EA,B12002B_001MA,B12002B_002M,B12002B_002EA,B12002B_002MA,B12002B_003M,B12002B_003EA,B12002B_003MA,B12002B_004M,B12002B_004EA,B12002B_004MA,B12002B_005M,B12002B_005EA,B12002B_005MA,B12002B_006M,B12002B_006EA,B12002B_006MA,B12002B_007M,B12002B_007EA,B12002B_007MA,B12002B_008M,B12002B_008EA,B12002B_008MA,B12002B_009M,B12002B_009EA,B12002B_009MA,B12002B_010M,B12002B_010EA,B12002B_010MA,B12002B_011M,B12002B_011EA,B12002B_011MA,B12002B_012M,B12002B_012EA,B12002B_012MA,B12002B_013M,B12002B_013EA,B12002B_013MA,state
2607098,14803,1231081,8761,618264,10566,409549,8424,37358,3434,33269,4107,132641,6682,1376017,8727,656296,11929,375787,10894,58590,4025,97298,5244,188046,8321,14803,null,null,8761,null,null,10566,null,null,8424,null,null,3434,null,null,4107,null,null,6682,null,null,8727,null,null,11929,null,null,10894,null,null,4025,null,null,5244,null,null,8321,null,null,12
2545546,9281,1162410,5359,576984,8849,404244,9680,34631,3726,25876,2797,120675,7471,1383136,6889,640506,10984,377600,9691,57171,5629,104739,4621,203120,8445,9281,null,null,5359,null,null,8849,null,null,9680,null,null,3726,null,null,2797,null,null,7471,null,null,6889,null,null,10984,null,null,9691,null,null,5629,null,null,4621,null,null,8445,null,null,13
22425,1616,14858,1134,5933,1202,7496,1082,243,239,44,63,1142,599,7567,1181,2338,921,4106,832,0,185,158,176,965,562,1616,null,null,1134,null,null,1202,null,null,1082,null,null,239,null,null,63,null,null,599,null,null,1181,null,null,921,null,null,832,null,null,185,null,null,176,null,null,562,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
1449957,6500,668914,4565,376828,7209,185791,6543,20154,2481,20036,1786,66105,4578,781043,4349,414409,7513,164135,6399,31484,3046,70486,2549,100529,4556,6500,null,null,4565,null,null,7209,null,null,6543,null,null,2481,null,null,1786,null,null,4578,null,null,4349,null,null,7513,null,null,6399,null,null,3046,null,null,2549,null,null,4556,null,null,17
471577,4922,221948,3457,120962,4194,64632,3607,3845,1054,6096,1227,26413,2648,249629,3530,128405,4510,59308,3590,9159,1855,19171,1850,33586,2540,4922,null,null,3457,null,null,4194,null,null,3607,null,null,1054,null,null,1227,null,null,2648,null,null,3530,null,null,4510,null,null,3590,null,null,1855,null,null,1850,null,null,2540,null,null,18
80864,2921,43348,1887,24564,2288,12560,1447,562,426,1327,754,4335,1107,37516,2039,21222,2193,8632,1303,959,546,1687,653,5016,1017,2921,null,null,1887,null,null,2288,null,null,1447,null,null,426,null,null,754,null,null,1107,null,null,2039,null,null,2193,null,null,1303,null,null,546,null,null,653,null,null,1017,null,null,19
130337,3469,67772,2521,33093,2340,23205,2239,2035,912,1604,592,7835,1258,62565,2223,27816,2072,17558,2009,1852,825,5505,949,9834,1435,3469,null,null,2521,null,null,2340,null,null,2239,null,null,912,null,null,592,null,null,1258,null,null,2223,null,null,2072,null,null,2009,null,null,825,null,null,949,null,null,1435,null,null,20
286763,4438,140815,3296,77579,3337,39039,2896,2856,895,3444,873,17897,2067,145948,3336,75927,3409,32604,2667,5769,1268,11471,1591,20177,2021,4438,null,null,3296,null,null,3337,null,null,2896,null,null,895,null,null,873,null,null,2067,null,null,3336,null,null,3409,null,null,2667,null,null,1268,null,null,1591,null,null,2021,null,null,21
1171521,5078,548531,3981,299690,6303,158733,5780,18273,2097,14543,1890,57292,4202,622990,4024,302296,7295,150823,6377,26498,3114,55935,3125,87438,4950,5078,null,null,3981,null,null,6303,null,null,5780,null,null,2097,null,null,1890,null,null,4202,null,null,4024,null,null,7295,null,null,6377,null,null,3114,null,null,3125,null,null,4950,null,null,22
