B14007F_001E,B14007F_001M,B14007F_002E,B14007F_002M,B14007F_003E,B14007F_003M,B14007F_004E,B14007F_004M,B14007F_005E,B14007F_005M,B14007F_006E,B14007F_006M,B14007F_007E,B14007F_007M,B14007F_008E,B14007F_008M,B14007F_009E,B14007F_009M,B14007F_010E,B14007F_010M,B14007F_011E,B14007F_011M,B14007F_012E,B14007F_012M,B14007F_013E,B14007F_013M,B14007F_014E,B14007F_014M,B14007F_015E,B14007F_015M,B14007F_016E,B14007F_016M,B14007F_017E,B14007F_017M,B14007F_018E,B14007F_018M,B14007F_019E,B14007F_019M,B14007F_001M,B14007F_001EA,B14007F_001MA,B14007F_002M,B14007F_002EA,B14007F_002MA,B14007F_003M,B14007F_003EA,B14007F_003MA,B14007F_004M,B14007F_004EA,B14007F_004MA,B14007F_005M,B14007F_005EA,B14007F_005MA,B14007F_006M,B14007F_006EA,B14007F_006MA,B14007F_007M,B14007F_007EA,B14007F_007MA,B14007F_008M,B14007F_008EA,B14007F_008MA,B14007F_009M,B14007F_009EA,B14007F_009MA,B14007F_010M,B14007F_010EA,B14007F_010MA,B14007F_011M,B14007F_011EA,B14007F_011MA,B14007F_012M,B14007F_012EA,B14007F_012MA,B14007F_013M,B14007F_013EA,B14007F_013MA,B14007F_014M,B14007F_014EA,B14007F_014MA,B14007F_015M,B14007F_015EA,B14007F_015MA,B14007F_016M,B14007F_016EA,B14007F_016MA,B14007F_017M,B14007F_017EA,B14007F_017MA,B14007F_018M,B14007F_018EA,B14007F_018MA,B14007F_019M,B14007F_019EA,B14007F_019MA,state
545901,24744,162755,10324,9430,2015,8731,1738,6305,1608,9813,2070,8277,1721,6921,1638,9518,1957,8252,1707,8801,1683,7699,1781,8898,1717,8123,1838,5275,1476,8578,1805,40411,4543,7723,1814,383146,17368,24744,null,null,10324,null,null,2015,null,null,1738,null,null,1608,null,null,2070,null,null,1721,null,null,1638,null,null,1957,null,null,1707,null,null,1683,null,null,1781,null,null,1717,null,null,1838,null,null,1476,null,null,1805,null,null,4543,null,null,1814,null,null,17368,null,null,12
281395,20458,100509,10382,5139,1485,7165,1796,4967,1381,5427,1496,6004,1501,7911,1839,7412,2001,6242,1380,6409,1777,5622,1649,6192,1674,6109,1633,6840,1815,4423,1290,12954,3291,1693,846,180886,12370,20458,null,null,10382,null,null,1485,null,null,1796,null,null,1381,null,null,1496,null,null,1501,null,null,1839,null,null,2001,null,null,1380,null,null,1777,null,null,1649,null,null,1674,null,null,1633,null,null,1815,null,null,1290,null,null,3291,null,null,846,null,null,12370,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
61837,6958,21108,3184,771,462,1295,668,1537,949,905,697,1662,953,1417,723,1100,645,1570,777,1038,624,1758,954,563,465,1345,631,775,451,1557,761,3362,967,453,333,40729,4745,6958,null,null,3184,null,null,462,null,null,668,null,null,949,null,null,697,null,null,953,null,null,723,null,null,645,null,null,777,null,null,624,null,null,954,null,null,465,null,null,631,null,null,451,null,null,761,null,null,967,null,null,333,null,null,4745,null,null,16
784129,24070,267812,12535,15052,2268,14826,2456,15814,2502,13642,1753,14900,2144,16067,2315,15214,2354,15510,2126,17071,2266,15096,2317,15190,2167,17760,2294,14287,2277,14852,2424,46641,4115,5890,1464,516317,15187,24070,null,null,12535,null,null,2268,null,null,2456,null,null,2502,null,null,1753,null,null,2144,null,null,2315,null,null,2354,null,null,2126,null,null,2266,null,null,2317,null,null,2167,null,null,2294,null,null,2277,null,null,2424,null,null,4115,null,null,1464,null,null,15187,null,null,17
148383,10495,50545,5176,2549,701,2131,867,3218,965,4047,1268,4421,1055,2220,718,4044,1075,3274,1083,3341,1031,3985,1126,3432,849,2661,663,1800,788,2239,643,6032,1312,1151,726,97838,6993,10495,null,null,5176,null,null,701,null,null,867,null,null,965,null,null,1268,null,null,1055,null,null,718,null,null,1075,null,null,1083,null,null,1031,null,null,1126,null,null,849,null,null,663,null,null,788,null,null,643,null,null,1312,null,null,726,null,null,6993,null,null,18
39557,4453,13972,2548,675,364,663,421,430,239,1308,551,841,468,430,232,804,408,395,368,641,349,986,449,1157,439,917,507,763,358,494,277,3060,1028,408,314,25585,2619,4453,null,null,2548,null,null,364,null,null,421,null,null,239,null,null,551,null,null,468,null,null,232,null,null,408,null,null,368,null,null,349,null,null,449,null,null,439,null,null,507,null,null,358,null,null,277,null,null,1028,null,null,314,null,null,2619,null,null,19
69884,7512,23638,3343,1629,707,1079,454,1544,908,1670,678,1159,721,1103,839,1714,774,1049,537,2106,922,1077,523,1305,722,1351,517,1952,738,1206,571,3028,910,666,539,46246,5131,7512,null,null,3343,null,null,707,null,null,454,null,null,908,null,null,678,null,null,721,null,null,839,null,null,774,null,null,537,null,null,922,null,null,523,null,null,722,null,null,517,null,null,738,null,null,571,null,null,910,null,null,539,null,null,5131,null,null,20
35720,5062,12263,2328,544,297,378,331,706,435,535,318,894,446,1156,661,793,461,1115,608,459,268,622,429,995,491,497,348,581,343,260,175,2180,968,548,485,23457,3589,5062,null,null,2328,null,null,297,null,null,331,null,null,435,null,null,318,null,null,446,null,null,661,null,null,461,null,null,608,null,null,268,null,null,429,null,null,491,null,null,348,null,null,343,null,null,175,null,null,968,null,null,485,null,null,3589,null,null,21
65023,6037,20081,2745,1164,593,1710,780,1326,466,1271,646,944,607,1190,553,1180,574,1907,608,973,655,529,422,1322,616,784,423,1526,810,542,380,3226,1060,487,382,44942,4596,6037,null,null,2745,null,null,593,null,null,780,null,null,466,null,null,646,null,null,607,null,null,553,null,null,574,null,null,608,null,null,655,null,null,422,null,null,616,null,null,423,null,null,810,null,null,380,null,null,1060,null,null,382,null,null,4596,null,null,22
