B27001A_001E,B27001A_001M,B27001A_002E,B27001A_002M,B27001A_003E,B27001A_003M,B27001A_004E,B27001A_004M,B27001A_005E,B27001A_005M,B27001A_006E,B27001A_006M,B27001A_007E,B27001A_007M,B27001A_008E,B27001A_008M,B27001A_009E,B27001A_009M,B27001A_010E,B27001A_010M,B27001A_011E,B27001A_011M,B27001A_012E,B27001A_012M,B27001A_013E,B27001A_013M,B27001A_014E,B27001A_014M,B27001A_015E,B27001A_015M,B27001A_016E,B27001A_016M,B27001A_017E,B27001A_017M,B27001A_018E,B27001A_018M,B27001A_019E,B27001A_019M,B27001A_020E,B27001A_020M,B27001A_021E,B27001A_021M,B27001A_022E,B27001A_022M,B27001A_023E,B27001A_023M,B27001A_024E,B27001A_024M,B27001A_025E,B27001A_025M,B27001A_026E,B27001A_026M,B27001A_027E,B27001A_027M,B27001A_028E,B27001A_028M,B27001A_001M,B27001A_001EA,B27001A_001MA,B27001A_002M,B27001A_002EA,B27001A_002MA,B27001A_003M,B27001A_003EA,B27001A_003MA,B27001A_004M,B27001A_004EA,B27001A_004MA,B27001A_005M,B27001A_005EA,B27001A_005MA,B27001A_006M,B27001A_006EA,B27001A_006MA,B27001A_007M,B27001A_007EA,B27001A_007MA,B27001A_008M,B27001A_008EA,B27001A_008MA,B27001A_009M,B27001A_009EA,B27001A_009MA,B27001A_010M,B27001A_010EA,B27001A_010MA,B27001A_011M,B27001A_011EA,B27001A_011MA,B27001A_012M,B27001A_012EA,B27001A_012MA,B27001A_013M,B27001A_013EA,B27001A_013MA,B27001A_014M,B27001A_014EA,B27001A_014MA,B27001A_015M,B27001A_015EA,B27001A_015MA,B27001A_016M,B27001A_016EA,B27001A_016MA,B27001A_017M,B27001A_017EA,B27001A_017MA,B27001A_018M,B27001A_018EA,B27001A_018MA,B27001A_019M,B27001A_019EA,B27001A_019MA,B27001A_020M,B27001A_020EA,B27001A_020MA,B27001A_021M,B27001A_021EA,B27001A_021MA,B27001A_022M,B27001A_022EA,B27001A_022MA,B27001A_023M,B27001A_023EA,B27001A_023MA,B27001A_024M,B27001A_024EA,B27001A_024MA,B27001A_025M,B27001A_025EA,B27001A_025MA,B27001A_026M,B27001A_026EA,B27001A_026MA,B27001A_027M,B27001A_027EA,B27001A_027MA,B27001A_028M,B27001A_028EA,B27001A_028MA,state
15366996,29113,882385,9234,840304,10280,42081,5192,1896909,11992,1770312,15235,126597,8728,1177053,8439,956339,12040,220714,9387,1840278,9052,1418220,15414,422058,14585,1760084,8191,1410353,13006,349731,11716,2104240,7000,1755691,13520,348549,12188,2185295,6423,1925721,10534,259574,9600,1946399,4946,1923155,5796,23244,3439,1574353,3710,1565274,4275,9079,2185,29113,null,null,9234,null,null,10280,null,null,5192,null,null,11992,null,null,15235,null,null,8728,null,null,8439,null,null,12040,null,null,9387,null,null,9052,null,null,15414,null,null,14585,null,null,8191,null,null,13006,null,null,11716,null,null,7000,null,null,13520,null,null,12188,null,null,6423,null,null,10534,null,null,9600,null,null,4946,null,null,5796,null,null,3439,null,null,3710,null,null,4275,null,null,2185,null,null,12
5958267,17945,397289,6320,370372,6078,26917,3917,913131,9667,851653,10841,61478,6092,526224,5627,432074,6792,94150,5797,742852,6651,580272,8880,162580,8602,755005,7319,601071,7506,153934,8307,851418,4828,734362,6520,117056,6437,800271,2939,720882,5360,79389,5225,599134,2374,594454,2710,4680,1333,372943,2996,371412,2845,1531,1157,17945,null,null,6320,null,null,6078,null,null,3917,null,null,9667,null,null,10841,null,null,6092,null,null,5627,null,null,6792,null,null,5797,null,null,6651,null,null,8880,null,null,8602,null,null,7319,null,null,7506,null,null,8307,null,null,4828,null,null,6520,null,null,6437,null,null,2939,null,null,5360,null,null,5225,null,null,2374,null,null,2710,null,null,1333,null,null,2996,null,null,2845,null,null,1157,null,null,13
330392,5595,23978,1932,23177,1887,801,553,32051,2277,31221,2357,830,447,24060,1710,22145,1926,1915,891,47901,1912,44648,1882,3253,1008,41306,1911,38820,2022,2486,847,41629,819,39888,1039,1741,715,53458,786,51054,978,2404,893,43823,516,43661,531,162,167,22186,508,22122,498,64,82,5595,null,null,1932,null,null,1887,null,null,553,null,null,2277,null,null,2357,null,null,447,null,null,1710,null,null,1926,null,null,891,null,null,1912,null,null,1882,null,null,1008,null,null,1911,null,null,2022,null,null,847,null,null,819,null,null,1039,null,null,715,null,null,786,null,null,978,null,null,893,null,null,516,null,null,531,null,null,167,null,null,508,null,null,498,null,null,82,null,null,15
1492229,7567,113697,2893,109878,3221,3819,1063,260090,3587,247034,3989,13056,2530,132250,2509,114587,2926,17663,2465,191163,3441,154876,3802,36287,3450,182424,3296,156726,3925,25698,3260,178441,2073,154904,3161,23537,2740,192414,1354,172440,2787,19974,2345,146422,1144,145615,1295,807,649,95328,910,94890,836,438,400,7567,null,null,2893,null,null,3221,null,null,1063,null,null,3587,null,null,3989,null,null,2530,null,null,2509,null,null,2926,null,null,2465,null,null,3441,null,null,3802,null,null,3450,null,null,3296,null,null,3925,null,null,3260,null,null,2073,null,null,3161,null,null,2740,null,null,1354,null,null,2787,null,null,2345,null,null,1144,null,null,1295,null,null,649,null,null,910,null,null,836,null,null,400,null,null,16
9012093,24723,595276,6201,582414,6183,12862,1754,1309505,9905,1279295,10684,30210,3832,786399,5950,726961,6898,59438,4560,1195054,6637,1078386,9171,116668,6278,1130708,6770,1031678,6760,99030,5780,1254610,5233,1175012,5770,79598,4527,1278209,3867,1217035,4911,61174,3208,844751,2518,839097,2796,5654,1229,617581,2829,616074,2722,1507,604,24723,null,null,6201,null,null,6183,null,null,1754,null,null,9905,null,null,10684,null,null,3832,null,null,5950,null,null,6898,null,null,4560,null,null,6637,null,null,9171,null,null,6278,null,null,6770,null,null,6760,null,null,5780,null,null,5233,null,null,5770,null,null,4527,null,null,3867,null,null,4911,null,null,3208,null,null,2518,null,null,2796,null,null,1229,null,null,2829,null,null,2722,null,null,604,null,null,17
5463217,10498,389615,4661,366280,5148,23335,2683,829202,5952,774115,8370,55087,5488,521731,3275,467132,6094,54599,5433,683046,3985,582964,5427,100082,5355,665438,3370,595444,5267,69994,4241,739873,2522,679518,4628,60355,4354,761158,1864,711140,3866,50018,3742,516875,2028,512897,2217,3978,1271,356279,1615,355479,1718,800,472,10498,null,null,4661,null,null,5148,null,null,2683,null,null,5952,null,null,8370,null,null,5488,null,null,3275,null,null,6094,null,null,5433,null,null,3985,null,null,5427,null,null,5355,null,null,3370,null,null,5267,null,null,4241,null,null,2522,null,null,4628,null,null,4354,null,null,1864,null,null,3866,null,null,3742,null,null,2028,null,null,2217,null,null,1271,null,null,1615,null,null,1718,null,null,472,null,null,18
2796050,5170,200270,3155,195273,3466,4997,1496,422266,3734,412422,4222,9844,2057,274526,2073,259798,2612,14728,2386,341882,2442,315917,3573,25965,2861,326876,1985,307681,2619,19195,2349,358329,1949,341647,2979,16682,2238,394617,1312,381995,2164,12622,1893,268194,995,267970,993,224,134,209090,1078,208589,1154,501,339,5170,null,null,3155,null,null,3466,null,null,1496,null,null,3734,null,null,4222,null,null,2057,null,null,2073,null,null,2612,null,null,2386,null,null,2442,null,null,3573,null,null,2861,null,null,1985,null,null,2619,null,null,2349,null,null,1949,null,null,2979,null,null,2238,null,null,1312,null,null,2164,null,null,1893,null,null,995,null,null,993,null,null,134,null,null,1078,null,null,1154,null,null,339,null,null,19
2416319,7523,185645,2901,178691,2942,6954,1301,383135,3824,366104,4152,17031,2448,232822,2644,205717,3590,27105,3034,304248,2768,257563,3674,46685,3821,288694,2594,251207,3461,37487,2758,301670,2195,274670,2874,27000,2093,331364,1578,308718,2537,22646,2292,223047,1417,222115,1388,932,524,165694,1337,165411,1331,283,223,7523,null,null,2901,null,null,2942,null,null,1301,null,null,3824,null,null,4152,null,null,2448,null,null,2644,null,null,3590,null,null,3034,null,null,2768,null,null,3674,null,null,3821,null,null,2594,null,null,3461,null,null,2758,null,null,2195,null,null,2874,null,null,2093,null,null,1578,null,null,2537,null,null,2292,null,null,1417,null,null,1388,null,null,524,null,null,1337,null,null,1331,null,null,223,null,null,20
3803005,6760,264596,3352,256890,3751,7706,1527,568545,4063,550183,4756,18362,2696,350655,2500,324309,3074,26346,2789,467956,3412,423310,4601,44646,3458,473452,2578,440386,3585,33066,3284,525738,2174,495050,3598,30688,3301,531377,1459,510903,2678,20474,2428,376025,1095,375037,1152,988,542,244661,1171,244518,1191,143,126,6760,null,null,3352,null,null,3751,null,null,1527,null,null,4063,null,null,4756,null,null,2696,null,null,2500,null,null,3074,null,null,2789,null,null,3412,null,null,4601,null,null,3458,null,null,2578,null,null,3585,null,null,3284,null,null,2174,null,null,3598,null,null,3301,null,null,1459,null,null,2678,null,null,2428,null,null,1095,null,null,1152,null,null,542,null,null,1171,null,null,1191,null,null,126,null,null,21
2855487,6080,204373,3663,199367,3655,5006,1553,409833,3803,396557,4760,13276,2804,244879,3408,210271,4283,34608,4343,393309,4539,324067,6517,69242,6053,353230,3677,302688,5490,50542,4482,374456,2953,326814,4668,47642,4215,397746,2011,363884,3728,33862,3432,284084,1424,283377,1451,707,344,193577,1576,193161,1582,416,313,6080,null,null,3663,null,null,3655,null,null,1553,null,null,3803,null,null,4760,null,null,2804,null,null,3408,null,null,4283,null,null,4343,null,null,4539,null,null,6517,null,null,6053,null,null,3677,null,null,5490,null,null,4482,null,null,2953,null,null,4668,null,null,4215,null,null,2011,null,null,3728,null,null,3432,null,null,1424,null,null,1451,null,null,344,null,null,1576,null,null,1582,null,null,313,null,null,22
